timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1310040,1014.20215,1014.2981,7.125,6.3203125,1.1445312,0.6404419,0.16998291,0.6679077,0.33892822,1316745.0,1013.67505,1015.84033,-4.1523438,9.699219,0.46484375,-0.14672852,0.6813965,0.6999512,0.15563965
1310045,1014.2168,1014.2981,6.3203125,8.2734375,-0.04296875,0.6292114,0.32202148,0.6513672,0.2758789,1316760.0,1013.6533,1015.82886,-1.8515625,9.972656,-0.87890625,0.13354492,-0.7331543,-0.66674805,0.008422852
1310055,1014.23193,1014.2639,6.5898438,8.078125,-0.12109375,0.631958,0.31958008,0.652771,0.269104,1316770.0,1013.6533,1015.82886,-1.625,9.972656,-1.0703125,0.13482666,-0.7327881,-0.66693115,0.008117676
1310075,1014.23413,1014.25854,6.7421875,7.7382812,-0.234375,0.6342163,0.3178711,0.65496826,0.2602539,1316795.0,1013.65063,1015.83545,-1.625,9.9296875,-1.296875,0.13580322,-0.7319336,-0.6676636,0.008422852
1310095,1014.2219,1014.29785,6.8945312,7.3164062,-0.3125,0.63604736,0.31799316,0.6581421,0.24731445,1316815.0,1013.70557,1015.8843,-1.5859375,9.8515625,-1.453125,0.13726807,-0.73101807,-0.66833496,0.009460449
1310115,1014.21875,1014.291,6.8203125,7.15625,-0.42578125,0.63739014,0.3201294,0.6625366,0.22869873,1316830.0,1013.6814,1015.8804,-1.6992188,9.972656,-1.4882812,0.13867188,-0.73065186,-0.668396,0.010437012
1310135,1014.1914,1014.312,7.0117188,7.578125,-0.80859375,0.6370239,0.32250977,0.6694946,0.20489502,1316850.0,1013.67773,1015.86597,-1.96875,10.0390625,-1.6054688,0.14050293,-0.7304077,-0.66833496,0.010437012
1310155,1014.2173,1014.2595,7.203125,7.8554688,-0.84765625,0.633667,0.3225708,0.6795654,0.1807251,1316875.0,1013.6853,1015.8667,-2.390625,10.234375,-1.71875,0.14227295,-0.72961426,-0.66882324,0.009277344
1310175,1014.24,1014.26807,7.046875,7.5078125,-0.50390625,0.6281738,0.32000732,0.69281006,0.1517334,1316890.0,1013.66235,1015.8967,-2.4296875,10.082031,-1.5664062,0.14300537,-0.72857666,-0.6697998,0.008239746
1310195,1014.2134,1014.2898,6.8203125,6.703125,-0.04296875,0.6237793,0.31591797,0.70513916,0.11779785,1316910.0,1013.6499,1015.89355,-2.2382812,10.0078125,-1.453125,0.14324951,-0.7276001,-0.6708374,0.0076904297
1310215,1014.2124,1014.38257,7.234375,5.4765625,0.5703125,0.6213989,0.31066895,0.7145996,0.08148193,1316930.0,1013.67285,1015.88574,-2.0429688,10.011719,-1.2617188,0.14404297,-0.72717285,-0.6711426,0.0072021484
1310235,1014.2671,1014.3716,7.5117188,5.3984375,0.265625,0.6212158,0.3045044,0.71972656,0.057861328,1316955.0,1013.7041,1015.87695,-2.2734375,9.855469,-1.1835938,0.1453247,-0.7265625,-0.6715698,0.005432129
1310255,1014.2539,1014.3833,7.9296875,5.09375,0.1875,0.6213989,0.29534912,0.72442627,0.04309082,1316970.0,1013.70557,1015.88745,-2.2734375,9.5859375,-1.1054688,0.14581299,-0.7258301,-0.6722412,0.003112793
1310275,1014.22485,1014.3784,8.199219,4.6328125,0.265625,0.62127686,0.28466797,0.7293091,0.032714844,1316990.0,1013.68774,1015.8843,-2.1210938,9.5078125,-0.953125,0.14593506,-0.7248535,-0.6732788,0.00061035156
1310300,1014.2495,1014.3838,8.234375,3.828125,0.875,0.6213379,0.27423096,0.7336426,0.02166748,1317010.0,1013.67505,1015.8938,-1.9296875,9.511719,-0.80078125,-0.1461792,0.72406006,0.67407227,0.00030517578
1310315,1014.2429,1014.41504,8.390625,3.140625,1.1835938,0.62268066,0.2649536,0.73620605,0.009338379,1317030.0,1013.6721,1015.88086,-1.890625,9.46875,-0.72265625,0.1473999,-0.7234497,-0.6744995,0.00091552734
1310335,1014.2351,1014.4407,8.582031,2.8320312,1.1835938,0.62609863,0.25842285,0.73565674,0.00061035156,1317050.0,1013.6682,1015.8999,-2.0078125,9.433594,-0.6484375,0.14898682,-0.7229614,-0.6746216,0.002746582
1310355,1014.2471,1014.4375,8.582031,2.796875,1.0664062,-0.6308594,-0.25408936,-0.73309326,0.00390625,1317070.0,1013.678,1015.85864,-2.3125,9.390625,-0.5703125,0.15032959,-0.7225342,-0.6748047,0.0028686523
1310375,1014.251,1014.36304,9.042969,3.5625,0.1484375,-0.63500977,-0.24908447,-0.7312622,0.007019043,1317095.0,1013.6533,1015.84766,-2.2734375,9.589844,-0.609375,0.15112305,-0.72229004,-0.6748657,0.001953125
1310395,1014.2258,1014.3889,8.964844,3.5625,0.07421875,-0.63690186,-0.24243164,-0.73168945,0.012939453,1317110.0,1013.677,1015.8828,-2.1992188,9.738281,-0.72265625,0.15185547,-0.72229004,-0.67474365,0.0021362305
1310415,1014.25684,1014.4414,9.082031,2.9101562,0.1484375,-0.6382446,-0.23535156,-0.732605,0.02355957,1317130.0,1013.6741,1015.8877,-2.2382812,9.734375,-0.87890625,0.1529541,-0.722229,-0.67456055,0.0030517578
1310435,1014.26855,1014.40063,9.1171875,2.5273438,0.37890625,-0.6392822,-0.230896,-0.732666,0.034729004,1317150.0,1013.6787,1015.90063,-2.1210938,9.8515625,-0.9140625,0.15429688,-0.7220459,-0.67437744,0.00390625
