timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
224610,1019.136,1018.16626,6.9296875,7.0820312,-0.5078125,-0.04663086,-0.70806885,-0.51397705,0.4819336,225540.0,1016.6902,1019.93994,-8.40625,1.265625,4.5,0.5279541,0.01574707,-0.82940674,0.18206787
224625,1019.1282,1018.1907,7.046875,4.4804688,4.6640625,-0.3435669,-0.3789673,-0.81970215,0.25775146,225545.0,1016.646,1019.93994,-8.671875,1.1875,4.6523438,0.57244873,0.02532959,-0.79644775,0.19317627
224645,1019.1504,1018.2051,7.0507812,4.4023438,4.625,-0.34802246,-0.37493896,-0.8222656,0.24945068,225560.0,1016.71387,1019.8994,-7.0234375,4.3671875,4.84375,0.48486328,-0.11401367,-0.8120117,0.3043213
224660,1019.13184,1018.2202,7.0859375,4.4804688,4.546875,-0.35107422,-0.37268066,-0.82373047,0.24359131,225575.0,1016.69727,1019.92725,-6.875,4.40625,5.0742188,0.48364258,-0.11657715,-0.8135376,0.30108643
224680,1019.13477,1018.219,7.0898438,4.4804688,4.5078125,-0.35333252,-0.37097168,-0.82489014,0.23895264,225590.0,1016.66675,1019.9375,-6.9101562,4.4453125,5.1132812,0.48260498,-0.12017822,-0.8153076,0.2965088
224700,1019.11865,1018.17163,7.0898438,4.515625,4.5859375,-0.35577393,-0.36901855,-0.8261719,0.23388672,225605.0,1016.7014,1019.9617,-6.9882812,4.7109375,4.921875,0.48217773,-0.12463379,-0.8168335,0.29107666
224725,1019.1428,1018.2136,7.1171875,4.4804688,4.5859375,-0.35809326,-0.36712646,-0.8274536,0.2286377,225625.0,1016.6572,1019.9287,-6.9882812,4.828125,4.765625,0.48150635,-0.12915039,-0.8186035,0.28527832
224740,1019.1111,1018.2031,7.0117188,4.59375,4.546875,-0.36010742,-0.36566162,-0.82873535,0.2230835,225640.0,1016.63135,1019.91406,-6.90625,4.75,4.84375,0.48034668,-0.13140869,-0.8201294,0.28173828
224760,1019.12646,1018.1802,6.9726562,4.671875,4.625,-0.3616333,-0.364563,-0.8297119,0.21881104,225660.0,1016.6494,1019.9226,-6.7617188,4.6757812,4.9960938,0.47888184,-0.13330078,-0.82196045,0.2779541
224780,1019.1179,1018.1797,7.0117188,4.7460938,4.546875,-0.36315918,-0.3632202,-0.83081055,0.21435547,225685.0,1016.6929,1019.90967,-6.7617188,4.6757812,5.1132812,0.47790527,-0.13482666,-0.8234863,0.27441406
224800,1019.1113,1018.2002,7.046875,4.8984375,4.625,-0.36480713,-0.3616333,-0.8319092,0.20996094,225705.0,1016.6953,1019.9038,-6.8359375,4.484375,5.3046875,0.4772339,-0.13757324,-0.82507324,0.26940918
224820,1019.10254,1018.177,7.15625,4.7460938,4.546875,-0.36694336,-0.35980225,-0.83288574,0.20544434,225720.0,1016.68896,1019.93774,-6.9101562,4.5976562,5.1875,0.4769287,-0.14007568,-0.8261719,0.2652588
