timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
567440.0,947.7197,949.0244,-0.86328125,9.300781,3.6328125,0.501709,-0.28363037,-0.48614502,0.65686035,663655,948.63696,948.5679,5.484375,6.796875,4.4023438,0.44244385,0.26800537,0.80249023,0.29742432
567455.0,947.7246,949.0232,-1.6757812,9.449219,0.88671875,0.18890381,0.6607666,0.6578369,0.30804443,663665,948.63696,948.5735,5.484375,6.6445312,4.4414062,0.4465332,0.27294922,0.7984619,0.29748535
567475.0,947.73,949.03076,-1.484375,9.640625,0.84765625,0.19000244,0.6598511,0.65844727,0.30810547,663675,948.6223,948.59937,5.140625,6.53125,4.8242188,0.3258667,-0.36956787,-0.199646,0.84698486
567495.0,947.7197,949.0325,-1.4453125,9.644531,0.88671875,0.19091797,0.6592407,0.6589966,0.30767822,663690,948.67896,948.593,4.9492188,6.640625,4.9023438,0.3265381,-0.37072754,-0.19940186,0.84625244
567515.0,947.74023,949.0393,-1.5195312,9.675781,0.8125,0.19195557,0.65875244,0.65948486,0.3071289,663710,948.6321,948.60645,4.9882812,6.6054688,4.8242188,0.32684326,-0.37182617,-0.19976807,0.84558105
567540.0,947.7656,949.0542,-1.484375,9.7890625,0.8125,0.19281006,0.6582031,0.65997314,0.30664062,663730,948.6682,948.6001,4.9882812,6.53125,4.7890625,0.32757568,-0.37261963,-0.19995117,0.84490967
567555.0,947.73193,949.02783,-1.328125,9.8671875,0.58203125,0.1940918,0.65734863,0.66052246,0.30651855,663750,948.6028,948.5791,4.796875,6.9140625,4.671875,0.328125,-0.3729248,-0.1998291,0.8446045
567575.0,947.7661,949.0156,-1.2148438,10.0546875,0.58203125,0.1951294,0.6566162,0.6609497,0.30651855,663770,948.656,948.6008,4.796875,6.8359375,4.9414062,0.32836914,-0.3729248,-0.19976807,0.8444824
567595.0,947.78955,949.04663,-1.2539062,10.0234375,0.7734375,0.19543457,0.65600586,0.66137695,0.3067627,663790,948.6499,948.58765,4.6445312,6.8789062,5.015625,0.3283081,-0.37304688,-0.1998291,0.8444214
567615.0,947.8152,949.0454,-1.40625,9.640625,0.8125,0.19586182,0.65545654,0.66156006,0.30718994,663810,948.66064,948.6135,4.6445312,6.9570312,4.9804688,0.32781982,-0.3737793,-0.19970703,0.84436035
567635.0,947.7991,948.989,-1.328125,9.671875,0.92578125,0.19677734,0.6553345,0.66101074,0.30792236,663830,948.6255,948.5864,4.8710938,6.6054688,5.0546875,0.32818604,-0.37475586,-0.19909668,0.8439331
567655.0,947.8469,949.0359,-1.2929688,9.828125,0.7734375,0.19744873,0.6553955,0.66064453,0.30822754,663850,948.6138,948.6062,4.9101562,6.7578125,4.9023438,0.32904053,-0.37512207,-0.1984253,0.8435669
567675.0,947.8269,949.0166,-1.3671875,9.792969,0.65625,0.19812012,0.65478516,0.6609497,0.30847168,663870,948.6533,948.60547,4.9101562,6.7578125,4.8632812,0.32922363,-0.37475586,-0.19848633,0.84368896
567695.0,947.85205,949.01245,-1.328125,9.75,0.88671875,0.19818115,0.65356445,0.6619873,0.30877686,663895,948.65137,948.5947,4.6796875,6.796875,4.8632812,0.32958984,-0.37408447,-0.19836426,0.84381104
567715.0,947.84375,949.03516,-1.484375,9.605469,0.88671875,0.19818115,0.6526489,0.66278076,0.309021,663910,948.60254,948.5659,4.8710938,6.6796875,4.9804688,0.3291626,-0.37420654,-0.19848633,0.8439331
567735.0,947.8384,949.0259,-1.484375,9.675781,0.8125,0.19830322,0.65167236,0.66363525,0.30914307,663930,948.64966,948.5918,4.9882812,6.4179688,5.015625,0.32940674,-0.37475586,-0.19854736,0.8435669
567755.0,947.82007,949.0054,-1.484375,9.7109375,0.84765625,0.19830322,0.65075684,0.66467285,0.3088379,663950,948.6035,948.57715,4.9492188,6.5742188,4.9804688,0.33044434,-0.37554932,-0.19836426,0.8428955
567775.0,947.8447,949.0513,-1.40625,9.675781,0.84765625,0.1984253,0.64990234,0.66571045,0.3083496,663970,948.64087,948.55176,4.9101562,7.0273438,4.7890625,0.33099365,-0.3760376,-0.19799805,0.8425293
567795.0,947.83374,949.0637,-1.328125,9.7109375,0.96484375,0.19866943,0.64923096,0.6665039,0.30792236,663990,948.6443,948.56934,5.0273438,6.8398438,4.8242188,0.33050537,-0.37609863,-0.1984253,0.84259033
567815.0,947.8279,949.0061,-1.2148438,9.832031,0.84765625,0.1986084,0.64868164,0.6672363,0.30743408,664010,948.6643,948.56616,4.9882812,6.71875,4.9023438,0.3303833,-0.3758545,-0.19909668,0.84259033
567835.0,947.8135,949.00977,-1.2929688,9.9453125,0.84765625,0.19805908,0.64801025,0.66833496,0.30688477,664035,948.65576,948.6062,4.8710938,6.875,4.7890625,0.3303833,-0.3758545,-0.19934082,0.8425293
567855.0,947.79175,949.0227,-1.3671875,9.90625,0.6953125,0.1975708,0.6470337,0.6694946,0.30670166,664050,948.64453,948.5928,4.9101562,6.875,4.8632812,0.3300171,-0.37609863,-0.19952393,0.8425293
567875.0,947.8196,949.0176,-1.484375,9.832031,0.7734375,0.19744873,0.645813,0.67059326,0.30706787,664070,948.66187,948.5945,5.0273438,6.7226562,4.8242188,0.32977295,-0.37628174,-0.1998291,0.84246826
567895.0,947.8142,949.0183,-1.5195312,9.949219,0.8125,0.19750977,0.6444702,0.6713867,0.3079834,664090,948.6604,948.58496,5.1015625,6.6445312,4.75,0.33013916,-0.3762207,-0.19976807,0.8423462
567915.0,947.81836,949.02246,-1.40625,10.027344,0.92578125,0.19720459,0.6431885,0.6722412,0.30914307,664110,948.64966,948.5847,5.0273438,6.875,4.7890625,0.33050537,-0.37597656,-0.19976807,0.8423462
567935.0,947.7715,949.0166,-1.2929688,10.136719,0.96484375,0.19647217,0.6418457,0.67333984,0.30993652,664130,948.6587,948.57446,4.9882812,6.9140625,4.9023438,0.33032227,-0.37579346,-0.20031738,0.8423462
567955.0,947.78467,949.00586,-1.2148438,10.09375,0.92578125,0.1953125,0.6399536,0.6750488,0.31085205,664150,948.64844,948.5886,4.9492188,6.9179688,4.9023438,0.3300171,-0.37554932,-0.20098877,0.8424072
567975.0,947.73804,949.0332,-1.2929688,9.9453125,0.96484375,0.1940918,0.6381836,0.6765747,0.31201172,664170,948.6428,948.5559,4.8710938,6.9179688,4.9804688,0.32983398,-0.37542725,-0.20141602,0.8424072
567995.0,947.70264,948.99,-1.40625,10.0546875,1.0390625,0.1921997,0.6361084,0.67822266,0.3137207,664190,948.6135,948.5989,4.8710938,6.8398438,4.9804688,0.32965088,-0.37609863,-0.20166016,0.8421631
568015.0,947.70264,949.02734,-1.40625,9.984375,0.96484375,0.19030762,0.6333618,0.6803589,0.3157959,664210,948.64795,948.59106,4.9492188,6.9140625,4.8242188,0.32958984,-0.3770752,-0.20166016,0.84173584
568035.0,947.67676,949.04443,-1.5976562,9.871094,1.0039062,0.18792725,0.6293335,0.6833496,0.31884766,664230,948.64844,948.60596,5.1796875,6.8007812,4.671875,0.32958984,-0.37780762,-0.20178223,0.8413696
