timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
23305,1008.6636,1009.5259,1.9335938,5.1289062,7.953125,0.19604492,0.23718262,0.89123535,0.33325195,19210.0,1007.17944,1008.1035,2.609375,2.4296875,-8.9296875,0.729126,0.6589966,0.18408203,0.014587402
23315,1008.7041,1009.51807,1.8203125,5.3203125,8.074219,0.19592285,0.23687744,0.89141846,0.33288574,19220.0,1007.20166,1008.1028,2.609375,2.3515625,-8.933594,0.72888184,0.65930176,0.18395996,0.014892578
23330,1008.67993,1009.51294,1.8203125,5.3203125,8.109375,0.19543457,0.2364502,0.8920288,0.3319702,19230.0,1007.20166,1008.1028,2.5703125,2.46875,-8.9296875,0.7283325,0.6598511,0.1842041,0.015319824
23350,1008.70605,1009.50977,1.8203125,5.28125,7.8867188,0.19543457,0.23565674,0.8921509,0.33221436,19250.0,1007.17847,1008.04565,2.53125,2.5820312,-9.0859375,0.72784424,0.6602783,0.18457031,0.0154418945
23365,1008.7241,1009.50244,2.0117188,5.3203125,7.84375,0.19567871,0.23474121,0.89208984,0.33288574,19270.0,1007.17236,1008.1128,2.53125,2.5820312,-9.050781,0.7272949,0.66070557,0.18499756,0.01550293
23390,1008.69824,1009.5276,2.0859375,5.2421875,7.8828125,0.19573975,0.23406982,0.89208984,0.33325195,19290.0,1007.17847,1008.08276,2.6484375,2.4296875,-9.011719,0.7267456,0.66119385,0.1854248,0.0154418945
23410,1008.7009,1009.5281,2.0859375,5.1679688,7.8476562,0.19555664,0.23382568,0.89227295,0.33306885,19310.0,1007.1902,1008.07056,2.5703125,2.5078125,-9.089844,0.72631836,0.66156006,0.18603516,0.015258789
23425,1008.7097,1009.5261,2.0117188,5.203125,7.9140625,0.19519043,0.23358154,0.89245605,0.33294678,19330.0,1007.2051,1008.084,2.5703125,2.390625,-9.1953125,0.7260132,0.66174316,0.1862793,0.015197754
23445,1008.7173,1009.51245,2.0117188,5.1679688,7.9570312,0.19476318,0.2333374,0.8927002,0.33276367,19355.0,1007.1909,1008.1001,2.5703125,2.6601562,-9.15625,0.7258911,0.66204834,0.18591309,0.015380859
23470,1008.7229,1009.5144,2.0507812,5.0898438,7.9921875,0.1942749,0.2331543,0.8928833,0.3326416,19370.0,1007.20703,1008.0762,2.609375,2.5820312,-8.96875,0.72558594,0.66241455,0.18579102,0.015686035
23490,1008.74316,1009.5127,1.9335938,5.1289062,7.953125,0.19360352,0.23352051,0.89312744,0.33215332,19390.0,1007.1846,1008.1079,2.5703125,2.6210938,-8.890625,0.7250366,0.6628418,0.18634033,0.015930176
23505,1008.7239,1009.48364,1.7421875,5.203125,8.191406,0.19299316,0.23376465,0.89331055,0.33190918,19410.0,1007.2085,1008.0945,2.5703125,2.390625,-9.0078125,0.72454834,0.663147,0.18719482,0.015930176
23525,1008.6775,1009.50024,1.703125,5.203125,8.1484375,0.19262695,0.23364258,0.8933716,0.33184814,19430.0,1007.20874,1008.11694,2.609375,2.4296875,-9.15625,0.72424316,0.6633301,0.18756104,0.015686035
23550,1008.7195,1009.51953,1.8203125,5.1289062,8.1484375,0.19262695,0.23376465,0.8934326,0.33166504,19450.0,1007.19727,1008.0652,2.5703125,2.5820312,-9.011719,0.7241211,0.6635132,0.18743896,0.015319824
