timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1273190,983.9822,983.6106,4.5546875,3.1015625,7.8398438,0.28302002,-0.12554932,0.44256592,0.84161377,1273280.0,983.99365,983.7986,-2.7929688,6.9453125,6.5703125,0.394104,0.0146484375,-0.3180542,0.8621826
1273195,984.0178,983.5935,5.2460938,4.4804688,6.8046875,0.3706665,-0.07751465,0.55529785,0.7404175,1273290.0,983.9895,983.81616,-8.769531,-0.828125,-3.8867188,-0.79663086,0.24432373,0.5060425,0.22259521
1273215,984.02295,983.6084,5.3203125,4.0976562,7.0742188,0.3692627,-0.07928467,0.55511475,0.74108887,1273305.0,983.98413,983.802,-8.8046875,-0.71484375,-3.8867188,-0.79711914,0.24432373,0.505188,0.22283936
1273235,983.99976,983.63086,5.3203125,3.9453125,6.9140625,0.36883545,-0.07946777,0.5560913,0.74053955,1273320.0,984.00684,983.7893,-8.769531,-0.67578125,-3.8867188,-0.79815674,0.24481201,0.5032959,0.22302246
1273255,983.9863,983.59766,5.3984375,3.8671875,6.953125,0.3690796,-0.0791626,0.5574951,0.7394409,1273340.0,983.99585,983.7981,-8.7265625,-0.79296875,-3.8085938,-0.7993164,0.24560547,0.50097656,0.22314453
1273275,983.9917,983.63184,5.3984375,4.0234375,7.0742188,0.37072754,-0.07873535,0.55841064,0.73791504,1273360.0,983.9658,983.83545,-8.886719,-0.828125,-3.8085938,-0.80041504,0.24645996,0.49884033,0.2230835
1273295,983.99585,983.57227,5.3203125,4.25,6.9179688,0.37268066,-0.07849121,0.55877686,0.73669434,1273380.0,983.98193,983.82983,-8.769531,-1.0585938,-3.6953125,-0.80126953,0.24725342,0.4970703,0.2230835
1273320,984.00903,983.6172,5.5117188,4.5976562,6.765625,0.3729248,-0.07849121,0.5588379,0.73651123,1273400.0,983.98193,983.7871,-8.7265625,-1.2109375,-3.6953125,-0.80181885,0.2477417,0.4958496,0.22320557
1273335,983.978,983.60986,5.28125,4.4414062,7.0351562,0.37225342,-0.07873535,0.55926514,0.73651123,1273420.0,983.9883,983.7759,-8.886719,-1.1757812,-3.8085938,-0.802124,0.24786377,0.49523926,0.22332764
1273355,984.0005,983.614,5.1289062,4.2148438,7.109375,0.37225342,-0.07873535,0.56048584,0.7355957,1273445.0,983.98486,983.78296,-8.691406,-1.0195312,-3.9257812,-0.8024292,0.24768066,0.49487305,0.22320557
1273375,983.969,983.63574,4.9765625,4.0976562,6.953125,0.37316895,-0.07891846,0.5619507,0.7340088,1273460.0,983.9878,983.7717,-8.765625,-0.984375,-4.0390625,-0.8027344,0.24768066,0.4944458,0.22320557
1273400,983.99414,983.6255,4.9765625,4.0976562,6.53125,0.3739624,-0.0793457,0.5631714,0.732605,1273480.0,983.9673,983.81006,-8.765625,-0.90625,-4.1171875,-0.8034668,0.24761963,0.4934082,0.22290039
1273415,983.96533,983.6155,5.0898438,4.25,6.34375,0.37420654,-0.07977295,0.5640869,0.7317505,1273505.0,983.9839,983.7844,-8.886719,-1.0585938,-4.078125,-0.8043213,0.24743652,0.4923706,0.22229004
1273435,984.0012,983.6172,5.0898438,4.5195312,6.34375,0.37353516,-0.080322266,0.5643921,0.7317505,1273520.0,983.9863,983.78394,-8.769531,-0.79296875,-4.078125,-0.8051758,0.24731445,0.49139404,0.22131348
1273455,983.97485,983.60376,5.28125,4.5976562,6.5351562,0.37261963,-0.08062744,0.5645752,0.73205566,1273540.0,983.9824,983.80664,-8.6875,-0.9453125,-4.0390625,-0.80615234,0.24731445,0.49035645,0.22027588
1273475,983.99927,983.63086,4.9765625,4.6367188,7.109375,0.37225342,-0.08062744,0.5649414,0.7319336,1273560.0,983.96655,983.79443,-8.621094,-1.0195312,-4.0390625,-0.8071289,0.24731445,0.48913574,0.21936035
1273495,983.9861,983.5957,5.0546875,4.5585938,7.0742188,0.3720703,-0.081726074,0.5652466,0.73168945,1273580.0,983.9846,983.7715,-8.765625,-1.0195312,-4.078125,-0.80804443,0.24725342,0.4880371,0.2185669
1273515,983.98755,983.6223,5.1679688,4.5585938,6.6875,0.37176514,-0.083618164,0.5656128,0.73132324,1273600.0,983.9883,983.8225,-8.691406,-0.90625,-4.15625,-0.8088989,0.24713135,0.48706055,0.21765137
1273535,983.9756,983.62573,5.3984375,4.3671875,6.4921875,0.37121582,-0.08502197,0.5662842,0.73095703,1273620.0,983.99536,983.7976,-8.6484375,-0.90625,-4.15625,-0.80981445,0.24700928,0.48602295,0.21673584
1273555,984.00073,983.6028,5.6289062,4.1367188,6.609375,0.37005615,-0.08514404,0.56677246,0.73114014,1273645.0,983.9956,983.8179,-8.652344,-0.9453125,-4.0390625,-0.81066895,0.24682617,0.48510742,0.21575928
1273575,983.98315,983.60815,5.28125,4.2148438,6.8085938,0.36920166,-0.08465576,0.56695557,0.73150635,1273660.0,983.9656,983.801,-8.582031,-1.0195312,-4.078125,-0.81103516,0.2467041,0.48468018,0.21533203
1273595,984.0056,983.6138,5.1679688,4.25,6.8789062,0.36895752,-0.08392334,0.5673218,0.7314453,1273680.0,983.9614,983.823,-8.621094,-1.0585938,-4.15625,-0.81152344,0.24645996,0.48425293,0.21496582
1273615,984.00024,983.5969,5.0546875,4.25,6.8359375,0.36901855,-0.08319092,0.5680542,0.730896,1273705.0,983.9426,983.7998,-8.652344,-0.984375,-4.3476562,-0.81207275,0.24609375,0.48376465,0.21435547
1273635,984.00244,983.6111,5.1289062,4.25,6.9570312,0.36938477,-0.08203125,0.56903076,0.73010254,1273720.0,983.97754,983.79614,-8.621094,-0.828125,-4.2695312,-0.81274414,0.24572754,0.48327637,0.2133789
1273655,983.97095,983.57446,4.9375,4.328125,7.2617188,0.37023926,-0.08050537,0.57006836,0.7290039,1273740.0,983.9844,983.80396,-8.582031,-0.79296875,-4.2304688,-0.81329346,0.24554443,0.4827881,0.21258545
1273675,984.0154,983.57544,4.8242188,4.3671875,7.53125,0.3723755,-0.07885742,0.571167,0.7272949,1273760.0,983.98706,983.8208,-8.621094,-0.828125,-4.3085938,-0.8138428,0.24554443,0.4821167,0.21191406
1273700,983.9973,983.6006,4.8984375,4.5585938,7.4921875,0.37573242,-0.07647705,0.57196045,0.7251587,1273780.0,983.9668,983.7871,-8.464844,-0.8671875,-4.4609375,-0.8145752,0.24578857,0.48095703,0.21142578
1273715,983.9612,983.6001,4.3632812,4.328125,6.8789062,0.38128662,-0.07318115,0.5732422,0.7215576,1273800.0,983.9553,983.7971,-8.421875,-0.9453125,-4.6914062,-0.8157959,0.246521,0.4784546,0.21154785
1273735,983.9939,983.604,5.3203125,5.09375,6.2265625,0.38659668,-0.07067871,0.5753174,0.7173462,1273820.0,983.9431,983.78687,-8.464844,-1.1367188,-4.7304688,-0.817688,0.24749756,0.4746704,0.21166992
1273755,983.97314,983.6052,5.703125,4.7109375,6.4921875,0.3912964,-0.06915283,0.5765381,0.7139282,1273845.0,983.96045,983.7888,-8.5,-1.0976562,-4.3085938,-0.82025146,0.24853516,0.46972656,0.21160889
1273775,983.9155,983.60864,5.859375,4.9023438,6.0429688,0.39538574,-0.0680542,0.5767212,0.7116699,1273860.0,983.9783,983.7993,-8.421875,-0.984375,-4.0,-0.8215332,0.24902344,0.46704102,0.2119751
1273795,983.9614,983.58154,5.6289062,5.4765625,5.5390625,0.39770508,-0.06768799,0.5765381,0.7105713,1273880.0,983.9636,983.77905,-8.34375,-1.0195312,-3.8476562,-0.8222046,0.24932861,0.46496582,0.21343994
1273815,983.95825,983.5857,5.6289062,5.171875,5.9648438,0.3988037,-0.06744385,0.5772705,0.70928955,1273900.0,983.98975,983.8042,-8.386719,-1.1757812,-4.1171875,-0.82214355,0.24951172,0.46398926,0.2156372
1273835,983.95825,983.57715,5.28125,5.2460938,6.0742188,0.40045166,-0.06616211,0.5796509,0.70654297,1273920.0,983.9949,983.782,-8.621094,-1.1757812,-4.5390625,-0.8216553,0.24963379,0.4638672,0.2177124
1273855,983.98804,983.6001,5.015625,5.2851562,5.7304688,0.4024048,-0.06488037,0.5827637,0.7030029,1273940.0,983.96216,983.7937,-8.6484375,-1.2109375,-4.6523438,-0.8210449,0.24957275,0.46417236,0.21942139
1273875,983.97534,983.59863,5.015625,4.7109375,5.8476562,0.40167236,-0.06555176,0.58483887,0.70166016,1273960.0,983.97217,983.7893,-8.6171875,-1.1757812,-4.7304688,-0.8206177,0.24945068,0.46447754,0.22045898
1273895,983.9885,983.60425,4.9765625,3.90625,6.1875,0.4013672,-0.06500244,0.5866699,0.7003784,1273980.0,983.9844,983.81226,-8.5390625,-1.25,-4.7304688,-0.8206177,0.24920654,0.46447754,0.22064209
1273915,983.96484,983.6289,4.7851562,3.7539062,6.1484375,0.40289307,-0.06225586,0.5881958,0.6984253,1274000.0,983.9629,983.8064,-8.421875,-1.328125,-4.6132812,-0.8208618,0.24890137,0.46429443,0.22052002
1273935,983.9646,983.6079,4.4023438,4.0234375,5.8085938,0.40515137,-0.058654785,0.58917236,0.69659424,1274020.0,983.9619,983.8074,-8.503906,-1.25,-4.5390625,-0.82110596,0.24859619,0.46417236,0.22021484
1273955,983.98096,983.57227,4.171875,4.2890625,5.8867188,0.40698242,-0.05505371,0.58966064,0.6954346,1274045.0,984.0012,983.7981,-8.421875,-1.2890625,-4.5390625,-0.82147217,0.24816895,0.4640503,0.21972656
1273975,983.9912,983.5537,3.9804688,4.6367188,6.0390625,0.40924072,-0.05078125,0.58966064,0.694458,1274060.0,983.9575,983.80176,-8.425781,-1.2109375,-4.421875,-0.82177734,0.24743652,0.4642334,0.2189331
1274000,983.9678,983.5481,3.5585938,5.7460938,5.9609375,0.41223145,-0.04675293,0.5889282,0.6935425,1274080.0,983.9446,983.7932,-8.464844,-1.2109375,-4.4609375,-0.8220215,0.24664307,0.46472168,0.21795654
1274015,984.0034,983.531,3.40625,6.015625,5.7304688,0.41619873,-0.04309082,0.5876465,0.6925659,1274100.0,984.00146,983.7991,-8.542969,-1.1757812,-4.5,-0.8220215,0.24584961,0.4656372,0.21679688
1274035,983.9485,983.53735,3.3671875,6.0195312,5.4609375,0.42114258,-0.039489746,0.5866699,0.6906128,1274120.0,983.97437,983.8042,-8.425781,-1.0976562,-4.578125,-0.8220825,0.24511719,0.46661377,0.21533203
1274055,983.9375,983.5293,3.40625,5.9765625,5.234375,0.4277954,-0.034057617,0.5860596,0.6873169,1274140.0,983.95996,983.8076,-8.542969,-1.2890625,-4.5390625,-0.8222046,0.2442627,0.46765137,0.21362305
1274080,983.9419,983.56006,3.1367188,6.046875,4.8867188,0.43634033,-0.026062012,0.5855713,0.6826782,1274160.0,983.9707,983.824,-8.542969,-1.2890625,-4.578125,-0.8223877,0.24316406,0.46887207,0.21142578
1274095,983.92285,983.5293,2.984375,6.125,4.4648438,0.44830322,-0.015075684,0.585022,0.6756592,1274180.0,983.9724,983.8181,-8.621094,-1.0195312,-4.84375,-0.822876,0.24176025,0.4701538,0.20819092
1274120,983.9448,983.5486,2.984375,5.9804688,4.0078125,0.46313477,-0.0010375977,0.5848999,0.66589355,1274200.0,983.9607,983.78076,-8.386719,-0.90625,-4.6523438,-0.8237915,0.24035645,0.4711914,0.20404053
1274135,983.8965,983.511,3.2539062,5.9375,3.5078125,0.4822998,0.019958496,0.5854492,0.6513672,1274220.0,983.96313,983.81323,-8.199219,-0.90625,-4.3476562,-0.8248291,0.23883057,0.4718628,0.19989014
1274155,983.85645,983.52344,2.4101562,6.6679688,1.8242188,0.50427246,0.048034668,0.5873413,0.6312256,1274245.0,983.97656,983.78125,-8.503906,-1.0585938,-4.3085938,-0.8257446,0.23693848,0.47265625,0.1963501
1274175,983.8533,983.58154,2.0273438,6.203125,1.0195312,0.5206909,0.071899414,0.59002686,0.61279297,1274260.0,983.9536,983.801,-8.425781,-1.1367188,-4.6132812,-0.8265381,0.23486328,0.4734497,0.19372559
1274200,983.89087,983.5642,1.7578125,4.4804688,0.3671875,0.5321655,0.095581055,0.59368896,0.5960083,1274280.0,983.9795,983.7905,-7.9609375,-1.328125,-4.7695312,-0.828125,0.23291016,0.47210693,0.19244385
1274215,983.9226,983.5105,1.71875,4.09375,0.94140625,0.5397339,0.125,0.59606934,0.58117676,1274300.0,983.94946,983.82764,-7.8164062,-1.6328125,-5.1523438,-0.83154297,0.23077393,0.46697998,0.19299316
1274235,983.8696,983.4949,0.2265625,7.3164062,1.9765625,0.54711914,0.16052246,0.5946045,0.5668335,1274325.0,983.94995,983.8154,-8.082031,-1.2109375,-5.1875,-0.8371582,0.22686768,0.45843506,0.19360352
1274255,983.85425,983.4839,-0.078125,8.964844,1.59375,0.5527344,0.18914795,0.5916748,0.555603,1274340.0,983.92505,983.8154,-8.3828125,-1.0976562,-4.7695312,-0.8411865,0.22314453,0.45306396,0.19329834
1274275,983.8423,983.4778,0.37890625,10.1875,1.4804688,0.5560303,0.21453857,0.58947754,0.5452881,1274360.0,983.95605,983.7742,-8.347656,-0.79296875,-4.2304688,-0.8446655,0.21881104,0.44873047,0.19311523
1274295,983.89136,983.437,1.0703125,10.453125,1.7460938,0.55718994,0.23742676,0.5886841,0.5354004,1274385.0,983.9292,983.77124,-8.421875,-0.4453125,-4.421875,-0.8461914,0.21520996,0.44683838,0.19494629
1274315,983.8572,983.4309,2.4492188,11.109375,1.9375,0.557251,0.2588501,0.5875244,0.5266113,1274400.0,983.92456,983.77124,-8.3046875,-0.40625,-4.7695312,-0.8458252,0.2144165,0.4468994,0.19720459
1274335,983.874,983.42725,2.7929688,11.988281,1.8984375,0.55444336,0.2738037,0.5860596,0.5236206,1274420.0,983.92554,983.77295,-8.269531,-0.63671875,-5.34375,-0.8449707,0.21484375,0.44732666,0.19946289
1274355,983.885,983.41016,2.8320312,12.988281,2.28125,0.54815674,0.2861328,0.58569336,0.52404785,1274445.0,983.95166,983.77563,-8.691406,-1.4023438,-5.4179688,-0.84436035,0.215271,0.44836426,0.19927979
1274385,983.90454,983.41016,2.7929688,12.792969,2.5507812,0.5405884,0.29504395,0.5887451,0.52349854,1274460.0,983.9221,983.7991,-8.6875,-1.4414062,-5.2265625,-0.84368896,0.21520996,0.4506836,0.19696045
1274395,983.874,983.40137,3.1757812,12.449219,2.859375,0.53100586,0.30499268,0.59710693,0.51812744,1274480.0,983.95776,983.8318,-8.425781,-1.328125,-4.921875,-0.84265137,0.21478271,0.45428467,0.19342041
1274415,983.88916,983.41626,3.3671875,12.40625,3.1640625,0.522522,0.31481934,0.6055298,0.51104736,1274500.0,983.9861,983.8369,-7.734375,-1.2890625,-4.5390625,-0.8416748,0.21429443,0.4574585,0.19073486
1274435,983.8845,983.4612,3.1367188,12.1015625,3.203125,0.51330566,0.32598877,0.61553955,0.5013428,1274520.0,983.9563,983.7998,-7.8476562,-1.1757812,-4.7304688,-0.8407593,0.21398926,0.45959473,0.19006348
1274455,983.87646,983.4824,2.7148438,11.109375,3.0507812,0.5039673,0.3348999,0.6270752,0.49047852,1274540.0,983.95435,983.7971,-8.160156,-1.1757812,-4.9960938,-0.8401489,0.21386719,0.46069336,0.19012451
1274475,983.8889,983.4153,2.984375,11.035156,3.2773438,0.49267578,0.34088135,0.64178467,0.47869873,1274560.0,983.9619,983.7888,-8.34375,-1.328125,-5.0742188,-0.8399048,0.2131958,0.46191406,0.18902588
1274500,983.9258,983.4453,3.40625,11.183594,3.6992188,0.47991943,0.34490967,0.65740967,0.4675293,1274585.0,983.948,983.791,-8.425781,-0.828125,-4.6914062,-0.83880615,0.21270752,0.46533203,0.18603516
1274515,983.9402,983.47925,3.6757812,10.917969,4.2382812,0.46636963,0.34924316,0.6743164,0.45361328,1274600.0,983.9866,983.772,-8.503906,-0.75390625,-4.2304688,-0.83721924,0.21282959,0.46899414,0.184021
1274535,983.9663,983.5044,4.1328125,9.613281,4.5820312,0.45147705,0.35638428,0.6923218,0.43579102,1274620.0,983.9758,983.75635,-8.3828125,-0.67578125,-4.1914062,-0.83514404,0.2130127,0.4730835,0.1828003
