timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
3153255,999.73706,1002.0261,4.2460938,8.9375,1.53125,0.53582764,0.2921753,0.6547241,0.44592285,3149995.0,999.90015,1003.105,-5.7773438,7.0273438,2.0703125,-0.33276367,0.5369873,0.7731323,0.056152344
3153270,999.7715,1002.0464,8.8046875,2.7734375,-1.2265625,0.6976929,-0.19482422,0.496521,0.47821045,3150010.0,999.9214,1003.12646,-8.0,3.6523438,0.00390625,-0.4524536,0.5732422,0.61602783,0.29522705
3153290,999.77783,1001.97144,8.5703125,3.4257812,-0.73046875,0.7001953,-0.19403076,0.4845581,0.48712158,3150025.0,999.9331,1003.14575,-8.230469,3.7304688,-0.1484375,-0.4508667,0.576355,0.6135864,0.29681396
3153310,999.76587,1001.9597,8.347656,4.1171875,-0.15625,0.70355225,-0.19122314,0.47247314,0.49517822,3150040.0,999.9192,1003.12646,-8.496094,3.8476562,-0.33984375,-0.44787598,0.5800781,0.61120605,0.2989502
3153330,999.7544,1001.8862,8.042969,4.765625,0.07421875,0.70758057,-0.18780518,0.4605713,0.5018921,3150060.0,999.9177,1003.0364,-8.613281,3.8476562,-0.45703125,-0.44348145,0.58325195,0.6097412,0.30230713
3153350,999.75586,1001.8823,7.3046875,6.6835938,0.11328125,0.71069336,-0.18530273,0.4498291,0.5081787,3150075.0,999.90405,1003.0115,-8.6484375,3.8476562,-0.53125,-0.43963623,0.58496094,0.6092529,0.30548096
3153370,999.7837,1001.88696,7.0429688,7.1445312,0.34375,0.71203613,-0.18518066,0.4407959,0.5142212,3150095.0,999.93823,1003.0073,-8.769531,3.8476562,-0.5703125,-0.43432617,0.5873413,0.6087036,0.3095703
3153390,999.75195,1001.896,6.8515625,7.2578125,0.3828125,0.7126465,-0.18811035,0.43304443,0.51885986,3150115.0,999.9509,1003.0713,-8.878906,3.7695312,-0.53125,-0.42755127,0.5908203,0.6079712,0.31378174
3153410,999.72314,1001.89136,6.8515625,7.0234375,0.19140625,0.71398926,-0.19384766,0.4263916,0.5204468,3150140.0,999.9309,1003.1228,-8.769531,4.1523438,-0.53125,-0.4197998,0.5951538,0.6074219,0.3171997
3153430,999.7156,1001.9099,7.3046875,6.6835938,-0.5,0.7158203,-0.20129395,0.42095947,0.51953125,3150155.0,999.9104,1003.0664,-8.765625,4.3828125,-0.5703125,-0.4116211,0.6003418,0.60687256,0.31921387
