timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
5270245,982.94507,982.7444,7.9453125,3.4296875,-4.4648438,0.23913574,-0.82373047,-0.057373047,0.51086426,5270380.0,982.59766,982.41016,-8.5546875,-2.1523438,4.0664062,-0.3706665,0.38024902,0.44940186,0.7183838
5270260,982.91895,982.75586,8.480469,3.2578125,3.5429688,-0.51397705,-0.21124268,-0.8307495,0.031921387,5270385.0,982.59766,982.43066,-8.519531,-2.6914062,4.640625,-0.38061523,0.37524414,0.4329834,0.7258301
5270280,982.94556,982.77783,8.4765625,3.1835938,3.6171875,-0.5126953,-0.21264648,-0.8312378,0.031066895,5270395.0,982.62866,982.43066,-8.480469,-0.1640625,-4.78125,0.6201782,0.59973145,-0.37670898,0.3373413
5270300,982.9231,982.7678,8.4375,3.1445312,3.734375,-0.51190186,-0.21429443,-0.83135986,0.029846191,5270410.0,982.6306,982.40967,-8.3984375,-0.1640625,-4.7421875,0.621521,0.59851074,-0.3753662,0.33850098
5270320,982.9595,982.76416,8.324219,3.3359375,3.6953125,-0.51135254,-0.21624756,-0.8312378,0.028869629,5270425.0,982.5891,982.38574,-8.519531,-0.1640625,-4.8203125,0.62268066,0.59747314,-0.37408447,0.3395996
5270340,982.96045,982.7876,8.402344,3.2578125,3.65625,-0.51116943,-0.21759033,-0.83099365,0.028076172,5270445.0,982.5769,982.4187,-8.480469,-0.19921875,-4.8203125,0.62384033,0.59643555,-0.37268066,0.34088135
5270360,982.9602,982.78613,8.402344,3.1835938,3.578125,-0.51123047,-0.21789551,-0.8309326,0.02746582,5270470.0,982.5928,982.43335,-8.402344,-0.1640625,-4.8203125,0.625,0.59552,-0.37121582,0.3418579
5270385,982.928,982.7827,8.785156,3.0664062,3.5039062,-0.51135254,-0.21789551,-0.83081055,0.02722168,5270485.0,982.5908,982.4448,-8.3984375,-0.1640625,-4.7421875,0.62615967,0.59472656,-0.36956787,0.34295654
5270400,982.94434,982.7766,8.785156,3.1054688,3.5039062,-0.51123047,-0.21820068,-0.83081055,0.02722168,5270505.0,982.58765,982.3989,-8.4765625,-0.1640625,-4.8203125,0.62713623,0.5940552,-0.36816406,0.3439331
5270420,982.927,982.8015,8.7421875,3.1054688,3.65625,-0.51068115,-0.21899414,-0.8309326,0.02758789,5270525.0,982.6238,982.39624,-8.441406,-0.1640625,-4.859375,0.6279907,0.5934448,-0.36694336,0.34472656
5270440,982.948,982.76904,8.746094,3.0664062,3.5039062,-0.50994873,-0.22033691,-0.8310547,0.028076172,5270545.0,982.5935,982.39307,-8.480469,-0.125,-4.78125,0.6288452,0.5928955,-0.36590576,0.34521484
5270460,982.94214,982.77954,8.703125,3.0273438,3.3125,-0.5090332,-0.22192383,-0.83117676,0.028625488,5270565.0,982.60205,982.41455,-8.515625,-0.0859375,-4.7421875,0.6295166,0.5923462,-0.36517334,0.3456421
5270480,982.8889,982.78955,8.59375,3.1835938,3.234375,-0.5078125,-0.2234497,-0.83148193,0.028869629,5270585.0,982.60425,982.4475,-8.4765625,-0.0859375,-4.8203125,0.63012695,0.5918579,-0.3647461,0.34588623
5270500,982.9226,982.80225,8.359375,3.3359375,3.5429688,-0.5065918,-0.22473145,-0.83184814,0.0289917,5270610.0,982.6062,982.416,-8.4765625,-0.1640625,-4.8203125,0.63061523,0.5914917,-0.36444092,0.34594727
5270520,982.92944,982.75757,8.171875,3.6054688,3.6171875,-0.5062256,-0.22564697,-0.83184814,0.029174805,5270625.0,982.5762,982.4346,-8.441406,-0.0859375,-4.78125,0.63079834,0.5913086,-0.36444092,0.34594727
5270540,982.92676,982.76294,8.019531,3.7578125,3.4257812,-0.5065918,-0.22595215,-0.83154297,0.028808594,5270645.0,982.59546,982.43823,-8.4765625,0.06640625,-4.7421875,0.6308594,0.59106445,-0.36462402,0.3460083
5270560,982.9541,982.76196,8.019531,3.6796875,3.3867188,-0.5071411,-0.22589111,-0.8312378,0.028320312,5270670.0,982.58057,982.416,-8.441406,0.02734375,-4.78125,0.6308594,0.5907593,-0.3651123,0.34594727
5270580,982.95215,982.75854,8.058594,3.6054688,3.5429688,-0.5074463,-0.22607422,-0.8310547,0.028198242,5270685.0,982.5906,982.41846,-8.4765625,0.06640625,-4.7421875,0.6308594,0.59033203,-0.3659668,0.34588623
5270600,982.9138,982.78345,8.171875,3.6054688,3.65625,-0.5078125,-0.22631836,-0.8307495,0.027832031,5270705.0,982.6074,982.38306,-8.441406,-0.0078125,-4.7421875,0.6307373,0.5897827,-0.36706543,0.3458252
5270620,982.9243,982.77246,8.441406,3.4101562,3.5039062,-0.508667,-0.22589111,-0.8303833,0.026245117,5270725.0,982.58594,982.40283,-8.4375,-0.0078125,-4.8203125,0.6305542,0.5892334,-0.36834717,0.34570312
5270640,982.93726,982.7534,8.3984375,3.4492188,3.6171875,-0.5097046,-0.22515869,-0.8300171,0.024475098,5270745.0,982.58496,982.4153,-8.4765625,-0.125,-4.8203125,0.6303711,0.5887451,-0.3696289,0.34552002
