timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1085520,1008.33496,1008.48,-0.16015625,10.1796875,0.8828125,0.38787842,-0.5137329,-0.5713501,0.50909424,1088465,1009.64966,1011.46265,-8.597656,1.5234375,5.484375,0.45587158,0.23815918,-0.6452637,0.5648804
1085530,1008.33496,1008.47144,-1.921875,9.496094,1.1523438,0.19848633,0.61798096,0.6449585,0.40344238,1088470,1009.624,1012.1233,-6.4101562,4.0507812,6.0234375,-0.17541504,0.36254883,0.7803345,0.47839355
1085545,1008.3257,1008.4912,-1.8867188,9.457031,1.1523438,0.20007324,0.6185913,0.6431885,0.40447998,1088485,1009.65405,1012.6155,-6.40625,4.015625,5.9453125,-0.17510986,0.362854,0.7792969,0.47998047
1085570,1008.3457,1008.47217,-2.0,9.2578125,1.34375,0.20092773,0.61938477,0.6415405,0.40545654,1088505,1009.66064,1012.86475,-6.4101562,4.0507812,5.90625,-0.17456055,0.3626709,0.77856445,0.48150635
1085585,1008.3262,1008.459,-2.2304688,9.296875,1.34375,0.20080566,0.619812,0.64019775,0.40704346,1088520,1009.6284,1011.59106,-6.4101562,4.1289062,6.1367188,-0.17303467,0.36193848,0.7783203,0.4829712
1085605,1008.33594,1008.5198,-2.3046875,9.191406,1.2304688,0.20050049,0.619812,0.638855,0.4091797,1088540,1009.62915,1010.64404,-6.2578125,4.1289062,6.2929688,-0.17071533,0.3607788,0.77856445,0.48425293
1085625,1008.3496,1008.5205,-2.3828125,9.2578125,1.1132812,0.20062256,0.619751,0.637146,0.4119873,1088560,1009.68555,1009.5044,-6.0664062,4.015625,6.4804688,-0.16802979,0.3597412,0.77893066,0.4854126
1085645,1008.3325,1008.4773,-2.4609375,9.71875,0.76953125,0.20147705,0.619812,0.6347656,0.4151001,1088580,1009.65063,1009.7937,-5.9882812,3.859375,6.7890625,-0.16552734,0.35888672,0.77893066,0.48687744
1085665,1008.34766,1008.49927,-2.34375,9.722656,0.69140625,0.20281982,0.62054443,0.6317749,0.41796875,1088600,1009.68823,1011.52905,-6.0664062,3.7851562,6.75,-0.16357422,0.3577881,0.7785034,0.4890747
1085685,1008.3362,1008.51294,-2.421875,9.683594,0.73046875,0.2041626,0.621521,0.628479,0.42071533,1088620,1009.68774,1012.43677,-6.1796875,3.7460938,6.6757812,-0.1616211,0.35632324,0.7776489,0.49206543
1085705,1008.324,1008.4636,-2.5351562,9.6015625,0.80859375,0.20501709,0.6221924,0.62524414,0.42419434,1088640,1009.6467,1012.9602,-6.1796875,3.7070312,6.7109375,-0.15899658,0.3546753,0.77667236,0.4956665
1085725,1008.3418,1008.37085,-2.6523438,9.4140625,0.76953125,0.2055664,0.62213135,0.62231445,0.4282837,1088660,1009.6714,1012.3076,-6.0664062,3.7460938,6.9375,-0.15582275,0.35290527,0.7756958,0.49951172
1085745,1008.3611,1008.5989,-2.7265625,9.191406,0.65234375,0.20611572,0.62176514,0.6194458,0.4326172,1088680,1009.64844,1010.6001,-5.9492188,3.6679688,6.9765625,-0.15264893,0.35144043,0.77459717,0.50323486
1085765,1008.32837,1008.68677,-2.8789062,9.496094,0.69140625,0.20690918,0.6217041,0.6168213,0.43615723,1088700,1009.66943,1009.9785,-5.9882812,3.6679688,6.9804688,-0.15032959,0.3501587,0.7735596,0.50634766
1085790,1008.3501,1008.60645,-2.84375,9.644531,0.5,0.20770264,0.62194824,0.61431885,0.4389038,1088720,1009.69556,1009.4136,-6.1054688,3.515625,7.1367188,-0.1484375,0.34881592,0.7727661,0.50909424
1085805,1008.32544,1008.5681,-2.8046875,9.5703125,0.42578125,0.20831299,0.6223755,0.61187744,0.44140625,1088740,1009.67456,1009.84937,-6.1796875,3.3242188,7.1367188,-0.14648438,0.34753418,0.77215576,0.51135254
1085825,1008.3147,1008.5764,-2.84375,9.457031,0.34765625,0.2086792,0.6227417,0.6094971,0.44396973,1088760,1009.6577,1010.70996,-6.1054688,3.3242188,7.171875,-0.14447021,0.34649658,0.7717285,0.5133667
1085845,1008.3345,1008.593,-3.0742188,9.453125,0.1953125,0.20898438,0.62316895,0.60717773,0.44647217,1088780,1009.7002,1010.53467,-6.1054688,3.3242188,7.2421875,-0.14239502,0.34527588,0.7714844,0.5150757
1085865,1008.3052,1008.5818,-3.265625,9.722656,0.30859375,0.2088623,0.6235962,0.60510254,0.44866943,1088805,1009.7256,1010.1792,-6.0273438,3.3242188,7.5585938,-0.1404419,0.34375,0.7714844,0.5166626
1085885,1008.29736,1008.6028,-3.265625,9.6015625,0.34765625,0.20837402,0.6240845,0.6033325,0.45062256,1088820,1009.6846,1010.6006,-5.9492188,3.3242188,7.625,-0.13861084,0.3421631,0.77160645,0.5180054
1085905,1008.32446,1008.60645,-3.3398438,9.496094,0.38671875,0.20788574,0.62457275,0.6018677,0.4520874,1088840,1009.7151,1010.82935,-5.8359375,3.3242188,7.6679688,-0.13702393,0.34100342,0.7718506,0.51885986
1085925,1008.3425,1008.64355,-3.4570312,9.457031,0.38671875,0.2074585,0.6248169,0.6008301,0.45336914,1088860,1009.70044,1011.1841,-5.71875,3.3242188,7.7460938,-0.13531494,0.34039307,0.77215576,0.5192261
1085945,1008.3213,1008.58936,-3.4179688,9.378906,0.38671875,0.20739746,0.62475586,0.5998535,0.45477295,1088885,1009.6848,1011.1196,-5.5664062,3.3242188,7.6640625,-0.13348389,0.34033203,0.77246094,0.51934814
1085965,1008.2986,1008.65283,-3.3789062,9.2578125,0.30859375,0.20758057,0.6244507,0.59887695,0.45635986,1088900,1009.6538,1011.1719,-5.5664062,3.3632812,7.5195312,-0.1315918,0.3408203,0.77264404,0.51916504
1085990,1008.35205,1008.6001,-3.3007812,9.378906,0.30859375,0.20806885,0.6239624,0.5979614,0.45806885,1088920,1009.70044,1010.9861,-5.5664062,3.4414062,7.3984375,-0.12982178,0.34161377,0.7727661,0.5189209
1086010,1008.3469,1008.57495,-3.1875,9.222656,0.38671875,0.20892334,0.62353516,0.5969238,0.45965576,1088940,1009.67896,1011.16284,-5.5273438,3.4414062,7.2851562,-0.12823486,0.3425293,0.77282715,0.51867676
1086025,1008.36865,1008.5801,-3.1875,9.21875,0.4609375,0.21008301,0.623291,0.5956421,0.4611206,1088960,1009.6758,1011.3884,-5.6054688,3.515625,7.0976562,-0.12683105,0.34332275,0.7728882,0.51831055
1086045,1008.3257,1008.57764,-3.1875,9.2578125,0.4609375,0.21136475,0.62286377,0.59417725,0.46289062,1088980,1009.6824,1010.6936,-5.6835938,3.59375,7.171875,-0.12512207,0.34375,0.77319336,0.5180664
1086065,1008.33057,1008.6311,-3.1484375,9.191406,0.38671875,0.2130127,0.6221924,0.5925293,0.46514893,1089000,1009.6738,1010.04614,-5.5664062,3.5546875,7.2421875,-0.122802734,0.34417725,0.7734375,0.51794434
1086085,1008.3501,1008.57056,-3.1875,9.300781,0.578125,0.21502686,0.6208496,0.59088135,0.46813965,1089020,1009.71094,1008.52734,-5.453125,3.7070312,7.3242188,-0.11981201,0.34521484,0.77337646,0.5180054
1086105,1008.3318,1008.5615,-3.0742188,9.378906,0.76953125,0.21807861,0.6166382,0.5904541,0.47283936,1089040,1009.6726,1003.9387,-5.375,4.0898438,7.4414062,-0.1161499,0.347229,0.77264404,0.5186157
1086130,1008.3154,1008.562,-3.2265625,9.109375,0.76953125,0.2220459,0.60894775,0.59124756,0.47991943,1089060,1009.6692,999.71313,-5.109375,4.28125,6.7890625,-0.11303711,0.35046387,0.77130127,0.51916504
1086150,1008.3096,1008.55225,-3.4570312,8.613281,0.69140625,0.22802734,0.59887695,0.590271,0.49084473,1089080,1009.68774,992.1267,-5.109375,4.359375,6.6757812,-0.10900879,0.35394287,0.7699585,0.5195923
1086165,1008.2905,1008.5864,-3.6835938,8.4921875,-0.265625,0.23474121,0.58862305,0.586853,0.5040283,1089100,1009.63574,989.1284,-4.8007812,4.28125,6.40625,-0.103881836,0.35736084,0.7689209,0.5198364
1086190,1008.2715,1008.54565,-3.3007812,8.417969,-1.2226562,0.24255371,0.58148193,0.5814209,0.5147705,1089120,1009.5686,986.0481,-4.0742188,3.7851562,5.671875,-0.0993042,0.36102295,0.7680664,0.5194702
1086205,1008.2593,1008.6289,-1.9609375,7.3085938,-2.140625,0.2524414,0.58410645,0.5751343,0.5140991,1089140,1009.5449,1006.61084,-3.765625,3.3632812,5.671875,-0.09472656,0.36627197,0.76708984,0.5180664
1086225,1008.26465,1008.6399,-1.65625,7.6523438,-4.3632812,0.2642212,0.59436035,0.57141113,0.50042725,1089160,1009.54395,1009.12646,-4.3046875,1.6757812,5.8320312,-0.080444336,0.37890625,0.7609253,0.5205078
1086245,1008.2771,1008.70825,-0.8125,7.765625,-5.5898438,0.27142334,0.6055908,0.5718994,0.48217773,1089180,1009.5598,1009.1072,-4.0351562,0.71875,4.375,-0.04876709,0.40545654,0.7428589,0.53045654
1086270,1008.2722,1008.7573,-0.92578125,6.7382812,-5.0546875,0.27191162,0.6182251,0.57470703,0.4621582,1089200,1009.5901,1009.12476,-3.2304688,1.5625,4.2226562,-0.010559082,0.43756104,0.71746826,0.54193115
1086285,1008.3015,1008.79663,-0.8515625,6.4648438,-5.1289062,0.2677002,0.63391113,0.5777588,0.4389038,1089225,1009.5681,1009.1367,-2.9257812,1.4492188,3.9570312,0.026489258,0.4694214,0.6900635,0.5501709
1086305,1008.3447,1008.7241,-1.2734375,5.234375,-3.75,0.26220703,0.6505127,0.5800171,0.41430664,1089240,1009.5698,1009.1504,-2.8867188,1.2578125,3.4179688,0.06439209,0.50341797,0.6598511,0.55407715
1086325,1008.3325,1008.7727,-1.0039062,4.5507812,-3.0234375,0.25830078,0.666687,0.5807495,0.38928223,1089260,1009.5073,1009.1655,-2.8867188,1.21875,3.0703125,0.09661865,0.53253174,0.63427734,0.55200195
1086345,1008.34595,1008.79297,-0.62109375,3.6367188,-2.640625,0.2565918,0.6838379,0.57818604,0.36364746,1089280,1009.479,1009.1736,-2.3125,2.5195312,3.03125,0.1282959,0.5574341,0.61499023,0.54278564
1086370,1008.35913,1008.7554,-2.5351562,4.4335938,-1.453125,0.25341797,0.7032471,0.57110596,0.33917236,1089300,1009.4927,1009.16284,-1.8125,3.5546875,3.2617188,0.15740967,0.5731201,0.6067505,0.52783203
1086385,1008.37744,1008.73926,-3.0742188,5.3945312,-0.6875,0.24407959,0.72143555,0.5618286,0.322937,1089320,1009.4658,1009.12524,-0.93359375,4.3984375,3.2617188,0.18688965,0.58270264,0.6069946,0.50701904
1086405,1008.42993,1017.12524,-4.5273438,9.378906,0.9609375,0.22821045,0.7374878,0.55114746,0.31671143,1089345,1009.4585,1024.1958,0.29296875,6.734375,3.4921875,0.21691895,0.5901489,0.61206055,0.47961426
1086425,1008.46484,1017.2012,-6.4453125,11.597656,2.03125,0.20947266,0.7472534,0.5442505,0.31860352,1089360,1009.41846,1018.3862,0.828125,11.0234375,3.3007812,0.25006104,0.60162354,0.6147461,0.444458
1086445,1008.5088,1017.0386,-5.2929688,10.144531,4.3320312,0.19256592,0.75701904,0.5335083,0.32434082,1089385,1009.3916,1018.22437,-0.08984375,6.9257812,1.8828125,0.2798462,0.6248779,0.60321045,0.40911865
1086465,1008.45337,1016.8164,-5.21875,10.375,2.53125,0.18548584,0.7698364,0.51446533,0.32910156,1089400,1016.91064,1018.218,0.37109375,10.066406,-1.140625,0.31414795,0.6611328,0.57318115,0.3684082
1086485,1012.6428,1017.55615,-4.6445312,11.980469,0.69140625,0.18389893,0.78656006,0.49053955,0.32696533,1089425,1019.6511,1016.8115,0.02734375,14.894531,-7.921875,0.34301758,0.70098877,0.5303955,0.33117676
1086505,1015.9431,1017.9824,-5.484375,12.519531,-2.9101562,0.18725586,0.80529785,0.46429443,0.31756592,1089440,1016.2981,1015.99805,-4.7617188,15.6953125,-7.84375,0.3734131,0.7409668,0.46905518,0.30255127
1086530,1015.82544,1018.2822,-1.921875,13.167969,-4.2109375,0.18737793,0.83026123,0.4343872,0.29473877,1089465,1015.99805,1015.28955,-2.578125,15.46875,-11.792969,0.4048462,0.7732544,0.3973999,0.2833252
1086545,1016.65625,1018.5408,-4.296875,13.515625,-5.2851562,0.18865967,0.8588867,0.39715576,0.26263428,1089480,1015.30005,1015.5239,-4.4960938,16.3125,-11.792969,0.4364624,0.7952881,0.32122803,0.27166748
1086565,1016.9426,1018.8396,-4.2226562,13.8984375,-6.0898438,0.1940918,0.8812256,0.3614502,0.23486328,1089505,1014.78174,1015.6865,-3.1523438,13.902344,-11.8671875,0.4611206,0.8026123,0.25933838,0.27557373
1086585,1017.8115,1019.28516,-4.0664062,12.78125,-6.3164062,0.2029419,0.89642334,0.33135986,0.21313477,1089520,1015.9768,1015.6958,-2.3867188,11.484375,-10.4140625,0.47680664,0.79766846,0.21832275,0.2979126
1086605,1018.32104,1020.354,-2.1132812,8.417969,-7.3125,0.21820068,0.9088135,0.29986572,0.19122314,1089540,1017.59644,1016.1763,-3.2304688,9.9140625,-8.34375,0.4821167,0.78900146,0.19744873,0.3256836
1086625,1018.98364,1020.6509,-0.66015625,6.234375,-8.4609375,0.23260498,0.9192505,0.2678833,0.17071533,1089560,1018.2573,1016.1416,-4.7617188,8.917969,-8.113281,0.48162842,0.78125,0.18817139,0.3496704
1086650,1019.00757,1020.84766,-0.54296875,6.6953125,-8.886719,0.24182129,0.9282837,0.23944092,0.14996338,1089585,1018.6094,1016.8867,-4.8398438,6.8476562,-6.5039062,0.47686768,0.7785034,0.1852417,0.36364746
1086670,1020.25903,1020.9973,-0.58203125,6.2734375,-8.308594,0.24645996,0.93426514,0.22070312,0.1328125,1089600,1018.8445,1016.79224,-4.8007812,7.578125,-6.4648438,0.4663086,0.7819214,0.18511963,0.36993408
1086685,1020.6936,1021.208,-0.3125,5.890625,-8.2734375,0.2503662,0.93792725,0.2086792,0.11853027,1089620,1019.1304,1016.75806,-4.953125,7.5039062,-7.4609375,0.44989014,0.7885132,0.19042969,0.3735962
1086705,1021.57764,1021.4487,-0.69921875,5.125,-8.2734375,0.2543335,0.94000244,0.2006836,0.10681152,1089640,1020.3618,1017.1682,-4.6875,6.8476562,-7.265625,0.42980957,0.79571533,0.20196533,0.37591553
1086725,1022.2217,1022.1992,-0.734375,4.703125,-8.078125,0.25946045,0.94140625,0.19262695,0.09661865,1089660,1020.8191,1017.2417,-4.0351562,5.5078125,-4.9335938,0.40844727,0.8046875,0.21813965,0.371521
1086745,1023.05054,1022.8872,-0.96484375,4.015625,-8.464844,0.26672363,0.9421997,0.1829834,0.08758545,1089685,1021.3213,1017.3528,-3.921875,4.9726562,-5.125,0.39141846,0.8153076,0.23498535,0.3562622
1086765,1023.5427,1023.24634,-0.7734375,3.4765625,-8.730469,0.27545166,0.9421997,0.17236328,0.0814209,1089700,1021.3989,1018.28076,-3.5351562,4.5507812,-5.6953125,0.3751831,0.8295288,0.2524414,0.32781982
1086785,1024.4775,1024.0725,-0.69921875,2.828125,-9.003906,0.2861328,0.9417114,0.15905762,0.07739258,1089725,1021.56006,1018.83594,-3.1171875,4.0898438,-7.2695312,0.36291504,0.84381104,0.26715088,0.29144287
1086815,1025.0984,1024.4543,-0.4296875,2.1757812,-9.953125,0.29693604,0.94085693,0.14385986,0.07678223,1089745,1021.44556,1020.3662,-2.7695312,3.4414062,-7.9648438,0.35559082,0.8557739,0.28131104,0.24908447
1086825,1025.3728,1025.2034,-0.54296875,1.90625,-10.378906,0.3057251,0.9400635,0.12786865,0.0803833,1089760,1021.60474,1020.78613,-2.2734375,4.0507812,-8.5703125,0.352417,0.86553955,0.29071045,0.20507812
1086850,1025.554,1025.635,-0.58203125,1.9453125,-10.800781,0.3116455,0.9395752,0.11199951,0.08642578,1089780,1021.73535,1021.603,-1.8515625,3.859375,-8.691406,0.35028076,0.87298584,0.29644775,0.1651001
1086865,1026.2468,1026.1604,-0.890625,1.8671875,-11.375,0.31500244,0.93865967,0.1003418,0.098083496,1089800,1021.89526,1022.1504,-0.39453125,3.1328125,-7.7304688,0.34851074,0.8791504,0.2998047,0.12530518
1086885,1026.3323,1026.6492,-0.890625,2.5976562,-11.417969,0.31134033,0.93878174,0.091918945,0.115112305,1089820,1021.8142,1023.0,-0.359375,2.9414062,-8.691406,0.34661865,0.8843384,0.29797363,0.09490967
1086910,1026.9834,1027.3464,-1.65625,1.5625,-11.222656,0.30810547,0.93914795,0.08288574,0.12750244,1089840,1021.9961,1023.6846,-1.0859375,4.0507812,-10.2578125,0.34417725,0.8897705,0.291687,0.06933594
1086925,1027.3975,1027.4695,-0.92578125,2.0234375,-10.574219,0.3034668,0.9394531,0.0758667,0.14007568,1089860,1022.32837,1024.1672,1.5585938,6.1992188,-10.5625,0.34088135,0.8901367,0.29718018,0.055603027
1086945,1027.8054,1027.7842,-1.5390625,2.3671875,-10.230469,0.30023193,0.9400635,0.068359375,0.14660645,1089880,1022.9365,1024.675,0.71484375,6.6953125,-11.183594,0.33740234,0.88482666,0.31695557,0.052734375
1086965,1028.0132,1028.0166,-1.7695312,2.75,-10.4140625,0.3001709,0.94073486,0.057922363,0.14697266,1089900,1023.7124,1025.3884,1.75,6.2734375,-9.109375,0.335083,0.8777466,0.3378296,0.056518555
1086985,1028.5088,1028.2249,-1.8085938,2.4453125,-10.296875,0.30236816,0.9413452,0.045410156,0.1428833,1089920,1024.3245,1025.6626,1.40625,6.5820312,-7.8867188,0.3336792,0.8699341,0.35766602,0.062805176
1087005,1028.7842,1028.2778,-1.8867188,2.5195312,-10.152344,0.30529785,0.94207764,0.03100586,0.1352539,1089940,1024.4648,1026.2229,1.4804688,7.1953125,-7.4609375,0.3336792,0.86053467,0.37872314,0.06842041
1087030,1029.2004,1028.3792,-1.8867188,2.2539062,-9.609375,0.3086548,0.9425049,0.016052246,0.1272583,1089970,1024.8525,1026.6387,1.5976562,8.191406,-6.5429688,0.33447266,0.8484497,0.40368652,0.07281494
1087050,1029.2737,1028.5215,-1.8867188,2.0234375,-9.5703125,0.31201172,0.9425049,0.0013427734,0.119506836,1089980,1024.8225,1027.0244,1.1367188,7.6523438,-6.0820312,0.33465576,0.83551025,0.42895508,0.07672119
1087065,1029.4587,1028.7671,-1.7695312,1.8320312,-9.808594,0.3147583,0.9421997,-0.010925293,0.11431885,1090000,1024.6072,1027.2021,1.1367188,6.6992188,-6.0078125,0.3363037,0.8279419,0.4416504,0.07977295
1087085,1029.6384,1028.9221,-1.6914062,1.4101562,-9.9921875,0.31671143,0.9417114,-0.019714355,0.111816406,1090020,1024.5574,1027.4548,1.2148438,7.3867188,-6.390625,0.33850098,0.8231201,0.4482422,0.08343506
1087105,1029.7112,1029.2625,-1.3476562,1.1015625,-10.230469,0.31799316,0.9411621,-0.025146484,0.111694336,1090040,1024.5767,1027.602,1.1367188,7.765625,-7.3085938,0.33831787,0.8196411,0.4537964,0.0881958
1087125,1029.7812,1029.4475,-1.3085938,0.796875,-10.53125,0.31884766,0.9406738,-0.026062012,0.11340332,1090060,1024.7366,1027.8904,0.75390625,7.5429688,-7.2695312,0.33691406,0.81658936,0.45941162,0.0927124
1087145,1029.7874,1029.584,-1.234375,0.48828125,-10.722656,0.31951904,0.9401245,-0.02508545,0.1159668,1090080,1024.9641,1027.9807,0.484375,7.5,-7.1171875,0.33587646,0.8121948,0.4668579,0.097717285
1087165,1029.8975,1029.5457,-1.2734375,0.48828125,-10.796875,0.3203125,0.9395752,-0.025268555,0.11804199,1090100,1024.967,1028.0027,0.5625,7.6132812,-6.9648438,0.33496094,0.8062744,0.47644043,0.10345459
1087185,1029.9414,1029.5549,-1.234375,0.48828125,-10.761719,0.32086182,0.93933105,-0.026855469,0.11816406,1090120,1025.1191,1027.574,0.828125,7.9257812,-6.7734375,0.33374023,0.7989502,0.48779297,0.111206055
1087205,1030.1189,1029.4543,-1.4648438,0.52734375,-10.191406,0.32025146,0.9397583,-0.025634766,0.116760254,1090140,1025.0669,1027.5603,0.90625,7.8476562,-6.1210938,0.3328247,0.7932739,0.49578857,0.118896484
1087225,1030.1787,1029.1592,-0.8515625,0.52734375,-10.375,0.31884766,0.9404297,-0.02368164,0.11541748,1090160,1025.4631,1027.3962,1.0234375,7.1992188,-5.8164062,0.33312988,0.7892456,0.4998169,0.12756348
1087245,1030.2529,1029.1587,-0.50390625,0.71875,-10.300781,0.317688,0.94122314,-0.022033691,0.11254883,1090180,1025.6904,1027.449,0.9453125,8.191406,-5.7773438,0.33514404,0.78723145,0.49945068,0.1359253
1087265,1030.2786,1028.8589,-0.69921875,0.796875,-10.191406,0.3170166,0.9421997,-0.020385742,0.10632324,1090200,1025.7708,1027.5237,0.75390625,8.4921875,-5.4335938,0.3363037,0.78497314,0.50024414,0.14294434
1087285,1030.2959,1028.7563,-0.69921875,0.94921875,-9.875,0.31726074,0.9430542,-0.020019531,0.097961426,1090220,1025.7295,1027.5508,0.6015625,8.2265625,-5.3164062,0.3355713,0.78234863,0.50335693,0.14819336
1087310,1030.2268,1028.1829,-0.8125,1.1796875,-9.613281,0.31817627,0.9436035,-0.02130127,0.0892334,1090240,1025.9214,1027.801,0.5234375,7.8867188,-5.125,0.333313,0.77978516,0.5075073,0.15228271
1087325,1029.7639,1027.7822,-0.50390625,0.87109375,-9.4921875,0.32025146,0.9436035,-0.024658203,0.080322266,1090260,1025.9573,1027.7793,-0.08984375,8.308594,-5.0859375,0.33007812,0.7769165,0.5131836,0.1550293
1087345,1029.3796,1027.5876,-0.390625,0.98828125,-9.425781,0.32214355,0.9434204,-0.027954102,0.07366943,1090280,1025.8474,1026.928,-0.1640625,8.152344,-4.9726562,0.32702637,0.7739258,0.5192261,0.15631104
1087365,1028.9175,1026.7949,-0.27734375,0.94921875,-9.34375,0.32354736,0.9432373,-0.030883789,0.06793213,1090300,1025.7537,1027.7695,-0.2421875,8.496094,-4.9726562,0.32305908,0.77038574,0.5264282,0.15820312
1087385,1028.8347,1026.9648,-0.0859375,0.796875,-9.308594,0.3239746,0.9433594,-0.03277588,0.06329346,1090320,1025.8423,1027.7092,-0.1640625,8.613281,-4.9726562,0.3184204,0.7672119,0.53302,0.1609497
1087405,1028.9712,1027.26,0.14453125,0.6796875,-9.2265625,0.3236084,0.9437256,-0.033447266,0.059448242,1090340,1025.8376,1027.8813,-0.3203125,8.0703125,-4.5507812,0.31341553,0.7651367,0.53808594,0.16375732
1087425,1029.0547,1027.7109,0.296875,0.60546875,-9.1484375,0.32336426,0.9439697,-0.033569336,0.057006836,1090360,1025.7747,1027.04,-0.203125,8.347656,-4.359375,0.3098755,0.763916,0.54119873,0.16583252
