timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
85075,1001.3025,1001.67334,-1.796875,9.5546875,-1.5195312,0.24591064,-0.7219238,-0.64312744,0.06878662,85155.0,1005.4717,1004.1233,9.0625,-3.6289062,-1.4257812,-0.58477783,-0.4703369,-0.32019043,0.5782471
85085,1001.3457,1001.67456,-1.7578125,9.515625,-1.671875,0.24609375,-0.72198486,-0.64294434,0.06945801,85170.0,1005.48193,1004.1101,9.1328125,-3.6289062,-1.3476562,-0.58514404,-0.4696045,-0.31988525,0.5786133
85100,1001.3323,1001.6821,-1.7578125,9.59375,-1.6328125,0.2468872,-0.72198486,-0.642395,0.07110596,85180.0,1005.4448,1004.13965,9.171875,-3.8203125,-1.4257812,-0.5853882,-0.4689331,-0.3196411,0.5790405
85120,1001.27466,1001.6587,-1.7578125,9.519531,-1.7109375,0.24780273,-0.7219238,-0.6419678,0.07281494,85190.0,1005.468,1004.13965,8.988281,-3.703125,-1.3867188,-0.5856323,-0.4683838,-0.31976318,0.5791626
85140,1001.3032,1001.64624,-1.8359375,9.628906,-1.6328125,0.24884033,-0.7219238,-0.6412964,0.07495117,85215.0,1005.438,1004.1355,8.7109375,-3.859375,-1.2734375,-0.5860596,-0.46820068,-0.3199463,0.5787964
85160,1001.2832,1001.6792,-1.9492188,9.5546875,-1.7109375,0.24987793,-0.72210693,-0.6405029,0.07684326,85235.0,1005.4553,1004.12036,8.828125,-3.78125,-1.078125,-0.58654785,-0.46801758,-0.3199463,0.5784302
85180,1001.3154,1001.6594,-2.0273438,9.59375,-1.7460938,0.25091553,-0.722229,-0.6397705,0.07788086,85255.0,1005.4468,1004.0737,9.214844,-3.4375,-1.5,-0.58709717,-0.4678955,-0.31970215,0.578125
85200,1001.2654,1001.6621,-1.9101562,9.707031,-1.7851562,0.25177002,-0.7220459,-0.6395874,0.07879639,85275.0,1005.4514,1004.1101,9.25,-3.4375,-1.4648438,-0.5873413,-0.46765137,-0.3196411,0.57806396
85220,1001.29517,1001.6819,-1.6796875,9.597656,-1.6328125,0.25305176,-0.72161865,-0.6392822,0.08050537,85295.0,1005.45825,1004.1206,9.0234375,-3.4765625,-1.4648438,-0.5876465,-0.4673462,-0.31958008,0.5780029
85240,1001.33276,1001.68506,-1.7578125,9.558594,-1.6328125,0.25457764,-0.7218628,-0.63812256,0.08270264,85315.0,1005.4487,1004.13306,8.988281,-3.8203125,-1.3085938,-0.58807373,-0.46679688,-0.31958008,0.578125
85260,1001.3247,1001.6748,-1.8359375,9.558594,-1.7109375,0.25598145,-0.7224121,-0.6367798,0.084472656,85335.0,1005.4575,1004.1138,8.90625,-3.8945312,-1.078125,-0.5883789,-0.4663086,-0.31970215,0.57806396
85280,1001.29785,1001.655,-1.8359375,9.59375,-1.9023438,0.2571411,-0.72247314,-0.6361084,0.08544922,85355.0,1005.4968,1004.1052,8.949219,-3.78125,-1.15625,-0.588501,-0.4663086,-0.31958008,0.5780029
85300,1001.30176,1001.6526,-1.71875,9.4375,-1.7851562,0.25811768,-0.7219238,-0.6361084,0.08685303,85375.0,1005.47705,1004.1089,8.90625,-3.7421875,-1.234375,-0.588501,-0.46655273,-0.31921387,0.5780029
85320,1001.31396,1001.6575,-1.7578125,9.207031,-1.7460938,0.2592163,-0.72161865,-0.6357422,0.08905029,85395.0,1005.4436,1004.12744,8.984375,-3.5898438,-1.4648438,-0.588562,-0.4671631,-0.31878662,0.57769775
85340,1001.2588,1001.67285,-1.9101562,9.175781,-1.6328125,0.26019287,-0.72180176,-0.63482666,0.09106445,85415.0,1005.4646,1004.10376,9.136719,-3.5507812,-1.6914062,-0.5887451,-0.46740723,-0.31860352,0.5774536
85360,1001.3367,1001.69165,-1.9492188,9.203125,-1.6328125,0.26086426,-0.722229,-0.63391113,0.09240723,85435.0,1005.4675,1004.1687,9.136719,-3.6289062,-1.65625,-0.58898926,-0.4668579,-0.31854248,0.57769775
85380,1001.31323,1001.6853,-1.6796875,9.28125,-1.8632812,0.26123047,-0.7224121,-0.6333618,0.093566895,85455.0,1005.49023,1004.14795,8.949219,-3.78125,-1.1171875,-0.5892334,-0.46600342,-0.31878662,0.5780029
85400,1001.3269,1001.6802,-1.7578125,9.246094,-1.8632812,0.26159668,-0.7225342,-0.6328125,0.09527588,85475.0,1005.468,1004.12744,8.675781,-3.78125,-1.078125,-0.58935547,-0.46551514,-0.31884766,0.57818604
85420,1001.2903,1001.68677,-1.6445312,9.558594,-1.9023438,0.26184082,-0.7227173,-0.6321411,0.09753418,85495.0,1005.4612,1004.1067,8.792969,-3.9726562,-1.1171875,-0.58947754,-0.46557617,-0.31860352,0.578125
85440,1001.32446,1001.6787,-1.6445312,9.558594,-1.7460938,0.26226807,-0.72283936,-0.6314697,0.099975586,85515.0,1005.45605,1004.1406,8.910156,-3.9335938,-1.1953125,-0.58947754,-0.4661255,-0.3182373,0.57788086
85460,1001.2981,1001.66113,-1.6796875,9.515625,-1.7460938,0.26263428,-0.7234497,-0.630249,0.101989746,85535.0,1005.4851,1004.12744,9.136719,-3.5898438,-1.6171875,-0.58947754,-0.46661377,-0.31793213,0.5776367
85490,1001.3347,1001.67017,-1.6445312,9.6640625,-2.0546875,0.26257324,-0.7246704,-0.6286621,0.103393555,85555.0,1005.4148,1004.13086,9.0234375,-3.3984375,-1.5,-0.5895996,-0.46655273,-0.31793213,0.5775757
85510,1001.34033,1001.6521,-1.6445312,9.667969,-1.9375,0.26239014,-0.72528076,-0.6279907,0.1038208,85575.0,1005.4407,1004.1333,9.027344,-3.4765625,-1.4257812,-0.58984375,-0.46618652,-0.3178711,0.57769775
85530,1001.27344,1001.6763,-1.5664062,9.78125,-1.9023438,0.26239014,-0.7253418,-0.6277466,0.10479736,85595.0,1005.4363,1004.1321,8.949219,-3.5507812,-1.4257812,-0.5900879,-0.46569824,-0.317688,0.57788086
85550,1001.2986,1001.6553,-1.5664062,9.6640625,-1.9023438,0.26257324,-0.7253418,-0.62750244,0.105651855,85615.0,1005.4346,1004.1201,8.90625,-3.8945312,-1.234375,-0.59033203,-0.46514893,-0.31744385,0.5782471
85570,1001.31274,1001.6509,-1.5664062,9.78125,-1.9023438,0.26275635,-0.72528076,-0.6274414,0.10595703,85635.0,1005.438,1004.1367,8.90625,-3.9335938,-1.15625,-0.5904541,-0.46484375,-0.3171997,0.57855225
85595,1001.3247,1001.66895,-1.4882812,9.519531,-1.7851562,0.26281738,-0.7247925,-0.6279907,0.10614014,85655.0,1005.42773,1004.0984,8.9453125,-4.0117188,-1.2734375,-0.5906372,-0.46496582,-0.31713867,0.5783081
85610,1001.3203,1001.6653,-1.4882812,9.363281,-1.7460938,0.2631836,-0.72424316,-0.6282959,0.10675049,85675.0,1005.4094,1004.10645,9.0625,-3.4765625,-1.5,-0.5906372,-0.46551514,-0.3171997,0.5778198
85630,1001.2842,1001.6565,-1.4882812,9.4765625,-1.7851562,0.26361084,-0.723938,-0.6282959,0.10797119,85695.0,1005.4348,1004.0979,9.0234375,-3.28125,-1.65625,-0.59088135,-0.4656372,-0.3171997,0.5773926
85650,1001.2732,1001.65015,-1.5273438,9.324219,-1.8242188,0.26409912,-0.7241211,-0.62768555,0.10949707,85715.0,1005.427,1004.10913,8.988281,-3.1679688,-1.578125,-0.5914917,-0.46496582,-0.31707764,0.5773926
85670,1001.29004,1001.6387,-1.7578125,9.363281,-1.9023438,0.26446533,-0.72473145,-0.62664795,0.11029053,85735.0,1005.41504,1004.12427,8.984375,-3.5898438,-1.3867188,-0.59210205,-0.4638672,-0.31671143,0.57788086
85690,1001.3008,1001.66064,-1.6054688,9.402344,-2.0546875,0.26446533,-0.72509766,-0.62615967,0.11053467,85755.0,1005.4424,1004.1543,8.949219,-4.0859375,-1.2734375,-0.59259033,-0.46240234,-0.31604004,0.57891846
85710,1001.323,1001.66724,-1.5664062,9.3984375,-2.09375,0.26434326,-0.7253418,-0.6258545,0.110839844,85775.0,1005.43384,1004.1365,8.8671875,-4.2773438,-1.1171875,-0.59259033,-0.461792,-0.31555176,0.5796509
85735,1001.27026,1001.66064,-1.5273438,9.59375,-2.1328125,0.2640381,-0.725708,-0.6255493,0.11114502,85795.0,1005.4297,1004.1101,8.8671875,-4.3164062,-0.88671875,-0.5922241,-0.4621582,-0.31530762,0.579895
85750,1001.3152,1001.6587,-1.5273438,9.597656,-2.0546875,0.26367188,-0.7258911,-0.62542725,0.11138916,85815.0,1005.4116,1004.1438,8.7890625,-4.125,-0.92578125,-0.5917969,-0.46350098,-0.3151245,0.5793457
85770,1001.28906,1001.6572,-1.5273438,9.519531,-1.9765625,0.26342773,-0.72595215,-0.62542725,0.11151123,85835.0,1005.39355,1004.1223,9.0234375,-3.5507812,-1.65625,-0.59143066,-0.46520996,-0.31481934,0.57855225
85790,1001.2969,1001.6389,-1.4882812,9.558594,-1.9765625,0.26306152,-0.7260742,-0.6254883,0.111328125,85855.0,1005.38696,1004.10425,9.09375,-3.3984375,-1.7695312,-0.59124756,-0.46569824,-0.3145752,0.5784302
85810,1001.261,1001.65674,-1.5273438,9.707031,-1.9765625,0.2625122,-0.7261963,-0.6256714,0.111083984,85875.0,1005.4177,1004.1189,8.984375,-3.3984375,-1.5390625,-0.59124756,-0.46575928,-0.31433105,0.57855225
85830,1001.29443,1001.67017,-1.5273438,9.746094,-1.9375,0.26208496,-0.7261963,-0.62579346,0.11102295,85895.0,1005.4075,1004.1489,8.871094,-3.9726562,-1.234375,-0.5914917,-0.46588135,-0.3140869,0.5783081
85850,1001.30615,1001.65845,-1.5273438,9.707031,-1.7851562,0.26159668,-0.7261963,-0.62597656,0.11077881,85915.0,1005.40454,1004.1387,8.832031,-4.0117188,-1.15625,-0.59143066,-0.46606445,-0.3135376,0.5784912
85875,1001.2993,1001.6726,-1.4882812,9.628906,-1.7460938,0.2614746,-0.7260742,-0.62628174,0.1105957,85935.0,1005.3928,1004.10425,9.0234375,-3.9335938,-1.2734375,-0.5911255,-0.46697998,-0.31292725,0.5784302
85890,1001.2903,1001.6487,-1.5273438,9.480469,-1.671875,0.26135254,-0.72595215,-0.6265259,0.11035156,85955.0,1005.39966,1004.1455,9.027344,-3.78125,-1.3867188,-0.59088135,-0.46813965,-0.31243896,0.5780029
85910,1001.2732,1001.6416,-1.5273438,9.441406,-1.671875,0.2612915,-0.7261963,-0.6263428,0.11004639,85975.0,1005.4038,1004.1411,8.9453125,-3.4765625,-1.578125,-0.5909424,-0.46868896,-0.31237793,0.57751465
85930,1001.3071,1001.6416,-1.4882812,9.519531,-1.7851562,0.26116943,-0.7265625,-0.6259155,0.11004639,85995.0,1005.39795,1004.1262,8.90625,-3.7421875,-1.4257812,-0.5911865,-0.46881104,-0.3121338,0.57733154
85950,1001.29175,1001.6665,-1.5273438,9.59375,-1.9765625,0.26104736,-0.7268677,-0.62561035,0.11010742,86015.0,1005.39307,1004.1428,9.0234375,-3.8203125,-1.3867188,-0.5911865,-0.46899414,-0.31176758,0.57733154
85970,1001.2761,1001.6543,-1.5273438,9.5546875,-2.0546875,0.2609253,-0.7269287,-0.62561035,0.11004639,86035.0,1005.3821,1004.1101,8.988281,-3.78125,-1.3476562,-0.59088135,-0.46923828,-0.31140137,0.57769775
85990,1001.3286,1001.6699,-1.5273438,9.4765625,-2.09375,0.26068115,-0.7270508,-0.6255493,0.10992432,86055.0,1005.41113,1004.15796,9.027344,-3.9335938,-1.4648438,-0.5904541,-0.46966553,-0.31085205,0.57806396
86015,1001.27734,1001.68164,-1.5273438,9.59375,-1.9765625,0.26037598,-0.7271118,-0.6256714,0.109802246,86075.0,1005.3867,1004.136,8.949219,-4.0859375,-1.5,-0.59033203,-0.4699707,-0.31097412,0.57788086
86030,1001.32007,1001.6836,-1.25,9.25,-2.3046875,0.26000977,-0.7270508,-0.6258545,0.10986328,86095.0,1005.43604,1004.1572,8.828125,-4.0117188,-1.3476562,-0.5899048,-0.47045898,-0.3112793,0.5777588
86050,1001.2803,1001.666,-1.25,9.253906,-2.34375,0.25976562,-0.7270508,-0.62597656,0.109802246,86115.0,1005.4282,1004.1323,9.027344,-3.8203125,-1.5390625,-0.5895386,-0.47125244,-0.31140137,0.5773926
86070,1001.2683,1001.64355,-1.2890625,9.3984375,-2.5351562,0.25952148,-0.72650146,-0.62664795,0.11016846,86135.0,1005.3799,1004.15137,9.1328125,-4.0859375,-1.6171875,-0.5897827,-0.4716797,-0.3125,0.5762329
86090,1001.27344,1001.6692,-1.7109375,9.4765625,-3.3007812,0.25897217,-0.7255249,-0.6278076,0.111083984,86155.0,1005.3784,1004.14746,9.136719,-4.125,-2.0742188,-0.5909424,-0.4720459,-0.31732178,0.5720215
86110,1001.24634,1001.6531,-1.7109375,10.058594,-3.53125,0.25750732,-0.7238159,-0.6303711,0.111450195,86175.0,1005.39136,1004.18066,9.175781,-4.4335938,-1.8085938,-0.5932007,-0.4727173,-0.32720947,0.5635376
86130,1001.26953,1001.656,-1.6328125,10.589844,-3.9921875,0.25476074,-0.71936035,-0.6362915,0.1126709,86195.0,1005.4148,1004.2151,9.636719,-6.2695312,0.22265625,-0.59484863,-0.4784546,-0.34295654,0.5473633
86150,1001.2942,1001.6929,-1.4023438,9.859375,-2.84375,0.2508545,-0.71276855,-0.6451416,0.11315918,86215.0,1005.3948,1004.2095,8.949219,-6.15625,0.375,-0.5930176,-0.49194336,-0.3604126,0.52575684
86170,1001.30054,1001.6804,-1.1367188,9.175781,-2.0390625,0.24633789,-0.70532227,-0.6553955,0.11077881,86235.0,1005.37866,1004.19824,8.2890625,-4.3554688,-0.66015625,-0.5888672,-0.50787354,-0.37322998,0.50598145
86190,1001.2988,1001.676,-0.90625,8.7890625,-1.1953125,0.24194336,-0.6986084,-0.66503906,0.105407715,86255.0,1005.2883,1004.1565,8.222656,-0.5625,-2.6523438,-0.58343506,-0.52337646,-0.38305664,0.48883057
86210,1001.3081,1001.67944,-1.1367188,8.832031,-0.96484375,0.23687744,-0.69189453,-0.67492676,0.09814453,86275.0,1005.2883,1004.16064,8.566406,-0.37109375,-2.1523438,-0.5786133,-0.536438,-0.39257812,0.47253418
86230,1001.3252,1001.67505,-2.0546875,8.488281,-1.0039062,0.22888184,-0.6836548,-0.6873169,0.08795166,86295.0,1005.25244,1004.20654,8.984375,-0.41015625,-1.8828125,-0.57366943,-0.55285645,-0.40533447,0.4482422
86250,1001.30786,1001.667,-2.09375,8.828125,-1.0429688,0.22033691,-0.67718506,-0.69763184,0.07836914,86315.0,1005.20264,1004.1841,9.09375,-0.10546875,-2.5742188,-0.56921387,-0.5666504,-0.41394043,0.42840576
86270,1001.34326,1001.62964,-2.1679688,9.015625,-0.4296875,0.21008301,-0.67071533,-0.7081909,0.06732178,86335.0,1005.155,1004.1787,9.027344,2.5,-4.4492188,-0.56463623,-0.5765381,-0.41589355,0.4192505
86290,1001.3562,1001.6543,-1.5195312,8.9765625,0.68359375,0.1998291,-0.66296387,-0.7192993,0.05645752,86355.0,1005.18726,1004.1499,8.949219,3.3828125,-4.4140625,-0.5628052,-0.57922363,-0.41259766,0.42132568
86310,1001.3633,1001.62427,-1.5546875,9.136719,1.3320312,0.18890381,-0.6552124,-0.73010254,0.043945312,86375.0,1005.18506,1004.20605,8.828125,3.4570312,-3.9140625,-0.5634155,-0.57891846,-0.40960693,0.42382812
86330,1001.37085,1001.6653,-2.1679688,8.75,1.7148438,0.17529297,-0.64923096,-0.73968506,0.025512695,86395.0,1005.2522,1004.2112,8.910156,2.234375,-3.3789062,-0.5657959,-0.5774536,-0.40820312,0.42407227
86350,1001.3701,1001.6604,-1.6328125,8.9765625,1.0273438,0.15893555,-0.6437378,-0.74853516,0.0015258789,86415.0,1005.2317,1004.19507,9.171875,-0.5234375,-2.9960938,-0.56915283,-0.5760498,-0.40734863,0.4222412
86380,1001.4104,1001.63354,-0.94140625,9.941406,1.7539062,-0.1482544,0.635437,0.7576294,0.015258789,86435.0,1005.22314,1004.2478,9.519531,-0.71484375,-3.2617188,-0.57110596,-0.57458496,-0.40515137,0.4237671
86390,1001.40234,1001.646,-1.2109375,9.859375,2.40625,-0.14294434,0.62841797,0.7642822,0.023071289,86455.0,1005.22656,1004.1753,9.597656,-0.6796875,-3.1875,-0.5726929,-0.5723877,-0.4006958,0.428833
