timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
856090,1006.104,1009.5498,3.6757812,7.3515625,-5.28125,-0.3557129,-0.8015137,-0.4805298,0.012573242,860545.0,1004.2051,1004.23584,-3.2109375,9.503906,1.1054688,0.57373047,0.3293457,0.1609497,0.7324219
856110,1006.1338,1009.6096,3.7421875,9.082031,-0.96484375,0.35565186,-0.6477661,-0.42614746,0.5218506,860560.0,1004.2136,1004.229,-4.9492188,7.65625,3.59375,-0.08544922,0.5552368,0.753479,0.34155273
856125,1006.1321,1009.59546,3.5859375,9.234375,-0.7734375,0.35443115,-0.6456299,-0.4296875,0.5223999,860575.0,1004.1675,1004.2634,-4.9882812,7.7382812,3.6328125,-0.086120605,0.555603,0.7532959,0.3413086
856150,1006.1448,1009.5769,3.625,9.421875,-0.8125,0.35247803,-0.6433716,-0.4343872,0.52264404,860595.0,1004.21924,1004.22046,-4.9882812,7.6992188,3.4414062,-0.0869751,0.5554199,0.753479,0.34088135
856165,1006.11743,1009.5813,3.625,9.5,-0.7734375,0.35040283,-0.6409302,-0.43927002,0.5229492,860615.0,1004.21045,1004.2095,-5.1015625,7.6171875,3.4414062,-0.08746338,0.5552368,0.7536621,0.34069824
856185,1006.13354,1009.5305,3.5859375,9.503906,-0.62109375,0.34838867,-0.6385498,-0.44335938,0.5238037,860635.0,1004.2246,1004.2073,-5.1015625,7.6171875,3.4414062,-0.08728027,0.5553589,0.75354004,0.34075928
856205,1006.1433,1009.5447,3.5859375,9.421875,-0.54296875,0.3468628,-0.6364136,-0.44622803,0.52490234,860655.0,1004.2217,1004.2549,-5.1015625,7.6601562,3.59375,-0.08673096,0.555603,0.75335693,0.3408203
856225,1006.1465,1009.5532,3.5507812,9.503906,-0.27734375,0.3458252,-0.6347046,-0.4482422,0.52593994,860675.0,1004.2532,1004.2031,-5.0625,7.734375,3.4804688,-0.086364746,0.555542,0.75354004,0.3408203
856245,1006.13525,1009.57153,3.4726562,9.578125,-0.27734375,0.34454346,-0.63342285,-0.44976807,0.52697754,860695.0,1004.2219,1004.219,-4.9882812,7.8125,3.5195312,-0.08581543,0.55529785,0.75372314,0.3408203
856265,1006.1333,1009.5249,3.5117188,9.6171875,-0.3515625,0.34313965,-0.6323242,-0.45129395,0.52801514,860715.0,1004.18506,1004.2373,-4.9492188,7.8945312,3.4414062,-0.08538818,0.5551758,0.7538452,0.34088135
856290,1006.13135,1009.54126,3.5859375,9.464844,-0.27734375,0.34204102,-0.6310425,-0.45288086,0.5288696,860735.0,1004.22095,1004.2468,-4.9492188,7.8945312,3.4804688,-0.08496094,0.5551758,0.75390625,0.34094238
856305,1006.1516,1009.4905,3.5507812,9.578125,-0.19921875,0.3413086,-0.6296997,-0.45446777,0.529541,860755.0,1004.2212,1004.2158,-4.9492188,7.8554688,3.5195312,-0.08465576,0.5550537,0.7540283,0.3408203
856325,1006.14014,1009.5542,3.5117188,9.6953125,-0.19921875,0.34020996,-0.62805176,-0.45690918,0.53015137,860775.0,1004.2456,1004.2446,-4.9101562,7.8164062,3.5546875,-0.084472656,0.5549927,0.7542114,0.3406372
856345,1006.16455,1009.61084,3.5507812,9.542969,-0.12109375,0.33874512,-0.62628174,-0.46002197,0.5305176,860795.0,1004.2324,1004.23364,-4.9101562,7.8515625,3.6328125,-0.084472656,0.55493164,0.7543335,0.34051514
856365,1006.1365,1009.6658,3.5117188,9.5,-0.0859375,0.33728027,-0.6246338,-0.463562,0.5303345,860815.0,1004.2256,1004.2241,-4.9101562,7.8125,3.6328125,-0.08453369,0.5548706,0.75439453,0.34039307
856385,1006.13525,1009.8308,3.4726562,9.6171875,-0.0859375,0.33599854,-0.62323,-0.46661377,0.53009033,860835.0,1004.2219,1004.2385,-4.9882812,7.7773438,3.59375,-0.08441162,0.5548096,0.75445557,0.34033203
856405,1006.13184,1009.83936,3.4726562,9.6171875,-0.12109375,0.33514404,-0.62231445,-0.46850586,0.5300293,860855.0,1004.219,1004.24976,-4.9882812,7.8125,3.6328125,-0.084228516,0.5548706,0.75439453,0.3404541
856430,1006.13965,1009.9133,3.3945312,9.765625,-0.0078125,0.33502197,-0.6218262,-0.46923828,0.5300293,860875.0,1004.2014,1004.2178,-4.9492188,7.8125,3.671875,-0.08380127,0.5550537,0.7542114,0.3406372
856445,1006.146,1009.9839,3.359375,9.808594,-0.046875,0.33520508,-0.6218262,-0.4691162,0.5300293,860895.0,1004.25073,1004.22876,-4.9492188,7.9296875,3.59375,-0.0836792,0.5549927,0.7541504,0.34094238
856465,1006.1643,1010.03564,3.3203125,9.886719,0.0703125,0.33520508,-0.6220703,-0.46868896,0.53009033,860915.0,1004.21045,1004.26636,-4.9492188,7.8554688,3.7109375,-0.0836792,0.5548706,0.7541504,0.34118652
856485,1006.1609,1010.0874,3.3203125,9.886719,0.10546875,0.33477783,-0.62231445,-0.46844482,0.5302124,860935.0,1004.25073,1004.2224,-4.9101562,7.8164062,3.671875,-0.083862305,0.5549927,0.7539673,0.34136963
856505,1006.16797,1010.15845,3.359375,9.6953125,-0.0078125,0.33422852,-0.6225586,-0.46850586,0.53027344,860955.0,1004.22046,1004.2268,-4.9492188,7.8164062,3.7109375,-0.084106445,0.55529785,0.75354004,0.3416748
856525,1006.1421,1010.1741,3.4726562,9.578125,-0.0078125,0.33374023,-0.6230469,-0.46832275,0.53015137,860975.0,1004.2263,1004.2112,-5.0234375,7.8945312,3.671875,-0.084350586,0.5557251,0.75305176,0.34204102
856545,1006.13574,1010.2339,3.5117188,9.421875,-0.046875,0.3334961,-0.6235962,-0.46783447,0.53009033,860995.0,1004.22705,1004.23096,-4.9960938,7.7851562,3.6757812,-0.08428955,0.55615234,0.75268555,0.34222412
856570,1006.16113,1010.20825,3.5507812,9.34375,0.0703125,0.33374023,-0.62420654,-0.46710205,0.5298462,861015.0,1004.24414,1004.2368,-4.9570312,7.78125,3.6367188,-0.084350586,0.5567627,0.7520752,0.34240723
856585,1006.1521,1010.1975,3.4726562,9.425781,0.03125,0.3340454,-0.62475586,-0.4666748,0.52941895,861035.0,1004.2595,1004.24365,-4.9960938,7.78125,3.6367188,-0.08453369,0.5574341,0.7515259,0.34259033
856605,1006.1604,1010.1848,3.4335938,9.503906,-0.0078125,0.3338623,-0.6251831,-0.46697998,0.52874756,861055.0,1004.2373,1004.24585,-5.0703125,7.8984375,3.5625,-0.08483887,0.55773926,0.75109863,0.34283447
856625,1006.1372,1010.1821,3.4726562,9.5,-0.0859375,0.33337402,-0.62561035,-0.46759033,0.52801514,861075.0,1004.25635,1004.2407,-5.0703125,7.859375,3.5625,-0.08514404,0.55792236,0.7508545,0.3430786
856645,1006.17017,1010.17065,3.5507812,9.582031,-0.3125,0.3328247,-0.6260376,-0.46813965,0.5274048,861095.0,1004.2278,1004.25366,-5.03125,7.7851562,3.5625,-0.08538818,0.5582886,0.75042725,0.34332275
856665,1006.17505,1010.17285,3.5117188,9.578125,-0.3125,0.33239746,-0.6264038,-0.4683838,0.5270386,861115.0,1004.2278,1004.2427,-5.0703125,7.7070312,3.484375,-0.08557129,0.5588989,0.7498169,0.34368896
856685,1006.14136,1010.20605,3.5117188,9.4609375,-0.27734375,0.3319702,-0.6268921,-0.46832275,0.5267334,861135.0,1004.21436,1004.25366,-5.0703125,7.6757812,3.5234375,-0.08569336,0.55981445,0.7489624,0.34405518
856705,1006.1704,1010.1682,3.5117188,9.542969,-0.19921875,0.33148193,-0.62731934,-0.46862793,0.5263672,861155.0,1004.1865,1004.21313,-5.109375,7.6757812,3.5625,-0.085998535,0.5604248,0.7484131,0.34405518
856725,1006.15674,1010.156,3.5117188,9.34375,-0.16015625,0.33087158,-0.62731934,-0.46954346,0.5258179,861175.0,1004.2007,1004.23413,-5.2226562,7.59375,3.40625,-0.08642578,0.56073,0.74823,0.3439331
856745,1006.1565,1010.1614,3.5117188,9.347656,-0.19921875,0.3307495,-0.62731934,-0.4703369,0.5252075,861195.0,1004.19385,1004.2505,-5.0703125,7.4804688,3.4453125,-0.08660889,0.56121826,0.7479248,0.34368896
