timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
688935.0,1027.7009,1027.4473,-9.167969,-2.5703125,1.8007812,-0.6314697,-0.09283447,0.76452637,0.09051514,683935,1028.0037,1027.1443,8.855469,-3.8320312,-1.4023438,-0.6402588,-0.29522705,-0.4187622,0.57232666
688945.0,1027.7009,1027.4473,-9.128906,-3.0703125,2.9140625,-0.6063843,-0.11279297,0.78186035,0.09069824,683945,1028.021,1027.1365,4.3710938,-7.2773438,-4.234375,-0.73498535,0.4331665,-0.45770264,0.25030518
688955.0,1027.6621,1027.4558,-9.207031,-2.265625,1.7617188,-0.50335693,0.41589355,0.45080566,0.6086426,683960,1027.9814,1027.1387,4.2929688,-7.1679688,-4.3515625,-0.73651123,0.43200684,-0.45690918,0.24926758
688970.0,1027.6655,1027.4741,-9.203125,-2.2265625,1.6875,-0.50439453,0.41711426,0.45043945,0.60723877,683985,1027.9895,1027.1328,4.5234375,-7.2460938,-4.65625,-0.73791504,0.43115234,-0.4560547,0.24816895
688985.0,1027.6765,1027.4695,-9.2421875,-2.1875,1.5703125,-0.50616455,0.41870117,0.4498291,0.60510254,684000,1028.0078,1027.1313,4.5625,-7.046875,-4.5820312,-0.7390137,0.43048096,-0.45562744,0.24694824
689005.0,1027.6528,1027.4409,-9.359375,-2.1132812,1.4570312,-0.5074463,0.42010498,0.44909668,0.60357666,684020,1028.0015,1027.1067,4.4453125,-6.8632812,-4.5429688,-0.7398071,0.42993164,-0.45532227,0.24591064
689025.0,1027.6775,1027.4451,-9.363281,-2.0351562,1.265625,-0.50860596,0.42156982,0.44836426,0.6021118,684040,1027.9924,1027.1292,4.5234375,-6.890625,-4.6171875,-0.7404785,0.42962646,-0.45495605,0.24523926
689045.0,1027.648,1027.4526,-9.3984375,-1.9570312,1.1132812,-0.5097046,0.4225464,0.44769287,0.6010132,684060,1027.9878,1027.1313,4.5976562,-6.9296875,-4.8476562,-0.74102783,0.4296875,-0.45440674,0.24450684
689065.0,1027.6675,1027.4885,-9.359375,-1.9570312,0.99609375,-0.5105591,0.42321777,0.44677734,0.60046387,684080,1027.9846,1027.0994,4.5976562,-6.9726562,-4.8867188,-0.741272,0.4300537,-0.45404053,0.24365234
689085.0,1027.6462,1027.4583,-9.359375,-1.9570312,0.95703125,-0.51104736,0.42388916,0.4456787,0.60040283,684100,1027.9788,1027.1392,4.5976562,-6.8632812,-4.9648438,-0.74157715,0.43115234,-0.45336914,0.2421875
689100.0,1027.6582,1027.4541,-9.359375,-1.9570312,0.95703125,-0.51135254,0.4248047,0.44415283,0.600708,684120,1027.989,1027.0908,4.6757812,-6.8242188,-4.9648438,-0.7418213,0.4328003,-0.45239258,0.24023438
689125.0,1027.6633,1027.4517,-9.28125,-1.9960938,0.8828125,-0.51116943,0.4255371,0.4423828,0.6015625,684140,1028.0125,1027.1023,4.484375,-6.6679688,-4.8085938,-0.7418823,0.43511963,-0.4512329,0.23803711
689140.0,1027.6804,1027.4438,-9.207031,-1.9570312,0.921875,-0.510376,0.42633057,0.44055176,0.60302734,684160,1027.9915,1027.0923,4.484375,-6.6640625,-4.6953125,-0.74176025,0.4376831,-0.4500122,0.23608398
689160.0,1027.6694,1027.4636,-9.125,-2.0351562,0.95703125,-0.50909424,0.42712402,0.4387207,0.60491943,684180,1027.99,1027.0903,4.5234375,-6.7460938,-4.65625,-0.7411499,0.44073486,-0.44885254,0.2345581
689180.0,1027.6711,1027.4685,-9.167969,-2.0742188,0.95703125,-0.5072632,0.42797852,0.4368286,0.60717773,684205,1027.9983,1027.1106,4.3710938,-6.9296875,-4.5820312,-0.74017334,0.4440918,-0.44787598,0.2331543
689205.0,1027.6882,1027.4475,-9.324219,-2.3046875,1.0742188,-0.5045166,0.4290161,0.43481445,0.61016846,684220,1027.9829,1027.136,4.3320312,-7.203125,-4.65625,-0.7390747,0.44812012,-0.44659424,0.23120117
