timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
233140,969.07666,969.38525,4.90625,5.671875,5.0429688,0.25665283,-0.37817383,-0.2734375,0.8463745,232555.0,971.62866,971.1384,-5.4101562,3.9492188,6.7578125,0.3668213,0.01977539,-0.70202637,0.6101074
233150,969.07666,969.38525,4.6367188,6.3984375,5.578125,0.25756836,-0.3786621,-0.28295898,0.84277344,232560.0,971.62866,971.13696,-4.953125,3.3007812,7.640625,0.34509277,0.039794922,-0.703125,0.62042236
233155,969.052,969.4092,5.5976562,2.5742188,7.6132812,0.05822754,-0.3430786,-0.24621582,0.90460205,232570.0,971.64136,971.13696,-4.953125,3.6054688,7.4882812,0.3109131,0.103393555,-0.57891846,0.74664307
233170,969.0791,969.43286,5.5585938,2.3046875,7.5742188,0.05718994,-0.34204102,-0.24694824,0.9048462,232585.0,971.6682,971.1533,-4.9921875,3.453125,7.6054688,0.31030273,0.10296631,-0.57855225,0.7472534
233190,969.08105,969.4165,5.5585938,2.0742188,7.7304688,0.05645752,-0.34118652,-0.24743652,0.90509033,232605.0,971.65894,971.1465,-4.8007812,3.5273438,7.5664062,0.30926514,0.10284424,-0.5780029,0.7481079
233205,969.09546,969.41455,5.5585938,2.1523438,7.796875,0.0569458,-0.34124756,-0.24749756,0.9050293,232630.0,971.6277,971.1387,-4.8007812,3.3359375,7.7109375,0.30828857,0.10229492,-0.5775757,0.74890137
233225,969.0791,969.4336,5.5976562,2.0742188,7.7265625,0.057800293,-0.34161377,-0.24798584,0.9046631,232645.0,971.6372,971.1572,-4.7617188,3.4921875,7.7539062,0.30792236,0.10119629,-0.5774536,0.7493286
233250,969.0708,969.40967,5.6328125,2.3046875,7.609375,0.058288574,-0.34179688,-0.24908447,0.9042969,232665.0,971.66235,971.13965,-4.8007812,3.4921875,7.828125,0.30786133,0.10021973,-0.5774536,0.7494507
233270,969.04004,969.4053,5.5585938,2.5742188,7.4921875,0.0579834,-0.34143066,-0.2506714,0.9039917,232685.0,971.65625,971.14185,-4.8359375,3.5664062,7.8320312,0.3078003,0.09967041,-0.5772095,0.74975586
233290,969.05493,969.4126,5.5585938,2.5351562,7.4960938,0.057373047,-0.34100342,-0.2514038,0.9039917,232705.0,971.65625,971.1709,-4.875,3.71875,7.7109375,0.30737305,0.09979248,-0.5767822,0.75024414
233305,969.06445,969.3967,5.5976562,2.34375,7.609375,0.05718994,-0.34100342,-0.25146484,0.9039917,232725.0,971.6492,971.1333,-4.9921875,3.6054688,7.7929688,0.30651855,0.10003662,-0.5765381,0.75079346
233330,969.0698,969.43555,5.5976562,2.34375,7.6914062,0.05834961,-0.34179688,-0.2508545,0.9038086,232745.0,971.6377,971.1216,-5.0664062,3.5273438,7.8710938,0.30603027,0.09954834,-0.5765991,0.75097656
233345,969.0725,969.3938,5.5585938,2.6484375,7.453125,0.05999756,-0.34265137,-0.25012207,0.90356445,232765.0,971.6599,971.1372,-5.0273438,3.5273438,7.90625,0.30603027,0.09863281,-0.57702637,0.75079346
233365,969.04395,969.39966,5.5976562,2.8007812,7.3398438,0.06060791,-0.34259033,-0.2498169,0.9036255,232785.0,971.6389,971.11475,-4.9140625,3.6445312,8.0625,0.3060913,0.098083496,-0.5772095,0.7506714
233385,969.021,969.3955,5.5976562,2.609375,7.4179688,0.060424805,-0.3421631,-0.24969482,0.9038696,232805.0,971.6594,971.0886,-4.8359375,3.6835938,8.027344,0.3057251,0.09844971,-0.5770874,0.7508545
233410,969.0508,969.40796,5.4804688,2.3828125,7.6914062,0.06011963,-0.34210205,-0.24951172,0.90393066,232825.0,971.6511,971.1001,-4.9140625,3.4921875,8.0625,0.30511475,0.099121094,-0.5772095,0.7509155
233430,969.052,969.42456,5.5195312,2.3046875,7.6914062,0.05999756,-0.34295654,-0.24969482,0.90356445,232845.0,971.657,971.1411,-4.9140625,3.3359375,8.0625,0.30511475,0.099487305,-0.5776367,0.7505493
233445,969.0437,969.4346,5.6328125,2.3046875,7.609375,0.060546875,-0.34429932,-0.25012207,0.90289307,232865.0,971.6604,971.1616,-4.953125,3.3359375,7.984375,0.3057251,0.099609375,-0.57806396,0.74993896
233465,969.0112,969.354,5.5585938,2.5742188,7.265625,0.06097412,-0.3453369,-0.25061035,0.90234375,232885.0,971.62134,970.9656,-4.9921875,3.3007812,7.8671875,0.30633545,0.099853516,-0.5784302,0.7494507
233490,969.0217,969.3745,5.6328125,2.8789062,6.7265625,0.05999756,-0.34472656,-0.25079346,0.9025879,232905.0,971.58887,970.9033,-4.9921875,3.2617188,7.8320312,0.30651855,0.1005249,-0.5784912,0.74920654
233505,969.0071,969.4248,5.7890625,2.4960938,7.0351562,0.059509277,-0.34381104,-0.24993896,0.90319824,232925.0,971.6316,970.9531,-5.0273438,3.1445312,7.75,0.30621338,0.10168457,-0.57836914,0.7492676
233525,969.0166,969.40894,5.75,2.34375,7.3789062,0.060180664,-0.34320068,-0.24847412,0.9038086,232945.0,971.62354,970.95874,-4.9921875,2.9921875,7.75,0.30603027,0.10247803,-0.57836914,0.74920654
233550,969.0244,969.40356,5.671875,2.4179688,7.5742188,0.06072998,-0.34344482,-0.24786377,0.9038696,232965.0,971.6487,970.93945,-4.953125,2.953125,7.7890625,0.30645752,0.10284424,-0.5784912,0.74890137
