timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1267834,1020.9512,1023.70557,6.8789062,-4.9921875,-4.6835938,0.5745239,-0.64868164,0.48345947,0.12420654,1272327.0,1018.3655,1022.4668,-7.15625,0.97265625,6.6679688,-0.364563,0.17108154,0.8763428,0.26434326
1267847,1020.9624,1023.9895,5.0195312,1.9375,8.1015625,0.03942871,-0.27435303,-0.1986084,0.9400635,1272340.0,1018.3408,1022.4453,-5.3984375,8.207031,0.4765625,-0.3706665,0.5703125,0.7330322,0.004272461
1267862,1020.9624,1024.1465,5.0546875,1.859375,8.300781,0.03918457,-0.27386475,-0.19848633,0.9402466,1272360.0,1018.3364,1022.4646,-5.3984375,8.28125,0.359375,-0.37097168,0.57037354,0.7328491,0.0043945312
1267882,1020.9519,1024.4658,5.0195312,1.8984375,8.296875,0.03894043,-0.27386475,-0.19812012,0.9403076,1272380.0,1018.3386,1022.4951,-5.4335938,8.1640625,0.359375,-0.3710327,0.5706177,0.732605,0.004699707
1267902,1020.94995,1025.8816,4.9414062,1.6679688,8.066406,0.039001465,-0.2744751,-0.19708252,0.94036865,1272400.0,1018.3347,1022.44727,-5.2070312,8.285156,0.359375,-0.37109375,0.5708618,0.73236084,0.0045166016
1267922,1020.9553,1026.8987,5.09375,1.7460938,7.9570312,0.038879395,-0.27478027,-0.19604492,0.9404907,1272420.0,1018.34937,1022.44946,-5.3984375,8.167969,0.4375,-0.3710327,0.57037354,0.7327881,0.004211426
1267942,1020.9502,1029.5242,5.3242188,1.859375,8.0625,0.03857422,-0.27496338,-0.19543457,0.9406128,1272439.0,1018.38086,1022.4612,-5.3203125,7.9375,0.66796875,-0.37072754,0.5706787,0.73272705,0.004699707
1267961,1020.947,1030.3916,5.2109375,1.9375,8.0625,0.037963867,-0.27526855,-0.19555664,0.9404907,1272459.0,1018.32446,1022.49243,-5.1679688,8.1640625,0.70703125,-0.37078857,0.57110596,0.73236084,0.0045776367
1267981,1020.9497,1030.1799,5.2109375,1.859375,8.140625,0.03692627,-0.27496338,-0.19592285,0.94055176,1272479.0,1018.385,1022.4868,-5.359375,8.246094,0.62890625,-0.37097168,0.5706787,0.73254395,0.0038452148
1268001,1020.96045,1030.3254,5.2460938,1.7851562,8.3359375,0.035888672,-0.274292,-0.1963501,0.94073486,1272499.0,1018.3989,1022.4407,-5.3984375,8.125,0.55078125,-0.37097168,0.5704346,0.7327881,0.0040283203
1268021,1020.9751,1030.5051,5.09375,1.6679688,8.3359375,0.034851074,-0.2738037,-0.19677734,0.9407959,1272519.0,1018.3784,1022.45776,-5.4726562,8.125,0.58984375,-0.3706665,0.57092285,0.73254395,0.0048828125
1268041,1020.99097,1030.898,5.0546875,1.6289062,8.222656,0.033325195,-0.27319336,-0.19744873,0.94085693,1272539.0,1018.38403,1022.4888,-5.359375,8.363281,0.70703125,-0.37036133,0.5717163,0.73205566,0.0056152344
1268061,1020.9829,1032.043,5.0195312,1.7851562,8.527344,0.031677246,-0.27252197,-0.19836426,0.94091797,1272559.0,1018.3584,1022.4968,-5.3203125,8.433594,0.58984375,-0.3704834,0.5718384,0.73187256,0.0057373047
1268081,1020.9397,1032.7319,4.7890625,1.7851562,8.5625,0.029785156,-0.27215576,-0.19921875,0.94091797,1272579.0,1018.4458,1022.4487,-5.359375,8.285156,0.62890625,-0.37072754,0.57147217,0.73205566,0.0057373047
1268101,1021.00195,1032.6082,4.8632812,1.171875,8.761719,0.02746582,-0.27178955,-0.19995117,0.940979,1272598.0,1018.396,1022.46313,-5.359375,8.207031,0.62890625,-0.37091064,0.5709839,0.73236084,0.0059814453
1268120,1021.0117,1032.9407,4.7109375,1.3632812,8.71875,0.025878906,-0.27148438,-0.20025635,0.94104004,1272618.0,1018.4358,1022.4492,-5.4335938,8.1640625,0.7421875,-0.3710327,0.57055664,0.732605,0.0063476562
1268140,1020.98145,1034.397,4.75,1.859375,8.40625,0.024047852,-0.27111816,-0.20013428,0.94122314,1272638.0,1018.4531,1022.42773,-5.359375,8.167969,0.8203125,-0.3710327,0.5708008,0.7324829,0.007080078
1268160,1020.9695,1035.1431,4.9023438,1.6679688,8.488281,0.021850586,-0.27056885,-0.2000122,0.9414673,1272658.0,1018.4265,1022.4861,-5.28125,8.246094,0.8203125,-0.3713379,0.57110596,0.73205566,0.0076904297
1268180,1020.9873,1035.1304,4.9023438,1.4375,8.21875,0.019714355,-0.27008057,-0.20007324,0.94158936,1272678.0,1018.40576,1022.45337,-5.359375,8.246094,0.70703125,-0.37176514,0.57092285,0.7319946,0.007873535
1268200,1020.9944,1034.6455,4.7109375,1.2460938,8.21875,0.018188477,-0.26953125,-0.20007324,0.94177246,1272698.0,1018.4243,1022.4597,-5.4335938,8.046875,0.70703125,-0.37213135,0.57037354,0.73217773,0.007873535
1268220,1020.9927,1034.6807,4.7109375,1.171875,8.066406,0.016357422,-0.26885986,-0.2000122,0.9420166,1272718.0,1018.428,1022.3677,-5.5117188,8.0859375,0.58984375,-0.37243652,0.5701904,0.73217773,0.008239746
1268240,1021.02783,1036.5591,4.9023438,1.4765625,7.640625,0.013000488,-0.2678833,-0.20074463,0.9421997,1272738.0,1018.44604,1022.3535,-5.5507812,8.125,0.515625,-0.3727417,0.5703125,0.7319336,0.0087890625
1268260,1021.01,1037.5835,4.828125,1.0195312,8.300781,0.0078125,-0.26635742,-0.20281982,0.94226074,1272757.0,1018.4607,1022.3176,-5.4335938,8.125,0.3984375,-0.3731079,0.56970215,0.73217773,0.009216309
1268279,1021.02637,1038.0486,4.828125,1.2851562,8.371094,0.0037231445,-0.26605225,-0.20446777,0.9420166,1272777.0,1018.4641,1022.4011,-5.4726562,7.8203125,0.58984375,-0.37322998,0.5689697,0.73272705,0.009460449
1268299,1021.03906,1036.6431,4.8632812,1.3242188,7.9882812,-0.0015869141,-0.2658081,-0.2062378,0.9417114,1272797.0,1018.4846,1022.43774,-5.4335938,7.7070312,0.7421875,-0.37298584,0.5689697,0.7328491,0.010131836
1268319,1021.0415,1033.8867,4.5585938,0.90234375,8.71875,-0.0063476562,-0.2658081,-0.20690918,0.9415283,1272817.0,1018.4922,1022.4514,-5.3203125,7.8242188,0.7421875,-0.37261963,0.56970215,0.7324219,0.011291504
1268339,1021.0115,1031.7195,4.8632812,0.86328125,8.5625,-0.009765625,-0.26617432,-0.20654297,0.9414673,1272837.0,1018.4756,1022.4756,-5.3203125,7.9375,0.66796875,-0.37249756,0.57037354,0.7319946,0.01184082
1268359,1021.0447,1030.219,5.0546875,0.63671875,8.644531,-0.011962891,-0.26605225,-0.20648193,0.9415283,1272857.0,1018.4475,1022.45605,-5.4726562,7.8632812,0.70703125,-0.37213135,0.57092285,0.7317505,0.01184082
1268379,1021.05444,1028.9302,4.9804688,0.2890625,8.761719,-0.012939453,-0.26556396,-0.206604,0.94158936,1272877.0,1018.42505,1022.46094,-5.4335938,8.019531,0.66796875,-0.37176514,0.57147217,0.7314453,0.01184082
1268399,1021.042,1028.2681,4.75,0.671875,8.7890625,-0.012573242,-0.26464844,-0.20703125,0.94177246,1272897.0,1018.4514,1022.47,-5.5117188,8.128906,0.7421875,-0.3713379,0.5720215,0.7312622,0.012084961
1268419,1021.0325,1026.2625,4.75,0.98046875,8.761719,-0.011291504,-0.26379395,-0.20758057,0.94189453,1272917.0,1018.4231,1022.4844,-5.4726562,8.128906,0.7421875,-0.3708496,0.5727539,0.73095703,0.012573242
