timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1761770,1019.7234,1012.594,-0.68359375,-5.875,-6.984375,-0.9180908,0.20568848,-0.045776367,0.33569336,1556555.0,1019.0742,1018.04126,-2.078125,4.8710938,8.066406,0.23614502,0.16229248,0.18273926,0.9404907
1761775,1019.72046,1012.594,-0.56640625,-6.1054688,-7.1757812,-0.9169922,0.20715332,-0.045898438,0.33770752,1556570.0,1019.05396,1018.04224,-8.7109375,-2.3046875,3.4765625,0.1486206,0.5475464,-0.4204712,0.70806885
1761790,1019.7168,1012.44434,8.34375,-1.515625,4.7890625,-0.42822266,-0.2845459,-0.6221924,0.59033203,1556580.0,1019.05396,1018.05493,-8.636719,-2.34375,3.4375,0.14831543,0.5470581,-0.4208374,0.70825195
1761800,1019.7168,1012.5066,8.3828125,-1.515625,4.75,-0.4282837,-0.28485107,-0.6218872,0.59051514,1556600.0,1019.06104,1018.0708,-8.519531,-2.4609375,3.5546875,0.14764404,0.5465088,-0.42059326,0.7089844
1761820,1019.6924,1012.6467,8.3828125,-1.3984375,4.5195312,-0.42834473,-0.28479004,-0.6217041,0.59069824,1556615.0,1019.0471,1018.06616,-8.6015625,-2.5742188,3.5546875,0.1472168,0.5462036,-0.42077637,0.7091675
1761840,1019.6858,1012.7639,8.269531,-1.359375,4.5195312,-0.42858887,-0.2843628,-0.6217041,0.5907593,1556635.0,1019.094,1018.0554,-8.683594,-2.6132812,3.59375,0.14691162,0.5458374,-0.42144775,0.70910645
1761865,1019.67065,1012.65283,8.3046875,-1.4765625,4.7109375,-0.42895508,-0.28411865,-0.62158203,0.59069824,1556655.0,1019.0635,1018.01587,-8.832031,-2.6132812,3.4765625,0.14666748,0.5455322,-0.42242432,0.7088623
1761880,1019.6731,1012.35815,8.2265625,-1.515625,4.6328125,-0.42938232,-0.2841797,-0.6212158,0.59069824,1556680.0,1019.0542,1018.05566,-8.7890625,-2.5,3.515625,0.14666748,0.545105,-0.42333984,0.70861816
1761900,1019.7036,1011.6875,8.265625,-1.515625,4.5976562,-0.42962646,-0.28442383,-0.6208496,0.5908203,1556695.0,1019.08545,1018.0515,-8.8671875,-2.5742188,3.4375,0.14642334,0.54486084,-0.4234619,0.70874023
1761920,1019.6748,1011.4961,8.269531,-1.4765625,4.5976562,-0.42962646,-0.28485107,-0.62054443,0.5909424,1556715.0,1019.07764,1018.0574,-8.90625,-2.6914062,3.4765625,0.14587402,0.5444336,-0.42352295,0.7091675
1761945,1019.7031,1010.74146,8.4609375,-1.4375,4.4804688,-0.42956543,-0.28503418,-0.6203003,0.5911255,1556735.0,1019.06274,1018.0327,-8.7890625,-2.6132812,3.5546875,0.14526367,0.54382324,-0.42352295,0.70977783
1761960,1019.6758,1010.39526,8.5,-1.4375,4.5976562,-0.4296875,-0.2849121,-0.62005615,0.5913696,1556760.0,1019.08765,1018.08154,-8.753906,-2.7265625,3.4765625,0.14471436,0.5432739,-0.42333984,0.7103882
1761980,1019.7141,1010.1763,8.503906,-1.3984375,4.671875,-0.43011475,-0.28479004,-0.6196289,0.59161377,1556775.0,1019.08374,1018.0896,-8.832031,-2.8828125,3.4023438,0.14434814,0.54296875,-0.42358398,0.7105713
1762000,1019.73413,1010.2622,8.574219,-1.515625,4.5976562,-0.43060303,-0.284729,-0.6191406,0.5917969,1556795.0,1019.08276,1018.08545,-9.0625,-2.8828125,3.2851562,0.14398193,0.5423584,-0.42437744,0.7106323
1762025,1019.6865,1010.47144,8.53125,-1.6289062,4.6328125,-0.43084717,-0.2849121,-0.6187744,0.5918579,1556815.0,1019.0969,1018.03516,-9.25,-2.7265625,3.171875,0.14355469,0.5423584,-0.42370605,0.7111206
1762040,1019.70703,1010.1892,8.6875,-1.5898438,4.5976562,-0.43066406,-0.28527832,-0.6185913,0.592041,1556840.0,1019.083,1018.05493,-10.636719,-1.4257812,1.984375,0.14343262,0.5458374,-0.41375732,0.71435547
