timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1434650,1020.90137,1021.4971,9.300781,1.8359375,1.8242188,0.2600708,-0.6088257,0.17633057,0.72839355,1428450.0,1021.1311,1022.67505,-9.300781,2.2460938,-2.8203125,-0.3887329,0.7020874,0.3829956,0.45739746
1434660,1020.8843,1021.5327,9.3359375,1.796875,1.4023438,0.25909424,-0.61364746,0.17010498,0.7261963,1428455.0,1021.1311,1022.67505,-9.261719,1.8632812,-2.7421875,-0.38909912,0.70007324,0.38336182,0.4598999
1434670,1020.9214,1021.53,8.660156,-3.5390625,3.3632812,0.4389038,-0.37231445,0.7791748,0.24829102,1428470.0,1021.1345,1022.6992,-8.566406,-0.3984375,4.6875,-0.41137695,0.30078125,0.66778564,0.5425415
1434690,1020.8865,1021.50854,8.5390625,-3.4648438,3.4023438,0.43811035,-0.3725586,0.77941895,0.24865723,1428480.0,1021.12427,1022.6494,-8.488281,-0.2421875,4.8007812,-0.4116211,0.2999878,0.6676636,0.54296875
1434710,1020.90234,1021.5691,8.46875,-3.3476562,3.4804688,0.43780518,-0.37268066,0.7793579,0.24914551,1428500.0,1021.1323,1022.6428,-8.488281,-0.3984375,4.8007812,-0.41223145,0.29919434,0.6680908,0.54241943
1434730,1020.9204,1021.51733,8.511719,-3.5,3.515625,0.4378662,-0.37268066,0.77948,0.24871826,1428525.0,1021.1316,1022.6736,-8.488281,-0.51171875,4.6875,-0.41290283,0.2984619,0.66833496,0.5419922
1434750,1020.90796,1021.5427,8.542969,-3.6171875,3.3632812,0.43756104,-0.37268066,0.7798462,0.24798584,1428540.0,1021.1201,1022.6926,-8.484375,-0.51171875,4.6484375,-0.4133911,0.29766846,0.6680298,0.54241943
1434765,1020.93945,1021.5244,8.5078125,-3.6171875,3.2851562,0.43688965,-0.3727417,0.78027344,0.2475586,1428560.0,1021.1638,1022.6648,-8.4453125,-0.43359375,4.6484375,-0.41375732,0.29675293,0.66741943,0.54345703
1434790,1020.9336,1021.5425,8.46875,-3.6171875,3.2851562,0.43658447,-0.3729248,0.7803345,0.2479248,1428580.0,1021.14526,1022.66675,-8.484375,-0.43359375,4.7226562,-0.41430664,0.29589844,0.6669922,0.54400635
1434810,1020.91235,1021.55273,8.46875,-3.5390625,3.3632812,0.43670654,-0.37280273,0.78009033,0.24841309,1428600.0,1021.12695,1022.6846,-8.484375,-0.47265625,4.6484375,-0.41497803,0.29522705,0.66693115,0.5439453
1434825,1020.9204,1021.5349,8.355469,-3.4648438,3.4023438,0.4368286,-0.3725586,0.78015137,0.24847412,1428620.0,1021.14966,1022.6814,-8.484375,-0.47265625,4.6484375,-0.41558838,0.29473877,0.66693115,0.5437012
1434845,1020.9187,1021.5242,8.3125,-3.5,3.4023438,0.4366455,-0.37231445,0.78045654,0.24829102,1428640.0,1021.14087,1022.6836,-8.449219,-0.43359375,4.5703125,-0.41607666,0.2942505,0.666626,0.5439453
1434865,1020.9099,1021.5425,8.3125,-3.5390625,3.3632812,0.43634033,-0.37219238,0.7807007,0.24804688,1428665.0,1021.1377,1022.7129,-8.40625,-0.3984375,4.4960938,-0.41662598,0.29327393,0.66589355,0.5449829
1434890,1020.9507,1021.5427,8.5390625,-3.6171875,3.3242188,0.43658447,-0.37213135,0.78063965,0.2479248,1428680.0,1021.1604,1022.67725,-8.410156,-0.58984375,4.4570312,-0.4171753,0.29260254,0.6652832,0.54559326
1434905,1020.9607,1021.5303,8.621094,-3.5390625,3.2109375,0.43688965,-0.37200928,0.78045654,0.24816895,1428700.0,1021.14575,1022.67554,-8.40625,-0.7421875,4.3789062,-0.4177246,0.2919922,0.6647339,0.54626465
1434925,1020.9529,1021.5276,8.542969,-3.4648438,3.171875,0.43701172,-0.37194824,0.7803345,0.24853516,1428725.0,1021.1509,1022.69214,-8.328125,-0.7421875,4.4179688,-0.41827393,0.2913208,0.6643677,0.54663086
1434945,1020.9592,1021.53174,8.46875,-3.578125,3.2109375,0.43695068,-0.37176514,0.7805176,0.24829102,1428740.0,1021.1316,1022.70435,-8.332031,-0.81640625,4.4960938,-0.41882324,0.29071045,0.6642456,0.5466919
1434970,1020.9673,1021.52563,8.5078125,-3.5390625,3.2109375,0.43670654,-0.371521,0.7809448,0.24780273,1428760.0,1021.1511,1022.6719,-8.292969,-0.81640625,4.4570312,-0.41937256,0.2902832,0.6640625,0.54663086
