timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1906735,1018.8645,1020.4817,-8.566406,1.859375,4.6523438,0.3768921,0.37524414,-0.45343018,0.71520996,1913028.0,1017.9053,1020.50977,2.8945312,8.9765625,1.0,0.14776611,-0.6257324,-0.6373291,0.42486572
1906743,1018.8645,1020.4817,-5.1914062,2.0507812,7.8671875,0.27404785,0.12615967,-0.6087036,0.73376465,1913035.0,1017.86694,1020.4883,3.5078125,8.671875,3.1835938,0.121032715,-0.6068115,-0.6585083,0.4282837
1906763,1018.8252,1020.4514,-4.8828125,2.4335938,7.9101562,0.2727661,0.12597656,-0.6091919,0.7338867,1913043.0,1017.86694,1020.4883,5.8046875,1.46875,7.9296875,-0.18988037,-0.25439453,-0.74645996,0.58483887
1906788,1018.8801,1020.4868,-5.2265625,1.703125,7.9101562,0.270813,0.12750244,-0.611084,0.7327881,1913058.0,1017.8982,1020.4907,5.6523438,1.6601562,8.046875,-0.18927002,-0.25463867,-0.7462158,0.5852661
1906803,1018.8506,1020.5066,-5.34375,1.703125,7.9453125,0.27093506,0.12799072,-0.61157227,0.73223877,1913078.0,1017.9126,1020.50854,5.6132812,1.5859375,7.8242188,-0.19012451,-0.25427246,-0.74664307,0.5845947
1906823,1018.8662,1020.4861,-5.0,1.8203125,7.640625,0.27105713,0.12805176,-0.6114502,0.7322998,1913098.0,1017.8706,1020.5408,5.6523438,1.2773438,8.011719,-0.190979,-0.25421143,-0.74731445,0.5834961
1906843,1018.84204,1020.5078,-5.0,1.859375,7.7929688,0.27008057,0.12817383,-0.61206055,0.7321167,1913117.0,1017.8701,1020.50073,5.421875,1.546875,7.9335938,-0.1907959,-0.255188,-0.7472534,0.5831909
1906867,1018.8618,1020.48193,-5.4570312,1.6679688,7.828125,0.26983643,0.12854004,-0.6123047,0.7319336,1913137.0,1017.8613,1020.4951,5.3476562,1.5859375,7.8554688,-0.190979,-0.25585938,-0.7470093,0.58306885
1906882,1018.88965,1020.4756,-5.3828125,1.359375,7.8320312,0.27075195,0.1272583,-0.6119385,0.73217773,1913157.0,1017.87524,1020.4695,5.421875,1.546875,7.78125,-0.19073486,-0.25653076,-0.7472534,0.5826416
1906902,1018.8574,1020.49243,-5.0,1.7421875,7.4882812,0.2711792,0.12512207,-0.61157227,0.732666,1913177.0,1017.84155,1020.48804,5.421875,1.6992188,7.8515625,-0.19055176,-0.25708008,-0.7476196,0.5819702
1906922,1018.89844,1020.48315,-4.8828125,2.0859375,7.7148438,0.2703247,0.12487793,-0.6116333,0.7329712,1913197.0,1017.86475,1020.4673,5.6132812,1.5859375,7.96875,-0.19055176,-0.25787354,-0.74786377,0.5812988
1906942,1018.897,1020.5027,-5.2265625,1.8945312,8.1328125,0.27020264,0.12487793,-0.61157227,0.7330322,1913217.0,1017.8638,1020.50024,5.5390625,1.8515625,7.7421875,-0.19042969,-0.25823975,-0.7477417,0.5812988
1906962,1018.8738,1020.49,-5.1914062,2.0507812,8.292969,0.26983643,0.124938965,-0.611084,0.73358154,1913237.0,1017.8843,1020.53,5.84375,1.5078125,7.8945312,-0.1899414,-0.25769043,-0.7470093,0.58270264
1906982,1018.8855,1020.46606,-4.9609375,2.0507812,7.8710938,0.26898193,0.12591553,-0.6101074,0.7345581,1913257.0,1017.85986,1020.5171,5.7304688,1.2421875,8.050781,-0.1897583,-0.25805664,-0.7463989,0.583374
1907007,1018.907,1020.48486,-5.0742188,1.78125,7.7890625,0.26922607,0.1272583,-0.60839844,0.73565674,1913276.0,1017.85693,1020.5188,5.4609375,1.2421875,7.703125,-0.19049072,-0.2578125,-0.74658203,0.5830078
1907022,1018.87866,1020.4712,-5.0742188,1.5898438,8.0234375,0.26953125,0.12872314,-0.6069336,0.7364502,1913296.0,1017.853,1020.5154,5.5,1.0507812,7.4414062,-0.19055176,-0.25720215,-0.7470703,0.58258057
1907041,1018.91113,1020.4851,-5.0742188,1.6289062,8.0234375,0.26940918,0.1293335,-0.6064453,0.7368164,1913316.0,1017.88745,1020.49243,5.3085938,1.0507812,7.78125,-0.18988037,-0.25738525,-0.74713135,0.5826416
1907061,1018.88916,1020.4844,-5.1523438,1.6289062,8.097656,0.26885986,0.12835693,-0.6060791,0.7374878,1913336.0,1017.885,1020.4846,5.3085938,1.0859375,7.96875,-0.18988037,-0.25756836,-0.74694824,0.5828247
1907086,1018.8943,1020.4636,-5.0,1.6289062,8.792969,0.26916504,0.1262207,-0.60510254,0.7385254,1913356.0,1017.8738,1020.5115,5.5390625,1.0507812,7.8515625,-0.19006348,-0.25756836,-0.7471924,0.5824585
1907101,1018.907,1020.47754,-5.0351562,1.5898438,8.792969,0.2720337,0.12390137,-0.60272217,0.7398071,1913376.0,1017.88306,1020.5017,5.6523438,1.2773438,8.046875,-0.19024658,-0.25750732,-0.74786377,0.58154297
1907121,1018.89185,1020.52295,-5.1523438,0.9765625,9.0546875,0.2805786,0.119384766,-0.59820557,0.74108887,1913396.0,1017.8594,1020.4895,5.5390625,1.7382812,7.8242188,-0.19006348,-0.25775146,-0.7479248,0.58135986
1907141,1018.92773,1020.49927,-5.4179688,0.2109375,8.8984375,0.30163574,0.10406494,-0.59173584,0.7402954,1913416.0,1017.8589,1020.4944,5.5742188,1.546875,7.96875,-0.1895752,-0.25793457,-0.74768066,0.58184814
1907166,1018.9011,1020.4248,-4.8828125,0.6328125,8.859375,0.33673096,0.07147217,-0.5843506,0.7348633,1913435.0,1017.85913,1020.4983,5.4609375,1.2773438,8.011719,-0.18890381,-0.25811768,-0.74786377,0.58166504
1907181,1018.9153,1020.39185,-4.2304688,2.0117188,8.09375,0.38616943,0.021240234,-0.57263184,0.72283936,1913455.0,1017.8921,1020.5376,5.421875,1.0507812,8.46875,-0.18743896,-0.2607422,-0.7476196,0.5812988
1907200,1018.875,1020.3235,-3.3125,3.6953125,7.4492188,0.44348145,-0.03253174,-0.55249023,0.7050171,1913470.0,1017.86865,1020.5027,5.4609375,1.125,8.355469,-0.18475342,-0.2682495,-0.7451172,0.58203125
1907220,1018.8154,1020.2854,-2.5859375,6.5703125,5.875,0.49169922,-0.07366943,-0.5300293,0.68688965,1913490.0,1017.83496,1020.5093,5.15625,1.0859375,8.390625,-0.17791748,-0.28204346,-0.7379761,0.58673096
1907240,1018.76733,1020.31323,-3.4257812,12.734375,3.4648438,0.51031494,-0.085876465,-0.5203247,0.6793213,1913515.0,1017.8181,1020.49414,4.5429688,2.5429688,8.3515625,-0.17462158,-0.29522705,-0.72991943,0.59124756
1907260,1018.7969,1020.32764,-3.9257812,11.972656,-0.09765625,0.5065918,-0.078063965,-0.52233887,0.68151855,1913535.0,1017.83984,1020.4922,6.3046875,1.625,7.2070312,-0.17681885,-0.3036499,-0.7261963,0.59088135
1907280,1018.813,1020.36743,-4.7695312,9.515625,0.70703125,0.5050049,-0.07434082,-0.5258789,0.6803589,1913550.0,1017.8364,1020.4922,6.4179688,1.7773438,6.9414062,-0.17706299,-0.307312,-0.7263794,0.5886841
1907300,1018.8181,1020.39185,-5.4570312,7.984375,4.0,0.5095215,-0.078308105,-0.5317383,0.6719971,1913570.0,1017.8391,1020.4558,6.2265625,2.6953125,7.0859375,-0.17578125,-0.3114624,-0.7261963,0.58709717
1907320,1018.83496,1020.3967,-4.4609375,8.5625,3.8085938,0.51208496,-0.08050537,-0.53900146,0.6638794,1913595.0,1017.84766,1020.4763,5.8046875,3.234375,7.359375,-0.17675781,-0.31427002,-0.7253418,0.5864258
1907340,1018.834,1020.4033,-4.2304688,8.4453125,4.2304688,0.50579834,-0.07373047,-0.545166,0.66448975,1913614.0,1017.80396,1020.4673,5.9960938,2.8867188,6.7421875,-0.17877197,-0.31536865,-0.72473145,0.58599854
1907359,1018.83374,1020.4431,-4.1953125,7.3007812,3.6171875,0.49517822,-0.062072754,-0.54797363,0.6713257,1913629.0,1017.86865,1020.48975,6.2265625,2.5429688,6.78125,-0.18127441,-0.3125,-0.7265625,0.58447266
1907384,1018.84644,1020.448,-4.6914062,5.6484375,5.0351562,0.48223877,-0.04748535,-0.5484009,0.68151855,1913649.0,1017.85596,1020.4866,6.1132812,2.390625,6.5585938,-0.1821289,-0.30841064,-0.729126,0.5831909
1907404,1018.8501,1020.4346,-4.7304688,4.6171875,5.6835938,0.4696045,-0.032287598,-0.5477295,0.6917114,1913669.0,1017.8423,1020.4802,5.921875,2.1210938,7.1289062,-0.18109131,-0.30584717,-0.7303467,0.583313
1907419,1018.82275,1020.42505,-4.84375,5.1523438,6.4570312,0.4572754,-0.018127441,-0.548584,0.69970703,1913694.0,1017.8179,1020.4585,5.5,2.2734375,7.7070312,-0.18066406,-0.30377197,-0.7307739,0.5839844
