timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
207585.0,988.4497,988.5818,-1.4296875,-1.3671875,9.1640625,-0.06109619,-0.08874512,0.9906616,0.08380127,1221700,989.042,988.9397,-0.41796875,7.5546875,-7.6015625,0.8156128,-0.38568115,-0.18963623,0.38745117
207600.0,988.44556,988.6206,5.65625,7.328125,1.9257812,0.6016846,-0.060913086,0.41088867,0.682251,1221710,989.02515,988.9321,0.6171875,8.628906,0.48046875,0.6754761,-0.28295898,-0.1671753,0.6600952
207620.0,988.4563,988.583,5.9257812,7.1328125,2.078125,0.60357666,-0.06048584,0.4099121,0.6812134,1221720,989.06006,988.9509,-6.8789062,5.8085938,3.2226562,0.5269165,-0.120910645,-0.6679077,0.51153564
207640.0,988.43994,988.5974,5.5429688,6.7890625,2.421875,0.607666,-0.05847168,0.40771484,0.6790161,1221735,989.04443,988.98047,-6.5742188,5.8085938,3.4882812,0.52770996,-0.10308838,-0.66345215,0.52038574
207660.0,988.42847,988.5808,5.1210938,7.828125,2.0039062,0.6109009,-0.056762695,0.40423584,0.6783447,1221755,989.0342,988.9614,-6.4140625,5.6171875,3.5273438,0.5293579,-0.08416748,-0.6560669,0.53131104
207680.0,988.4436,988.55054,5.0820312,7.6367188,2.2695312,0.6143799,-0.0569458,0.3988037,0.67840576,1221770,989.0405,989.00366,-6.4960938,5.5039062,3.4882812,0.5314331,-0.072631836,-0.6499634,0.5383911
207700.0,988.4304,988.58276,4.96875,8.0546875,1.8867188,0.6177368,-0.058532715,0.3930664,0.67858887,1221790,989.0359,988.95825,-6.4921875,5.65625,3.5273438,0.53515625,-0.061462402,-0.6422119,0.5452881
207720.0,988.4341,988.6001,5.0820312,8.09375,1.7734375,0.62109375,-0.060668945,0.387146,0.67871094,1221810,989.0244,988.95215,-6.5742188,6.0,3.3359375,0.53948975,-0.05316162,-0.635437,0.5498047
207740.0,988.42334,988.5989,5.234375,7.9375,1.734375,0.6240845,-0.06201172,0.38232422,0.67858887,1221835,989.0115,988.9426,-6.6484375,6.6484375,3.0703125,0.54364014,-0.045898438,-0.62939453,0.5533447
207760.0,988.3926,988.60986,5.234375,8.058594,1.8125,0.626709,-0.06304932,0.37786865,0.67858887,1221860,989.0259,988.93604,-6.4179688,6.8046875,2.953125,0.5443115,-0.041015625,-0.6263428,0.5565796
207780.0,988.42725,988.58765,5.3515625,8.015625,1.5429688,0.62890625,-0.06390381,0.3737793,0.678772,1221870,989.0376,988.9402,-5.9570312,6.8828125,3.1054688,0.54333496,-0.03277588,-0.62231445,0.56256104
207800.0,988.44946,988.56274,5.234375,8.09375,1.4648438,0.63049316,-0.06488037,0.3703003,0.67907715,1221890,989.04004,988.95874,-6.0351562,6.421875,3.453125,0.5422363,-0.023620605,-0.61779785,0.5689697
207820.0,988.4231,988.58545,5.2734375,8.019531,1.4648438,0.6317749,-0.066101074,0.36749268,0.6793213,1221915,989.0376,988.9458,-6.1132812,6.1601562,3.8359375,0.5425415,-0.014282227,-0.6123657,0.5748291
207845.0,988.4497,988.5305,5.1601562,8.171875,1.4648438,0.6328125,-0.06726074,0.3651123,0.6795044,1221930,989.04834,988.94434,-6.2265625,6.078125,3.796875,0.5437012,-0.0095825195,-0.60943604,0.57696533
207860.0,988.447,988.5884,5.2734375,8.0546875,1.4257812,0.633728,-0.068237305,0.3632202,0.67962646,1221950,989.0542,988.95166,-6.2695312,6.0390625,3.6054688,0.5454712,-0.006164551,-0.60754395,0.57733154
207880.0,988.44165,988.5781,5.1953125,8.136719,1.3515625,0.6342163,-0.06854248,0.36260986,0.6793823,1221970,989.01416,988.959,-6.0742188,6.34375,3.375,0.5465698,-0.0018920898,-0.6057129,0.5782471
207900.0,988.44116,988.5718,5.1210938,7.9765625,1.3515625,0.63427734,-0.068847656,0.36291504,0.6791382,1221995,989.0393,988.9695,-5.9570312,6.3046875,3.375,0.5469971,0.006591797,-0.60131836,0.58239746
207920.0,988.44653,988.5801,5.0429688,7.8632812,1.5039062,0.63427734,-0.06945801,0.36279297,0.6791382,1222010,989.0735,988.9829,-6.1132812,5.9648438,3.453125,0.5473633,0.013549805,-0.59698486,0.58636475
207940.0,988.4287,988.5796,4.9296875,7.859375,1.4648438,0.63464355,-0.07006836,0.3619995,0.6791992,1222030,989.01196,988.9812,-6.2304688,5.6171875,3.5273438,0.5484619,0.020629883,-0.592041,0.5900879
207960.0,988.4248,988.59546,4.8125,7.9765625,1.3125,0.6351929,-0.07067871,0.36108398,0.67907715,1222050,989.0393,988.9697,-6.5351562,5.3515625,3.5273438,0.5500488,0.024841309,-0.58917236,0.5913696
207985.0,988.39844,988.56494,4.890625,8.0546875,1.2734375,0.6357422,-0.07141113,0.36035156,0.67889404,1222070,989.0325,988.97925,-6.4140625,5.6953125,3.1054688,0.5510864,0.027893066,-0.5878296,0.59161377
208000.0,988.40063,988.54126,4.8125,8.2109375,1.1992188,0.6359863,-0.072143555,0.35968018,0.6789551,1222090,989.0139,989.0137,-6.4570312,5.7734375,3.1054688,0.55145264,0.031921387,-0.5860596,0.59277344
208020.0,988.4304,988.56396,4.7382812,8.2421875,1.0820312,0.63586426,-0.07348633,0.35882568,0.6793823,1222115,989.0405,989.0039,-6.6523438,5.6171875,3.1054688,0.55126953,0.036132812,-0.5834961,0.5952759
208040.0,988.4265,988.56494,4.8125,8.28125,1.0429688,0.6355591,-0.07531738,0.35772705,0.6799927,1222130,989.04126,988.9807,-6.7304688,5.234375,3.375,0.5507202,0.039245605,-0.5806885,0.5982666
208060.0,988.4287,988.33057,4.8515625,8.246094,0.890625,0.6350708,-0.07714844,0.35681152,0.6807251,1222150,989.0388,988.9907,-6.6484375,5.1992188,3.4140625,0.5498047,0.04083252,-0.5790405,0.600647
208080.0,988.4053,988.60156,5.0039062,8.2109375,0.81640625,0.6342163,-0.07904053,0.3562622,0.6815796,1222170,989.05225,988.99146,-6.4960938,5.390625,3.296875,0.54833984,0.0423584,-0.5779419,0.6029053
208100.0,988.4238,988.68115,5.1953125,8.097656,0.8515625,0.6328125,-0.08074951,0.3562622,0.68273926,1222190,989.0747,989.04224,-6.4179688,5.4648438,3.4882812,0.5465698,0.04449463,-0.5765381,0.6057129
208125.0,988.43164,988.72656,5.5039062,7.9765625,0.96875,0.6308594,-0.081970215,0.35681152,0.68408203,1222215,989.05054,988.9905,-6.7265625,5.3125,3.8359375,0.54522705,0.046813965,-0.5742798,0.6088867
208140.0,988.4485,988.75415,5.4648438,7.7148438,1.234375,0.6286621,-0.08227539,0.35784912,0.6855469,1222230,989.0559,988.9834,-7.0351562,5.4257812,3.6796875,0.5442505,0.048461914,-0.5717163,0.61206055
208160.0,988.4138,988.7825,5.390625,7.7148438,1.5039062,0.62664795,-0.08154297,0.35925293,0.68670654,1222250,989.0388,989.0366,-7.1796875,5.3515625,3.6445312,0.54296875,0.048706055,-0.57006836,0.61468506
208180.0,988.4795,988.8552,5.2734375,7.75,1.734375,0.62506104,-0.079956055,0.3605957,0.6876831,1222270,989.0469,989.0469,-7.1132812,5.3515625,3.8710938,0.5418701,0.047973633,-0.56970215,0.61602783
208200.0,988.43506,988.9219,4.8515625,7.828125,2.2304688,0.62390137,-0.077819824,0.36169434,0.6884155,1222295,989.06445,989.10986,-7.109375,6.0390625,3.8359375,0.5411377,0.04699707,-0.56970215,0.61676025
208220.0,988.42236,988.969,4.7773438,7.9375,2.2304688,0.62286377,-0.07562256,0.36242676,0.68914795,1222310,989.07715,989.1155,-7.2226562,6.1953125,3.8710938,0.5405884,0.046569824,-0.5687866,0.61816406
