timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
29985,1008.37134,1007.1731,0.1484375,-1.5390625,9.839844,-0.06939697,-0.0031738281,-0.0043945312,0.9975586,112875.0,1008.3296,1007.16406,0.484375,-0.62109375,9.628906,0.003112793,-0.03741455,0.9501953,0.30932617
30005,1008.3738,1007.16724,1.2578125,-2.1523438,9.839844,-0.07507324,-0.060058594,-0.017456055,0.99523926,112885.0,1008.3684,1007.14014,0.0234375,-0.1640625,9.890625,0.0020141602,-0.012878418,0.9866333,0.16241455
30015,1008.3738,1007.16724,1.1445312,-1.7304688,9.875,-0.074645996,-0.057800293,-0.016967773,0.9953613,112905.0,1008.37036,1007.17114,0.0234375,-0.203125,9.890625,0.0017089844,-0.013122559,0.98657227,0.16278076
30035,1008.3457,1007.1472,1.0664062,-1.2695312,9.7578125,-0.07318115,-0.05493164,-0.016235352,0.9956665,112925.0,1008.34985,1007.1748,0.0234375,-0.35546875,9.777344,0.0016479492,-0.013000488,0.98651123,0.16308594
30060,1008.38086,1007.1355,0.375,-0.12109375,9.4140625,-0.076293945,-0.053222656,-0.015563965,0.99554443,112945.0,1008.37036,1007.13574,-0.08984375,-0.4296875,9.6640625,0.002319336,-0.012023926,0.98651123,0.16320801
30075,1008.33936,1007.1604,0.7578125,-0.0078125,9.683594,-0.08453369,-0.05529785,-0.016296387,0.994751,112965.0,1008.3447,1007.1699,-0.28125,-0.4296875,9.546875,0.004760742,-0.009765625,0.9866333,0.16271973
30095,1008.3616,1007.1626,0.33984375,-1.4257812,10.2578125,-0.097351074,-0.061767578,-0.01928711,0.99316406,112985.0,1008.39453,1007.16797,-0.28125,-0.5078125,9.28125,0.008850098,-0.0071411133,0.9867554,0.16168213
30120,1008.37744,1007.1885,1.0664062,-3.875,9.457031,-0.10675049,-0.068725586,-0.022705078,0.9916382,113005.0,1008.35254,1007.1294,0.3671875,-0.125,9.285156,0.012145996,-0.006713867,0.9868164,0.16113281
30140,1008.4133,1007.2263,1.21875,-4.4101562,9.4921875,-0.107421875,-0.07269287,-0.024536133,0.991272,113025.0,1008.3262,1007.1614,0.328125,-0.31640625,9.777344,0.014404297,-0.0076904297,0.9868164,0.16113281
30155,1008.3623,1007.1384,0.94921875,-3.609375,9.296875,-0.10131836,-0.07171631,-0.023010254,0.9920044,113045.0,1008.3528,1007.1333,0.3671875,-0.4296875,9.933594,0.016723633,-0.008239746,0.9868164,0.1609497
30175,1008.3699,1007.1626,0.03125,-1.2695312,9.640625,-0.095825195,-0.070251465,-0.021118164,0.9926758,113065.0,1008.39795,1007.1306,0.59765625,-0.31640625,9.890625,0.018798828,-0.008422852,0.9868164,0.1605835
30195,1008.35254,1007.14844,0.03125,-0.7734375,9.496094,-0.095703125,-0.07147217,-0.021362305,0.99261475,113085.0,1008.36255,1007.136,0.5234375,-0.31640625,9.933594,0.019470215,-0.009094238,0.98687744,0.16015625
30215,1008.35205,1007.20386,0.56640625,-2.1132812,9.453125,-0.0982666,-0.0748291,-0.022705078,0.9920654,113105.0,1008.34814,1007.1345,0.4453125,-0.27734375,9.96875,0.019592285,-0.009765625,0.9869385,0.15966797
30235,1008.3804,1007.1553,0.64453125,-2.421875,9.71875,-0.09887695,-0.07836914,-0.023620605,0.9916992,113125.0,1008.38135,1007.1448,0.3671875,-0.1640625,9.890625,0.019897461,-0.010070801,0.9869995,0.15899658
30255,1008.3928,1007.15405,0.56640625,-2.2265625,9.953125,-0.09777832,-0.08093262,-0.023620605,0.9916382,113145.0,1008.35474,1007.1565,0.4453125,0.1796875,9.816406,0.020263672,-0.010559082,0.9871216,0.1583252
30275,1008.3833,1007.1284,0.72265625,-2.0742188,10.066406,-0.095947266,-0.081604004,-0.022949219,0.99176025,113165.0,1008.343,1007.14355,0.484375,0.2578125,9.7734375,0.020568848,-0.010986328,0.9871826,0.15789795
30295,1008.33887,1007.1306,0.68359375,-0.84765625,9.875,-0.0970459,-0.08135986,-0.023254395,0.9916992,113185.0,1008.35547,1007.1555,0.484375,0.2578125,9.7734375,0.020812988,-0.011352539,0.9871826,0.15771484
30320,1008.3684,1007.1406,1.1796875,-2.3046875,9.222656,-0.09979248,-0.081848145,-0.024414062,0.991333,113205.0,1008.3164,1007.15186,0.328125,0.14453125,9.7734375,0.0211792,-0.011779785,0.9871826,0.15789795
30335,1008.3887,1007.1548,0.72265625,-2.0351562,9.53125,-0.10131836,-0.0836792,-0.024658203,0.99102783,113225.0,1008.35986,1007.1426,0.3671875,0.02734375,9.9296875,0.021850586,-0.01184082,0.9871216,0.15795898
30355,1008.3867,1007.15356,0.68359375,-2.6132812,9.957031,-0.10217285,-0.08642578,-0.024536133,0.99072266,113245.0,1008.3401,1007.156,0.484375,-0.203125,10.089844,0.022521973,-0.011047363,0.9871216,0.15795898
30380,1008.3777,1007.16455,0.94921875,-3.03125,10.066406,-0.10070801,-0.08703613,-0.024108887,0.9907837,113265.0,1008.3281,1007.17773,0.5234375,-0.203125,10.128906,0.022827148,-0.009338379,0.9871826,0.15783691
30395,1008.3579,1007.1819,1.3710938,-2.9960938,9.613281,-0.095458984,-0.083740234,-0.022583008,0.9916382,113285.0,1008.33813,1007.2085,0.63671875,-0.046875,9.972656,0.022521973,-0.008239746,0.9871826,0.15783691
30415,1008.4072,1007.1279,1.1445312,-1.5390625,9.417969,-0.08679199,-0.07757568,-0.01977539,0.99298096,113305.0,1008.3501,1007.1548,0.484375,-0.01171875,9.933594,0.022033691,-0.0076904297,0.9871826,0.15808105
30435,1008.36646,1007.1682,0.72265625,0.18359375,10.066406,-0.082092285,-0.07232666,-0.018249512,0.99383545,113325.0,1008.355,1007.17236,0.40625,-0.01171875,9.777344,0.021606445,-0.0072021484,0.9871216,0.1583252
30455,1008.3616,1007.15845,1.5273438,-0.7734375,10.761719,-0.080200195,-0.06976318,-0.019042969,0.9941406,113345.0,1008.3638,1007.16724,0.29296875,-0.0859375,9.5859375,0.021118164,-0.0073242188,0.98706055,0.15863037
30475,1008.37305,1007.1455,1.6796875,-0.58203125,10.105469,-0.07836914,-0.068115234,-0.020385742,0.99438477,113365.0,1008.3567,1007.1675,0.25390625,-0.203125,9.5859375,0.021057129,-0.007751465,0.98706055,0.15887451
30495,1008.3218,1007.18994,1.3710938,-1.4257812,9.417969,-0.076538086,-0.06665039,-0.020080566,0.9946289,113385.0,1008.3335,1007.1782,0.328125,-0.31640625,9.625,0.021240234,-0.008300781,0.9869995,0.15893555
30515,1008.3462,1007.19336,1.8320312,-3.2226562,9.878906,-0.07196045,-0.06738281,-0.017700195,0.9949951,113405.0,1008.35156,1007.1831,0.40625,-0.31640625,9.703125,0.02142334,-0.009033203,0.9869995,0.15887451
30535,1008.34326,1007.15283,1.1054688,-1.2304688,9.152344,-0.06506348,-0.068847656,-0.015625,0.9953613,113425.0,1008.32104,1007.1565,0.4453125,-0.31640625,9.816406,0.021606445,-0.009399414,0.98706055,0.1586914
30555,1008.3562,1007.1604,0.98828125,-0.8125,9.375,-0.061950684,-0.0703125,-0.013916016,0.9954834,113445.0,1008.33765,1007.15674,0.484375,-0.23828125,9.816406,0.02166748,-0.00970459,0.98706055,0.15844727
30580,1008.3596,1007.15234,1.1054688,-0.390625,9.7578125,-0.061767578,-0.07104492,-0.01184082,0.9954834,113465.0,1008.36255,1007.1819,0.4453125,-0.1640625,9.8515625,0.021606445,-0.010009766,0.9871216,0.15808105
30595,1008.35034,1007.1426,1.4882812,-0.65625,9.761719,-0.06365967,-0.07110596,-0.011413574,0.9953613,113485.0,1008.3508,1007.1741,0.484375,-0.0859375,9.746094,0.02166748,-0.010070801,0.9871826,0.15783691
30615,1008.3518,1007.1621,1.984375,-1.2304688,9.5703125,-0.065979004,-0.06970215,-0.011413574,0.9953003,113505.0,1008.3655,1007.1636,0.4453125,-0.01171875,9.707031,0.021606445,-0.010375977,0.9871826,0.15771484
30640,1008.3423,1007.1511,1.5273438,-2.0,9.113281,-0.066833496,-0.068359375,-0.011291504,0.9953613,113525.0,1008.3562,1007.1577,0.40625,-0.0859375,9.746094,0.021606445,-0.010803223,0.98724365,0.15753174
30655,1008.34424,1007.18506,1.6015625,-2.1523438,9.496094,-0.06756592,-0.06890869,-0.010803223,0.9953003,113545.0,1008.3679,1007.12915,0.3671875,-0.0859375,9.746094,0.02178955,-0.011047363,0.98724365,0.15740967
30675,1008.3496,1007.1821,1.9101562,-1.578125,9.222656,-0.06774902,-0.0703125,-0.010070801,0.9951782,113565.0,1008.33813,1007.16675,0.328125,-0.0859375,9.7734375,0.021911621,-0.011169434,0.98724365,0.15716553
30695,1008.345,1007.12964,1.5625,-0.7734375,8.808594,-0.06640625,-0.07043457,-0.009033203,0.99523926,113585.0,1008.3413,1007.1858,0.4453125,-0.01171875,9.7734375,0.022216797,-0.011291504,0.9873047,0.15692139
30715,1008.3391,1007.1218,1.640625,-0.4296875,9.074219,-0.06542969,-0.06976318,-0.007751465,0.9953613,113605.0,1008.33813,1007.12305,0.484375,-0.01171875,9.894531,0.022399902,-0.011413574,0.9873047,0.15686035
30735,1008.34766,1007.15356,1.5273438,-0.8125,9.609375,-0.06585693,-0.068847656,-0.0063476562,0.99542236,113625.0,1008.35693,1007.1682,0.484375,-0.0859375,9.972656,0.022521973,-0.011474609,0.9873047,0.15692139
30755,1008.37476,1007.15454,1.5273438,-1.1953125,10.0625,-0.066833496,-0.06781006,-0.004638672,0.99542236,113645.0,1008.3396,1007.1709,0.5234375,-0.125,9.972656,0.022521973,-0.011474609,0.9873047,0.15692139
30775,1008.38184,1007.1677,1.4882812,-1.578125,10.640625,-0.06738281,-0.06695557,-0.0026855469,0.9954834,113665.0,1008.3723,1007.1953,0.484375,-0.1640625,9.9296875,0.022216797,-0.011291504,0.9873047,0.15698242
30795,1008.3801,1007.1492,1.4492188,-1.5390625,10.5625,-0.066833496,-0.066467285,-0.0007324219,0.99554443,113685.0,1008.34644,1007.1699,0.5234375,-0.125,9.855469,0.02154541,-0.011169434,0.9873047,0.15704346
30815,1008.364,1007.1697,1.4492188,-1.3085938,10.2578125,-0.06604004,-0.066711426,0.00079345703,0.99560547,113705.0,1008.3279,1007.1792,0.40625,-0.125,9.7734375,0.020935059,-0.011352539,0.98724365,0.15722656
30840,1008.3728,1007.1604,1.640625,-1.0390625,9.71875,-0.06567383,-0.06750488,0.0021362305,0.99554443,113725.0,1008.3933,1007.1582,0.328125,-0.203125,9.746094,0.020507812,-0.011352539,0.98724365,0.15734863
30855,1008.3589,1007.1487,1.71875,-1.1171875,9.5703125,-0.06555176,-0.06842041,0.003479004,0.9954834,113745.0,1008.3425,1007.13354,0.25390625,-0.23828125,9.6640625,0.020385742,-0.011047363,0.98724365,0.15740967
30875,1008.3606,1007.15015,1.7929688,-1.3085938,9.535156,-0.06567383,-0.06915283,0.0044555664,0.99542236,113770.0,1008.3662,1007.17017,0.3671875,-0.27734375,9.707031,0.020080566,-0.011108398,0.98724365,0.15740967
30900,1008.35034,1007.17114,1.640625,-1.6171875,9.644531,-0.06573486,-0.06939697,0.0052490234,0.99542236,113785.0,1008.33057,1007.15894,0.40625,-0.23828125,9.746094,0.019592285,-0.011474609,0.98724365,0.1574707
30915,1008.3767,1007.16724,1.5625,-1.6914062,9.7578125,-0.06561279,-0.06939697,0.006164551,0.99542236,113805.0,1008.3728,1007.1189,0.29296875,-0.31640625,9.7734375,0.01940918,-0.011474609,0.9873047,0.15734863
30935,1008.35474,1007.1592,1.6015625,-1.5390625,9.640625,-0.06488037,-0.06933594,0.007080078,0.9954834,113825.0,1008.3618,1007.1763,0.29296875,-0.31640625,9.746094,0.01940918,-0.010986328,0.9873657,0.15698242
30955,1008.33765,1007.15063,1.6015625,-1.2695312,9.417969,-0.0635376,-0.06915283,0.008300781,0.99554443,113845.0,1008.35547,1007.1797,0.484375,-0.203125,9.667969,0.019348145,-0.010803223,0.98742676,0.15667725
30975,1008.3528,1007.16016,1.5625,-0.88671875,9.2578125,-0.062072754,-0.068847656,0.0095825195,0.9956665,113865.0,1008.3638,1007.1714,0.4453125,-0.23828125,9.7421875,0.019104004,-0.011108398,0.98742676,0.15655518
30995,1008.3523,1007.1714,1.4492188,-0.8125,9.417969,-0.061157227,-0.06842041,0.011108398,0.99572754,113885.0,1008.36475,1007.15796,0.4453125,-0.31640625,9.7734375,0.019042969,-0.011413574,0.9874878,0.15625
31015,1008.3528,1007.1433,1.4101562,-0.84765625,9.574219,-0.06121826,-0.067993164,0.0126953125,0.99572754,113910.0,1008.34644,1007.1931,0.4453125,-0.23828125,9.777344,0.019104004,-0.011474609,0.9875488,0.15582275
31035,1008.35864,1007.16187,1.71875,-1.6914062,9.7578125,-0.061584473,-0.06768799,0.013977051,0.99572754,113925.0,1008.3408,1007.16455,0.4453125,-0.23828125,9.7421875,0.019104004,-0.0115356445,0.98760986,0.15533447
31055,1008.3384,1007.1587,1.6796875,-1.8085938,9.8359375,-0.06109619,-0.06762695,0.014587402,0.99572754,113945.0,1008.3616,1007.1096,0.40625,-0.1640625,9.7734375,0.018981934,-0.01159668,0.98773193,0.15472412
31075,1008.3562,1007.1416,1.6796875,-1.578125,9.683594,-0.059509277,-0.06726074,0.015075684,0.9958496,113965.0,1008.3694,1007.1648,0.40625,-0.0859375,9.7734375,0.018981934,-0.011657715,0.98779297,0.15411377
31100,1008.34424,1007.16235,1.71875,-1.078125,9.296875,-0.0579834,-0.06677246,0.015625,0.9959717,113985.0,1008.34204,1007.1719,0.3671875,-0.01171875,9.894531,0.019042969,-0.01171875,0.98791504,0.15356445
31115,1008.3696,1007.13916,1.5625,-0.6953125,9.3359375,-0.056030273,-0.06591797,0.016235352,0.99609375,114005.0,1008.3806,1007.135,0.5234375,0.02734375,9.816406,0.018981934,-0.012084961,0.9879761,0.15301514
