timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2384745,1005.2883,1006.8633,-3.1210938,9.292969,-0.39453125,0.4248047,0.5817261,0.40496826,0.56311035,2373970.0,1004.42065,1008.03125,-2.515625,8.640625,-4.046875,0.7561035,-0.3748169,-0.36260986,0.39544678
2384750,1005.2883,1006.8633,-2.9296875,9.1328125,-0.39453125,0.42504883,0.58166504,0.4050293,0.5629883,2373975.0,1004.3977,1008.03125,-2.4414062,8.296875,-4.1992188,0.75701904,-0.3743286,-0.36218262,0.3944702
2384765,1005.3154,1006.87354,4.4257812,7.296875,4.390625,0.4605713,-0.23278809,0.06121826,0.8543701,2373985.0,1004.3977,1008.02637,-2.6132812,9.230469,1.296875,0.44213867,-0.4876709,-0.6765747,0.33007812
2384780,1005.34204,1006.86646,4.4257812,7.375,4.5078125,0.46014404,-0.23309326,0.061157227,0.8544922,2374005.0,1004.4392,1008.04175,-2.6484375,9.113281,1.2226562,0.44250488,-0.48754883,-0.6763916,0.33013916
2384795,1005.30444,1006.83813,4.5039062,7.3789062,4.5078125,0.45959473,-0.23352051,0.06097412,0.8547363,2374030.0,1004.44507,1008.01025,-2.765625,9.003906,1.1835938,0.44281006,-0.4874878,-0.6762085,0.33013916
2384815,1005.2644,1006.91895,4.4648438,7.3398438,4.5078125,0.45928955,-0.23382568,0.06097412,0.85479736,2374045.0,1004.3987,1008.00977,-2.8046875,8.964844,1.1835938,0.44299316,-0.48754883,-0.67614746,0.32989502
2384835,1005.38794,1006.8723,4.5039062,7.3398438,4.5078125,0.45922852,-0.23413086,0.061157227,0.8547363,2374065.0,1004.4155,1008.0171,-2.765625,9.003906,1.1445312,0.44317627,-0.48760986,-0.6762085,0.32946777
2384860,1005.3125,1006.82446,4.5429688,7.3007812,4.546875,0.45916748,-0.23431396,0.061340332,0.8546753,2374085.0,1004.40015,1008.0227,-2.7265625,9.0703125,1.1835938,0.4434204,-0.48754883,-0.6762085,0.32928467
2384875,1005.3677,1006.85205,4.5429688,7.2226562,4.5078125,0.45910645,-0.23431396,0.061462402,0.8547363,2374105.0,1004.4468,1008.02075,-2.765625,9.0390625,1.2226562,0.44348145,-0.48760986,-0.6762085,0.32910156
2384895,1005.39233,1006.85034,4.5039062,7.296875,4.5078125,0.45928955,-0.23413086,0.061584473,0.8546753,2374125.0,1004.4197,1008.0161,-2.7265625,9.042969,1.2617188,0.44348145,-0.48773193,-0.67626953,0.3287964
2384915,1005.32104,1006.9053,4.4648438,7.2617188,4.5078125,0.45965576,-0.23382568,0.061767578,0.8545532,2374145.0,1004.4446,1008.0393,-2.6875,9.042969,1.2617188,0.44360352,-0.48779297,-0.6762085,0.32855225
2384940,1005.3037,1006.88574,4.4257812,7.296875,4.4296875,0.45977783,-0.23358154,0.061706543,0.8545532,2374170.0,1004.4131,1008.01685,-2.765625,9.042969,1.1835938,0.4439087,-0.487854,-0.6760864,0.32843018
2384955,1005.3257,1006.86304,4.4257812,7.296875,4.4296875,0.45977783,-0.23358154,0.061645508,0.8545532,2374185.0,1004.39624,1007.9944,-2.765625,9.0,1.2226562,0.44415283,-0.48797607,-0.6759033,0.32818604
2384975,1005.3208,1006.9082,4.5039062,7.2578125,4.3554688,0.46014404,-0.23370361,0.061584473,0.8543091,2374205.0,1004.4614,1007.9912,-2.7265625,8.964844,1.2617188,0.44433594,-0.48791504,-0.67578125,0.32836914
2384995,1005.29175,1006.84814,4.5429688,7.4140625,4.3554688,0.4602661,-0.23364258,0.061462402,0.8543091,2374225.0,1004.39307,1007.99097,-2.6875,8.964844,1.2617188,0.44439697,-0.48779297,-0.6755371,0.32891846
2385015,1005.2998,1006.86206,4.5429688,7.375,4.3554688,0.45996094,-0.23321533,0.06109619,0.85461426,2374250.0,1004.4226,1007.9968,-2.7265625,9.042969,1.2617188,0.44451904,-0.48779297,-0.6751709,0.32946777
2385035,1005.30786,1006.87964,4.3515625,7.21875,4.4296875,0.4598999,-0.23272705,0.060668945,0.85479736,2374265.0,1004.4158,1007.9353,-2.7265625,9.042969,1.2226562,0.44470215,-0.48791504,-0.6748657,0.32977295
2385055,1005.31445,1006.8684,4.3515625,7.3398438,4.46875,0.46032715,-0.23223877,0.060424805,0.8546753,2374285.0,1004.43115,1007.94434,-2.6875,9.042969,1.2226562,0.4449463,-0.48809814,-0.6744995,0.32995605
2385075,1005.33325,1006.89453,4.3125,7.4179688,4.5078125,0.4605713,-0.23181152,0.060180664,0.8546753,2374305.0,1004.44434,1007.9336,-2.6875,9.042969,1.2226562,0.4451294,-0.48828125,-0.67401123,0.33032227
2385095,1005.36304,1006.8535,4.3125,7.3789062,4.5078125,0.4605713,-0.23162842,0.059814453,0.85479736,2374325.0,1004.437,1007.9302,-2.7265625,9.042969,1.2617188,0.44500732,-0.4883423,-0.6738281,0.33087158
2385115,1005.33545,1006.8645,4.4648438,7.3398438,4.46875,0.46069336,-0.23120117,0.059387207,0.8548584,2374345.0,1004.3594,1007.9348,-2.765625,9.0390625,1.2617188,0.44482422,-0.48828125,-0.67370605,0.3314209
2385135,1005.2683,1006.8782,4.5039062,7.375,4.4296875,0.46087646,-0.23077393,0.059143066,0.8548584,2374365.0,1004.40356,1007.90894,-2.765625,9.0390625,1.296875,0.4446411,-0.4882202,-0.673645,0.33184814
2385155,1005.2866,1006.89014,4.578125,7.4179688,4.390625,0.4611206,-0.23010254,0.058898926,0.85491943,2374390.0,1004.4343,1007.9138,-2.8046875,9.1484375,1.1445312,0.44433594,-0.48840332,-0.67352295,0.3322754
2385175,1005.32764,1006.87036,4.4648438,7.6054688,4.5078125,0.4611206,-0.22930908,0.05859375,0.8551636,2374405.0,1004.3972,1007.9026,-2.765625,9.265625,1.1835938,0.44384766,-0.48858643,-0.67352295,0.3326416
2385195,1005.3279,1006.85034,4.4257812,7.53125,4.5820312,0.4609375,-0.2286377,0.058410645,0.85546875,2374425.0,1004.4114,1007.89624,-2.7265625,9.347656,1.2226562,0.44329834,-0.4887085,-0.673584,0.33312988
2385215,1005.36475,1006.89355,4.3867188,7.5351562,4.6601562,0.46124268,-0.22808838,0.058410645,0.85546875,2374445.0,1004.4038,1007.9153,-2.6132812,9.265625,1.2617188,0.44281006,-0.48858643,-0.673584,0.3338623
2385235,1005.33936,1006.86426,4.4257812,7.4921875,4.6601562,0.46185303,-0.22753906,0.05847168,0.85528564,2374470.0,1004.41406,1007.89136,-2.5742188,9.3046875,1.375,0.44256592,-0.48828125,-0.67352295,0.33483887
2385255,1005.61035,1006.8684,4.3515625,7.5664062,4.6601562,0.4623413,-0.22729492,0.058410645,0.85510254,2374485.0,1004.41846,1007.8926,-2.5351562,9.34375,1.375,0.44256592,-0.48797607,-0.67352295,0.33514404
2385275,1005.3513,1006.8638,4.4257812,7.4960938,4.546875,0.4628296,-0.22711182,0.058288574,0.8548584,2374505.0,1004.3965,1007.9282,-2.5351562,9.308594,1.375,0.44274902,-0.4876709,-0.67370605,0.33520508
2385295,1005.35474,1006.8606,4.3867188,7.53125,4.546875,0.46313477,-0.22692871,0.05810547,0.85479736,2374525.0,1004.4011,1007.92065,-2.5742188,9.308594,1.2617188,0.44274902,-0.48736572,-0.6739502,0.33502197
2385315,1005.31055,1006.89795,4.3125,7.4570312,4.5820312,0.4633789,-0.22692871,0.057922363,0.8546753,2374545.0,1004.4314,1007.9419,-2.5742188,9.1875,1.2617188,0.44274902,-0.48706055,-0.6742554,0.33483887
2385335,1005.2422,1006.85547,4.234375,7.4570312,4.546875,0.46374512,-0.22723389,0.057739258,0.85443115,2374565.0,1004.42773,1007.92554,-2.6484375,9.113281,1.296875,0.4428711,-0.48675537,-0.6744995,0.33465576
2385355,1005.3887,1006.84814,4.3867188,7.4140625,4.390625,0.46398926,-0.2276001,0.057434082,0.854187,2374585.0,1004.428,1007.9343,-2.6875,9.042969,1.296875,0.4428711,-0.48651123,-0.6746826,0.33465576
2385375,1005.2229,1006.85156,4.4257812,7.3789062,4.3554688,0.46411133,-0.2277832,0.057128906,0.85406494,2374610.0,1004.38916,1007.9304,-2.7265625,8.964844,1.2226562,0.44299316,-0.48657227,-0.6746826,0.33441162
2385395,1005.301,1006.86255,4.3867188,7.375,4.3554688,0.4642334,-0.2277832,0.05682373,0.8540039,2374625.0,1004.4082,1007.9031,-2.6875,8.9609375,1.1445312,0.44311523,-0.48687744,-0.6744995,0.33398438
2385415,1005.3154,1006.84814,4.3867188,7.3007812,4.390625,0.46447754,-0.22772217,0.05657959,0.8539429,2374645.0,1004.4238,1007.9231,-2.6484375,9.0390625,1.1054688,0.4432373,-0.48742676,-0.6743164,0.33361816
2385435,1005.3552,1006.8877,4.4257812,7.3007812,4.46875,0.46472168,-0.22735596,0.05621338,0.8539429,2374665.0,1004.41187,1007.92065,-2.6132812,9.0,1.1445312,0.44335938,-0.4882202,-0.6737671,0.33325195
2385455,1005.3408,1006.8396,4.4257812,7.2578125,4.5078125,0.46520996,-0.22692871,0.055847168,0.8538208,2374685.0,1004.41626,1007.9265,-2.5351562,9.0703125,1.03125,0.44378662,-0.48931885,-0.6729126,0.33288574
2385475,1005.541,1006.87573,4.4648438,7.296875,4.5078125,0.46588135,-0.22650146,0.055236816,0.85357666,2374705.0,1004.4302,1007.9214,-2.4960938,9.0390625,0.9921875,0.44439697,-0.49066162,-0.67181396,0.3322754
2385495,1005.32153,1006.8816,4.5039062,7.2617188,4.46875,0.4668579,-0.22589111,0.05444336,0.8532715,2374725.0,1004.40015,1007.9302,-2.421875,9.0,0.87890625,0.44555664,-0.49249268,-0.6703491,0.33099365
2385515,1005.2854,1006.88794,4.5429688,7.2578125,4.4296875,0.46868896,-0.22442627,0.053466797,0.85272217,2374745.0,1004.3977,1007.947,-2.34375,8.964844,0.72265625,0.4473877,-0.49493408,-0.66845703,0.32867432
2385535,1005.3137,1006.89453,4.65625,7.1523438,4.3554688,0.4711914,-0.22229004,0.052490234,0.8519287,2374765.0,1004.427,1007.93555,-2.0351562,8.925781,0.30078125,0.45007324,-0.4981079,-0.66589355,0.32543945
2385555,1005.3364,1006.876,4.6953125,6.9921875,4.3554688,0.47601318,-0.21801758,0.051330566,0.85046387,2374785.0,1004.36206,1007.91895,-1.921875,9.0,0.03515625,0.45306396,-0.50183105,-0.66296387,0.32147217
