timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1581985,988.7898,988.24194,1.2929688,5.5195312,8.1796875,0.23925781,-0.113586426,-0.21081543,0.940979,1581990.0,989.44995,988.66504,-1.65625,5.6367188,8.4375,0.23132324,0.23101807,0.49353027,0.8059082
1581995,988.7986,988.2383,-4.3359375,6.59375,5.0429688,0.026062012,0.46002197,0.7429199,0.48553467,1582005.0,989.4275,988.65137,5.1601562,7.8945312,-1.7890625,0.13171387,-0.7457886,-0.45806885,0.4654541
1582015,988.7864,988.2395,-4.4140625,6.59375,5.0429688,0.02545166,0.45977783,0.74383545,0.48443604,1582025.0,989.39404,988.60156,5.0078125,8.390625,-2.0585938,0.13092041,-0.7435303,-0.4616089,0.4658203
1582035,988.8174,988.2661,-4.3007812,6.4414062,5.1171875,0.025390625,0.45959473,0.7445679,0.48345947,1582045.0,989.3928,988.62256,5.46875,8.5078125,-2.0976562,0.12701416,-0.74102783,-0.4677124,0.46472168
1582055,988.8157,988.2549,-4.2617188,6.3984375,5.1953125,0.025817871,0.46020508,0.74450684,0.4829712,1582070.0,989.4182,988.64624,5.3164062,8.394531,-1.90625,0.12158203,-0.7371216,-0.47546387,0.46453857
1582075,988.834,988.27783,-4.1835938,6.515625,5.15625,0.026489258,0.46142578,0.74401855,0.48254395,1582085.0,989.4072,988.6428,5.890625,7.890625,-1.90625,0.115600586,-0.73150635,-0.48309326,0.46704102
1582095,988.80493,988.2471,-4.2226562,6.6289062,5.1171875,0.026855469,0.4621582,0.74401855,0.48181152,1582105.0,989.4436,988.6008,5.9648438,7.2421875,-1.484375,0.11218262,-0.7249756,-0.4876709,0.4732666
1582115,988.78564,988.2715,-4.2226562,6.59375,5.1171875,0.026916504,0.4621582,0.744812,0.48059082,1582125.0,989.458,988.6338,5.2382812,8.3125,-0.7578125,0.109802246,-0.7161255,-0.49163818,0.4831543
1582135,988.7783,988.2446,-4.2226562,6.5585938,5.1171875,0.026916504,0.46166992,0.7459717,0.47924805,1582140.0,989.4177,988.60547,6.578125,7.6679688,-0.984375,0.111206055,-0.7084961,-0.4928589,0.49273682
1582155,988.79443,988.2114,-4.2617188,6.5585938,5.15625,0.02722168,0.46105957,0.7472534,0.4777832,1582160.0,989.4431,988.6145,5.734375,8.089844,-1.3320312,0.11462402,-0.6981201,-0.49468994,0.50476074
