timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2634255,983.88354,983.2024,3.3710938,8.6640625,-1.5507812,0.50665283,0.4864502,0.65093994,0.2880249,3219250.0,982.64355,981.8203,-4.3945312,0.91015625,-2.5390625,0.8515625,0.2642212,-0.39648438,0.21862793
2634270,983.8784,983.22437,-2.5273438,0.6171875,8.984375,0.0211792,0.13586426,0.026977539,0.9901123,3219255.0,982.655,981.80664,2.1992188,1.5078125,9.222656,0.0048828125,-0.15344238,-0.6099243,0.7774048
2634280,983.88794,983.19165,-2.5273438,0.50390625,8.988281,0.020324707,0.1359253,0.028503418,0.9901123,3219270.0,982.6819,981.8076,2.3515625,1.3164062,9.296875,0.0029296875,-0.15435791,-0.6098633,0.77734375
2634300,983.91846,983.19946,-2.4882812,0.390625,8.984375,0.01953125,0.13616943,0.029968262,0.99005127,3219290.0,982.6821,981.84155,2.390625,1.2773438,9.296875,0.0008544922,-0.15509033,-0.60961914,0.7774048
2634320,983.94556,983.1731,-2.4882812,0.3515625,8.988281,0.018920898,0.13635254,0.03100586,0.98999023,3219310.0,982.6941,981.80396,2.390625,1.3515625,9.339844,-0.0007324219,-0.15527344,-0.60876465,0.77801514
2634345,983.8633,983.2134,-2.2617188,0.46484375,8.90625,0.018432617,0.13671875,0.031555176,0.9899292,3219335.0,982.69507,981.8115,2.1601562,1.46875,9.3359375,-0.0022583008,-0.15496826,-0.6069336,0.77948
2634360,983.90234,983.1819,-2.2617188,0.6171875,8.9453125,0.018127441,0.13806152,0.03161621,0.9897461,3219350.0,982.6987,981.7942,2.0078125,1.5429688,9.300781,-0.0032958984,-0.15496826,-0.6054077,0.78063965
2634380,983.90576,983.1887,-2.296875,0.6953125,9.175781,0.01727295,0.13989258,0.031311035,0.98950195,3219370.0,982.7124,981.80176,2.0429688,1.5429688,9.3359375,-0.005126953,-0.15570068,-0.60357666,0.7819214
2634400,983.8655,983.1902,-2.375,0.80859375,9.3671875,0.016052246,0.14141846,0.030883789,0.98931885,3219390.0,982.70264,981.8069,2.6210938,1.5078125,9.371094,-0.0073242188,-0.15698242,-0.60217285,0.78271484
2634425,983.886,983.1892,-2.5664062,0.734375,9.332031,0.014831543,0.14257812,0.030822754,0.9891968,3219410.0,982.70703,981.83203,2.734375,1.5078125,9.40625,-0.009521484,-0.15795898,-0.6012573,0.7832031
2634440,983.90674,983.1848,-2.6445312,0.6953125,9.410156,0.014038086,0.144104,0.03112793,0.98895264,3219430.0,982.71484,981.8208,2.734375,1.390625,9.527344,-0.011474609,-0.1585083,-0.60076904,0.78344727
2634460,983.9021,983.18604,-2.8359375,0.65625,9.449219,0.01361084,0.14593506,0.031677246,0.9887085,3219455.0,982.69385,981.8176,2.5429688,1.3164062,9.449219,-0.012512207,-0.15887451,-0.6008911,0.7833252
2634480,983.9092,983.198,-3.0273438,0.65625,9.519531,0.012878418,0.14758301,0.032226562,0.98846436,3219470.0,982.66846,981.8025,2.4648438,1.3164062,9.3671875,-0.012756348,-0.15942383,-0.6010132,0.78308105
2634500,983.906,983.18896,-3.0273438,0.50390625,9.671875,0.012390137,0.14886475,0.032287598,0.98828125,3219490.0,982.698,981.813,2.4296875,1.4296875,9.21875,-0.0126953125,-0.15960693,-0.6010132,0.78302
2634520,983.91016,983.197,-3.0664062,0.65625,9.5546875,0.012512207,0.14971924,0.032104492,0.98809814,3219510.0,982.6721,981.83276,2.4296875,1.5078125,9.105469,-0.013549805,-0.15924072,-0.6008301,0.7832031
2634540,983.895,983.19604,-3.0273438,0.7734375,9.4765625,0.012756348,0.15032959,0.032409668,0.9880371,3219530.0,982.6814,981.7986,2.5039062,1.4296875,9.1796875,-0.0154418945,-0.1583252,-0.6005249,0.7836304
2634560,983.91626,983.1616,-2.875,0.58203125,9.480469,0.013671875,0.1506958,0.03314209,0.98791504,3219550.0,982.6858,981.80615,2.5039062,1.3164062,9.261719,-0.017822266,-0.15704346,-0.6001587,0.78411865
2634580,983.9099,983.1831,-2.71875,0.6953125,9.253906,0.014892578,0.15093994,0.033813477,0.987854,3219570.0,982.70386,981.83887,2.5039062,1.2773438,9.371094,-0.019592285,-0.15588379,-0.5997925,0.78460693
2634600,983.88257,983.1963,-2.6445312,0.65625,9.25,0.015136719,0.15093994,0.034118652,0.987854,3219590.0,982.6887,981.8064,2.5429688,1.1601562,9.371094,-0.020202637,-0.15570068,-0.5996704,0.78466797
2634620,983.8899,983.17993,-2.6054688,0.58203125,9.25,0.015380859,0.15081787,0.034179688,0.987854,3219610.0,982.66626,981.80786,2.5039062,1.2382812,9.3359375,-0.020324707,-0.15582275,-0.60028076,0.7842407
2634640,983.8855,983.1824,-2.5664062,0.6171875,9.171875,0.015991211,0.15093994,0.034423828,0.98779297,3219630.0,982.67993,981.8179,2.390625,1.1601562,9.3671875,-0.020446777,-0.1560669,-0.6010742,0.78356934
2634660,983.9021,983.17944,-2.71875,0.58203125,9.136719,0.016296387,0.15124512,0.035095215,0.98773193,3219655.0,982.729,981.8218,2.5429688,1.2382812,9.371094,-0.021728516,-0.15570068,-0.60131836,0.78338623
2634680,983.8865,983.19214,-2.8359375,0.3515625,9.253906,0.016357422,0.1517334,0.035705566,0.9876709,3219670.0,982.69995,981.8396,2.734375,1.125,9.484375,-0.024353027,-0.15466309,-0.6008911,0.7838135
2634700,983.8423,983.17334,-2.9882812,0.2734375,9.25,0.016235352,0.15228271,0.036193848,0.9875488,3219690.0,982.7239,981.8091,2.8476562,0.89453125,9.6015625,-0.02709961,-0.15393066,-0.60009766,0.78448486
2634725,983.8882,983.20483,-3.2929688,0.12109375,9.253906,0.01586914,0.15289307,0.036376953,0.98742676,3219710.0,982.678,981.80835,2.9648438,0.9296875,9.640625,-0.028747559,-0.15332031,-0.5996094,0.7849121
2634740,983.88354,983.1809,-3.2929688,0.08203125,9.332031,0.015258789,0.15350342,0.036254883,0.9873657,3219730.0,982.6787,981.81396,2.9648438,0.89453125,9.488281,-0.0289917,-0.15252686,-0.5996094,0.7850952
2634760,983.90234,983.18555,-3.21875,0.08203125,9.371094,0.015319824,0.15386963,0.035888672,0.9873047,3219750.0,982.7014,981.83276,2.8867188,0.96875,9.371094,-0.028137207,-0.15222168,-0.5999756,0.7849121
2634780,983.9109,983.2156,-3.0664062,0.234375,9.371094,0.015808105,0.15393066,0.035583496,0.9873047,3219770.0,982.7129,981.80225,2.6953125,1.0078125,9.21875,-0.027038574,-0.15222168,-0.60046387,0.7845459
2634800,983.8655,983.1831,-2.875,0.3515625,9.410156,0.016113281,0.1538086,0.035339355,0.9873657,3219790.0,982.6985,981.8093,2.5039062,1.046875,9.222656,-0.026000977,-0.152771,-0.60046387,0.78448486
2634820,983.9304,983.1719,-2.875,0.46484375,9.480469,0.016357422,0.15362549,0.03479004,0.9873657,3219810.0,982.67896,981.81494,2.5429688,1.0859375,9.2578125,-0.026123047,-0.15344238,-0.5996704,0.78497314
2634840,983.89795,983.1863,-2.875,0.58203125,9.515625,0.016601562,0.15325928,0.034118652,0.98742676,3219830.0,982.69116,981.80884,2.65625,1.125,9.40625,-0.026977539,-0.15350342,-0.5982666,0.7859497
2634860,983.9009,983.176,-2.9492188,0.6171875,9.5546875,0.016967773,0.15252686,0.033447266,0.98760986,3219855.0,982.7073,981.83887,2.8125,1.125,9.4453125,-0.027709961,-0.15258789,-0.5968628,0.78723145
2634880,983.8811,983.1753,-2.9492188,0.7734375,9.4453125,0.01763916,0.15136719,0.033203125,0.98779297,3219870.0,982.7178,981.83813,2.734375,1.0859375,9.449219,-0.027954102,-0.15124512,-0.59576416,0.78826904
2634900,983.89966,983.18823,-2.875,0.80859375,9.328125,0.018737793,0.15008545,0.033325195,0.98791504,3219890.0,982.6904,981.7969,2.734375,1.046875,9.4453125,-0.02709961,-0.1506958,-0.5952759,0.7887573
2634920,983.8999,983.1846,-2.875,0.7734375,9.175781,0.020141602,0.14868164,0.033935547,0.98809814,3219910.0,982.66797,981.8291,2.734375,1.1601562,9.3671875,-0.026000977,-0.15118408,-0.5949707,0.7889404
2634940,983.9033,983.17944,-2.796875,0.734375,9.027344,0.021240234,0.14752197,0.034851074,0.9882202,3219930.0,982.70654,981.8242,2.65625,1.2773438,9.261719,-0.025390625,-0.15118408,-0.5946045,0.7892456
2634960,983.8723,983.1831,-2.7578125,0.58203125,9.027344,0.022094727,0.14654541,0.035583496,0.98828125,3219950.0,982.70825,981.8391,2.5429688,1.1601562,9.3359375,-0.02545166,-0.15039062,-0.5941162,0.7897949
2634980,983.8877,983.15845,-2.796875,0.734375,8.988281,0.022338867,0.1459961,0.035888672,0.9884033,3219970.0,982.7258,981.81665,2.5820312,1.125,9.300781,-0.02557373,-0.14971924,-0.59350586,0.7904053
2635000,983.864,983.1831,-2.875,0.734375,9.0234375,0.022033691,0.14569092,0.036010742,0.9884033,3219995.0,982.6604,981.8142,2.65625,1.0859375,9.296875,-0.025939941,-0.14941406,-0.59277344,0.7909546
2635025,983.88257,983.14966,-2.9101562,0.7734375,9.175781,0.022033691,0.14556885,0.036376953,0.98846436,3220010.0,982.6948,981.83203,2.65625,1.046875,9.300781,-0.026123047,-0.14910889,-0.5924072,0.7913208
2635040,983.91016,983.1738,-2.796875,0.80859375,9.214844,0.022338867,0.14526367,0.03717041,0.98846436,3220030.0,982.65137,981.78906,2.5039062,0.96875,9.300781,-0.025878906,-0.14880371,-0.5918579,0.79174805
2635060,983.9011,983.21826,-2.6796875,0.7734375,9.214844,0.022888184,0.14501953,0.038146973,0.9884033,3220055.0,982.67993,981.8252,2.5820312,1.0859375,9.183594,-0.025756836,-0.1486206,-0.5911255,0.7923584
2635080,983.88696,983.1975,-2.5664062,0.7734375,9.292969,0.023132324,0.1449585,0.03930664,0.9884033,3220070.0,982.70435,981.8323,2.734375,1.125,9.140625,-0.026672363,-0.14807129,-0.5900879,0.7932129
2635100,983.91797,983.13184,-2.4882812,0.6953125,9.5546875,0.02331543,0.1451416,0.040161133,0.9883423,3220090.0,982.72144,981.7991,2.6953125,1.0078125,9.3359375,-0.028198242,-0.14770508,-0.58862305,0.7943115
2635120,983.907,983.15967,-2.5664062,0.6953125,9.6328125,0.023498535,0.14508057,0.04107666,0.98828125,3220110.0,982.7178,981.751,2.734375,1.0078125,9.40625,-0.029052734,-0.14794922,-0.5871582,0.7952881
2635140,983.8777,983.19336,-2.6796875,0.65625,9.597656,0.024047852,0.14483643,0.042053223,0.98828125,3220130.0,982.69165,981.7825,2.7734375,1.1601562,9.339844,-0.02935791,-0.14801025,-0.5861206,0.7960205
2635160,983.8884,983.1792,-2.796875,0.6171875,9.5546875,0.024719238,0.14447021,0.043273926,0.98828125,3220150.0,982.6992,981.82275,2.6953125,1.125,9.371094,-0.029174805,-0.14807129,-0.5856323,0.7963867
2635180,983.8811,983.16284,-2.8359375,0.54296875,9.597656,0.02520752,0.14385986,0.044555664,0.98828125,3220170.0,982.7107,981.79956,2.6953125,1.1992188,9.296875,-0.029296875,-0.1482544,-0.585083,0.7967529
2635200,983.9116,983.16016,-2.875,0.46484375,9.597656,0.02557373,0.14294434,0.04547119,0.9883423,3220195.0,982.6775,981.7876,2.7734375,1.1601562,9.40625,-0.030517578,-0.14819336,-0.58447266,0.7971802
2635220,983.89575,983.17993,-2.875,0.46484375,9.410156,0.026000977,0.14147949,0.046447754,0.9885254,3220210.0,982.6924,981.82446,2.8867188,1.0859375,9.410156,-0.03137207,-0.14807129,-0.58392334,0.7976074
