timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1256935,1021.3806,1016.7988,5.4765625,-2.765625,8.011719,0.18676758,-0.2744751,0.83599854,0.43695068,1297520.0,1021.64844,1023.5686,-9.796875,-0.7890625,2.4804688,-0.6179199,0.12817383,0.73760986,0.2401123
1256940,1021.3899,1017.57446,5.2460938,-3.1484375,7.9414062,0.18237305,-0.27856445,0.83935547,0.4296875,1297535.0,1021.6836,1023.56274,-8.53125,-2.015625,1.7539062,-0.6259155,0.081726074,0.7460327,0.21209717
1256950,1021.3899,1017.57446,4.75,-3.8007812,7.859375,0.2029419,-0.25305176,0.9143677,0.24230957,1297550.0,1021.69385,1023.5962,-8.765625,-1.8242188,2.0625,-0.6240845,0.08282471,0.7471924,0.21282959
1256960,1021.3921,1019.0198,4.9414062,-3.953125,7.7851562,0.20379639,-0.2532959,0.91400146,0.24261475,1297570.0,1021.6865,1023.58496,-9.152344,-1.4414062,2.5585938,-0.6222534,0.08428955,0.7484741,0.21313477
1256980,1021.3867,1020.2002,4.8242188,-3.6484375,7.8632812,0.20507812,-0.25335693,0.9135742,0.24310303,1297590.0,1021.6658,1023.5593,-9.152344,-0.71484375,2.7890625,-0.62176514,0.08605957,0.7494507,0.21051025
1257000,1021.37915,1020.68677,4.9414062,-3.5703125,7.6640625,0.2064209,-0.25372314,0.913147,0.24316406,1297610.0,1021.6594,1023.5415,-9.996094,-0.90625,1.9453125,-0.623291,0.08807373,0.7491455,0.20629883
1257020,1021.4011,1020.9988,4.9414062,-3.4570312,7.703125,0.20721436,-0.2539673,0.91296387,0.24310303,1297630.0,1021.6665,1023.5425,-10.484375,-0.8671875,2.2148438,-0.6237793,0.09082031,0.7487793,0.20495605
1257040,1021.4177,1020.52783,4.6328125,-3.265625,7.78125,0.20788574,-0.25445557,0.91278076,0.24249268,1297650.0,1021.678,1023.5364,-10.488281,-0.67578125,2.0234375,-0.6220703,0.09539795,0.74902344,0.20703125
1257060,1021.40283,1019.343,4.9023438,-3.3789062,7.8632812,0.20855713,-0.25524902,0.9127197,0.24151611,1297670.0,1021.68286,1023.51514,-10.449219,-0.63671875,2.1757812,-0.6187744,0.10070801,0.7498779,0.21136475
1257080,1021.38696,1015.33813,5.171875,-3.4921875,7.7851562,0.2086792,-0.25585938,0.91278076,0.24041748,1297690.0,1021.67334,1023.5134,-10.066406,0.8203125,2.6367188,-0.6164551,0.10357666,0.7510376,0.21276855
1257100,1021.3943,1015.0935,5.2109375,-3.6835938,7.9804688,0.2086792,-0.2564087,0.91296387,0.23919678,1297710.0,1021.6892,1023.53564,-9.375,0.4765625,2.1757812,-0.6174927,0.101501465,0.751709,0.20831299
1257120,1021.39307,1015.1304,5.4023438,-3.8398438,7.9023438,0.20880127,-0.25701904,0.91308594,0.23791504,1297730.0,1021.6638,1023.54346,-9.1875,-0.29296875,1.6757812,-0.62023926,0.09674072,0.75268555,0.1986084
1257140,1021.4038,1015.12256,5.171875,-3.7226562,7.7421875,0.20916748,-0.2574463,0.913147,0.23699951,1297750.0,1021.64624,1023.54614,-9.453125,-1.171875,1.7929688,-0.62280273,0.0927124,0.7537842,0.18780518
1257160,1021.40674,1014.66675,4.9804688,-3.53125,7.59375,0.21008301,-0.25787354,0.91296387,0.23638916,1297770.0,1021.6284,1023.54517,-9.03125,-0.71484375,1.8320312,-0.62316895,0.09289551,0.7542114,0.18481445
1257180,1021.38403,1013.9961,5.0195312,-3.6835938,7.4414062,0.21105957,-0.2579956,0.91278076,0.23602295,1297785.0,1021.64087,1023.55835,-8.691406,-0.63671875,1.7148438,-0.6223755,0.09429932,0.75445557,0.18597412
1257200,1021.4263,1013.5303,4.9804688,-3.53125,7.5585938,0.21173096,-0.2579956,0.9127197,0.2355957,1297810.0,1021.62915,1023.5437,-8.609375,-0.59765625,1.8320312,-0.6211548,0.09454346,0.7548828,0.18811035
1257220,1021.43823,1015.24023,4.9804688,-3.7617188,7.5546875,0.21203613,-0.25823975,0.91278076,0.23492432,1297825.0,1021.6345,1023.5537,-8.847656,-0.55859375,1.984375,-0.6210327,0.093444824,0.75512695,0.18811035
1257240,1021.39355,1016.64624,4.9804688,-3.7617188,7.6640625,0.2121582,-0.25842285,0.9128418,0.23425293,1297845.0,1021.6753,1023.5388,-9.378906,-0.71484375,1.984375,-0.6220093,0.09136963,0.755188,0.18560791
1257260,1021.3877,1015.7351,4.9804688,-3.7226562,7.8984375,0.21234131,-0.25842285,0.9128418,0.23413086,1297865.0,1021.67065,1023.54956,-9.4921875,-0.828125,1.984375,-0.6230469,0.08935547,0.7554321,0.18225098
1257280,1021.4126,1015.4734,4.8242188,-3.7226562,7.78125,0.21228027,-0.25830078,0.9127197,0.23474121,1297895.0,1021.66284,1023.5569,-9.2578125,-0.90625,2.328125,-0.6231079,0.088378906,0.75567627,0.18115234
1257300,1021.4138,1015.4175,4.7109375,-3.7226562,7.9023438,0.21228027,-0.2579956,0.91259766,0.2355957,1297905.0,1021.64136,1023.56616,-9.2265625,-0.98046875,2.1757812,-0.62213135,0.088256836,0.7558594,0.18414307
1257320,1021.39307,1014.6919,4.75,-3.609375,8.046875,0.21234131,-0.25769043,0.91241455,0.23657227,1297925.0,1021.667,1023.541,-9.1875,-0.98046875,1.984375,-0.62060547,0.08874512,0.75549316,0.19006348
1257340,1021.41016,1015.7595,4.9414062,-3.609375,7.8632812,0.21246338,-0.2576294,0.91223145,0.23730469,1297950.0,1021.6323,1023.5581,-9.300781,-0.90625,1.984375,-0.6201172,0.08959961,0.75427246,0.19610596
1257360,1021.4053,1016.48804,5.0546875,-3.5703125,7.5976562,0.21252441,-0.25756836,0.9121704,0.2376709,1297965.0,1021.6377,1023.5779,-9.5703125,-0.71484375,2.0234375,-0.62091064,0.089538574,0.753479,0.19671631
1257380,1021.4197,1016.4641,5.09375,-3.53125,7.6640625,0.21276855,-0.2578125,0.9119873,0.23773193,1297985.0,1021.6626,1023.563,-9.613281,-0.71484375,2.1757812,-0.6229248,0.088134766,0.75305176,0.19268799
1257400,1021.3865,1017.2556,5.171875,-3.6484375,7.6679688,0.21307373,-0.25823975,0.91186523,0.2374878,1298005.0,1021.67896,1023.5254,-9.496094,-0.67578125,2.2148438,-0.6251831,0.086120605,0.7525635,0.18804932
1257420,1021.40405,1016.6738,5.171875,-3.8007812,7.6679688,0.21325684,-0.25872803,0.91174316,0.23724365,1298025.0,1021.62085,1023.53174,-8.9921875,-1.4414062,1.8320312,-0.62677,0.08526611,0.7509155,0.18988037
1257440,1021.3772,1014.0315,4.9804688,-3.8398438,7.3984375,0.21411133,-0.25964355,0.9113159,0.23724365,1298045.0,1021.59863,1023.58105,-8.953125,-1.515625,1.3710938,-0.6273804,0.085754395,0.74853516,0.19689941
1257460,1021.3845,1009.3037,4.8242188,-3.8398438,6.5976562,0.21655273,-0.2619629,0.90997314,0.23760986,1298065.0,1021.6201,1023.5747,-9.496094,-1.671875,1.484375,-0.62701416,0.0871582,0.74645996,0.20501709
1257480,1021.3335,1007.0259,4.9023438,-3.8398438,6.3671875,0.22192383,-0.2672119,0.9067383,0.23913574,1298090.0,1021.6499,1023.5696,-9.722656,-0.7890625,1.6015625,-0.62664795,0.0881958,0.7456665,0.2086792
1257500,1021.375,1003.67773,5.2851562,-3.4570312,6.0585938,0.23016357,-0.27618408,0.901001,0.24273682,1298105.0,1021.6465,1023.54956,-9.3359375,-1.0585938,1.4492188,-0.62805176,0.08770752,0.7449341,0.20727539
1257520,1021.39746,1013.60254,5.0195312,-2.8046875,6.0546875,0.23925781,-0.29278564,0.8911743,0.25079346,1298125.0,1021.66797,1023.5891,-9.296875,-1.4804688,1.1796875,-0.6307373,0.086242676,0.74346924,0.20495605
1257540,1021.4126,1021.334,4.9023438,-4.2617188,8.3984375,0.2503662,-0.309021,0.88067627,0.25738525,1298150.0,1021.64453,1023.59375,-9.6796875,-2.09375,1.3320312,-0.6320801,0.08508301,0.7426758,0.20422363
1257560,1021.3843,1021.4419,4.25,-4.9492188,7.4765625,0.27111816,-0.32373047,0.8673706,0.26342773,1298165.0,1021.6687,1023.59106,-9.761719,-1.9765625,1.9453125,-0.63134766,0.08483887,0.7432251,0.20465088
1257590,1021.3013,1021.4751,5.4023438,-2.9570312,5.828125,0.31158447,-0.33947754,0.8435669,0.27575684,1298185.0,1021.6616,1023.5381,-9.6796875,-1.515625,2.828125,-0.62927246,0.08630371,0.7445679,0.2055664
1257610,1021.3308,1021.48804,7.4296875,-1.6171875,3.8398438,0.32885742,-0.3468628,0.83166504,0.28271484,1298205.0,1021.6853,1023.53,-9.417969,-1.1328125,2.9804688,-0.6291504,0.08850098,0.7439575,0.20709229
1257630,1021.2866,1021.47266,6.359375,-0.54296875,2.3828125,0.33776855,-0.35906982,0.8201294,0.29034424,1298225.0,1021.6577,1023.5725,-9.683594,-0.828125,1.984375,-0.631958,0.090148926,0.7411499,0.2078247
1257650,1021.2822,1021.5405,7.125,-1.8085938,1.921875,0.33917236,-0.38153076,0.8069458,0.2970581,1298245.0,1021.6306,1023.5659,-10.066406,-0.90625,1.7929688,-0.6348877,0.08972168,0.739624,0.20452881
1257675,1021.3069,1021.5813,7.96875,-4.2226562,2.0742188,0.33880615,-0.40301514,0.7941284,0.30352783,1298265.0,1021.6333,1023.5969,-9.796875,-1.1328125,1.8320312,-0.6355591,0.08770752,0.7409668,0.19836426
1257690,1021.34546,1021.57275,9.121094,-5.484375,3.4179688,0.34051514,-0.41033936,0.7886963,0.30603027,1298290.0,1021.64795,1023.5449,-9.035156,-1.4804688,2.3671875,-0.63342285,0.08691406,0.7434082,0.1963501
1257710,1021.24023,1021.584,7.5898438,-2.9570312,1.7695312,0.34875488,-0.4105835,0.78656006,0.30187988,1298305.0,1021.688,1023.56055,-8.917969,-1.0976562,2.5585938,-0.6321411,0.087890625,0.7442627,0.19702148
