timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
379625,1013.7178,1012.74634,-0.34765625,8.996094,5.4960938,0.16442871,0.42980957,0.8256836,0.32629395,386940.0,1013.1157,1013.5596,-3.9921875,4.1210938,-9.171875,0.7531128,0.6003418,-0.032226562,0.26708984
379640,1013.7363,1012.71533,-0.234375,8.496094,5.1601562,0.43530273,-0.1652832,-0.28961182,0.8362427,386950.0,1013.103,1013.5232,-5.3320312,7.9960938,-4.265625,0.73876953,-0.3991089,-0.46435547,0.28167725
379655,1013.7461,1012.7175,-0.1171875,8.386719,5.234375,0.4343872,-0.16461182,-0.2911377,0.8363037,386965.0,1013.10156,1013.52637,-5.140625,7.9570312,-4.1523438,0.73846436,-0.39990234,-0.4633789,0.28295898
379675,1013.74976,1012.76,-0.00390625,8.0703125,5.2734375,0.43237305,-0.1640625,-0.29315186,0.836792,386985.0,1013.1074,1013.55786,-4.9882812,7.8007812,-4.0,0.7383423,-0.4005127,-0.46270752,0.2835083
379690,1013.7478,1012.73364,0.07421875,8.035156,5.2734375,0.43145752,-0.16394043,-0.29455566,0.836792,387005.0,1013.1033,1013.5381,-4.8710938,7.6445312,-3.84375,0.73864746,-0.40124512,-0.46191406,0.28302002
379710,1013.7388,1012.7422,0.11328125,8.152344,5.0820312,0.4315796,-0.16326904,-0.2949829,0.8366699,387025.0,1013.11743,1013.56396,-4.8320312,7.6445312,-3.8085938,0.7390747,-0.40185547,-0.4611206,0.28222656
379730,1013.7197,1012.7615,0.07421875,8.003906,5.1601562,0.432312,-0.16241455,-0.29467773,0.8366089,387045.0,1013.0945,1013.5298,-4.8320312,7.5351562,-3.6914062,0.739624,-0.40234375,-0.46014404,0.28173828
379750,1013.73413,1012.7395,-0.04296875,8.109375,5.3125,0.43286133,-0.16217041,-0.29400635,0.8366089,387065.0,1013.09985,1013.5281,-4.9492188,7.4960938,-3.5390625,0.73999023,-0.40264893,-0.45916748,0.28186035
379770,1013.7434,1012.75586,0.1484375,8.1484375,5.1601562,0.43206787,-0.16186523,-0.29345703,0.8372803,387085.0,1013.0945,1013.5615,-4.9492188,7.3398438,-3.5390625,0.7401123,-0.40283203,-0.45819092,0.28289795
379790,1013.74,1012.73267,0.1484375,7.921875,5.234375,0.4300537,-0.16149902,-0.29364014,0.8383179,387105.0,1013.11304,1013.5676,-4.8710938,7.2304688,-3.6171875,0.7401123,-0.4031372,-0.45715332,0.28411865
379810,1013.76245,1012.7495,0.1875,7.7304688,5.3515625,0.42822266,-0.16125488,-0.29370117,0.83929443,387125.0,1013.0935,1013.5515,-4.8320312,7.2304688,-3.6171875,0.74017334,-0.40374756,-0.45593262,0.28497314
379830,1013.7473,1012.7671,0.3046875,7.5390625,5.3867188,0.42694092,-0.16131592,-0.2932129,0.8400879,387145.0,1013.11523,1013.5757,-4.71875,7.2304688,-3.6171875,0.7404785,-0.40447998,-0.45465088,0.28527832
379855,1013.74976,1012.7727,0.3046875,7.4257812,5.3515625,0.42590332,-0.16113281,-0.29241943,0.8409424,387165.0,1013.1211,1013.54663,-4.5664062,7.3359375,-3.6914062,0.74090576,-0.40496826,-0.45324707,0.28564453
379870,1013.73047,1012.7639,0.2265625,7.4648438,5.3125,0.4243164,-0.1609497,-0.29156494,0.842041,387185.0,1013.1179,1013.5779,-4.6796875,7.4960938,-3.5,0.74108887,-0.40527344,-0.45220947,0.28649902
379890,1013.7793,1012.7788,0.3046875,7.34375,5.3515625,0.4227295,-0.1609497,-0.29071045,0.84313965,387205.0,1013.093,1013.5149,-4.5273438,7.3789062,-3.6914062,0.7407837,-0.40551758,-0.45159912,0.28778076
379910,1013.7595,1012.79834,0.45703125,7.1601562,5.3515625,0.42126465,-0.16088867,-0.28979492,0.84417725,387225.0,1013.1189,1013.5552,-4.3359375,7.3359375,-3.6523438,0.7406006,-0.4055786,-0.45080566,0.2894287
379930,1013.7554,1012.7871,0.53515625,7.1953125,5.3515625,0.42071533,-0.16052246,-0.28900146,0.84484863,387245.0,1013.10376,1013.53516,-4.4882812,7.375,-3.5390625,0.7406616,-0.40600586,-0.4494629,0.29077148
379950,1013.7495,1012.7566,0.609375,7.5429688,5.2734375,0.41949463,-0.15893555,-0.288208,0.8460083,387265.0,1013.0925,1013.51636,-4.3359375,7.4921875,-3.6171875,0.7407837,-0.4066162,-0.44818115,0.291687
379970,1013.72656,1012.7683,0.49609375,7.421875,5.5039062,0.4175415,-0.1564331,-0.28735352,0.8477173,387285.0,1013.07983,1013.5598,-4.1835938,7.5742188,-3.8085938,0.7409668,-0.40734863,-0.44665527,0.29248047
379990,1013.7583,1012.74023,0.3046875,7.1992188,6.1914062,0.41607666,-0.15435791,-0.28656006,0.84906006,387305.0,1013.13696,1013.53687,-4.1445312,7.53125,-3.9609375,0.74139404,-0.4081421,-0.44500732,0.29284668
380010,1013.7329,1012.76685,0.265625,7.3828125,6.1914062,0.41552734,-0.15325928,-0.28656006,0.84954834,387325.0,1013.10596,1013.5515,-4.1835938,7.8007812,-4.3828125,0.74212646,-0.4086914,-0.44299316,0.29327393
380030,1013.76025,1012.7388,0.2265625,7.5390625,6.078125,0.41583252,-0.15270996,-0.28692627,0.84936523,387345.0,1013.05566,1013.5525,-4.296875,7.8398438,-4.6132812,0.7426758,-0.40875244,-0.44140625,0.29418945
380050,1013.751,1012.7534,0.265625,8.003906,5.9648438,0.41558838,-0.15197754,-0.2876587,0.84936523,387365.0,1013.0835,1013.53394,-4.296875,7.7226562,-4.6875,0.74346924,-0.40826416,-0.4393921,0.29577637
380070,1013.7527,1012.74634,1.2617188,8.109375,5.9257812,0.4140625,-0.15014648,-0.28881836,0.85009766,387385.0,1013.05273,1013.51685,-4.71875,7.4570312,-4.765625,0.7449341,-0.40808105,-0.4366455,0.29644775
380090,1013.7322,1012.7197,1.8359375,8.3828125,6.0390625,0.41638184,-0.1484375,-0.2892456,0.84906006,387405.0,1013.08496,1013.54175,-6.0585938,7.0351562,-5.7617188,0.7475586,-0.4086914,-0.43267822,0.29473877
380110,1013.74097,1012.6902,2.640625,9.535156,5.8867188,0.42578125,-0.14678955,-0.28930664,0.8446655,387425.0,1013.07153,1013.4995,-6.9804688,6.9179688,-6.5273438,0.7510376,-0.41064453,-0.42785645,0.29022217
380135,1013.6909,1012.6033,3.1367188,12.5546875,4.3945312,0.44622803,-0.14550781,-0.28741455,0.83496094,387445.0,1013.01855,1013.5154,-8.128906,7.1875,-6.9101562,0.75476074,-0.41418457,-0.42297363,0.28259277
380150,1013.6616,1012.60693,3.1757812,13.941406,2.6289062,0.48034668,-0.14367676,-0.27734375,0.8195801,387465.0,1013.05615,1013.54614,-8.167969,6.9960938,-7.3320312,0.7572632,-0.41796875,-0.42089844,0.27331543
380170,1013.59717,1012.6345,2.4492188,13.8203125,1.0976562,0.51885986,-0.14056396,-0.25628662,0.8033447,387485.0,1013.0454,1013.5779,-7.2421875,6.3046875,-6.6796875,0.7573242,-0.4212036,-0.42321777,0.2644043
380190,1013.6113,1012.7009,1.5664062,13.058594,0.5625,0.55340576,-0.13879395,-0.22949219,0.7885742,387505.0,1013.1267,1013.6167,-6.7109375,5.4609375,-5.5703125,0.7561035,-0.42492676,-0.4282837,0.25372314
380210,1013.6426,1012.7312,0.83984375,8.808594,0.25390625,0.5855713,-0.13897705,-0.19885254,0.7734375,387525.0,1013.1135,1013.6233,-5.8320312,4.8515625,-4.9570312,0.7542114,-0.42993164,-0.43481445,0.23931885
380230,1013.66846,1012.77954,0.87890625,6.1171875,0.140625,0.6119995,-0.13970947,-0.17388916,0.75878906,387545.0,1013.1316,1013.6162,-5.1054688,4.390625,-4.3828125,0.7520752,-0.43621826,-0.4407959,0.22320557
380255,1013.6443,1012.76685,1.4140625,3.9804688,-0.08984375,0.6517334,-0.13671875,-0.14007568,0.7327881,387565.0,1013.09595,1013.6531,-3.4140625,4.4648438,-4.3828125,0.75,-0.44451904,-0.444458,0.20581055
380270,1013.6609,1012.73193,1.1445312,2.9023438,0.25390625,0.71435547,-0.12768555,-0.08569336,0.6826782,387585.0,1013.07764,1013.6338,-2.8398438,4.734375,-4.3828125,0.748291,-0.45385742,-0.44506836,0.18969727
380300,1013.5945,1012.56714,-0.38671875,3.9765625,-0.6640625,0.7880249,-0.115234375,-0.015258789,0.60461426,387605.0,1013.0574,1013.6199,-2.4570312,5.234375,-4.4960938,0.7470093,-0.4630127,-0.44403076,0.17437744
380310,1013.56323,1012.56714,-0.04296875,4.2460938,-1.9648438,0.86608887,-0.09869385,0.07080078,0.48492432,387625.0,1013.1006,1013.6282,-2.6132812,5.5039062,-4.421875,0.7460327,-0.47149658,-0.44250488,0.15924072
380330,1013.57104,1012.6211,0.37890625,4.5898438,-3.3085938,0.91485596,-0.083984375,0.13366699,0.3717041,387645.0,1013.10596,1013.60986,-2.9960938,6.0,-4.0351562,0.7454834,-0.47937012,-0.43981934,0.14489746
380350,1013.51685,1012.69385,0.45703125,3.7460938,-4.6523438,0.94976807,-0.068481445,0.18676758,0.24157715,387665.0,1013.11084,1013.5759,-3.3007812,6.0742188,-3.9609375,0.74609375,-0.48565674,-0.43585205,0.13232422
380380,1013.52637,1012.8672,1.6054688,2.9414062,-6.9453125,0.9661255,-0.055603027,0.21716309,0.1281128,387685.0,1013.14795,1013.5845,-3.6054688,6.0039062,-3.921875,0.74853516,-0.49157715,-0.42895508,0.118774414
380390,1013.4995,1012.8672,1.875,4.2460938,-7.7539062,0.9723511,-0.043395996,0.22546387,0.04272461,387705.0,1013.1509,1013.5791,-3.6445312,5.8867188,-3.9609375,0.7528076,-0.49743652,-0.4182129,0.10449219
380410,1013.4888,1012.97144,1.875,3.3242188,-8.441406,0.9755249,-0.037353516,0.21661377,0.0056762695,387730.0,1013.0637,1013.6045,-3.6835938,4.9648438,-4.2265625,0.75878906,-0.5045166,-0.4022827,0.08880615
380435,1013.469,1013.0115,1.4140625,0.0703125,-10.546875,-0.9802246,0.034179688,-0.19458008,0.011657715,387745.0,1013.0586,1013.59985,-3.6445312,4.4296875,-5.0742188,0.7666626,-0.51275635,-0.37994385,0.070129395
380450,1013.49194,1013.02686,0.83984375,-1.4257812,-10.3125,-0.9855957,0.032287598,-0.16479492,0.01940918,387765.0,1013.02,1013.60913,-3.6054688,3.8164062,-5.9960938,0.7753296,-0.5213623,-0.35284424,0.050354004
380470,1013.4866,1013.02686,0.76171875,-1.8085938,-10.125,-0.9898071,0.02960205,-0.13641357,0.02758789,387785.0,1013.01245,1013.63257,-3.953125,3.6640625,-7.2890625,0.78289795,-0.5299072,-0.3244629,0.031188965
380490,1013.5115,1013.04517,1.3007812,-1.7695312,-9.667969,-0.99334717,0.024780273,-0.10559082,0.038146973,387810.0,1012.98535,1013.65454,-4.71875,3.2773438,-9.28125,0.78796387,-0.53796387,-0.2991333,0.013793945
380510,1013.47046,1013.0625,2.7929688,-3.4179688,-11.390625,-0.99542236,0.018310547,-0.07727051,0.052978516,387825.0,1012.9807,1013.6648,-4.1445312,2.6289062,-9.746094,-0.7911377,0.5466919,0.27435303,0.0040893555
380530,1013.4197,1013.0464,3.2539062,-1.921875,-14.191406,-0.9958496,0.010498047,-0.055847168,0.07080078,387845.0,1013.00806,1013.6907,-3.7226562,2.1679688,-9.859375,-0.7927246,0.5550537,0.2512207,0.018554688
380550,1017.53955,1013.0698,2.3710938,-1.2734375,-15.5234375,-0.99554443,0.003479004,-0.046142578,0.082458496,387865.0,1012.95483,1013.6719,-3.5703125,2.5507812,-9.667969,-0.79351807,0.5625,0.23040771,0.029418945
380570,1015.5095,1013.0442,3.7890625,-2.3828125,-14.9140625,-0.9941406,-0.0009765625,-0.05090332,0.095458984,387890.0,1015.2771,1013.6738,-3.1484375,2.0546875,-11.394531,-0.7937622,0.56884766,0.21276855,0.03314209
380600,1014.9033,1013.0261,2.3320312,-1.5390625,-10.7734375,-0.9925537,-0.0072631836,-0.056884766,0.107177734,387905.0,1017.0405,1013.0476,-3.7617188,1.9765625,-11.160156,-0.7929077,0.5751953,0.19732666,0.037963867
380610,1014.9624,1013.4326,1.875,-2.2695312,-10.546875,-0.9909668,-0.013977051,-0.06854248,0.11425781,387925.0,1015.37085,1013.3821,-3.3789062,2.015625,-10.011719,-0.7914429,0.57940674,0.1895752,0.0446167
380630,1015.1267,1012.7627,1.9140625,-1.921875,-10.3515625,-0.9901123,-0.01940918,-0.0769043,0.11590576,387945.0,1014.46216,1013.45337,-2.765625,1.7460938,-11.089844,-0.7897949,0.58258057,0.18475342,0.051635742
380650,1015.57324,1012.54663,2.21875,-2.7265625,-9.285156,-0.98968506,-0.025268555,-0.08416748,0.11328125,387965.0,1014.19336,1013.2329,-2.1132812,2.1289062,-9.96875,-0.78863525,0.58532715,0.17944336,0.05657959
380670,1015.87646,1012.8323,2.6015625,-2.4609375,-7.6367188,-0.98950195,-0.031799316,-0.08972168,0.10852051,387985.0,1014.25464,1013.4795,-2.4570312,2.359375,-9.746094,-0.7885742,0.5872803,0.17358398,0.055480957
380690,1015.97314,1012.9895,2.4101562,-2.5742188,-7.0234375,-0.989624,-0.03881836,-0.09185791,0.10357666,388005.0,1014.3086,1013.5635,-2.8046875,2.0546875,-9.703125,-0.7894287,0.5881958,0.16845703,0.04925537
380710,1015.8728,1013.0073,2.4882812,-2.5351562,-7.3320312,-0.98999023,-0.047729492,-0.09057617,0.09710693,388025.0,1014.615,1013.67993,-2.9570312,1.4414062,-9.558594,-0.7907715,0.5881958,0.16455078,0.039916992
380735,1015.8262,1013.0281,3.90625,-1.921875,-8.6328125,-0.9906616,-0.057495117,-0.086364746,0.08850098,388045.0,1014.792,1013.7644,-3.5703125,1.5546875,-8.9765625,-0.791687,0.5881958,0.16259766,0.028625488
380750,1015.8579,1013.20825,3.828125,-1.4257812,-8.859375,-0.99139404,-0.06829834,-0.08300781,0.07489014,388065.0,1015.1682,1013.8225,-3.4140625,1.25,-8.863281,-0.791626,0.588501,0.16345215,0.018127441
380775,1015.96484,1013.25366,3.328125,-1.2734375,-8.980469,-0.9918823,-0.077941895,-0.08312988,0.056762695,388085.0,1015.261,1013.687,-2.9960938,1.171875,-8.8203125,-0.79119873,0.5889282,0.16442871,0.010620117
380790,1016.17993,1013.44556,2.5234375,-1.5,-9.28125,-0.9918213,-0.08831787,-0.08648682,0.032287598,388105.0,1015.2473,1013.8003,-2.7265625,1.09375,-8.8984375,-0.79052734,0.5899048,0.16467285,0.0038452148
380810,1016.27246,1013.7051,2.4882812,-0.0078125,-9.96875,-0.99090576,-0.097839355,-0.092041016,0.008056641,388125.0,1015.24976,1013.8982,-3.7617188,1.8242188,-9.902344,0.7890625,-0.59173584,-0.16497803,0.0041503906
380830,1016.5066,1013.7246,2.1796875,0.22265625,-9.894531,0.98864746,0.10784912,0.10266113,0.019165039,388145.0,1015.4038,1014.2593,-4.0664062,1.7460938,-10.0078125,0.786438,-0.5944824,-0.1671753,0.01373291
380855,1017.1609,1014.24316,1.6445312,1.4101562,-9.203125,0.9850464,0.11773682,0.11639404,0.047424316,388165.0,1015.66064,1014.4719,-3.9921875,1.7070312,-9.589844,0.78240967,-0.5982666,-0.17114258,0.02368164
