timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
148500,1008.66064,1008.6804,0.8359375,9.292969,2.4648438,0.54382324,-0.29626465,-0.31170654,0.7206421,148875.0,1007.114,1008.79565,-2.1210938,7.8515625,-4.5351562,0.17730713,0.8399658,0.4724121,0.199646
148515,1008.6516,1008.65137,-1.6914062,5.4570312,8.6328125,0.30541992,-0.008239746,-0.44818115,0.8400879,148885.0,1007.1321,1008.79565,0.75,8.003906,-4.5703125,0.22894287,0.8111572,0.5250244,0.11779785
148525,1008.6516,1008.6614,-1.8828125,5.265625,8.8203125,0.30078125,0.0005493164,-0.4489746,0.8413696,148895.0,1007.1155,1008.8313,5.4257812,6.9726562,-3.8828125,-0.3652954,-0.77111816,-0.49902344,0.15136719
148545,1008.6145,1008.57544,-2.0390625,5.4179688,8.597656,0.29833984,0.010803223,-0.44854736,0.8424072,148910.0,1007.105,1008.90063,5.2695312,6.8945312,-3.6914062,-0.36279297,-0.77111816,-0.49957275,0.15570068
148565,1008.64233,1008.61597,-2.5742188,5.0,8.59375,0.29492188,0.02319336,-0.44750977,0.8439331,148930.0,1007.12305,1009.0188,5.4609375,6.5078125,-4.3046875,-0.3600464,-0.77215576,-0.49902344,0.1583252
148590,1008.62915,1008.50073,-2.34375,5.5351562,9.0546875,0.29003906,0.034179688,-0.44714355,0.845459,148950.0,1007.1111,1008.9275,5.6914062,6.8945312,-4.5703125,-0.3571167,-0.77441406,-0.49682617,0.16088867
148605,1008.61597,1008.4634,-3.8359375,3.6953125,9.1640625,0.28338623,0.04675293,-0.44677734,0.84729004,148970.0,1007.09204,1009.4514,5.5390625,7.046875,-3.3828125,-0.35473633,-0.7776489,-0.49224854,0.16473389
148625,1008.60474,1008.4678,-3.1484375,3.734375,8.6328125,0.27703857,0.05456543,-0.4501953,0.84710693,148990.0,1007.09595,1009.46655,6.109375,4.5585938,-4.3046875,-0.35113525,-0.7822876,-0.4866333,0.16705322
148645,1008.5874,1008.38916,-2.9960938,3.5039062,8.9375,0.27313232,0.059265137,-0.45428467,0.84588623,149010.0,1007.074,1009.449,5.4609375,7.5859375,-4.265625,-0.3496704,-0.78656006,-0.48168945,0.16436768
148665,1008.5613,1008.2573,-3.2617188,4.078125,8.0546875,0.26983643,0.0635376,-0.45855713,0.84436035,149030.0,1007.03906,1009.52124,5.6171875,7.9335938,-5.4140625,-0.3503418,-0.78723145,-0.48187256,0.15924072
