timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
349200,978.7014,977.7195,8.253906,-4.1875,-3.9726562,-0.7733154,-0.28259277,-0.36645508,0.43347168,344655,976.1692,976.6006,-9.625,1.6640625,0.09765625,-0.3782959,0.5914917,0.49816895,0.508728
349210,978.70386,977.7195,6.7226562,-4.9921875,-3.0507812,-0.78656006,-0.24804688,-0.36572266,0.4312744,344675,976.1631,976.59155,-8.902344,1.8945312,3.0117188,-0.48266602,0.3256836,0.75061035,0.31243896
349220,978.6997,977.69214,7.140625,-5.7226562,-2.7070312,-0.7891846,-0.20751953,-0.3461914,0.46289062,344685,976.17236,976.6145,-8.902344,2.0078125,3.0117188,-0.48254395,0.32537842,0.75146484,0.31066895
349235,978.6665,977.6682,7.2617188,-5.796875,-2.7460938,-0.79022217,-0.206604,-0.34350586,0.46350098,344705,976.1504,976.61084,-8.980469,2.046875,2.9726562,-0.48284912,0.32507324,0.75213623,0.30895996
349250,978.6748,977.72876,7.4101562,-5.953125,-2.9375,-0.7920532,-0.20562744,-0.33874512,0.46435547,344730,976.14453,976.5845,-9.1328125,1.8554688,2.8945312,-0.48327637,0.32507324,0.75268555,0.3069458
349270,978.68335,977.6897,7.5273438,-5.9882812,-3.1289062,-0.7937012,-0.20513916,-0.3343506,0.46496582,344745,976.15454,976.5952,-9.207031,1.8945312,2.8203125,-0.48327637,0.32543945,0.75323486,0.30529785
349290,978.6848,977.69507,7.5234375,-5.8359375,-3.28125,-0.79589844,-0.20489502,-0.3302002,0.46429443,344765,976.1448,976.63086,-9.246094,1.8554688,2.8945312,-0.48266602,0.32574463,0.7538452,0.30438232
349315,978.6963,977.7068,7.3710938,-5.8359375,-3.5117188,-0.79852295,-0.20452881,-0.3267212,0.4623413,344785,976.1653,976.60425,-9.1328125,2.0078125,3.0117188,-0.48181152,0.32574463,0.7546997,0.30358887
349330,978.6682,977.7317,7.328125,-5.9140625,-3.625,-0.8012085,-0.20367432,-0.32250977,0.4611206,344805,976.1709,976.5896,-9.019531,2.046875,3.5078125,-0.48150635,0.32507324,0.75579834,0.302063
349350,978.6753,977.7334,7.1835938,-6.1796875,-3.8945312,-0.8031616,-0.20306396,-0.31707764,0.46166992,344825,976.1797,976.5718,-9.015625,1.9335938,3.625,-0.4814453,0.32513428,0.75634766,0.3007202
