timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
51510,986.5491,984.0581,5.7851562,1.4414062,7.9648438,-0.123046875,-0.29943848,-0.55895996,0.7633667,63730.0,984.62524,985.13184,-2.9804688,0.08203125,9.28125,0.13122559,0.08416748,-0.7946167,0.58673096
51520,986.562,984.0386,5.7851562,1.3671875,7.9609375,-0.12402344,-0.29907227,-0.5601196,0.7625122,63740.0,984.60034,985.1133,-2.9414062,0.12109375,9.28125,0.13098145,0.08428955,-0.79522705,0.5859375
51530,986.5315,984.03,5.7460938,1.40625,7.84375,-0.124572754,-0.29888916,-0.56103516,0.7618408,63760.0,984.61475,985.13403,-2.8632812,0.08203125,9.246094,0.13092041,0.084228516,-0.7958374,0.58514404
51550,986.49976,984.0403,5.671875,1.40625,7.765625,-0.12506104,-0.29870605,-0.5618286,0.76123047,63780.0,984.6467,985.1377,-2.9023438,0.08203125,9.285156,0.13104248,0.08416748,-0.79644775,0.58428955
51570,986.5469,984.04834,5.6328125,1.4804688,7.7304688,-0.12561035,-0.2987671,-0.5625,0.7606201,63800.0,984.61475,985.1709,-2.9414062,0.12109375,9.2421875,0.13122559,0.083984375,-0.79693604,0.58361816
51590,986.5034,984.05176,5.7070312,1.5195312,7.7265625,-0.12609863,-0.29870605,-0.56311035,0.76013184,63820.0,984.6416,985.1006,-2.9804688,0.15625,9.316406,0.13134766,0.08380127,-0.7974243,0.5829468
51610,986.5415,984.06665,5.7070312,1.5585938,7.7265625,-0.12670898,-0.29833984,-0.5637207,0.7597046,63840.0,984.62305,985.1365,-2.9804688,0.1953125,9.203125,0.13122559,0.083618164,-0.79797363,0.5822754
51625,986.5498,984.0747,5.7070312,1.5585938,7.7265625,-0.1272583,-0.2979126,-0.56433105,0.7593384,63860.0,984.60254,985.11816,-2.9804688,0.12109375,9.203125,0.13146973,0.08337402,-0.7984009,0.58166504
51650,986.5432,984.0471,5.7851562,1.4414062,7.765625,-0.12780762,-0.29760742,-0.5649414,0.75891113,63880.0,984.6184,985.12476,-3.0195312,0.12109375,9.207031,0.13183594,0.08325195,-0.7988281,0.58099365
51680,986.49976,984.04736,5.8242188,1.3671875,7.765625,-0.12823486,-0.29736328,-0.5654907,0.7585449,63900.0,984.645,985.10693,-3.0195312,0.15625,9.3515625,0.13220215,0.08337402,-0.79907227,0.5805054
51695,986.5259,984.04224,5.9375,1.40625,7.8085938,-0.128479,-0.29736328,-0.56585693,0.7581787,63920.0,984.62476,985.12573,-3.0546875,0.12109375,9.394531,0.13244629,0.083862305,-0.7993164,0.5800781
51710,986.5073,984.0261,5.9023438,1.3671875,7.8828125,-0.12866211,-0.29718018,-0.56640625,0.7578125,63940.0,984.63477,985.1389,-3.171875,0.15625,9.390625,0.13256836,0.084106445,-0.79956055,0.5797119
51730,986.5569,984.04004,5.9023438,1.2890625,7.8828125,-0.12896729,-0.29675293,-0.5671387,0.75738525,63960.0,984.61816,985.1421,-3.1328125,0.15625,9.3125,0.13250732,0.08404541,-0.7998657,0.5793457
51745,986.5471,984.041,5.8632812,1.1757812,7.9257812,-0.1293335,-0.2960205,-0.5679321,0.75701904,63980.0,984.61743,985.1543,-3.0546875,0.15625,9.207031,0.13250732,0.083984375,-0.800354,0.5786743
51765,986.54956,984.0552,5.8632812,1.1757812,7.9609375,-0.12976074,-0.29553223,-0.5687256,0.75653076,64000.0,984.6201,985.12866,-3.0546875,0.15625,9.167969,0.13293457,0.083862305,-0.8007202,0.57806396
51785,986.5342,984.0408,5.9023438,1.1757812,8.03125,-0.13024902,-0.29541016,-0.56933594,0.7560425,64020.0,984.6179,985.15356,-3.0546875,0.08203125,9.2421875,0.13330078,0.083862305,-0.80096436,0.5775757
51810,986.5576,984.0537,6.0546875,1.2148438,8.074219,-0.1303711,-0.2954712,-0.5700073,0.75549316,64045.0,984.614,985.1228,-3.0546875,0.12109375,9.2421875,0.13323975,0.084106445,-0.80126953,0.57714844
51825,986.5237,984.063,5.9765625,1.2890625,7.9609375,-0.13018799,-0.2954712,-0.5708618,0.7548828,64060.0,984.61743,985.1494,-3.0546875,0.12109375,9.3125,0.13287354,0.08441162,-0.8015747,0.57684326
51845,986.49023,984.07153,5.9765625,1.328125,7.84375,-0.13012695,-0.29534912,-0.5718384,0.7542114,64080.0,984.64453,985.1465,-3.0546875,0.08203125,9.28125,0.13269043,0.08465576,-0.80181885,0.57647705
51865,986.5281,984.06885,5.9375,1.25,7.8085938,-0.13012695,-0.29510498,-0.572876,0.75354004,64100.0,984.6343,985.1531,-3.0546875,0.00390625,9.3515625,0.13250732,0.08465576,-0.802063,0.5761719
51890,986.5386,984.0615,5.9375,1.328125,7.6523438,-0.1303711,-0.29486084,-0.5737915,0.75286865,64130.0,984.61694,985.13965,-2.9023438,-0.109375,9.285156,0.13226318,0.08459473,-0.8024292,0.5757446
51905,986.5254,984.0513,5.9375,1.25,7.6132812,-0.1307373,-0.2944336,-0.5748291,0.75213623,64140.0,984.5864,985.13965,-2.9023438,-0.07421875,9.246094,0.13220215,0.08465576,-0.80285645,0.57507324
51925,986.55835,984.0598,5.9765625,1.2890625,7.5390625,-0.13128662,-0.2939453,-0.57592773,0.75146484,64160.0,984.61035,985.13184,-3.09375,-0.03515625,9.28125,0.13214111,0.08453369,-0.8032837,0.57458496
51945,986.5388,984.0652,5.9765625,1.3671875,7.5390625,-0.13189697,-0.293396,-0.57702637,0.7507324,64180.0,984.603,985.1228,-2.9804688,0.04296875,9.203125,0.13208008,0.084350586,-0.8036499,0.5740967
51970,986.55005,984.0603,5.9023438,1.4414062,7.6484375,-0.13269043,-0.29260254,-0.57818604,0.75,64200.0,984.603,985.1489,-3.0546875,-0.03515625,9.246094,0.13201904,0.08453369,-0.8040161,0.57354736
51985,986.5464,984.0742,5.7851562,1.40625,7.6875,-0.13372803,-0.2915039,-0.57928467,0.74938965,64220.0,984.5974,985.16943,-3.1328125,-0.03515625,9.28125,0.13201904,0.08465576,-0.8041992,0.5732422
52005,986.51685,984.05444,5.7851562,1.40625,7.7265625,-0.1348877,-0.29052734,-0.58026123,0.7487793,64240.0,984.60815,985.11475,-3.0546875,-0.03515625,9.246094,0.13201904,0.0848999,-0.8043823,0.5730591
52025,986.5261,984.0669,5.7851562,1.2890625,7.8828125,-0.1359253,-0.28967285,-0.5810547,0.74835205,64260.0,984.6013,985.13086,-2.9804688,-0.109375,9.2421875,0.13220215,0.08538818,-0.80444336,0.57281494
52050,986.51807,984.0425,5.7460938,1.2890625,7.9257812,-0.13665771,-0.28894043,-0.5817261,0.74798584,64280.0,984.60034,985.1487,-3.2109375,0.04296875,9.246094,0.13269043,0.08557129,-0.8045044,0.5725708
52065,986.53955,984.0298,5.7460938,1.328125,7.9257812,-0.13696289,-0.28851318,-0.5820923,0.7477417,64300.0,984.60547,985.13184,-3.171875,0.1953125,9.2421875,0.13287354,0.085632324,-0.8043823,0.5726929
52085,986.52295,984.0513,5.7851562,1.4414062,7.8867188,-0.137146,-0.28808594,-0.58239746,0.7476196,64320.0,984.60864,985.1304,-3.1328125,0.2734375,9.2421875,0.13275146,0.0859375,-0.8041992,0.572937
52105,986.54297,984.04834,5.7460938,1.4414062,7.921875,-0.1375122,-0.28753662,-0.5826416,0.7476196,64340.0,984.61084,985.1394,-3.171875,0.1953125,9.203125,0.13238525,0.086364746,-0.80389404,0.57336426
52130,986.511,984.06616,5.7460938,1.25,7.9609375,-0.13757324,-0.2871704,-0.58270264,0.74768066,64360.0,984.57715,985.1194,-2.9804688,0.00390625,9.125,0.13226318,0.08660889,-0.8036499,0.57373047
52145,986.5332,984.0515,5.7070312,1.25,7.9257812,-0.1373291,-0.2871704,-0.5826416,0.74780273,64380.0,984.59546,985.1084,-3.0195312,0.00390625,9.089844,0.13256836,0.08642578,-0.80340576,0.5739746
52165,986.501,984.0769,5.7460938,1.2148438,7.921875,-0.13684082,-0.2876587,-0.5822754,0.74798584,64400.0,984.595,985.1277,-3.0195312,0.00390625,9.089844,0.13305664,0.0859375,-0.80322266,0.5742798
52185,986.51685,984.0581,5.7460938,1.2890625,7.84375,-0.13616943,-0.2880249,-0.5819702,0.74823,64420.0,984.6323,985.11646,-3.0546875,0.12109375,9.28125,0.13360596,0.08520508,-0.8029785,0.57458496
52210,986.52734,984.0908,5.7070312,1.25,7.6875,-0.13543701,-0.28826904,-0.5817261,0.7484741,64440.0,984.6045,985.11743,-3.0546875,0.04296875,9.46875,0.13439941,0.0836792,-0.80267334,0.5750122
52225,986.5144,984.05225,5.7851562,1.25,7.6875,-0.13500977,-0.28833008,-0.5814209,0.74871826,64460.0,984.605,985.1709,-3.09375,0.38671875,9.390625,0.13513184,0.082458496,-0.80236816,0.57543945
52245,986.51294,984.0586,5.8632812,1.25,7.7695312,-0.13464355,-0.288208,-0.5810547,0.7490845,64480.0,984.6262,985.1643,-2.9414062,0.15625,9.472656,0.13543701,0.08178711,-0.802124,0.57580566
52265,986.52515,984.04395,5.8632812,1.2890625,7.8085938,-0.13439941,-0.2876587,-0.5808716,0.7495117,64500.0,984.6133,985.1614,-2.9804688,0.12109375,9.28125,0.13549805,0.08129883,-0.8018799,0.5762329
52290,986.52295,984.0615,5.9023438,1.25,7.8828125,-0.13433838,-0.2869873,-0.5807495,0.7498779,64520.0,984.5996,985.1343,-2.8632812,0.00390625,9.246094,0.13562012,0.08081055,-0.80163574,0.5765991
52305,986.53076,984.031,5.8632812,1.2148438,7.921875,-0.1340332,-0.2866211,-0.5805664,0.7501831,64540.0,984.60693,985.1577,-2.8632812,-0.03515625,9.203125,0.1359253,0.0803833,-0.80145264,0.5767822
52325,986.5383,984.0471,5.8242188,1.2890625,7.8046875,-0.13354492,-0.28656006,-0.5805054,0.7503662,64560.0,984.5969,985.1194,-2.9414062,-0.07421875,9.1640625,0.13635254,0.079956055,-0.8013916,0.5769043
52345,986.50586,984.07227,5.8632812,1.3671875,7.7265625,-0.13336182,-0.28637695,-0.58044434,0.7504883,64580.0,984.6433,985.16113,-2.9804688,0.04296875,9.28125,0.13708496,0.0791626,-0.8013916,0.57684326
52370,986.5342,984.093,5.9023438,1.3671875,7.5703125,-0.1329956,-0.28631592,-0.58044434,0.75061035,64600.0,984.6062,985.13745,-2.9804688,0.08203125,9.2421875,0.13769531,0.078552246,-0.8013916,0.5767212
52385,986.5408,984.0581,5.9375,1.3671875,7.5703125,-0.13232422,-0.28625488,-0.5805054,0.7507324,64615.0,984.5823,985.1238,-2.9414062,0.04296875,9.125,0.13848877,0.07800293,-0.80145264,0.5765381
52405,986.5161,984.0493,5.9023438,1.4414062,7.5039062,-0.13171387,-0.28619385,-0.5806885,0.7506714,64640.0,984.60205,985.1128,-2.9023438,-0.07421875,9.046875,0.13964844,0.07714844,-0.80163574,0.5761719
52425,986.5039,984.05664,5.8242188,1.4414062,7.34375,-0.13116455,-0.28649902,-0.5809326,0.7504883,64660.0,984.60645,985.1389,-2.828125,-0.03515625,8.933594,0.14129639,0.07598877,-0.8019409,0.57543945
52450,986.5012,984.0657,6.0546875,1.40625,7.1914062,-0.13049316,-0.2874756,-0.5810547,0.7501221,64675.0,984.6343,985.1492,-2.8632812,-0.07421875,8.8203125,0.1427002,0.07519531,-0.80249023,0.5744629
52465,986.47144,984.06885,6.015625,1.5976562,6.9609375,-0.13000488,-0.28857422,-0.58148193,0.7495117,64695.0,984.5967,985.1311,-2.828125,-0.1484375,8.785156,0.14477539,0.07421875,-0.80322266,0.5730591
52485,986.4846,984.0281,6.015625,1.3671875,6.8867188,-0.12976074,-0.29022217,-0.5819092,0.7485962,64720.0,984.5862,985.14404,-2.7890625,-0.109375,8.863281,0.14794922,0.07281494,-0.8041992,0.5710449
52505,986.47144,984.10034,6.0546875,1.7109375,6.6953125,-0.12945557,-0.2929077,-0.5824585,0.74713135,64735.0,984.6094,985.1228,-2.828125,-0.03515625,8.824219,0.15161133,0.07141113,-0.805603,0.5682373
52530,986.4861,984.05615,6.2460938,1.7109375,6.5390625,-0.12890625,-0.29681396,-0.583313,0.7449951,64755.0,984.595,985.1548,-2.9023438,-0.109375,8.8203125,0.15594482,0.06970215,-0.807251,0.5649414
52545,986.47876,984.0596,6.2851562,1.671875,6.5039062,-0.12786865,-0.30249023,-0.5843506,0.7420654,64775.0,984.6289,985.1543,-2.9023438,-0.2265625,8.933594,0.16137695,0.06695557,-0.80895996,0.56134033
52565,986.48364,984.02905,6.5507812,1.9023438,6.5039062,-0.1270752,-0.30810547,-0.5853882,0.7390747,64800.0,984.61914,985.1316,-2.828125,0.00390625,8.902344,0.16833496,0.06341553,-0.81066895,0.557251
52585,986.4282,984.0774,6.5507812,2.2460938,6.5429688,-0.12719727,-0.31304932,-0.5869751,0.7357178,64815.0,984.60376,985.11475,-3.0195312,0.2734375,8.703125,0.1763916,0.059387207,-0.81292725,0.5518799
52610,986.4524,984.05566,6.5117188,1.9804688,6.0820312,-0.12860107,-0.3173828,-0.5890503,0.7319336,64835.0,984.5923,985.1394,-2.9414062,0.2734375,8.4375,0.18579102,0.054626465,-0.8156128,0.54522705
52625,986.4436,984.04956,6.5859375,2.09375,5.8515625,-0.13031006,-0.32409668,-0.59106445,0.7270508,64855.0,984.59546,985.1045,-2.8632812,0.1953125,8.058594,0.199646,0.047180176,-0.8185425,0.53656006
52645,986.42065,984.0835,6.4023438,2.09375,5.4296875,-0.13128662,-0.33355713,-0.59155273,0.72216797,64880.0,984.5962,985.10864,-2.9023438,-0.1875,7.5195312,0.22393799,0.03314209,-0.8223877,0.5219116
52675,986.37915,984.0532,5.59375,1.40625,3.9375,-0.12976074,-0.36340332,-0.58374023,0.7144165,64900.0,984.5808,985.09155,-3.6289062,0.15625,6.9765625,0.24920654,0.016235352,-0.82421875,0.50823975
52695,986.3037,984.0437,6.1289062,1.25,3.09375,-0.12347412,-0.39715576,-0.5722046,0.7067871,64915.0,984.5515,985.051,-4.2421875,0.84765625,6.2890625,0.29022217,-0.015625,-0.8233032,0.4874878
52715,986.2991,984.0183,6.359375,1.6367188,2.1757812,-0.1104126,-0.44036865,-0.5569458,0.6954956,64935.0,984.50903,985.00806,-4.015625,1.2304688,4.984375,0.34118652,-0.05822754,-0.8165283,0.46209717
52735,986.2744,984.05493,6.8632812,1.4414062,0.87109375,-0.086242676,-0.49700928,-0.5350342,0.6777344,64960.0,984.51587,984.9468,-5.1289062,3.4140625,3.265625,0.401062,-0.111328125,-0.80145264,0.4295044
52760,986.3181,984.0906,7.6679688,0.79296875,0.52734375,-0.057495117,-0.54937744,-0.5092163,0.65997314,64975.0,984.4656,984.92236,-5.9296875,3.8359375,3.0742188,0.4666748,-0.17877197,-0.7755127,0.38580322
