timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
277765,1009.97144,1007.7449,7.234375,5.828125,1.6054688,0.040222168,-0.6520386,-0.40374756,0.6405029,277930.0,1007.8308,1009.18555,-6.4179688,5.2890625,3.5117188,0.3560791,0.41119385,-0.007751465,0.8391113
277780,1009.95215,1007.7102,5.96875,4.1015625,6.390625,0.34991455,0.20355225,0.9133911,0.043151855,277940.0,1007.8313,1009.18555,-6.0351562,6.1367188,4.6210938,0.35162354,0.37835693,-0.034057617,0.8555908
277800,1009.9319,1007.71484,5.9335938,3.9882812,6.5117188,0.3499756,0.20300293,0.9133301,0.045898438,277945.0,1007.8313,1009.22,-4.6953125,5.1757812,6.6484375,0.39746094,-0.055358887,-0.6934204,0.5984497
277815,1009.9082,1007.7368,5.9335938,3.9101562,6.546875,0.3499756,0.20251465,0.9133301,0.04840088,277965.0,1007.8296,1009.1677,-4.734375,5.0585938,6.6875,0.39666748,-0.05657959,-0.6945801,0.5975342
277840,1009.93994,1007.7119,5.8945312,3.9492188,6.5078125,0.34991455,0.20202637,0.91326904,0.051452637,277985.0,1007.8655,1009.2207,-4.6171875,5.0976562,6.6914062,0.39556885,-0.057678223,-0.6958618,0.59661865
277855,1009.9783,1007.73755,5.8554688,4.0664062,6.5117188,0.3496704,0.20141602,0.9133301,0.054870605,278005.0,1007.83057,1009.228,-4.6171875,5.0976562,6.7304688,0.39422607,-0.05895996,-0.69732666,0.5956421
277880,1009.9551,1007.7256,5.8164062,4.0273438,6.5859375,0.34918213,0.20056152,0.91345215,0.059020996,278025.0,1007.85425,1009.2112,-4.578125,5.0585938,6.8085938,0.39318848,-0.06060791,-0.69866943,0.5946655
277895,1009.947,1007.7405,5.8164062,4.1015625,6.625,0.34875488,0.20007324,0.9135132,0.06201172,278045.0,1007.8191,1009.209,-4.4257812,5.0976562,6.8867188,0.3927002,-0.062316895,-0.699646,0.5936279
277915,1009.9656,1007.73145,5.703125,4.2578125,6.5898438,0.34838867,0.1998291,0.9135132,0.06530762,278065.0,1007.8157,1009.2102,-4.5039062,5.0976562,6.8828125,0.3925171,-0.064208984,-0.7003784,0.59265137
277935,1009.96265,1007.74634,5.625,4.2578125,6.6289062,0.3480835,0.19946289,0.91345215,0.068603516,278085.0,1007.86743,1009.18506,-4.5039062,5.1367188,6.84375,0.3920288,-0.06604004,-0.7010498,0.59198
