timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1579925.0,1021.78735,1022.3269,7.3359375,6.9726562,1.6601562,0.64263916,-0.11871338,0.4446411,0.6125488,1583680,1028.9773,1021.76733,-7.5664062,4.4882812,3.8984375,-0.24969482,0.47698975,0.7033081,0.4642334
1579935.0,1021.7532,1022.32666,6.0390625,7.390625,2.9609375,0.11236572,-0.70825195,-0.63861084,0.27923584,1583695,1028.9895,1021.7827,-6.375,5.2890625,4.8945312,0.4477539,0.21691895,-0.38793945,0.7758789
1579950.0,1021.7395,1022.3159,6.3046875,6.8945312,2.734375,0.107177734,-0.70910645,-0.63946533,0.2769165,1583710,1028.9539,1021.81494,-6.4179688,5.1757812,4.546875,0.4506836,0.21600342,-0.38757324,0.77459717
1579970.0,1021.7273,1022.3257,6.5351562,6.890625,2.4257812,0.1027832,-0.710083,-0.6401367,0.27471924,1583730,1028.9546,1021.80176,-6.5351562,4.8320312,4.3945312,0.45239258,0.21557617,-0.38781738,0.7736206
1579990.0,1021.75146,1022.34204,6.5742188,6.96875,2.2734375,0.09918213,-0.71014404,-0.6412964,0.27313232,1583750,1028.9512,1021.78955,-6.6835938,4.6796875,4.2421875,0.45410156,0.21478271,-0.38861084,0.7723999
1580010.0,1021.75244,1022.29565,6.421875,6.7460938,2.5039062,0.09655762,-0.7095947,-0.64282227,0.2718506,1583765,1028.9766,1021.8074,-6.8007812,4.6015625,4.3164062,0.45587158,0.21331787,-0.3897705,0.7711792
1580030.0,1021.76416,1022.33374,6.2304688,6.859375,2.65625,0.0947876,-0.7093506,-0.64398193,0.27038574,1583780,1028.9592,1021.78296,-6.8007812,4.5625,4.3554688,0.45666504,0.2119751,-0.39031982,0.770813
1580050.0,1021.73975,1022.29224,6.1914062,6.8945312,2.578125,0.09362793,-0.70983887,-0.6442261,0.2689209,1583800,1028.98,1021.81226,-6.875,4.7539062,4.4726562,0.45703125,0.21026611,-0.39050293,0.7709961
1580075.0,1021.7366,1022.31226,6.0,7.28125,2.8476562,0.09313965,-0.7104492,-0.644104,0.2678833,1583820,1028.9475,1021.7827,-6.9570312,4.8710938,4.5859375,0.45690918,0.2088623,-0.39031982,0.7714844
1580090.0,1021.7573,1022.28516,5.8867188,7.28125,3.0390625,0.09301758,-0.7110596,-0.64367676,0.26715088,1583840,1029.0063,1021.8081,-7.140625,4.7539062,4.7382812,0.45721436,0.2078247,-0.3899536,0.7718506
1580110.0,1021.7583,1022.3374,5.65625,7.3554688,3.1171875,0.09301758,-0.711853,-0.6428833,0.26708984,1583860,1028.9983,1021.79785,-7.140625,4.8320312,4.7382812,0.45861816,0.20635986,-0.38989258,0.77142334
1580130.0,1021.7593,1022.3157,5.5,7.390625,3.1171875,0.09307861,-0.7128296,-0.64190674,0.26672363,1583880,1029.0007,1021.7888,-7.0625,5.0976562,4.8554688,0.460083,0.20513916,-0.38983154,0.770874
