timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
296680,933.5642,932.90454,2.2617188,7.8085938,4.6328125,0.3574829,0.33099365,0.7480469,0.45062256,292310.0,935.22974,934.7219,0.359375,8.2421875,4.8242188,0.48388672,0.14471436,0.2720337,0.8190918
296695,933.5935,932.926,5.2109375,8.2265625,1.875,0.64038086,-0.035583496,0.38031006,0.6663208,292320.0,935.22974,934.7471,0.015625,8.324219,4.8242188,0.49157715,0.13269043,0.2368164,0.8274536
296705,933.5769,932.89185,5.2851562,8.2265625,1.875,0.64068604,-0.036499023,0.37921143,0.666626,292330.0,935.22314,934.5508,-1.671875,9.625,2.1445312,0.57147217,-0.28851318,-0.44403076,0.6268921
296725,933.5464,932.91504,5.3242188,8.296875,1.8398438,0.6405029,-0.0368042,0.3791504,0.6668701,292345.0,935.2197,934.60596,-1.59375,9.4296875,2.2578125,0.571228,-0.2874756,-0.44439697,0.62731934
296745,933.57886,932.90283,5.3242188,8.113281,1.8398438,0.6398926,-0.036743164,0.37963867,0.66711426,292365.0,935.1941,934.5095,-1.6328125,9.546875,2.21875,0.5703125,-0.28607178,-0.44451904,0.62872314
296765,933.5659,932.94995,5.3632812,8.035156,1.875,0.63946533,-0.036621094,0.38031006,0.6671753,292385.0,935.208,934.48413,-1.671875,9.550781,2.3359375,0.56921387,-0.28479004,-0.44482422,0.6300659
296785,933.5686,932.9468,5.3242188,7.9140625,1.8398438,0.63934326,-0.036315918,0.3809204,0.66693115,292405.0,935.1704,934.5569,-1.671875,9.433594,2.4101562,0.5680542,-0.2838745,-0.44543457,0.63116455
296805,933.59937,932.95557,5.4023438,7.875,1.8007812,0.6395874,-0.035949707,0.38165283,0.6663208,292425.0,935.18726,934.5176,-1.671875,9.4296875,2.4492188,0.56689453,-0.2833252,-0.4463501,0.6317749
296825,933.5742,932.94604,5.4023438,8.03125,1.7226562,0.64001465,-0.03527832,0.3826294,0.6654053,292445.0,935.1846,934.52026,-1.7851562,9.285156,2.4101562,0.56573486,-0.2831421,-0.44763184,0.631958
296845,933.5835,932.93823,5.5546875,8.03125,1.6484375,0.6397095,-0.034423828,0.38372803,0.66503906,292465.0,935.1824,934.541,-1.8242188,9.363281,2.1796875,0.5647583,-0.2833252,-0.44903564,0.6317749
296865,933.57666,932.9663,5.5546875,8.03125,1.609375,0.6387329,-0.033203125,0.3852539,0.66522217,292485.0,935.17334,934.55225,-1.8632812,9.46875,2.1054688,0.5637207,-0.28356934,-0.45025635,0.63171387
296885,933.57935,932.9573,5.3632812,8.109375,1.5703125,0.63708496,-0.032470703,0.38708496,0.6657715,292505.0,935.2095,934.58325,-1.8242188,9.550781,1.953125,0.5619507,-0.28320312,-0.45135498,0.6326294
296905,933.5459,932.93066,5.3242188,7.7265625,1.875,0.63586426,-0.032043457,0.3887329,0.6659546,292525.0,935.1802,934.5869,-1.8242188,9.046875,2.1054688,0.56085205,-0.28253174,-0.45202637,0.6334839
296925,933.55225,932.94434,5.3242188,7.609375,1.8398438,0.635437,-0.031555176,0.3897705,0.6658325,292545.0,935.1909,934.63135,-1.8242188,9.28125,1.9140625,0.5595703,-0.28167725,-0.45257568,0.6345825
296945,933.5908,932.9546,5.171875,7.6132812,1.875,0.635376,-0.030883789,0.390625,0.6654053,292565.0,935.1804,934.6184,-1.5546875,9.203125,2.2578125,0.5576172,-0.28027344,-0.45288086,0.63671875
296970,933.59424,932.9387,5.09375,7.6914062,1.875,0.635437,-0.029846191,0.39172363,0.6647339,292585.0,935.2075,934.61865,-1.515625,9.0859375,2.4882812,0.5560913,-0.27929688,-0.45281982,0.63848877
