timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
219690.0,985.32275,984.70264,-7.4804688,5.0898438,3.1914062,0.53692627,-0.1843872,-0.8041992,0.17602539,210270,987.73096,986.4863,7.078125,0.734375,-4.828125,0.84490967,-0.29681396,0.38989258,0.21447754
219700.0,985.34326,984.70264,-8.167969,4.2851562,2.3867188,0.5557251,-0.16522217,-0.7977295,0.16583252,210275,987.7593,986.5027,7.6914062,1.0,-4.671875,0.8383789,-0.2836914,0.41082764,0.21875
219705.0,985.34326,984.73,-7.515625,5.0898438,4.453125,0.5092163,0.21520996,-0.40759277,0.72680664,210285,987.7676,986.5027,5.9726562,-5.78125,-4.9414062,-0.8616333,-0.12597656,-0.29492188,0.39331055
219720.0,985.365,984.6731,-7.9023438,6.6992188,3.5351562,0.52111816,0.21594238,-0.40252686,0.72094727,210295,987.7676,986.4895,5.9335938,-5.8554688,-4.9414062,-0.8621216,-0.12579346,-0.29418945,0.39294434
219735.0,985.376,984.6885,-8.128906,6.546875,3.0742188,0.5246582,0.21960449,-0.39831543,0.7196045,210315,987.78784,986.5039,5.9296875,-5.8945312,-4.9804688,-0.8621826,-0.12585449,-0.29351807,0.39318848
219755.0,985.3391,984.72314,-8.3984375,5.5507812,2.8046875,0.5206299,0.2255249,-0.39587402,0.7220459,210335,987.781,986.4768,5.890625,-5.890625,-5.0195312,-0.86224365,-0.1260376,-0.29278564,0.39361572
219775.0,985.34375,984.72485,-8.441406,5.3203125,2.7695312,0.51690674,0.22705078,-0.39733887,0.7234497,210355,987.7759,986.479,5.9726562,-5.8164062,-5.1328125,-0.8623047,-0.12628174,-0.29229736,0.39379883
219795.0,985.3386,984.7383,-8.246094,4.9375,2.921875,0.51660156,0.22406006,-0.39978027,0.7232666,210375,987.74536,986.478,5.8945312,-5.8554688,-5.171875,-0.8624878,-0.12658691,-0.29211426,0.39331055
219815.0,985.40454,984.7002,-7.1367188,5.4726562,3.8007812,0.52038574,0.2208252,-0.39782715,0.7225952,210395,987.7798,986.4375,5.890625,-5.9296875,-5.1328125,-0.86279297,-0.12689209,-0.29223633,0.3925171
219835.0,985.4077,984.7146,-7.6328125,5.6640625,3.5742188,0.522583,0.22265625,-0.39215088,0.7235718,210420,987.74243,986.469,5.8125,-5.96875,-5.1328125,-0.8632202,-0.12738037,-0.29248047,0.3912964
219855.0,985.3557,984.6863,-8.203125,5.8554688,3.3828125,0.5218506,0.22357178,-0.3904419,0.72473145,210435,987.7468,986.46875,5.7773438,-5.890625,-5.171875,-0.86328125,-0.12768555,-0.29266357,0.3908081
