timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
376000,990.1018,989.8789,5.7695312,6.375,4.03125,-0.20306396,-0.494812,-0.7998657,0.27227783,375975.0,989.3401,989.4363,0.41796875,7.6210938,-6.3710938,0.5647583,0.7081909,0.34106445,0.25146484
376010,990.1018,989.8789,5.84375,6.1132812,3.8398438,-0.20861816,-0.48980713,-0.802063,0.27062988,375980.0,989.3401,989.4363,0.1484375,7.3125,-6.296875,0.56140137,0.71014404,0.33953857,0.25543213
376020,990.09863,989.8696,-3.0039062,7.90625,-5.46875,0.66082764,-0.57177734,-0.4451294,0.19537354,375990.0,989.3535,989.41724,-4.5234375,8.503906,2.2070312,0.59368896,0.25378418,-0.059020996,0.76135254
376040,990.1045,989.90845,-3.0429688,7.984375,-5.4335938,0.6619873,-0.5704956,-0.4449463,0.19586182,376000.0,989.3545,989.41724,-4.640625,8.5,2.171875,0.5942383,0.25500488,-0.059509277,0.760437
376060,990.11426,989.90625,-3.0429688,7.7617188,-5.3945312,0.6644287,-0.56811523,-0.44451904,0.19537354,376020.0,989.34546,989.4453,-4.4882812,8.503906,2.015625,0.59558105,0.25585938,-0.059753418,0.75909424
376080,990.0613,989.91724,-3.3867188,7.0664062,-5.5859375,0.66918945,-0.5628052,-0.4442749,0.1951294,376040.0,989.3606,989.4392,-4.3320312,8.425781,1.8632812,0.5977783,0.25653076,-0.059387207,0.75720215
376100,990.0884,989.9595,-3.1171875,7.1054688,-7.4257812,0.67614746,-0.5532837,-0.44360352,0.1998291,376060.0,989.32104,989.4148,-5.6757812,8.230469,1.6328125,0.6008301,0.2557373,-0.060180664,0.75494385
376120,990.12524,989.95044,-4.0390625,7.1054688,-7.078125,0.6807251,-0.5423584,-0.44421387,0.21240234,376080.0,989.3262,989.448,-3.875,8.425781,0.8671875,0.6040039,0.2536621,-0.0625,0.7529297
376140,990.1221,989.88403,-3.15625,7.296875,-6.046875,0.6836548,-0.53015137,-0.4475708,0.22631836,376100.0,989.30615,989.5066,-4.2578125,8.4609375,0.67578125,0.6060791,0.25390625,-0.06427002,0.7510376
376160,990.12573,989.9087,-3.7304688,7.640625,-5.0507812,0.68914795,-0.51556396,-0.449646,0.23901367,376120.0,989.30347,989.44434,-4.0664062,8.691406,0.484375,0.60809326,0.2545166,-0.06555176,0.7490845
376185,990.1272,989.9011,-3.6953125,8.1015625,-4.8945312,0.69348145,-0.49902344,-0.45202637,0.25646973,376140.0,989.32935,989.4304,-3.6445312,8.503906,2.0546875,0.6124878,0.25543213,-0.064208984,0.7453613
376200,990.1052,989.91113,-4.2695312,8.0234375,-5.1640625,0.69488525,-0.4802246,-0.45458984,0.28259277,376160.0,989.3296,989.459,-4.6015625,9.2265625,1.59375,0.616272,0.2557373,-0.06378174,0.74212646
376220,990.08276,989.8801,-5.0351562,7.9882812,-6.0078125,0.69140625,-0.46087646,-0.45770264,0.31628418,376185.0,989.33203,989.4929,-4.5234375,8.308594,0.9453125,0.61639404,0.25561523,-0.06536865,0.74194336
376240,990.0825,989.8474,-5.1484375,9.0234375,-5.890625,0.68133545,-0.447937,-0.46429443,0.34570312,376200.0,989.32153,989.49316,-4.3320312,7.9257812,0.75390625,0.6156616,0.25561523,-0.06713867,0.7423706
376260,990.1621,989.80786,-3.6953125,9.0234375,-4.8203125,0.6668091,-0.43341064,-0.47418213,0.37774658,376220.0,989.3574,989.4783,-4.2578125,7.7695312,0.71484375,0.61517334,0.25616455,-0.067993164,0.7424927
376280,990.17114,989.82324,-2.46875,8.8671875,-2.484375,0.654541,-0.4154663,-0.4821167,0.40808105,376240.0,989.3154,989.511,-4.2578125,7.7695312,1.1367188,0.61608887,0.256958,-0.06829834,0.7414551
376300,990.1858,989.8423,-2.2773438,9.0546875,-0.68359375,0.64520264,-0.39294434,-0.48614502,0.43933105,376260.0,989.29736,989.4402,-5.0234375,9.53125,1.25,0.61816406,0.25732422,-0.068237305,0.739624
376325,990.2175,989.8406,-3.1171875,8.3671875,-0.18359375,0.6392822,-0.3741455,-0.4864502,0.46331787,376280.0,989.3081,989.437,-5.2539062,9.953125,1.0976562,0.6191406,0.2567749,-0.0680542,0.7390137
376340,990.2698,989.84033,-3.65625,8.714844,0.046875,0.6310425,-0.35491943,-0.4857788,0.4897461,376300.0,989.31616,989.4585,-5.0976562,9.652344,1.25,0.6187134,0.25512695,-0.0680542,0.7399292
376360,990.2715,989.8291,-3.0429688,8.566406,1.578125,0.623291,-0.33996582,-0.48406982,0.5114746,376320.0,989.34204,989.5,-4.7929688,8.847656,1.1367188,0.61816406,0.25299072,-0.06829834,0.74108887
376375,990.2488,989.8174,-2.6601562,8.6015625,2.1914062,0.61828613,-0.32598877,-0.48065186,0.529541,376340.0,989.3264,989.5005,-4.1796875,7.9648438,0.5625,0.618103,0.25109863,-0.068359375,0.74176025
376395,990.2827,989.83057,-2.5078125,8.714844,2.3046875,0.6165161,-0.31262207,-0.47601318,0.54364014,376360.0,989.33887,989.5049,-4.140625,8.0390625,0.4453125,0.6182251,0.24987793,-0.068115234,0.7420654
376420,990.28345,989.8159,-2.9257812,8.566406,2.1914062,0.61602783,-0.30126953,-0.47070312,0.55511475,376380.0,989.33203,989.46313,-4.1796875,8.152344,0.5625,0.618042,0.24951172,-0.06756592,0.74243164
376440,990.23535,989.79004,-3.2734375,8.832031,1.5,0.6156616,-0.291687,-0.4650879,0.5653076,376405.0,989.3125,989.4785,-4.4101562,8.2265625,1.2109375,0.618103,0.24951172,-0.06744385,0.7423706
376455,990.2612,989.8491,-3.0820312,8.828125,1.2734375,0.6152344,-0.2868042,-0.46154785,0.571167,376420.0,989.3318,989.4846,-4.4101562,8.425781,0.984375,0.61834717,0.24932861,-0.068481445,0.74212646
376475,990.2439,989.8413,-2.7734375,9.09375,1.0429688,0.61499023,-0.28082275,-0.45770264,0.5774536,376440.0,989.2705,989.4541,-4.4492188,8.691406,0.828125,0.6184082,0.2489624,-0.07006836,0.7420654
376495,990.23755,989.8484,-2.6210938,9.371094,0.8125,0.61468506,-0.27331543,-0.45367432,0.5845337,376460.0,989.3164,989.4551,-4.5234375,8.9921875,0.828125,0.61865234,0.24847412,-0.07086182,0.74194336
376515,990.2456,989.84985,-3.0039062,9.171875,0.6953125,0.6133423,-0.26623535,-0.4501953,0.5918579,376480.0,989.36523,989.44653,-4.6015625,9.074219,1.0976562,0.61901855,0.24829102,-0.06970215,0.7418213
376535,990.2344,989.80493,-3.0429688,9.214844,0.50390625,0.611145,-0.2612915,-0.44787598,0.59802246,376500.0,989.3323,989.45703,-4.4101562,8.652344,1.3671875,0.6187134,0.24822998,-0.067871094,0.7423096
376555,990.2571,989.8491,-2.8515625,9.371094,0.8125,0.6085205,-0.25787354,-0.4463501,0.6032715,376520.0,989.3313,989.49194,-4.1054688,8.042969,1.5585938,0.61834717,0.24847412,-0.06616211,0.7426758
