timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
769935,990.3096,989.7344,0.0625,7.9492188,-4.5507812,0.5408325,0.66430664,0.40118408,0.32452393,769890.0,989.08984,989.8843,4.4765625,5.7773438,6.3476562,-0.16546631,-0.38824463,-0.8742676,0.23986816
769945,990.3096,989.7344,0.51953125,9.5546875,-3.8632812,0.5418091,0.64086914,0.43225098,0.32995605,769900.0,989.08984,989.8843,4.2460938,5.8164062,5.7695312,-0.1550293,-0.39941406,-0.8709717,0.24041748
769950,990.3247,989.7024,-4.84375,8.605469,0.16015625,0.6487427,0.24291992,-0.08673096,0.7159424,769915.0,989.10596,989.7793,-3.96875,8.574219,-1.9453125,0.5038452,-0.5996704,-0.5909424,0.1932373
769965,990.31323,989.7095,-4.8828125,8.6015625,0.390625,0.6486206,0.24346924,-0.08703613,0.71588135,769930.0,989.08887,989.6775,-3.7773438,8.7578125,-2.0976562,0.5036011,-0.5991821,-0.59155273,0.19348145
769985,990.33057,989.7107,-4.765625,8.5625,0.27734375,0.6481323,0.2444458,-0.08685303,0.7159424,769950.0,989.0906,989.64795,-3.625,8.796875,-2.328125,0.50354004,-0.59832764,-0.59210205,0.19458008
770005,990.29517,989.73364,-4.6523438,8.5234375,0.12109375,0.64801025,0.24523926,-0.08673096,0.7158203,769970.0,989.0718,989.449,-3.46875,8.917969,-2.40625,0.5036011,-0.5977173,-0.59246826,0.19525146
770020,990.2825,989.7107,-4.4960938,8.6015625,0.046875,0.6480713,0.24560547,-0.0869751,0.7156372,769990.0,989.0508,989.40356,-3.546875,8.9140625,-2.328125,0.503479,-0.5977783,-0.59246826,0.19537354
770040,990.2991,989.6638,-4.6523438,8.484375,0.23828125,0.64801025,0.24597168,-0.087524414,0.71551514,770010.0,989.084,989.3594,-3.546875,8.875,-2.2890625,0.50335693,-0.59783936,-0.59246826,0.1954956
770060,990.3135,989.66675,-4.8828125,8.6328125,0.46875,0.6479492,0.246521,-0.088012695,0.715271,770030.0,989.0818,989.3374,-3.546875,8.917969,-2.2148438,0.50335693,-0.5975342,-0.59259033,0.19610596
770080,990.3369,989.6848,-4.765625,8.605469,0.390625,0.6479492,0.24731445,-0.0881958,0.7149658,770055.0,989.08936,989.30444,-3.46875,8.917969,-2.3671875,0.50341797,-0.5968628,-0.59295654,0.19683838
