timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
254710,1009.91797,1007.45557,3.1914062,5.1171875,-0.52734375,0.7687378,-0.45428467,0.2514038,0.3734131,255255.0,1006.34326,1010.21655,-8.5625,2.765625,3.5859375,0.37548828,0.4277954,-0.22155762,0.7918091
254725,1009.88525,1007.4487,8.546875,3.7734375,1.3515625,-0.19384766,-0.59716797,-0.5776367,0.5216675,255270.0,1006.33936,1010.23193,-7.0742188,1.9960938,-5.9140625,-0.696167,0.5777588,0.38989258,0.1716919
254745,1009.90283,1007.4226,8.441406,3.9296875,1.4296875,-0.19226074,-0.5969238,-0.57733154,0.5228882,255290.0,1006.36475,1010.2554,-6.9921875,1.9960938,-5.9921875,-0.696228,0.5776367,0.39031982,0.17120361
254765,1009.8821,1007.4531,8.097656,4.4648438,1.6953125,-0.19055176,-0.59625244,-0.5779419,0.5235596,255310.0,1006.3718,1010.2361,-7.1484375,2.1132812,-6.1445312,-0.696228,0.57751465,0.39074707,0.1706543
254790,1009.89453,1007.41187,8.28125,4.921875,1.8867188,-0.19012451,-0.59454346,-0.5802002,0.52319336,255330.0,1006.3479,1010.2156,-7.1875,2.1132812,-6.0664062,-0.696167,0.5774536,0.3909912,0.17034912
254805,1009.9385,1007.4177,8.203125,4.65625,2.078125,-0.19000244,-0.59191895,-0.5836792,0.52233887,255350.0,1006.3513,1010.2207,-7.109375,2.0742188,-6.1054688,-0.696228,0.57733154,0.39117432,0.17028809
254825,1009.8667,1007.4114,7.78125,4.5039062,2.3085938,-0.18890381,-0.58966064,-0.5861206,0.522583,255370.0,1006.4282,1010.23,-7.265625,2.0742188,-6.0664062,-0.696228,0.5772095,0.3912964,0.17041016
254845,1009.9004,1007.38696,7.2148438,5.1914062,2.5,-0.18914795,-0.58862305,-0.5869751,0.5227661,255390.0,1006.44434,1010.209,-6.9921875,2.0351562,-5.9140625,-0.69610596,0.5770874,0.39135742,0.17089844
254865,1009.89185,1007.3862,7.2890625,5.84375,2.5,-0.19537354,-0.5866089,-0.5908203,0.51831055,255410.0,1006.41406,1010.2532,-7.03125,1.9609375,-5.8359375,-0.6959839,0.5769043,0.39154053,0.1716919
254885,1009.90015,1007.376,8.402344,5.0390625,2.1953125,-0.20562744,-0.5819702,-0.59869385,0.51049805,255430.0,1006.4258,1010.24634,-7.0742188,1.84375,-5.8007812,-0.6958008,0.57647705,0.39196777,0.17285156
254905,1009.88696,1007.3418,9.089844,4.3476562,2.15625,-0.2098999,-0.5776367,-0.60375977,0.5076904,255455.0,1006.448,1010.2429,-7.2265625,1.7695312,-6.1054688,-0.6958618,0.5758667,0.39257812,0.17358398
254925,1009.89795,1007.34546,8.480469,4.7304688,2.3476562,-0.2076416,-0.57598877,-0.6029053,0.5114746,255470.0,1006.437,1010.2261,-7.1914062,2.1523438,-5.8007812,-0.6959839,0.5750122,0.39318848,0.1741333
254945,1009.9104,1007.37256,8.0546875,5.3085938,2.2695312,-0.20550537,-0.5755615,-0.6010742,0.5149536,255490.0,1006.4524,1010.2217,-7.2265625,2.2265625,-6.0664062,-0.6960449,0.5743408,0.39361572,0.17541504
254965,1009.917,1007.3877,8.058594,5.421875,2.4257812,-0.20617676,-0.57507324,-0.6014404,0.51483154,255510.0,1006.4441,1010.20215,-7.265625,2.34375,-6.1445312,-0.6959839,0.57373047,0.3939209,0.17663574
254985,1009.87354,1007.3406,8.136719,5.0,2.2695312,-0.20794678,-0.5755615,-0.60113525,0.513916,255530.0,1006.43164,1010.2561,-7.2695312,1.921875,-5.8359375,-0.69592285,0.57318115,0.3942871,0.17803955
255005,1009.8838,1007.41675,8.519531,4.8867188,2.078125,-0.20837402,-0.5769043,-0.5988159,0.5148926,255550.0,1006.44116,1010.2517,-7.1132812,1.7695312,-6.1054688,-0.6959839,0.57250977,0.39489746,0.17877197
255025,1009.895,1007.3584,8.203125,5.0,2.15625,-0.20855713,-0.5779419,-0.5956421,0.517395,255570.0,1006.45557,1010.2202,-7.3398438,1.9609375,-6.1054688,-0.696228,0.5718994,0.39520264,0.17883301
255045,1009.90894,1007.3882,8.625,4.6953125,2.3476562,-0.21002197,-0.5775757,-0.59472656,0.5182495,255590.0,1006.4326,1010.2351,-7.4140625,1.9960938,-6.1445312,-0.69641113,0.57159424,0.39526367,0.17895508
255065,1009.9121,1007.3838,8.746094,4.1953125,2.2695312,-0.21026611,-0.57702637,-0.5950928,0.5183716,255610.0,1006.4094,1010.24976,-7.1132812,2.2265625,-6.0664062,-0.69641113,0.5718384,0.3951416,0.17858887
255085,1009.90967,1007.37964,8.359375,4.2734375,2.2695312,-0.20837402,-0.57769775,-0.5932617,0.5204468,255630.0,1006.4297,1010.2114,-7.4140625,1.9609375,-6.1445312,-0.6965332,0.5722656,0.39465332,0.17785645
255105,1009.93896,1007.36597,7.9765625,4.6171875,2.4609375,-0.20739746,-0.5795288,-0.5899048,0.52264404,255650.0,1006.42017,1010.2224,-7.3359375,1.9609375,-6.2578125,-0.6968384,0.57281494,0.39398193,0.17633057
255125,1009.9204,1007.36255,8.207031,4.3476562,2.234375,-0.20892334,-0.58154297,-0.5875244,0.52246094,255675.0,1006.4297,1010.198,-7.796875,2.7265625,-5.7226562,-0.69714355,0.5739136,0.39282227,0.17407227
255145,1009.9099,1007.3584,8.589844,4.5039062,2.1171875,-0.21038818,-0.5828247,-0.5863037,0.5218506,255690.0,1006.4365,1010.24365,-6.53125,2.8007812,-5.2265625,-0.69610596,0.5755005,0.3927002,0.17327881
255165,1009.865,1007.3667,8.480469,4.578125,2.1171875,-0.21069336,-0.5830078,-0.58514404,0.5227661,255710.0,1006.42944,1010.2512,-6.4257812,2.3789062,-5.3789062,-0.69433594,0.5772095,0.39294434,0.1743164
255185,1009.8843,1007.3723,8.324219,4.5039062,2.3867188,-0.2111206,-0.58270264,-0.5840454,0.5241699,255730.0,1006.43677,1010.23975,-6.6914062,1.7304688,-5.7226562,-0.692688,0.5788574,0.39276123,0.17565918
255205,1009.9177,1007.39575,8.4375,3.8515625,2.2695312,-0.21173096,-0.5831909,-0.5824585,0.5251465,255755.0,1006.4414,1010.2622,-7.03125,1.578125,-5.875,-0.6918335,0.5800171,0.3925171,0.17578125
