timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1771380,1012.5454,1013.17896,2.0898438,-6.1992188,-7.140625,-0.6767578,0.64245605,-0.31207275,0.17858887,1764205.0,1012.9192,1012.5432,-4.5546875,5.4414062,6.5585938,-0.1295166,0.3746338,0.8565674,0.3303833
1771385,1012.5454,1013.17896,0.6328125,6.0234375,7.3398438,0.29821777,0.20227051,0.59588623,0.71765137,1764215.0,1012.9153,1012.54297,-0.6484375,7.96875,5.140625,0.45300293,-0.13989258,-0.30688477,0.82525635
1771400,1012.5198,1013.18677,0.48046875,6.0976562,7.5234375,0.29803467,0.20288086,0.5957031,0.7177124,1764225.0,1012.9153,1012.56055,-0.4921875,8.128906,5.1796875,0.45385742,-0.14050293,-0.30645752,0.8248291
1771415,1012.5525,1013.1809,0.44140625,5.9453125,7.6796875,0.2972412,0.20288086,0.59521484,0.7184448,1764245.0,1012.92993,1012.6013,-0.37890625,8.390625,5.21875,0.45489502,-0.14141846,-0.30578613,0.8243408
1771435,1012.51,1013.21313,0.44140625,5.90625,7.6835938,0.2972412,0.20336914,0.5946655,0.71875,1764265.0,1012.926,1012.6638,-0.265625,8.46875,5.3320312,0.45544434,-0.14178467,-0.30517578,0.82421875
1771455,1012.5061,1013.197,0.44140625,5.9453125,7.6054688,0.2980957,0.20452881,0.5940552,0.7186279,1764285.0,1012.9436,1012.6846,-0.30078125,8.3515625,5.2539062,0.4553833,-0.14111328,-0.30413818,0.82476807
1771480,1012.47314,1013.1848,0.36328125,6.1757812,7.6054688,0.29888916,0.2055664,0.5934448,0.71850586,1764305.0,1012.9558,1012.77026,-0.33984375,8.3125,5.140625,0.45599365,-0.14013672,-0.30273438,0.82507324
1771495,1012.5288,1013.209,0.36328125,6.25,7.5234375,0.29870605,0.20513916,0.5932617,0.71881104,1764325.0,1012.9392,1012.7986,-0.45703125,8.316406,5.0625,0.45751953,-0.1395874,-0.30151367,0.82476807
1771515,1012.5032,1013.2041,0.55859375,5.9453125,7.5273438,0.2977295,0.20410156,0.5932007,0.7196045,1764345.0,1012.9546,1012.82104,-0.45703125,8.167969,4.9101562,0.4602661,-0.13977051,-0.30041504,0.8236084
1771535,1012.51465,1013.1953,0.59375,5.8320312,7.4882812,0.29730225,0.20373535,0.5928955,0.7200928,1764365.0,1012.95435,1012.82495,-0.265625,8.5859375,4.9882812,0.4628296,-0.14025879,-0.29943848,0.82244873
1771555,1012.5332,1013.18823,0.55859375,5.984375,7.4179688,0.29718018,0.20422363,0.59277344,0.7200928,1764385.0,1012.9292,1012.7888,-0.265625,8.65625,5.0234375,0.46417236,-0.13964844,-0.2984619,0.8222046
1771575,1012.52466,1013.22095,0.55859375,5.9453125,7.4882812,0.29711914,0.20526123,0.59265137,0.7199707,1764405.0,1012.9158,1012.75806,-0.33984375,8.472656,4.9101562,0.46514893,-0.13824463,-0.29718018,0.82232666
1771595,1012.5315,1013.16846,0.40234375,6.1367188,7.453125,0.2970581,0.20593262,0.5922241,0.7201538,1764425.0,1012.8779,1012.72485,-0.45703125,8.3125,4.5664062,0.46710205,-0.1373291,-0.29608154,0.82177734
1771615,1012.5315,1013.1738,0.36328125,6.2148438,7.453125,0.29675293,0.20587158,0.59191895,0.72052,1764445.0,1012.91626,1012.6719,-0.41796875,8.394531,4.5664062,0.46929932,-0.13696289,-0.2952881,0.8208618
1771635,1012.5403,1013.1655,0.2109375,6.3671875,7.7226562,0.29614258,0.20532227,0.592041,0.72088623,1764465.0,1012.92114,1012.5852,-0.33984375,8.433594,4.5664062,0.47106934,-0.13665771,-0.2946167,0.8201294
1771655,1012.5259,1013.1836,0.13671875,6.40625,7.71875,0.2956543,0.20422363,0.5922241,0.7211914,1764490.0,1012.9226,1012.53955,-0.30078125,8.472656,4.5664062,0.4725952,-0.13623047,-0.2942505,0.819458
1771675,1012.50806,1013.17456,0.2890625,6.3671875,7.6054688,0.29571533,0.20306396,0.5923462,0.7213745,1764505.0,1012.9204,1012.52246,-0.33984375,8.2734375,4.4882812,0.47387695,-0.13580322,-0.29431152,0.8187256
1771695,1012.46436,1013.17554,0.59375,6.25,7.1796875,0.29632568,0.20263672,0.59259033,0.72106934,1764525.0,1012.9331,1012.4851,-0.37890625,8.128906,4.4140625,0.47528076,-0.13531494,-0.29437256,0.8180542
1771715,1012.5271,1013.19214,0.671875,6.25,7.1015625,0.29626465,0.20220947,0.5928345,0.72106934,1764545.0,1012.9302,1012.4602,-0.53125,7.96875,4.296875,0.47662354,-0.1352539,-0.29437256,0.81726074
1771735,1012.5112,1013.1929,0.78515625,6.1367188,7.1445312,0.29571533,0.20196533,0.5930176,0.7211914,1764565.0,1012.9114,1012.41235,-0.37890625,7.9296875,4.296875,0.477417,-0.13598633,-0.2947998,0.8165283
1771755,1012.4956,1013.2195,0.75,6.0585938,7.140625,0.2947998,0.20233154,0.59332275,0.7211914,1764585.0,1012.9558,1012.4182,-0.45703125,7.9726562,4.6054688,0.47790527,-0.13690186,-0.29516602,0.81591797
1771775,1012.4922,1013.22095,0.51953125,6.0585938,7.5664062,0.29400635,0.2033081,0.59350586,0.72106934,1764605.0,1012.9446,1012.4114,-0.37890625,8.0859375,4.6054688,0.47772217,-0.13763428,-0.2956543,0.81573486
1771795,1012.55176,1013.1814,0.36328125,6.2148438,7.7578125,0.29400635,0.20391846,0.59368896,0.72076416,1764630.0,1012.927,1012.3872,-0.41796875,8.050781,4.796875,0.47747803,-0.13842773,-0.2958374,0.8156738
1771815,1012.5239,1013.2134,0.48046875,6.1367188,7.6054688,0.29437256,0.20385742,0.5936279,0.7206421,1764645.0,1012.9192,1012.3801,-0.41796875,8.128906,4.8320312,0.47753906,-0.13916016,-0.29614258,0.8154297
1771840,1012.5481,1013.1677,0.671875,6.0976562,7.296875,0.2949829,0.20404053,0.59350586,0.720459,1764665.0,1012.87256,1012.3369,-0.45703125,8.0859375,4.796875,0.4776001,-0.14001465,-0.29626465,0.81518555
1771855,1012.5183,1013.1792,0.55859375,6.1757812,7.4570312,0.29504395,0.20483398,0.5935669,0.72021484,1764685.0,1012.91113,1012.33276,-0.41796875,8.128906,4.7578125,0.47735596,-0.14099121,-0.29644775,0.8150635
1771875,1012.5093,1013.1958,0.48046875,6.1367188,7.5664062,0.2947998,0.20544434,0.59375,0.7199707,1764705.0,1012.8921,1012.34375,-0.45703125,8.167969,4.8320312,0.47668457,-0.14172363,-0.29675293,0.8152466
1771895,1012.49414,1013.1692,0.6328125,5.984375,7.484375,0.29437256,0.2055664,0.5936279,0.72021484,1764725.0,1012.93726,1012.37695,-0.53125,8.1953125,4.7578125,0.4758911,-0.14233398,-0.29699707,0.81555176
1771915,1012.5066,1013.2046,0.671875,6.0976562,7.3789062,0.2944336,0.2053833,0.5936279,0.72021484,1764745.0,1012.938,1012.3882,-0.53125,8.1953125,4.7578125,0.47491455,-0.1428833,-0.2972412,0.81591797
1771935,1012.5134,1013.2009,0.82421875,6.0976562,7.2226562,0.2944336,0.20501709,0.5939331,0.7200928,1764770.0,1012.9109,1012.5161,-0.6484375,8.199219,4.796875,0.473938,-0.14349365,-0.29742432,0.8162842
1771955,1012.51465,1013.20605,0.90234375,5.984375,7.2617188,0.29400635,0.20501709,0.59417725,0.7200928,1764785.0,1012.92065,1012.5127,-0.5703125,8.355469,4.9101562,0.47283936,-0.14428711,-0.29766846,0.8167114
1771980,1012.5205,1013.16113,0.75,5.9453125,7.453125,0.2935791,0.20581055,0.5944214,0.7197876,1764805.0,1012.93945,1012.6123,-0.45703125,8.472656,5.0625,0.47155762,-0.1449585,-0.2979126,0.8171997
1771995,1012.4917,1013.2112,0.6328125,5.90625,7.5234375,0.29351807,0.20709229,0.59454346,0.7192993,1764825.0,1012.93384,1012.6633,-0.41796875,8.433594,5.1796875,0.47058105,-0.14526367,-0.2980957,0.817688
