timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
511695.0,1009.8308,1010.66846,7.9257812,1.984375,-4.828125,-0.14642334,-0.8428955,-0.17608643,0.48693848,511740,1009.32446,1010.2446,-8.6015625,2.6289062,4.3554688,0.51190186,-0.16253662,-0.84350586,0.0056152344
511700.0,1009.80347,1010.6738,4.9023438,5.7382812,6.28125,0.14501953,-0.43164062,-0.3959961,0.7974243,511745,1009.32446,1010.2417,-6.2695312,5.1054688,4.8398438,0.32336426,0.37200928,-0.027526855,0.8696289
511720.0,1009.85254,1010.73,5.1679688,5.546875,5.9765625,0.14447021,-0.43249512,-0.39569092,0.7971802,511760,1009.29565,1010.2571,-6.2695312,5.2226562,4.7265625,0.3239746,0.3727417,-0.025817871,0.8691406
511735.0,1009.8096,1010.6797,5.5078125,5.5078125,5.4765625,0.144104,-0.43493652,-0.39575195,0.79589844,511780,1009.31665,1010.32056,-6.84375,5.2617188,4.4570312,0.32458496,0.37322998,-0.024047852,0.8687744
511755.0,1009.8008,1010.68335,5.890625,5.3945312,5.015625,0.14447021,-0.4371338,-0.39538574,0.7947998,511800,1009.3237,1010.2661,-6.7695312,5.296875,4.4570312,0.3255005,0.3723755,-0.024414062,0.8687744
511775.0,1009.8081,1010.69727,6.625,5.3945312,4.6328125,0.14593506,-0.4393921,-0.3937378,0.7940674,511820,1009.3391,1010.24,-6.609375,5.6445312,4.5703125,0.32720947,0.37139893,-0.02545166,0.8685303
511795.0,1009.8257,1010.7012,6.5117188,5.6992188,4.3671875,0.14831543,-0.44104004,-0.3922119,0.79351807,511840,1009.3535,1010.2317,-6.4648438,5.875,4.7265625,0.32861328,0.371521,-0.026123047,0.8679199
511815.0,1009.82227,1010.68726,5.6679688,6.078125,4.5585938,0.15142822,-0.44171143,-0.39196777,0.7927246,511860,1009.3362,1010.2351,-6.8476562,5.6796875,5.109375,0.32836914,0.37243652,-0.025756836,0.8676758
511835.0,1009.82495,1010.68945,5.1289062,6.390625,4.7109375,0.15362549,-0.44104004,-0.39367676,0.7918091,511880,1009.3391,1010.2009,-6.8828125,5.375,5.3007812,0.3277588,0.37243652,-0.026062012,0.8678589
511850.0,1009.81616,1010.6284,4.7070312,6.6210938,5.171875,0.15344238,-0.43951416,-0.3972168,0.79089355,511900,1009.3523,1010.2451,-6.5039062,5.2226562,5.453125,0.32806396,0.3720703,-0.027770996,0.8678589
511875.0,1009.8611,1010.6665,4.7460938,6.1171875,5.9375,0.15136719,-0.43847656,-0.401062,0.789917,511920,1009.34424,1010.26416,-6.4257812,5.03125,5.4921875,0.3289795,0.3720703,-0.029968262,0.86743164
511895.0,1009.84033,1010.68896,4.8632812,5.9296875,6.1289062,0.15039062,-0.43884277,-0.4031372,0.78881836,511945,1009.3552,1010.2324,-6.421875,5.296875,5.375,0.32977295,0.3727417,-0.03173828,0.86676025
511915.0,1009.84155,1010.7007,4.8632812,6.046875,6.046875,0.15093994,-0.43981934,-0.40374756,0.78790283,511960,1009.35693,1010.24756,-6.3476562,5.2617188,5.1835938,0.3295288,0.3735962,-0.032287598,0.8665161
511935.0,1009.8445,1010.65967,4.8242188,6.1601562,6.0117188,0.15112305,-0.440979,-0.40429688,0.78692627,511980,1009.35474,1010.2434,-6.2695312,5.0703125,5.3398438,0.3291626,0.37487793,-0.032348633,0.86602783
511955.0,1009.86426,1010.6858,5.2460938,6.0078125,6.125,0.1505127,-0.4423828,-0.4052124,0.7857666,512000,1009.355,1010.23584,-6.1484375,4.9921875,5.2617188,0.32946777,0.3764038,-0.032348633,0.8652954
511975.0,1009.85156,1010.6929,5.4375,5.8164062,6.1289062,0.14910889,-0.44433594,-0.40704346,0.7839966,512020,1009.3528,1010.23315,-6.3046875,4.9140625,4.8398438,0.3303833,0.37756348,-0.032836914,0.8644409
511995.0,1009.8369,1010.69653,5.5507812,5.625,6.0117188,0.14746094,-0.44702148,-0.409729,0.7813721,512040,1009.3406,1010.23975,-6.5,5.1445312,4.8007812,0.33251953,0.3779297,-0.0345459,0.8634033
512010.0,1009.8523,1010.70703,5.78125,5.46875,5.6289062,0.14648438,-0.45043945,-0.4124756,0.7781372,512060,1009.3159,1010.2246,-6.4648438,5.6445312,4.4179688,0.3338623,0.37768555,-0.03564453,0.86291504
512035.0,1009.8423,1010.6824,6.0898438,5.6601562,4.671875,0.14678955,-0.45361328,-0.4147339,0.7750244,512080,1009.3567,1010.2195,-6.4609375,5.6796875,4.4179688,0.3336792,0.37738037,-0.03540039,0.8631592
512055.0,1009.8135,1010.6997,6.125,5.5859375,4.5195312,0.14794922,-0.4555664,-0.41723633,0.77227783,512100,1009.3447,1010.22876,-6.3046875,5.9101562,4.4179688,0.33312988,0.37683105,-0.035095215,0.8635864
512075.0,1009.8115,1010.71045,5.703125,5.9726562,4.4804688,0.14959717,-0.456604,-0.42010498,0.7698364,512120,1009.38965,1010.2295,-6.2265625,5.796875,4.4960938,0.33221436,0.3768921,-0.034973145,0.8638916
512095.0,1009.8367,1010.6941,5.4375,6.1210938,4.671875,0.1508789,-0.45721436,-0.42352295,0.767334,512140,1009.3657,1010.2278,-6.2265625,5.7578125,4.6484375,0.33172607,0.37756348,-0.03527832,0.86383057
512115.0,1009.82544,1010.6907,5.09375,6.1992188,4.8632812,0.15203857,-0.45819092,-0.42669678,0.7647705,512160,1009.3711,1010.24976,-6.3867188,5.5664062,4.609375,0.33190918,0.37890625,-0.036132812,0.8631592
512135.0,1009.8323,1010.6719,4.7070312,6.5429688,5.171875,0.15319824,-0.4595337,-0.4300537,0.7618408,512180,1009.4016,1010.24146,-6.5039062,5.71875,4.4570312,0.3320923,0.37976074,-0.037475586,0.86260986
512155.0,1009.8235,1010.6726,4.9023438,6.6171875,4.8632812,0.15405273,-0.4598999,-0.43237305,0.76013184,512200,1009.35693,1010.2637,-6.5742188,5.796875,4.6484375,0.33111572,0.3798828,-0.03918457,0.862854
512175.0,1009.85596,1010.6709,4.9765625,6.5820312,4.671875,0.15496826,-0.45965576,-0.43481445,0.758728,512220,1009.4043,1010.2429,-6.6484375,5.6445312,4.6875,0.32928467,0.38000488,-0.040527344,0.86346436
512195.0,1009.854,1010.6924,5.2460938,6.5820312,4.9804688,0.15496826,-0.45928955,-0.4378662,0.7571411,512240,1009.3772,1010.25146,-6.8046875,5.6445312,4.5703125,0.32702637,0.380188,-0.04144287,0.8641968
512215.0,1009.8435,1010.6975,5.5507812,6.5,4.9414062,0.15509033,-0.45916748,-0.44036865,0.7557373,512260,1009.38184,1010.2683,-6.7265625,5.5664062,4.5703125,0.32373047,0.38049316,-0.041381836,0.8652954
512235.0,1009.8213,1010.6902,5.8203125,6.5390625,4.8632812,0.15551758,-0.45861816,-0.44281006,0.75457764,512280,1009.3696,1010.2615,-6.765625,5.1835938,4.8398438,0.31982422,0.3809204,-0.04144287,0.86657715
512255.0,1009.84033,1010.7012,6.0117188,6.578125,4.7109375,0.15625,-0.45684814,-0.4451294,0.7541504,512300,1009.3806,1010.27,-6.8046875,4.9140625,4.9179688,0.31726074,0.38104248,-0.04284668,0.8673706
512275.0,1009.85474,1010.64404,5.3984375,6.7773438,5.2851562,0.15704346,-0.45446777,-0.44787598,0.7537842,512320,1009.3479,1010.27,-6.7265625,4.8398438,4.9179688,0.3151245,0.38079834,-0.044799805,0.86816406
512295.0,1009.8435,1010.6758,5.3203125,6.8867188,5.3242188,0.15557861,-0.4524536,-0.45178223,0.7529907,512340,1009.3491,1010.25146,-6.921875,5.0703125,4.953125,0.31201172,0.37994385,-0.045532227,0.8696289
512315.0,1009.8672,1010.6787,5.09375,6.65625,5.4765625,0.15283203,-0.449646,-0.45733643,0.7518921,512360,1009.3711,1010.28394,-6.84375,4.8007812,5.109375,0.30877686,0.3779297,-0.046813965,0.87158203
512335.0,1009.8386,1010.6763,4.9375,6.4335938,5.515625,0.1506958,-0.44750977,-0.4623413,0.7504883,512380,1009.41724,1010.27466,-6.8085938,4.4570312,5.0703125,0.30804443,0.375,-0.049926758,0.8729248
