timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
160495,1011.9756,1009.8694,-0.03515625,1.6640625,9.25,0.08203125,0.010559082,-0.09918213,0.9916382,160475.0,1011.1116,1010.24097,-1.0273438,1.6914062,9.488281,0.07989502,0.058044434,-0.0014038086,0.9951172
160505,1011.9712,1009.8447,-5.6328125,8.078125,-2.6835938,-0.27886963,0.74560547,0.58795166,0.14349365,160490.0,1011.0713,1010.23535,-4.78125,6.7929688,4.65625,0.45965576,0.21008301,-0.16137695,0.84765625
160520,1012.00757,1009.84863,-5.59375,8.121094,-2.7226562,-0.2786255,0.74560547,0.5880127,0.14361572,160505.0,1011.12036,1010.24414,-4.8203125,6.8632812,4.6171875,0.4607544,0.21026611,-0.1619873,0.8469238
160540,1011.9866,1009.8242,-5.59375,8.1171875,-2.8007812,-0.27819824,0.7457886,0.58807373,0.14355469,160525.0,1011.1338,1010.2512,-4.8945312,6.9023438,4.5429688,0.46148682,0.21051025,-0.16241455,0.8463745
160560,1011.9983,1009.88306,-5.515625,8.0,-2.7617188,-0.27752686,0.74572754,0.588501,0.14331055,160545.0,1011.1096,1010.25635,-4.9335938,6.8632812,4.5039062,0.46166992,0.21063232,-0.16247559,0.8461914
160575,1011.9678,1009.87573,-5.4765625,7.9257812,-2.7617188,-0.27722168,0.74554443,0.5889282,0.14300537,160565.0,1011.08936,1010.2468,-4.9335938,6.828125,4.5429688,0.46173096,0.2107544,-0.16235352,0.8461914
160595,1011.99854,1009.8208,-5.4414062,7.8046875,-2.7226562,-0.27697754,0.7453003,0.5895386,0.14245605,160585.0,1011.0928,1010.2595,-4.9335938,6.859375,4.6171875,0.46185303,0.21057129,-0.16247559,0.8461304
160615,1012.0005,1009.85254,-5.4414062,7.8046875,-2.7226562,-0.2767334,0.7449341,0.5901489,0.14196777,160605.0,1011.09863,1010.209,-4.9335938,6.9765625,4.4648438,0.4619751,0.21032715,-0.1628418,0.84606934
160635,1011.9895,1009.8699,-5.4414062,7.8476562,-2.7226562,-0.27661133,0.74468994,0.59069824,0.14147949,160625.0,1011.11035,1010.2239,-4.9726562,7.015625,4.5039062,0.46203613,0.21020508,-0.1628418,0.84606934
160655,1011.9956,1009.8396,-5.4414062,7.8476562,-2.7617188,-0.27648926,0.7444458,0.59124756,0.14086914,160645.0,1011.11743,1010.21924,-4.9335938,6.9414062,4.734375,0.46203613,0.21008301,-0.16271973,0.8461304
160675,1011.9717,1009.8574,-5.4765625,7.84375,-2.7226562,-0.2763672,0.74401855,0.59191895,0.14031982,160665.0,1011.1416,1010.23096,-4.8203125,6.9375,4.6171875,0.46203613,0.20977783,-0.1630249,0.8461304
160695,1011.9895,1009.854,-5.4023438,7.734375,-2.7226562,-0.2763672,0.7435913,0.59259033,0.13977051,160685.0,1011.0864,1010.2451,-4.8945312,6.859375,4.6171875,0.46209717,0.20965576,-0.16339111,0.84606934
160715,1011.9807,1009.81323,-5.4023438,7.6601562,-2.609375,-0.27661133,0.74298096,0.5933838,0.13909912,160705.0,1011.0928,1010.21265,-4.8945312,6.9023438,4.5820312,0.46221924,0.20959473,-0.16357422,0.84594727
160735,1011.9822,1009.84717,-5.3984375,7.3945312,-2.5234375,-0.27923584,0.74316406,0.59155273,0.14056396,160725.0,1011.09644,1010.22095,-4.8554688,7.015625,4.4648438,0.4623413,0.20928955,-0.16369629,0.84594727
160755,1011.9988,1009.8259,-5.359375,7.4335938,-2.5585938,-0.2805786,0.743103,0.59088135,0.14129639,160745.0,1011.11816,1010.2539,-4.8945312,6.9765625,4.5039062,0.4623413,0.2088623,-0.16375732,0.8460083
160775,1011.9946,1009.84766,-5.3984375,7.5117188,-2.5976562,-0.2808838,0.743042,0.5908203,0.14129639,160765.0,1011.1245,1010.2571,-4.78125,6.9023438,4.4648438,0.4625244,0.20861816,-0.16400146,0.84594727
160795,1011.9778,1009.8413,-5.3984375,7.5898438,-2.6367188,-0.2814331,0.74316406,0.590271,0.14154053,160785.0,1011.12915,1010.23145,-4.8554688,6.828125,4.4257812,0.46264648,0.2084961,-0.16442871,0.8458252
160815,1011.97876,1009.83984,-5.4726562,7.5859375,-2.6367188,-0.28173828,0.743103,0.59020996,0.14154053,160805.0,1011.1221,1010.23584,-4.9335938,6.8632812,4.3515625,0.46270752,0.20861816,-0.16479492,0.8457031
160835,1011.99976,1009.82544,-5.4726562,7.5507812,-2.6367188,-0.2821045,0.7428589,0.59039307,0.14154053,160825.0,1011.1001,1010.22144,-4.9335938,6.9023438,4.4648438,0.46276855,0.20874023,-0.16497803,0.8456421
160855,1012.0127,1009.83984,-5.4726562,7.5117188,-2.5585938,-0.28259277,0.7424927,0.5905762,0.1416626,160845.0,1011.12085,1010.2512,-4.8554688,6.9414062,4.4648438,0.4625244,0.20880127,-0.16503906,0.8457031
160875,1011.9541,1009.8606,-5.4726562,7.390625,-2.3671875,-0.2831421,0.7420654,0.5907593,0.14196777,160865.0,1011.13184,1010.25073,-4.8203125,6.9765625,4.6171875,0.46221924,0.2086792,-0.16503906,0.84588623
160895,1011.9829,1009.86035,-5.5507812,7.4726562,-2.3320312,-0.2835083,0.74194336,0.5905762,0.14282227,160885.0,1011.1333,1010.2258,-4.7421875,6.8320312,4.6171875,0.46185303,0.20837402,-0.16534424,0.8461304
160915,1012.0298,1009.853,-5.5117188,7.5117188,-2.3671875,-0.28363037,0.74224854,0.5897217,0.14453125,160905.0,1011.1172,1010.2405,-4.7421875,6.75,4.5820312,0.46142578,0.20812988,-0.16564941,0.8463745
160935,1012.0029,1009.8911,-5.4375,7.6289062,-2.5234375,-0.28302002,0.743103,0.588562,0.14605713,160925.0,1011.115,1010.25903,-4.78125,6.7890625,4.5820312,0.4611206,0.20837402,-0.16577148,0.84643555
160955,1011.9905,1009.8425,-5.4375,7.890625,-2.6757812,-0.28234863,0.7438965,0.5875244,0.14746094,160945.0,1011.1321,1010.2273,-4.8203125,6.828125,4.65625,0.4609375,0.20861816,-0.16589355,0.84643555
160975,1011.9968,1009.8601,-5.5507812,7.8945312,-2.75,-0.28155518,0.74438477,0.5869751,0.14855957,160970.0,1011.12964,1010.2478,-4.8203125,6.9023438,4.7734375,0.46069336,0.2088623,-0.16601562,0.8464966
160995,1011.95264,1009.8755,-5.359375,7.7773438,-2.7890625,-0.28076172,0.74505615,0.5862427,0.1494751,160985.0,1011.12354,1010.2605,-4.8203125,6.828125,4.734375,0.46032715,0.20910645,-0.16625977,0.84661865
161015,1011.9614,1009.83887,-5.5507812,7.96875,-2.90625,-0.27978516,0.7459717,0.5854492,0.15008545,161005.0,1011.10815,1010.26416,-4.9335938,6.7539062,4.8085938,0.460083,0.20947266,-0.1663208,0.84661865
161035,1011.96655,1009.8235,-5.4375,7.8554688,-2.90625,-0.2788086,0.7467041,0.5848999,0.15008545,161025.0,1011.0935,1010.24585,-4.9335938,6.671875,4.8085938,0.46014404,0.20977783,-0.16638184,0.8464966
161055,1011.96826,1009.88184,-5.3984375,7.6953125,-2.8671875,-0.2783203,0.74694824,0.58496094,0.14959717,161050.0,1011.124,1010.2434,-4.9726562,6.8984375,4.6953125,0.46051025,0.21002197,-0.16662598,0.8461914
161075,1011.99805,1009.8684,-5.3984375,7.625,-2.8671875,-0.27819824,0.74694824,0.5852661,0.14886475,161065.0,1011.1233,1010.2256,-5.0117188,6.9804688,4.6953125,0.4607544,0.21014404,-0.16662598,0.8460083
