timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
78680,1000.9829,1001.5696,5.9882812,7.4726562,2.5625,0.48443604,-0.3168335,0.069885254,0.81243896,77730.0,998.6084,1001.7412,-6.4765625,7.6289062,0.546875,0.47991943,0.4656372,0.034484863,0.7427368
78690,1000.97144,1001.5371,1.4296875,9.082031,2.984375,0.50268555,-0.31500244,-0.31573486,0.74053955,77740.0,998.6321,1001.7417,-6.7460938,6.9414062,0.58203125,0.48303223,0.46185303,0.01171875,0.7437744
78710,1000.99414,1001.5652,1.5078125,9.1171875,2.984375,0.5025635,-0.31481934,-0.3168335,0.7402344,77745.0,998.6411,1001.7427,-2.1484375,9.472656,0.890625,0.65771484,-0.11907959,-0.28198242,0.68829346
78730,1000.9951,1001.5686,1.1992188,9.1171875,3.4804688,0.50250244,-0.3145752,-0.31799316,0.73986816,77760.0,998.6416,1001.73,-2.0703125,9.5078125,1.2734375,0.6571045,-0.11920166,-0.28100586,0.689209
78750,1001.0132,1001.5586,1.125,9.1171875,3.40625,0.5026245,-0.31469727,-0.31854248,0.739563,77775.0,998.63794,1001.7412,-1.9960938,9.46875,1.4257812,0.6561279,-0.11895752,-0.2798462,0.6906738
78770,1000.99097,1001.58154,1.0859375,9.121094,3.4414062,0.5029907,-0.31518555,-0.31817627,0.7391968,77795.0,998.62524,1001.7119,-1.8789062,9.46875,1.4257812,0.65527344,-0.11853027,-0.27947998,0.6917114
78790,1000.9846,1001.5574,1.046875,9.121094,3.5195312,0.50341797,-0.31610107,-0.3170166,0.7390137,77815.0,998.6575,1001.7246,-1.765625,9.433594,1.4648438,0.65460205,-0.11767578,-0.27978516,0.6923218
78810,1000.98315,1001.58325,1.390625,9.078125,3.2148438,0.5039673,-0.31860352,-0.31549072,0.7382202,77835.0,998.6367,1001.7202,-1.5742188,9.546875,1.4257812,0.65411377,-0.11645508,-0.28015137,0.6928711
78830,1000.9319,1001.5664,1.6210938,9.078125,3.0585938,0.50439453,-0.3209839,-0.31463623,0.7373047,77855.0,998.62964,1001.7561,-1.8398438,9.472656,1.1210938,0.6538086,-0.1149292,-0.28070068,0.6932373
78850,1000.927,1001.5669,1.6601562,9.078125,3.0585938,0.5050659,-0.32281494,-0.31396484,0.7362671,77875.0,998.59937,1001.72754,-2.03125,9.5859375,0.96484375,0.6535034,-0.11315918,-0.28131104,0.69348145
78870,1000.9026,1001.5896,1.6992188,9.042969,3.0585938,0.5062256,-0.3239746,-0.31347656,0.7352295,77895.0,998.6074,1001.72705,-2.1875,9.46875,0.9296875,0.6529541,-0.11138916,-0.2814331,0.6942749
78890,1000.91455,1001.5703,1.5078125,9.1484375,2.9453125,0.50738525,-0.32507324,-0.31329346,0.7340088,77915.0,998.60254,1001.7656,-2.4179688,9.3515625,0.890625,0.6522217,-0.10998535,-0.2810669,0.69537354
78910,1000.89307,1001.57227,1.46875,9.152344,2.90625,0.5081177,-0.32617188,-0.31359863,0.73291016,77935.0,998.62476,1001.7637,-2.2265625,9.433594,1.2734375,0.6508789,-0.10852051,-0.28033447,0.69714355
78930,1000.88184,1001.583,1.46875,9.1875,2.90625,0.50860596,-0.3272705,-0.31396484,0.73187256,77955.0,998.6531,1001.75586,-2.0703125,9.3515625,1.65625,0.64941406,-0.1071167,-0.27990723,0.6989136
78950,1000.86035,1001.57666,1.390625,9.2265625,2.7929688,0.50878906,-0.32818604,-0.31414795,0.7312622,77975.0,998.64014,1001.7446,-2.03125,9.238281,1.8476562,0.6484375,-0.10620117,-0.28015137,0.6998291
78970,1000.8445,1001.5952,1.5078125,9.230469,2.6367188,0.5084839,-0.32855225,-0.31433105,0.7312622,78000.0,998.5935,1001.74,-2.1875,9.203125,1.8085938,0.6480713,-0.10583496,-0.28131104,0.69976807
78990,1000.8386,1001.5471,1.5078125,9.1875,2.8671875,0.50787354,-0.32855225,-0.3143921,0.7316284,78015.0,998.5989,1001.77295,-2.2617188,9.3515625,1.6171875,0.6483154,-0.10571289,-0.28240967,0.6990967
79010,1000.8252,1001.5891,1.46875,9.1875,2.8671875,0.50720215,-0.32843018,-0.31427002,0.73217773,78035.0,998.5845,1001.7175,-2.453125,9.394531,1.4648438,0.6488037,-0.10559082,-0.28302002,0.6984253
79030,1000.8032,1001.5681,1.46875,9.1484375,2.9453125,0.5064697,-0.32843018,-0.3140869,0.7327881,78055.0,998.6118,1001.73364,-2.3789062,9.472656,1.3125,0.6491699,-0.10534668,-0.28302002,0.6981201
79050,1000.8259,1001.5513,1.546875,9.121094,3.0585938,0.5055542,-0.32885742,-0.3143921,0.73309326,78080.0,998.63086,1001.7693,-2.03125,9.472656,1.2734375,0.649353,-0.10491943,-0.28277588,0.6981201
79070,1000.81274,1001.5725,1.6210938,9.1171875,3.0234375,0.5048218,-0.32940674,-0.31500244,0.73309326,78095.0,998.6067,1001.7803,-1.9960938,9.390625,1.3125,0.649353,-0.10443115,-0.2826538,0.6982422
79090,1000.77905,1001.593,1.6210938,9.078125,3.0234375,0.5043335,-0.32983398,-0.3156128,0.7329712,78115.0,998.5857,1001.7649,-2.0703125,9.355469,1.3515625,0.6494751,-0.10418701,-0.28289795,0.6980591
79110,1000.7732,1001.5984,1.6601562,9.1171875,2.984375,0.5039673,-0.3302002,-0.3164673,0.73272705,78135.0,998.6196,1001.7468,-2.1875,9.238281,1.4257812,0.6497803,-0.10430908,-0.2836914,0.69744873
79130,1000.77,1001.55566,1.6210938,9.1171875,2.984375,0.50335693,-0.3303833,-0.317688,0.7324829,78155.0,998.6218,1001.74756,-2.453125,9.277344,1.5429688,0.65026855,-0.10491943,-0.2852173,0.696228
79150,1000.7632,1001.5,1.4296875,9.1171875,3.2148438,0.5029907,-0.33068848,-0.31854248,0.73223877,78175.0,998.6067,1001.75903,-2.3789062,9.125,1.578125,0.6515503,-0.10620117,-0.2878418,0.6937866
79170,1000.7539,1001.5005,1.125,9.230469,3.1367188,0.5026245,-0.33184814,-0.31848145,0.7319946,78195.0,998.6228,1001.78296,-2.3398438,9.2734375,1.5039062,0.65393066,-0.10821533,-0.29223633,0.6893921
79190,1000.79224,1001.4888,0.85546875,9.5703125,3.1367188,0.50115967,-0.33392334,-0.31591797,0.7331543,78215.0,998.61084,1001.7302,-2.0703125,9.511719,1.5429688,0.65618896,-0.109558105,-0.29711914,0.6849365
79210,1000.75195,1001.4802,1.0078125,9.3046875,3.9414062,0.4991455,-0.33807373,-0.3106079,0.7348633,78235.0,998.5906,1001.78394,-1.8046875,9.621094,1.1953125,0.65802,-0.10864258,-0.3008423,0.6816406
79230,1000.71533,1001.46704,1.390625,9.191406,3.8632812,0.4967041,-0.3441162,-0.30474854,0.73620605,78255.0,998.56616,1001.7742,-1.9570312,9.589844,1.3515625,0.6599121,-0.105529785,-0.3045044,0.67871094
79250,1000.71313,1001.4861,1.7773438,9.308594,3.0234375,0.49420166,-0.35235596,-0.29864502,0.73651123,78275.0,998.60034,1001.76294,-2.109375,9.550781,1.3867188,0.66204834,-0.101257324,-0.30999756,0.6748047
79270,1000.6941,1001.4822,2.3515625,9.042969,2.3710938,0.49188232,-0.3604126,-0.29345703,0.73620605,78295.0,998.5381,1001.75977,-2.2617188,9.390625,1.1210938,0.66467285,-0.09680176,-0.31628418,0.6699219
79290,1000.6587,1001.53174,3.4609375,8.765625,1.5664062,0.489563,-0.36694336,-0.29083252,0.7355957,78325.0,998.55884,1001.7727,-3.4492188,9.234375,0.58203125,0.66619873,-0.091796875,-0.3213501,0.666687
79310,1000.655,1001.4426,3.84375,8.765625,1.5664062,0.48883057,-0.36956787,-0.29022217,0.7350464,78335.0,998.56274,1001.7727,-3.9882812,9.011719,0.4296875,0.6664429,-0.087524414,-0.3251953,0.66516113
79330,1000.6404,1001.4629,3.5742188,9.3828125,1.6054688,0.48858643,-0.37017822,-0.29058838,0.7347412,78355.0,998.5464,1001.75,-4.0625,8.972656,0.69921875,0.66552734,-0.0848999,-0.32806396,0.66503906
79350,1000.6609,1001.41187,3.1914062,9.808594,1.9492188,0.48864746,-0.36968994,-0.28936768,0.7354126,78375.0,998.54175,1001.7383,-4.140625,8.7421875,0.890625,0.664978,-0.08355713,-0.3305664,0.6644287
79370,1000.68286,1001.4243,2.3867188,10.074219,3.0976562,0.4892578,-0.37042236,-0.28271484,0.7371826,78395.0,998.57227,1001.77295,-4.1015625,9.355469,1.6171875,0.6651001,-0.082214355,-0.33343506,0.66308594
79390,1000.6902,1001.5029,2.1601562,9.609375,3.4804688,0.4885254,-0.3735962,-0.27392578,0.7394409,78415.0,998.5674,1001.73804,-3.4882812,9.550781,1.8867188,0.66485596,-0.08013916,-0.3392334,0.66064453
79410,1000.6726,1001.4878,2.234375,9.121094,3.8632812,0.4847412,-0.37939453,-0.26446533,0.7423706,78435.0,998.56323,1001.7749,-3.1445312,9.089844,1.7695312,0.66589355,-0.077819824,-0.3496704,0.65441895
79430,1000.6106,1001.47534,2.1953125,9.0390625,3.5195312,0.4777832,-0.38708496,-0.2571411,0.7454834,78460.0,998.55273,1001.7622,-3.3359375,9.1640625,1.5429688,0.66796875,-0.075683594,-0.36608887,0.6434326
79450,1000.6167,1001.5198,3.5742188,8.765625,2.7929688,0.46936035,-0.3959961,-0.25152588,0.7481079,78475.0,998.51733,1001.75635,-4.1015625,9.089844,0.546875,0.6694336,-0.073913574,-0.3864746,0.63012695
79470,1000.6338,1001.531,4.3046875,7.65625,2.21875,0.4602661,-0.4041748,-0.2468872,0.7508545,78495.0,998.55054,1001.7827,-4.2539062,8.0078125,0.27734375,0.6687622,-0.07476807,-0.4111328,0.6149292
79490,1000.5791,1001.51416,4.9179688,7.8515625,1.4882812,0.45288086,-0.4085083,-0.2442627,0.75390625,78515.0,998.5217,1001.7888,-4.90625,7.28125,0.1640625,0.666687,-0.082336426,-0.4348755,0.5996704
79510,1000.6194,1001.5935,4.953125,8.0390625,0.5703125,0.44696045,-0.40777588,-0.24401855,0.75787354,78540.0,998.4719,1001.7539,-5.4804688,8.5859375,-1.0625,0.6600342,-0.098083496,-0.4649048,0.5819092
79530,1000.6631,1001.5852,2.8476562,6.3242188,3.5195312,0.4442749,-0.40472412,-0.24658203,0.7602539,78555.0,998.5049,1001.802,-4.2929688,9.550781,-1.3710938,0.6532593,-0.10699463,-0.48199463,0.5739746
79550,1000.62085,1001.52124,2.3515625,6.890625,3.4414062,0.446167,-0.39941406,-0.24645996,0.7620239,78575.0,998.5117,1001.79224,-3.6054688,9.3515625,-0.06640625,0.6430664,-0.115722656,-0.50219727,0.5664673
79570,1000.59766,1001.61523,0.89453125,8.316406,3.25,0.4512329,-0.39105225,-0.24023438,0.7653198,78595.0,998.5366,1001.7898,-3.21875,8.855469,0.69921875,0.63220215,-0.121398926,-0.5202637,0.5611572
79590,1000.65576,1001.5598,0.2421875,7.6210938,3.8632812,0.45684814,-0.38171387,-0.23095703,0.7695923,78620.0,998.61914,1001.791,-1.9960938,9.3125,1.734375,0.61657715,-0.12365723,-0.5444946,0.5550537
79610,1000.6809,1001.6572,-0.5625,7.5117188,7.0039062,0.46124268,-0.3731079,-0.22302246,0.77349854,78635.0,998.6194,1001.8384,-1.2304688,8.3203125,1.734375,0.60595703,-0.12384033,-0.5585327,0.5527344
79630,1000.7239,1001.39185,-0.984375,5.1367188,4.8984375,0.4661255,-0.37213135,-0.22058105,0.7717285,78655.0,998.5913,1001.75977,-1.0,7.515625,1.8867188,0.5951538,-0.12713623,-0.57354736,0.54833984
79650,1000.62915,1001.095,0.359375,8.660156,7.5820312,0.4736328,-0.37860107,-0.21685791,0.7650757,78675.0,998.62524,1001.81665,-0.4609375,7.8203125,2.0,0.58898926,-0.13201904,-0.58587646,0.5407715
79670,1000.6106,1001.4531,0.58984375,11.2578125,9.9921875,0.48138428,-0.40930176,-0.18127441,0.75354004,78695.0,998.6543,1001.70776,0.1875,10.2734375,3.609375,0.5821533,-0.13555908,-0.5946655,0.5376587
79690,1000.94434,1001.0073,2.9648438,3.3710938,-4.6054688,0.4798584,-0.38806152,-0.19171143,0.7631836,78715.0,998.60864,1001.7029,-0.65234375,11.2265625,3.1484375,0.57873535,-0.13568115,-0.60235596,0.53271484
79710,1000.75024,1001.03345,-0.140625,5.9414062,5.8945312,0.4567871,-0.3885498,-0.21917725,0.7696533,78735.0,998.5962,1001.73535,-1.0351562,11.042969,3.3789062,0.57977295,-0.1317749,-0.6087036,0.5253906
79730,1000.64185,1001.02954,1.6992188,5.2851562,4.6289062,0.4501953,-0.3953247,-0.22705078,0.76776123,78755.0,998.60156,1001.76685,-1.9570312,9.472656,2.3476562,0.5845947,-0.12780762,-0.61517334,0.5132446
79750,1000.5657,1001.1221,2.234375,6.125,3.4804688,0.45788574,-0.4013672,-0.22375488,0.76104736,78785.0,998.58765,1001.87915,-3.4140625,6.2890625,0.96484375,0.592041,-0.12567139,-0.62194824,0.4968872
79770,1000.5774,1001.1433,2.4648438,5.9414062,1.4492188,0.47149658,-0.40618896,-0.2199707,0.7512207,78795.0,998.5769,1001.87915,-4.4453125,5.2226562,1.0039062,0.60040283,-0.12438965,-0.62677,0.48083496
79790,1000.57544,1002.62256,2.9257812,6.0507812,0.6484375,0.48913574,-0.40875244,-0.21740723,0.7391968,78815.0,998.5657,1001.90454,-5.25,4.5273438,0.66015625,0.6090088,-0.12634277,-0.6290283,0.4663086
