timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
3451392,834.541,835.07983,4.015625,6.1679688,6.1210938,0.44482422,0.016601562,0.5083618,0.7371826,3445717.0,834.3032,834.02783,-3.8007812,7.5859375,4.5585938,0.50805664,-0.07885742,-0.49487305,0.7005005
3451398,834.541,835.07983,4.4375,6.1679688,5.4726562,0.45092773,0.0010986328,0.5065918,0.7348633,3445723.0,834.27124,834.01904,-3.7226562,7.625,4.5976562,0.5009155,-0.07373047,-0.49597168,0.70544434
3451407,834.52856,835.07227,3.921875,7.25,4.6484375,0.5147705,0.064208984,0.4902954,0.7003784,3445736.0,834.2446,834.0415,-1.9296875,8.683594,3.1523438,0.5386963,-0.2322998,-0.47991943,0.6522827
3451421,834.5405,835.0637,3.921875,7.328125,4.609375,0.5151367,0.06439209,0.49053955,0.69989014,3445751.0,834.26685,833.99756,-2.2734375,8.339844,3.0742188,0.53759766,-0.23028564,-0.47851562,0.65496826
3451436,834.48755,835.0823,4.0,7.4765625,4.5351562,0.51568604,0.06463623,0.49047852,0.6995239,3445771.0,834.3059,834.0071,-2.1210938,8.300781,3.265625,0.5377197,-0.23010254,-0.47821045,0.65515137
3451456,834.5132,835.0625,4.1914062,7.3320312,4.3789062,0.5161743,0.06530762,0.49023438,0.6992798,3445791.0,834.2842,834.0066,-2.1210938,8.535156,3.1523438,0.53826904,-0.23065186,-0.47875977,0.65411377
3451476,834.5327,835.062,4.1523438,7.3671875,4.4179688,0.5165405,0.066467285,0.49053955,0.69866943,3445811.0,834.2656,834.0134,-1.8515625,9.066406,3.1875,0.53863525,-0.23248291,-0.47894287,0.65301514
3451496,834.52026,835.0679,3.921875,7.5546875,4.4570312,0.5172119,0.06726074,0.4906006,0.6980591,3445831.0,834.271,834.0315,-1.8515625,9.1015625,2.921875,0.5385132,-0.23431396,-0.47906494,0.65234375
3451516,834.52,835.0393,3.9609375,7.6757812,4.4570312,0.51794434,0.06726074,0.49005127,0.697876,3445851.0,834.28516,834.03345,-1.6210938,8.984375,2.9960938,0.5380249,-0.23474121,-0.47869873,0.6529541
3451536,834.51196,835.0571,4.1914062,7.6328125,4.3046875,0.5183716,0.06719971,0.4892578,0.6981201,3445871.0,834.29614,834.0205,-1.7734375,8.984375,2.921875,0.5373535,-0.23254395,-0.4776001,0.6550293
