timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
731825.0,1017.21484,1016.386,-1.96875,7.9609375,-6.265625,0.85180664,-0.28918457,-0.22644043,0.37353516,737995,1017.48,1018.1731,-3.921875,8.855469,0.4375,0.5578613,-0.4413452,-0.6387329,0.29333496
731830.0,1017.21484,1016.386,-1.5078125,7.8867188,-6.1132812,0.84313965,-0.29364014,-0.21325684,0.39672852,738005,1017.48,1018.1731,-4.6875,8.855469,-0.44140625,0.57073975,-0.44030762,-0.63049316,0.28790283
731845.0,1017.23926,1016.4121,-0.62890625,8.0,-6.3046875,0.8154297,-0.38128662,-0.20471191,0.3843994,738015,1017.4724,1018.1904,-5.0703125,8.625,0.4765625,0.5392456,-0.42608643,-0.68170166,0.25091553
731855.0,1017.2114,1016.4065,-0.78125,7.921875,-6.1523438,0.8156128,-0.38134766,-0.20349121,0.38458252,738025,1017.4673,1018.167,-5.109375,8.667969,0.4375,0.53930664,-0.4258423,-0.6817627,0.25097656
731880.0,1017.22095,1016.39014,-0.58984375,7.7304688,-6.265625,0.8156738,-0.38146973,-0.20239258,0.3848877,738045,1017.4541,1018.17285,-5.109375,8.667969,0.36328125,0.53948975,-0.42529297,-0.68188477,0.2512207
731895.0,1017.2295,1016.4182,-0.4375,7.7695312,-6.3828125,0.81573486,-0.38146973,-0.20153809,0.3852539,738065,1017.45776,1018.1377,-5.1835938,8.589844,0.4765625,0.5397339,-0.42456055,-0.68200684,0.25164795
731915.0,1017.24634,1016.4324,-0.3203125,7.7265625,-6.2265625,0.81585693,-0.38116455,-0.20056152,0.38586426,738090,1017.47656,1018.1128,-5.1835938,8.589844,0.4765625,0.53985596,-0.42388916,-0.6821289,0.25219727
731935.0,1017.2197,1016.4177,-0.4375,7.7304688,-6.1914062,0.81604004,-0.38079834,-0.19958496,0.38623047,738105,1017.46606,1018.12036,-5.2226562,8.550781,0.4765625,0.53985596,-0.4234619,-0.682251,0.2526245
731955.0,1017.2173,1016.37964,-0.359375,7.765625,-6.4570312,0.8161621,-0.38043213,-0.19909668,0.38659668,738125,1017.50146,1018.04346,-5.2617188,8.546875,0.5546875,0.53967285,-0.42321777,-0.68237305,0.25299072
731975.0,1017.20557,1016.4072,-0.3984375,7.7265625,-6.3046875,0.8162842,-0.38006592,-0.19897461,0.38684082,738145,1017.51587,1017.96655,-5.1484375,8.589844,0.4765625,0.53948975,-0.42303467,-0.68255615,0.25317383
731995.0,1017.2942,1016.40576,-0.359375,7.8046875,-6.1523438,0.8163452,-0.37963867,-0.19921875,0.38702393,738165,1017.4907,1017.89014,-5.0703125,8.589844,0.515625,0.53948975,-0.42279053,-0.6826782,0.25323486
732015.0,1017.2268,1016.4077,-0.24609375,7.7265625,-6.1523438,0.81640625,-0.37927246,-0.19976807,0.38690186,738185,1017.50146,1017.8423,-5.1484375,8.550781,0.5546875,0.53967285,-0.42260742,-0.6826782,0.25317383
732035.0,1017.28784,1016.40845,-0.20703125,7.8046875,-6.265625,0.8166504,-0.3789673,-0.20037842,0.3864746,738205,1017.5083,1017.7883,-5.2617188,8.5859375,0.4765625,0.539978,-0.4232788,-0.6819458,0.253479
732055.0,1017.28,1016.4026,-0.28515625,7.84375,-6.4570312,0.8168335,-0.378479,-0.20092773,0.38616943,738225,1017.50635,1017.7385,-5.3007812,8.628906,0.4765625,0.5397339,-0.42333984,-0.68200684,0.25360107
732080.0,1017.2141,1016.4136,-0.4765625,7.8085938,-6.3828125,0.8170166,-0.3779297,-0.20135498,0.38604736,738245,1017.5237,1017.74756,-5.03125,8.550781,0.5546875,0.53930664,-0.42358398,-0.682312,0.2532959
732095.0,1017.239,1016.43066,-0.4765625,7.765625,-6.3046875,0.81726074,-0.37738037,-0.20178223,0.38598633,738265,1017.50073,1017.7002,-5.0703125,8.589844,0.515625,0.53912354,-0.4237671,-0.6826172,0.25256348
732115.0,1017.271,1016.407,-0.4765625,7.7265625,-6.34375,0.8173828,-0.3765869,-0.20227051,0.38623047,738285,1017.51196,1017.70337,-5.1835938,8.550781,0.515625,0.53900146,-0.4239502,-0.6828613,0.25195312
732135.0,1017.2439,1016.416,-0.55078125,7.7265625,-6.3046875,0.8175659,-0.37579346,-0.20263672,0.38641357,738305,1017.51416,1017.6577,-5.2226562,8.5859375,0.4765625,0.53881836,-0.4241333,-0.68304443,0.25146484
732155.0,1017.2627,1016.37695,-0.51171875,7.921875,-6.265625,0.817749,-0.375,-0.2029419,0.38659668,738325,1017.49243,1017.6267,-5.1484375,8.546875,0.4765625,0.53863525,-0.42437744,-0.68322754,0.25097656
732175.0,1017.2981,1016.41675,-0.4765625,7.9257812,-6.1523438,0.8179321,-0.37420654,-0.20318604,0.38684082,738345,1017.5344,1017.61255,-5.2226562,8.546875,0.515625,0.5385132,-0.42462158,-0.68341064,0.25042725
732195.0,1017.27637,1016.4258,-0.58984375,7.921875,-6.265625,0.81817627,-0.3735962,-0.20343018,0.38684082,738365,1017.4746,1017.5786,-5.1835938,8.589844,0.4765625,0.5383911,-0.42486572,-0.6835327,0.24993896
732215.0,1017.2898,1016.4448,-0.62890625,7.8828125,-6.0351562,0.8184204,-0.37304688,-0.20373535,0.38659668,738390,1017.4839,1017.5569,-5.1835938,8.589844,0.4765625,0.5383911,-0.42486572,-0.6836548,0.24957275
732235.0,1017.25464,1016.41455,-0.66796875,7.9257812,-6.2265625,0.8187256,-0.37261963,-0.20404053,0.3862915,738405,1017.4917,1017.5593,-5.2226562,8.5859375,0.4765625,0.53845215,-0.42486572,-0.6836548,0.24951172
732255.0,1017.2632,1016.42847,-0.66796875,7.8476562,-6.1914062,0.8189697,-0.37225342,-0.20452881,0.38586426,738425,1017.51904,1017.51904,-5.1835938,8.589844,0.4765625,0.53845215,-0.42468262,-0.6836548,0.24957275
732280.0,1017.2749,1016.45874,-0.703125,7.7304688,-6.3828125,0.81921387,-0.37176514,-0.20513916,0.38549805,738445,1017.4971,1017.4712,-5.2226562,8.546875,0.5546875,0.5385132,-0.42456055,-0.6837158,0.24957275
732295.0,1017.2649,1016.44556,-0.7421875,7.6992188,-6.265625,0.819397,-0.3710327,-0.20574951,0.38549805,738465,1017.48267,1017.45337,-5.2226562,8.625,0.4375,0.53845215,-0.42443848,-0.6838379,0.24969482
732315.0,1017.26514,1016.43774,-0.62890625,7.7304688,-6.1914062,0.819458,-0.3703003,-0.20635986,0.38580322,738485,1017.49976,1017.42773,-5.1835938,8.5078125,0.5546875,0.5383911,-0.4241333,-0.68395996,0.24987793
732335.0,1017.23145,1016.4431,-0.58984375,7.84375,-6.5351562,0.819397,-0.36938477,-0.20697021,0.38635254,738505,1017.50195,1017.4077,-5.1484375,8.4375,0.74609375,0.5385742,-0.42407227,-0.6838989,0.24969482
732355.0,1017.2495,1016.43677,-0.703125,7.9609375,-6.265625,0.81933594,-0.36834717,-0.20739746,0.3873291,738525,1017.5095,1017.364,-5.1484375,8.511719,0.59375,0.53900146,-0.42419434,-0.68359375,0.24932861
732375.0,1017.26025,1016.427,-0.7421875,7.921875,-5.9609375,0.81933594,-0.3675537,-0.2074585,0.38812256,738545,1017.5027,1017.374,-5.2617188,8.625,0.4375,0.5395508,-0.4243164,-0.68322754,0.24914551
732395.0,1017.26587,1016.41235,-0.66796875,7.9609375,-6.0351562,0.819397,-0.36706543,-0.20721436,0.3885498,738565,1017.49585,1017.416,-5.3007812,8.589844,0.4375,0.53985596,-0.4241333,-0.6829834,0.24945068
732415.0,1017.2798,1016.42725,-0.55078125,8.113281,-6.2265625,0.81951904,-0.3668213,-0.206604,0.38879395,738585,1017.5425,1017.4944,-5.3007812,8.546875,0.4765625,0.53985596,-0.4239502,-0.6829834,0.2498169
732435.0,1017.27954,1016.4326,-0.55078125,8.0390625,-6.1523438,0.81970215,-0.3668213,-0.20581055,0.38879395,738610,1017.51685,1017.6655,-5.1484375,8.550781,0.5546875,0.53985596,-0.42358398,-0.6829834,0.25030518
732455.0,1017.29736,1016.43164,-0.58984375,8.003906,-6.1132812,0.8199463,-0.36712646,-0.20483398,0.3885498,738625,1017.5244,1017.709,-5.1835938,8.511719,0.59375,0.54003906,-0.42321777,-0.68292236,0.25073242
732475.0,1017.27075,1016.4641,-0.55078125,7.9648438,-6.1523438,0.82025146,-0.36743164,-0.20410156,0.3880005,738645,1017.501,1017.8269,-5.3007812,8.550781,0.515625,0.54034424,-0.42303467,-0.6826172,0.25115967
