timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1510245,981.155,983.08716,-2.484375,3.7148438,8.6875,0.0390625,0.23504639,0.6990967,0.67419434,1510195.0,983.5503,979.7446,1.8398438,7.6445312,-5.453125,-0.0021972656,-0.90496826,-0.42114258,0.06060791
1510250,981.1196,983.09375,-2.9453125,4.2890625,8.6875,0.055236816,0.23577881,0.697876,0.67407227,1510210.0,983.5364,979.81323,3.2070312,6.421875,6.515625,0.38049316,-0.15661621,0.068359375,0.9088745
1510265,981.13306,983.09424,-3.5195312,2.34375,8.730469,0.22875977,-0.012451172,-0.8114624,0.5376587,1510225.0,983.5576,979.7605,3.2421875,6.421875,6.5585938,0.380188,-0.15667725,0.0692749,0.90893555
1510280,981.1111,983.1035,-3.0585938,3.1484375,8.8828125,0.22851562,-0.012512207,-0.81140137,0.5378418,1510240.0,983.5259,979.7715,3.28125,6.421875,6.40625,0.3809204,-0.15649414,0.0703125,0.90856934
1510300,981.12964,983.073,-3.5585938,2.4960938,8.964844,0.22857666,-0.010131836,-0.81066895,0.5389404,1510260.0,983.5315,979.7969,3.3984375,6.453125,6.3671875,0.38153076,-0.15661621,0.0713501,0.9082031
1510320,981.1279,983.0762,-3.6328125,2.265625,8.925781,0.22991943,-0.009094238,-0.80999756,0.5393677,1510280.0,983.54346,979.76416,3.3203125,6.6523438,6.40625,0.38128662,-0.15686035,0.071899414,0.9082031
1510340,981.1189,983.07275,-3.6328125,2.6132812,8.8046875,0.230896,-0.009155273,-0.80963135,0.5395508,1510305.0,983.5083,979.7571,3.3203125,6.6132812,6.5195312,0.38031006,-0.15716553,0.072143555,0.90856934
1510360,981.1267,983.0818,-3.671875,2.6875,8.7265625,0.23028564,-0.008605957,-0.8093262,0.5402832,1510320.0,983.5718,979.7754,3.359375,6.4960938,6.4804688,0.38024902,-0.15710449,0.072631836,0.90856934
1510380,981.10645,983.1006,-3.5195312,2.7265625,8.921875,0.22961426,-0.007446289,-0.80908203,0.54089355,1510340.0,983.5342,979.7864,3.2421875,6.5351562,6.4804688,0.38079834,-0.15692139,0.0736084,0.90826416
1510400,981.1504,983.0967,-3.4804688,2.6132812,8.9609375,0.22961426,-0.005859375,-0.8088379,0.5413208,1510360.0,983.5598,979.7903,3.2421875,6.5742188,6.5195312,0.38098145,-0.15734863,0.07446289,0.90808105
1510420,981.13794,983.09937,-3.7890625,2.4570312,8.765625,0.23028564,-0.005126953,-0.8085327,0.5414429,1510380.0,983.5471,979.77856,3.4335938,6.5351562,6.4453125,0.38067627,-0.15808105,0.07470703,0.90802
1510440,981.1433,983.0925,-3.59375,2.6875,8.582031,0.23052979,-0.005065918,-0.8083496,0.541626,1510400.0,983.57227,979.7803,3.4726562,6.4257812,6.40625,0.38031006,-0.15844727,0.07501221,0.90808105
1510460,981.1394,983.10864,-3.4804688,2.6875,8.7265625,0.22991943,-0.0045776367,-0.8083496,0.54193115,1510420.0,983.5327,979.8037,3.359375,6.421875,6.4492188,0.38043213,-0.15838623,0.07562256,0.90802
1510485,981.1355,983.1304,-3.4804688,2.6875,8.9609375,0.22930908,-0.0036621094,-0.8082886,0.54229736,1510440.0,983.52954,979.7595,3.359375,6.421875,6.40625,0.38116455,-0.15814209,0.07635498,0.9076538
1510500,981.13135,983.10645,-3.5195312,2.5351562,8.886719,0.22937012,-0.0026245117,-0.80804443,0.54260254,1510460.0,983.5408,979.78613,3.359375,6.453125,6.328125,0.3817749,-0.1583252,0.0770874,0.90734863
1510520,981.1311,983.1079,-3.671875,2.4960938,8.808594,0.22998047,-0.0018310547,-0.80773926,0.5428467,1510480.0,983.5386,979.792,3.3984375,6.53125,6.328125,0.38165283,-0.15893555,0.07733154,0.90722656
1510540,981.1184,983.1096,-3.8632812,2.1914062,8.6171875,0.23034668,-0.0024414062,-0.8078003,0.54260254,1510505.0,983.52515,979.7683,3.4726562,6.34375,6.40625,0.3809204,-0.15930176,0.07684326,0.90753174
1510560,981.1079,983.0796,-3.5585938,2.8789062,8.660156,0.22924805,-0.0028686523,-0.80810547,0.5426636,1510520.0,983.53906,979.8003,3.4335938,6.34375,6.4101562,0.38085938,-0.15893555,0.076538086,0.9076538
1510580,981.135,983.07666,-3.5585938,2.765625,8.8828125,0.2277832,-0.0013427734,-0.8078003,0.5437012,1510540.0,983.52734,979.792,3.2070312,6.4257812,6.40625,0.38153076,-0.15844727,0.07678223,0.90740967
1510600,981.12476,983.10205,-3.5195312,2.4570312,9.082031,0.22717285,0.00030517578,-0.807312,0.54467773,1510560.0,983.52515,979.7676,3.1679688,6.4960938,6.3671875,0.3821411,-0.15863037,0.07684326,0.9071655
1510625,981.115,983.0781,-3.6328125,2.34375,8.886719,0.2277832,6.1035156e-05,-0.8074951,0.5441284,1510580.0,983.5078,979.7988,3.4335938,6.4570312,6.2539062,0.38232422,-0.15905762,0.076416016,0.90704346
1510640,981.1157,983.0803,-3.5585938,2.5351562,8.660156,0.22814941,-0.0017089844,-0.80841064,0.54260254,1510600.0,983.53613,979.792,3.5507812,6.4960938,6.2148438,0.38232422,-0.15905762,0.075927734,0.90704346
1510660,981.1211,983.07153,-3.5195312,2.7265625,8.730469,0.22717285,-0.0018310547,-0.809021,0.54211426,1510620.0,983.562,979.77686,3.4335938,6.4960938,6.2539062,0.38232422,-0.1585083,0.07550049,0.9071655
