timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
834875.0,957.71313,957.69604,-2.4882812,-7.1875,6.3242188,-0.23553467,0.3612671,-0.5595093,0.7077637,834975,959.4236,958.31616,-0.87890625,9.671875,-1.9257812,0.56762695,0.5202637,0.3883667,0.5062866
834880.0,957.7295,957.7212,-2.4101562,-7.2265625,6.171875,-0.23577881,0.36065674,-0.5604248,0.7072754,834990,959.38354,958.3137,-2.8789062,7.0390625,5.984375,0.26574707,0.3503418,0.44683838,0.77911377
834895.0,957.7031,957.71704,-9.324219,-2.4648438,-0.265625,-0.46844482,0.55126953,0.2734375,0.63391113,835000,959.38354,958.31006,-2.9960938,6.9609375,5.90625,0.2670288,0.35101318,0.44525146,0.77923584
834910.0,957.69653,957.7163,-9.2421875,-2.5820312,-0.3046875,-0.46954346,0.55200195,0.27423096,0.6321411,835020,959.4099,958.3208,-3.0351562,7.078125,5.90625,0.26794434,0.3515625,0.4442749,0.77923584
834930.0,957.74023,957.75073,-9.125,-2.7734375,-0.2265625,-0.47009277,0.5522461,0.274292,0.63153076,835045,959.4009,958.34033,-3.0703125,7.1210938,5.9453125,0.26818848,0.35162354,0.44378662,0.77941895
834950.0,957.72974,957.7051,-9.0859375,-2.8125,-0.265625,-0.4699707,0.5523071,0.2732544,0.63201904,835060,959.39185,958.3037,-3.0703125,7.0429688,6.0625,0.26812744,0.35150146,0.44317627,0.7798462
834975.0,957.72656,957.7141,-9.628906,-2.5429688,-0.45703125,-0.47027588,0.5526123,0.27233887,0.631897,835080,959.3716,958.3384,-2.9960938,7.0429688,6.0625,0.26794434,0.35150146,0.44250488,0.78027344
834990.0,957.74927,957.67944,-9.625,-2.65625,-0.53515625,-0.47149658,0.55340576,0.27233887,0.63031006,835105,959.3635,958.32935,-3.265625,6.7382812,6.0234375,0.26763916,0.35180664,0.44213867,0.78045654
835010.0,957.7256,957.7114,-9.402344,-2.734375,-0.57421875,-0.47283936,0.5543213,0.27215576,0.6286011,835120,959.3816,958.32007,-3.265625,6.65625,5.8710938,0.26776123,0.35247803,0.44189453,0.78027344
835030.0,957.72437,957.7112,-9.324219,-2.8125,-0.6484375,-0.47369385,0.5548096,0.27142334,0.6278076,835140,959.3789,958.323,-3.2265625,6.7382812,5.7929688,0.2680664,0.35272217,0.4420166,0.77996826
835050.0,957.7063,957.71265,-9.359375,-2.8125,-0.57421875,-0.4736328,0.55474854,0.27044678,0.6282959,835160,959.3989,958.32886,-3.109375,6.8164062,5.8320312,0.26867676,0.35247803,0.44177246,0.7800293
835070.0,957.6948,957.7092,-9.5078125,-2.7734375,-0.53515625,-0.4736328,0.55474854,0.2694702,0.62872314,835185,959.38696,958.323,-3.0351562,7.1601562,6.0976562,0.2692871,0.35186768,0.4414673,0.78027344
835090.0,957.72974,957.7036,-9.4375,-2.8476562,-0.45703125,-0.4741211,0.5549927,0.26837158,0.6286621,835200,959.39575,958.35156,-2.9960938,7.078125,6.2890625,0.26916504,0.3515625,0.44140625,0.78045654
835110.0,957.7407,957.7158,-9.3984375,-2.8476562,-0.6484375,-0.47460938,0.55511475,0.26727295,0.6286011,835220,959.4219,958.32764,-3.0351562,6.890625,6.40625,0.26904297,0.35180664,0.44158936,0.78027344
