timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
197245,1002.2698,1002.6682,-9.011719,1.7617188,2.4453125,-0.024536133,0.6054077,0.18658447,0.77337646,197545,1001.0825,1003.39014,5.1171875,7.2890625,-4.09375,0.3421631,-0.7671509,-0.24597168,0.48364258
197255,1002.2888,1002.6831,-8.933594,1.9140625,1.71875,-0.025268555,0.6072998,0.1854248,0.7720947,197565,1001.0647,1003.3374,5.1171875,6.828125,-3.9023438,0.3395996,-0.76885986,-0.24298096,0.4841919
197270,1002.30884,1002.6963,-9.011719,1.9140625,1.6796875,-0.026184082,0.6088867,0.18414307,0.77111816,197580,1001.06714,1003.2776,5.2304688,6.6015625,-3.8632812,0.33758545,-0.7699585,-0.24176025,0.48449707
197285,1002.31226,1002.72705,-9.234375,1.8398438,1.9101562,-0.027770996,0.6102905,0.18383789,0.77008057,197600,1001.05176,1003.2637,5.3867188,6.4453125,-3.8632812,0.33581543,-0.770813,-0.2409668,0.4847412
197300,1002.28955,1002.676,-9.15625,1.6484375,2.140625,-0.029541016,0.61083984,0.18389893,0.76953125,197620,1001.0132,1003.2307,5.578125,6.3359375,-3.9414062,0.33416748,-0.77142334,-0.24053955,0.4852295
197320,1002.2981,1002.70996,-9.199219,1.7226562,2.21875,-0.030761719,0.6107788,0.18371582,0.7695923,197640,1001.0044,1003.2019,5.6523438,6.2226562,-3.9023438,0.33276367,-0.77160645,-0.24078369,0.48571777
197335,1002.30347,1002.6738,-9.355469,1.8007812,2.140625,-0.03173828,0.61053467,0.18383789,0.76971436,197660,1001.09863,1003.2134,5.7695312,6.21875,-3.9414062,0.3317871,-0.7714844,-0.24182129,0.48608398
197355,1002.2959,1002.6782,-9.582031,1.875,2.1015625,-0.03265381,0.6098633,0.1842041,0.77008057,197685,1001.0835,1003.21606,5.9609375,6.3007812,-3.9414062,0.33117676,-0.77111816,-0.24334717,0.4862671
197375,1002.28076,1002.70874,-9.7734375,1.953125,2.1796875,-0.03326416,0.6085205,0.1843872,0.77111816,197700,1001.0718,1003.24146,6.0351562,6.40625,-3.9023438,0.33099365,-0.77056885,-0.24511719,0.48638916
197400,1002.2588,1002.6985,-9.511719,1.9140625,2.5234375,-0.0335083,0.60687256,0.18426514,0.7723999,197720,1001.0835,1003.1897,6.0351562,6.5234375,-3.8632812,0.33117676,-0.76989746,-0.24676514,0.4864502
197415,1002.3213,1002.67554,-9.578125,2.0664062,2.6015625,-0.034057617,0.605896,0.18469238,0.77301025,197740,1001.0713,1003.1897,5.9609375,6.7226562,-3.9023438,0.33166504,-0.76916504,-0.24847412,0.48651123
197435,1002.3032,1002.7146,-9.8125,1.875,2.7539062,-0.034729004,0.6052246,0.1854248,0.77337646,197760,1001.0488,1003.1804,5.7695312,7.0234375,-3.8632812,0.33215332,-0.7683716,-0.2501831,0.48651123
197455,1002.29565,1002.7012,-9.7734375,1.8398438,2.7539062,-0.03527832,0.60424805,0.18585205,0.7739868,197780,1001.04175,1003.16895,5.6914062,7.1054688,-3.8242188,0.33270264,-0.7677002,-0.25177002,0.4864502
197480,1002.29395,1002.6555,-9.472656,1.8007812,2.984375,-0.035827637,0.6035156,0.1864624,0.77441406,197800,1001.0073,1003.1289,5.6132812,7.2109375,-3.8632812,0.33319092,-0.76708984,-0.25323486,0.4862671
197495,1002.30566,1002.66626,-9.660156,1.7226562,2.8671875,-0.036071777,0.60321045,0.18658447,0.77459717,197825,1001.0532,1003.0874,5.4609375,7.25,-3.8632812,0.3334961,-0.7665405,-0.2545166,0.48620605
