timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
274525,999.15356,999.82495,-6.4648438,6.4960938,2.5820312,-0.27294922,0.5578003,0.7421875,0.25195312,265820.0,1000.2959,997.135,5.4023438,4.0976562,-1.1835938,0.3043213,-0.7501831,0.055725098,0.5844116
274530,999.13306,999.8137,-6.7382812,6.6875,2.8476562,-0.25732422,0.5529785,0.75006104,0.25579834,265835.0,1000.25635,997.1218,6.5507812,6.8164062,-1.9101562,0.76416016,0.14227295,0.51068115,0.36743164
274540,999.13306,999.801,-1.2578125,9.105469,-2.7070312,0.7686157,0.22827148,0.09625244,0.5897827,265845.0,1000.25635,997.1094,6.5898438,6.734375,-1.984375,0.76446533,0.14276123,0.5101929,0.36724854
274555,999.1658,999.8613,-1.2578125,9.1796875,-2.7070312,0.7685547,0.22814941,0.09631348,0.5899048,265865.0,1000.2666,997.0996,6.5898438,6.734375,-1.9492188,0.7647705,0.14318848,0.5093994,0.3675537
274575,999.1548,999.8281,-1.1796875,9.371094,-2.7070312,0.76849365,0.22753906,0.09649658,0.59020996,265885.0,1000.28345,997.10645,6.5898438,6.9335938,-2.0625,0.76501465,0.14331055,0.50878906,0.36791992
274595,999.1343,999.82886,-1.140625,9.40625,-2.78125,0.7685547,0.22698975,0.09692383,0.590271,265910.0,1000.29785,997.11816,6.5898438,7.046875,-1.984375,0.7650757,0.14331055,0.5083618,0.36828613
274615,999.14844,999.8374,-1.1796875,9.410156,-2.8203125,0.7687988,0.22686768,0.09716797,0.5899658,265925.0,1000.28076,997.1387,6.5117188,7.046875,-1.984375,0.7649536,0.14361572,0.5083618,0.36853027
274635,999.17017,999.8425,-1.1796875,9.140625,-2.859375,0.7687378,0.22698975,0.097351074,0.5899658,265945.0,1000.29395,997.1482,6.4726562,6.9726562,-1.9492188,0.7651367,0.144104,0.5081177,0.3682251
274655,999.1841,999.85205,-1.1796875,9.183594,-2.7070312,0.76867676,0.22692871,0.097351074,0.5900879,265970.0,1000.2981,997.1162,6.5117188,6.8125,-2.0625,0.7654419,0.14453125,0.5075073,0.36834717
274675,999.1343,999.8506,-1.0664062,9.328125,-2.515625,0.7687378,0.22650146,0.097229004,0.5901489,265990.0,1000.28076,997.12573,6.4726562,7.0507812,-2.2539062,0.765625,0.14459229,0.5067749,0.36895752
274695,999.15796,999.8303,-1.0273438,9.3671875,-2.4375,0.76867676,0.22595215,0.09716797,0.5904541,266005.0,1000.28296,997.1079,6.4726562,7.0078125,-2.2929688,0.7657471,0.14428711,0.5062866,0.3694458
274715,999.15356,999.84326,-1.140625,9.4453125,-2.6289062,0.76867676,0.2255249,0.09710693,0.5906372,266025.0,1000.26953,997.09985,6.4726562,7.0117188,-2.1757812,0.765625,0.144104,0.5062866,0.369812
274735,999.1487,999.8423,-1.1015625,9.328125,-2.7070312,0.76849365,0.22540283,0.09698486,0.5909424,266045.0,1000.3071,997.08374,6.3984375,7.0820312,-2.0234375,0.7654419,0.14398193,0.50665283,0.36968994
274755,999.17847,999.7783,-1.0664062,9.144531,-2.7460938,0.7683716,0.2255249,0.09692383,0.5910034,266065.0,1000.2732,997.08984,6.3984375,6.6992188,-1.9101562,0.76538086,0.14404297,0.50683594,0.36950684
274775,999.1577,999.79785,-1.140625,8.988281,-2.8203125,0.76867676,0.22576904,0.09680176,0.5906372,266085.0,1000.28345,997.083,6.5507812,6.5078125,-1.9492188,0.7654419,0.14447021,0.50665283,0.3694458
