timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1423675,958.34814,958.91504,7.984375,3.7539062,4.203125,0.33184814,-0.39263916,0.22052002,0.82891846,1406610.0,959.6763,960.3237,-6.1679688,8.363281,0.00390625,0.117004395,0.69525146,0.47454834,0.5270386
1423685,958.34814,958.9148,8.671875,3.484375,3.4765625,0.5438843,-0.21759033,0.5974121,0.5477295,1406620.0,959.6763,960.31006,-8.082031,5.5664062,2.4179688,-0.4751587,0.3959961,0.78375244,0.05621338
1423695,958.3611,958.9021,8.7109375,3.2539062,3.4375,0.545166,-0.21636963,0.59820557,0.54608154,1406630.0,959.6841,960.3279,-7.9726562,5.5664062,2.3789062,-0.47601318,0.39453125,0.7838745,0.057250977
1423720,958.34595,958.9133,8.75,3.2148438,3.3203125,0.5467529,-0.21490479,0.59906006,0.5440674,1406645.0,959.6958,960.33716,-7.9296875,5.4492188,2.4570312,-0.47705078,0.3930664,0.78393555,0.058410645
1423735,958.35986,958.9446,8.832031,3.1757812,3.2851562,0.5480957,-0.21374512,0.5996094,0.5425415,1406665.0,959.6902,960.3557,-7.9296875,5.375,2.4921875,-0.47827148,0.39172363,0.78375244,0.05999756
1423755,958.33887,958.9475,8.792969,3.1757812,3.2851562,0.54901123,-0.21295166,0.5996704,0.5418091,1406685.0,959.70874,960.33325,-8.078125,5.4101562,2.4570312,-0.47930908,0.38989258,0.7838745,0.061340332
1423775,958.3269,958.9595,8.828125,3.2148438,3.2070312,0.5498047,-0.21191406,0.60009766,0.5410156,1406705.0,959.6875,960.3186,-8.15625,5.0273438,2.5703125,-0.4802246,0.38793945,0.78411865,0.06311035
1423800,958.3152,958.88403,8.597656,3.40625,3.4375,0.5508423,-0.21057129,0.6008301,0.53967285,1406725.0,959.65967,960.29956,-8.121094,4.9140625,2.6484375,-0.48095703,0.38690186,0.7839966,0.0657959
1423815,958.3362,958.91064,8.636719,3.40625,3.3203125,0.5515137,-0.2098999,0.60095215,0.53912354,1406745.0,959.6809,960.3247,-8.160156,4.875,2.6835938,-0.48138428,0.38671875,0.7835083,0.06933594
1423835,958.3618,958.93335,8.558594,3.40625,3.359375,0.5523071,-0.20947266,0.60076904,0.53863525,1406765.0,959.6887,960.3096,-8.234375,5.0664062,2.53125,-0.48138428,0.3866577,0.78326416,0.072387695
1423855,958.3799,958.9248,8.488281,3.3710938,3.359375,0.5536499,-0.20880127,0.6008301,0.5374756,1406785.0,959.6841,960.31177,-8.234375,4.953125,2.5703125,-0.48150635,0.38623047,0.78326416,0.074157715
1423875,958.35645,958.92676,8.488281,3.5976562,3.015625,0.5550537,-0.20812988,0.6008911,0.53619385,1406805.0,959.6929,960.3103,-8.1953125,4.9882812,2.4921875,-0.48181152,0.38586426,0.7831421,0.07525635
1423895,958.3457,958.9409,8.4453125,3.7148438,3.0546875,0.55633545,-0.2076416,0.6008911,0.5350342,1406825.0,959.676,960.3164,-8.1953125,4.9882812,2.609375,-0.48199463,0.3857422,0.78302,0.07611084
1423915,958.3274,958.9243,8.558594,3.6367188,2.9375,0.55737305,-0.20758057,0.600647,0.53430176,1406845.0,959.6765,960.2927,-8.121094,5.0664062,2.5703125,-0.48223877,0.38537598,0.78302,0.07647705
1423940,958.3657,958.95166,8.5234375,3.5625,2.9765625,0.55810547,-0.20812988,0.5999756,0.5340576,1406865.0,959.6841,960.33057,-8.1953125,4.9140625,2.6835938,-0.48236084,0.38476562,0.7832031,0.07672119
1423955,958.36426,958.95605,8.558594,3.5976562,2.7851562,0.55908203,-0.20855713,0.59942627,0.53356934,1406885.0,959.66626,960.30884,-7.9335938,4.8359375,2.7226562,-0.4824829,0.3842163,0.7833252,0.07757568
1423975,958.3379,958.9199,8.675781,3.5234375,2.671875,0.5601196,-0.20874023,0.5991211,0.5326538,1406905.0,959.677,960.3364,-8.082031,4.7617188,2.7226562,-0.48321533,0.38323975,0.78326416,0.078186035
1423995,958.3235,958.937,8.792969,3.5234375,2.59375,0.5609741,-0.20874023,0.5993042,0.5315552,1406925.0,959.69434,960.2998,-8.160156,4.7226562,2.7226562,-0.48376465,0.38305664,0.78302,0.078552246
1424020,958.3579,958.9319,8.828125,3.4453125,2.59375,0.5611572,-0.2086792,0.5996704,0.53100586,1406945.0,959.6948,960.322,-8.082031,4.7226562,2.5703125,-0.4841919,0.38330078,0.7825928,0.07879639
1424035,958.37573,958.94995,8.753906,3.40625,2.7109375,0.5609131,-0.20874023,0.5997925,0.5311279,1406965.0,959.69604,960.28784,-8.1171875,4.796875,2.4921875,-0.4847412,0.38330078,0.78222656,0.07861328
1424055,958.3071,958.93384,8.6328125,3.5234375,2.8242188,0.5604248,-0.20898438,0.5996094,0.53167725,1406985.0,959.688,960.31226,-8.078125,4.8359375,2.4570312,-0.4850464,0.38360596,0.7819214,0.078430176
1424080,958.3616,958.9509,8.558594,3.5625,2.9765625,0.56018066,-0.20910645,0.5996094,0.5319214,1407005.0,959.6614,960.33594,-8.2734375,5.0273438,2.4570312,-0.4852295,0.38342285,0.7819824,0.07788086
1424095,958.36255,958.9536,8.527344,3.5625,3.015625,0.56036377,-0.20892334,0.5998535,0.53149414,1407025.0,959.6821,960.32227,-8.238281,4.9140625,2.53125,-0.4852295,0.3834839,0.7819824,0.07720947
1424115,958.3484,958.94727,8.5234375,3.5625,2.9765625,0.56103516,-0.20861816,0.6002197,0.5305176,1407045.0,959.6848,960.3125,-8.046875,5.0273438,2.4179688,-0.48529053,0.3838501,0.7817993,0.07696533
1424135,958.37085,958.94727,8.5546875,3.484375,2.9765625,0.5621338,-0.20800781,0.60058594,0.52911377,1407065.0,959.7136,960.3257,-8.121094,5.1054688,2.4179688,-0.4855957,0.38391113,0.7816162,0.07672119
1424160,958.39526,958.9717,8.5234375,3.4453125,2.9375,0.56378174,-0.20703125,0.6010742,0.5272217,1407085.0,959.66626,960.30273,-8.078125,5.1445312,2.4570312,-0.48614502,0.38378906,0.7813721,0.07623291
1424175,958.36206,958.9502,8.5234375,3.4453125,2.9375,0.5653076,-0.20611572,0.60150146,0.5255127,1407105.0,959.67773,960.2898,-8.078125,5.1835938,2.4179688,-0.48706055,0.38330078,0.7811279,0.07531738
1424195,958.37866,958.9409,8.5546875,3.5625,3.0546875,0.5675049,-0.20465088,0.6021118,0.52301025,1407125.0,959.6758,960.32056,-8.15625,5.1445312,2.4179688,-0.48791504,0.38269043,0.78100586,0.07446289
1424215,958.37524,958.94116,8.597656,3.5234375,3.1289062,0.5703125,-0.20281982,0.60284424,0.5198364,1407145.0,959.6887,960.3645,-8.1171875,5.2578125,2.3789062,-0.48883057,0.38201904,0.78082275,0.0736084
1424235,958.37695,958.94385,8.59375,3.7539062,3.09375,0.5734253,-0.2010498,0.6034546,0.5163574,1407165.0,959.6858,960.3491,-8.15625,5.2578125,2.4570312,-0.48986816,0.38128662,0.78063965,0.072387695
1424255,958.3679,958.93604,8.59375,3.7148438,2.9765625,0.5767212,-0.19952393,0.60369873,0.51293945,1407185.0,959.66797,960.345,-8.199219,5.2578125,2.4570312,-0.49090576,0.3807373,0.7803345,0.07147217
1424275,958.37134,958.9248,8.671875,3.6757812,2.9023438,0.5802002,-0.19793701,0.60388184,0.5093994,1407205.0,959.69946,960.3545,-8.234375,5.21875,2.5703125,-0.49194336,0.3803711,0.7799072,0.07092285
1424300,958.35156,958.9387,8.7109375,3.6367188,2.7851562,0.5838623,-0.19604492,0.6040039,0.50579834,1407225.0,959.69507,960.35425,-8.1953125,5.21875,2.609375,-0.49267578,0.38061523,0.7792969,0.07098389
1424315,958.3347,958.93604,8.753906,3.7148438,2.671875,0.5876465,-0.19390869,0.604126,0.50213623,1407245.0,959.7095,960.3733,-8.160156,5.2578125,2.609375,-0.49328613,0.38098145,0.77874756,0.07098389
1424335,958.3811,958.96875,8.7890625,3.6367188,2.6328125,0.59161377,-0.19134521,0.6043701,0.49804688,1407265.0,959.70166,960.3755,-7.9726562,5.375,2.6484375,-0.49401855,0.38104248,0.7783203,0.070251465
1424355,958.3677,958.9492,8.7890625,3.5976562,2.6328125,0.59606934,-0.18774414,0.60565186,0.49267578,1407285.0,959.67505,960.3806,-7.9296875,5.375,2.6835938,-0.49499512,0.38110352,0.777771,0.06903076
1424375,958.36426,958.948,8.8671875,3.5976562,2.59375,0.60131836,-0.18225098,0.60809326,0.48529053,1407305.0,959.69824,960.3877,-7.890625,5.375,2.6484375,-0.4963379,0.3812256,0.77697754,0.06774902
