timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2783805,1009.28687,1011.37085,-0.84375,9.503906,1.1796875,0.5258789,-0.38232422,-0.5028076,0.5696411,2718965.0,1010.85474,1011.1924,-6.8945312,3.515625,-6.0703125,0.008972168,0.8937988,0.24346924,0.3765869
2783815,1009.2822,1011.3689,-1.1484375,9.65625,-0.890625,0.36523438,-0.64160156,-0.6192627,0.26733398,2718980.0,1010.8567,1011.1687,-6.8945312,3.8242188,-5.3828125,0.24078369,0.85650635,0.111206055,0.44274902
2783825,1009.2571,1011.38574,-1.1132812,9.699219,-1.0429688,0.36517334,-0.6419678,-0.61901855,0.2670288,2718995.0,1010.89624,1011.2019,-6.9257812,3.7460938,-5.4609375,0.24035645,0.8567505,0.11010742,0.4428711
2783835,1009.2571,1011.416,-1.0742188,9.8515625,-1.0429688,0.36480713,-0.6420288,-0.6192627,0.26690674,2719015.0,1010.8679,1011.1814,-6.9257812,3.7851562,-5.6132812,0.24017334,0.8568115,0.10876465,0.44311523
2783860,1009.2883,1011.39966,-0.99609375,9.734375,-1.0039062,0.36437988,-0.64178467,-0.619751,0.26690674,2719035.0,1010.82715,1011.1953,-6.9609375,3.7851562,-5.6523438,0.24023438,0.85687256,0.10723877,0.4434204
2783880,1009.26807,1011.3865,-0.95703125,9.503906,-1.15625,0.3640747,-0.6412964,-0.6203613,0.2670288,2719055.0,1010.8557,1011.2241,-6.9609375,3.7070312,-5.6523438,0.24029541,0.85687256,0.105895996,0.44366455
2783895,1009.2644,1011.3479,-0.8828125,9.433594,-1.15625,0.36462402,-0.6413574,-0.62005615,0.2670288,2719075.0,1010.8606,1011.24146,-6.9609375,3.6328125,-5.6875,0.24035645,0.8569336,0.10473633,0.4437256
2783915,1009.2898,1011.3855,-0.8828125,9.582031,-1.1171875,0.3657837,-0.64190674,-0.6187134,0.26715088,2719095.0,1010.843,1011.2124,-7.0039062,3.59375,-5.765625,0.24041748,0.85705566,0.104003906,0.44366455
2783940,1009.25586,1011.3867,-0.95703125,9.816406,-1.0039062,0.3665161,-0.64208984,-0.6179199,0.26757812,2719115.0,1010.8347,1011.2178,-7.0429688,3.59375,-5.765625,0.24053955,0.8569946,0.103271484,0.44384766
2783955,1009.27344,1011.40356,-0.95703125,9.738281,-1.1171875,0.366333,-0.64160156,-0.61828613,0.26812744,2719140.0,1010.85645,1011.208,-6.9609375,3.7070312,-5.6875,0.24066162,0.85687256,0.10241699,0.44421387
2783975,1009.2561,1011.3965,-0.8828125,9.6953125,-1.15625,0.36590576,-0.64105225,-0.61883545,0.26861572,2719155.0,1010.85986,1011.2058,-6.9257812,3.7460938,-5.6875,0.24060059,0.8568115,0.101745605,0.44451904
2783995,1009.28687,1011.39185,-0.95703125,9.816406,-1.0039062,0.36590576,-0.6409302,-0.6187134,0.26934814,2719175.0,1010.8801,1011.1926,-6.921875,3.7460938,-5.765625,0.24047852,0.8567505,0.101135254,0.44482422
2784020,1009.27856,1011.4099,-0.99609375,9.660156,-0.92578125,0.36602783,-0.64105225,-0.6182251,0.26989746,2719195.0,1010.8501,1011.1953,-6.8515625,3.7851562,-5.765625,0.24060059,0.85668945,0.10040283,0.4451294
2784035,1009.29785,1011.40967,-0.921875,9.5390625,-0.890625,0.36608887,-0.6409912,-0.618042,0.27038574,2719220.0,1010.8821,1011.2092,-6.734375,3.7070312,-5.6132812,0.24072266,0.85668945,0.099731445,0.44519043
2784055,1009.2661,1011.40405,-0.921875,9.433594,-0.8125,0.3661499,-0.6409302,-0.6178589,0.27087402,2719235.0,1010.8518,1011.176,-6.7734375,3.6328125,-5.6523438,0.24078369,0.85687256,0.09887695,0.44500732
2784080,1009.2593,1011.37915,-0.921875,9.472656,-0.734375,0.36639404,-0.64105225,-0.6173706,0.27130127,2719255.0,1010.84766,1011.1897,-6.8164062,3.6328125,-5.6875,0.24090576,0.85705566,0.098083496,0.44470215
2784100,1009.2339,1011.41016,-0.8828125,9.699219,-0.8515625,0.36663818,-0.6411743,-0.61694336,0.27172852,2719275.0,1010.85815,1011.20483,-6.8554688,3.59375,-5.6523438,0.2411499,0.85723877,0.09716797,0.444458
2784115,1009.22876,1011.38574,-0.84375,9.660156,-0.890625,0.36663818,-0.6409912,-0.6170044,0.27209473,2719295.0,1010.84644,1011.18506,-6.8125,3.4609375,-5.6914062,0.24151611,0.8574219,0.095825195,0.44421387
2784135,1009.261,1011.40796,-0.765625,9.5390625,-0.92578125,0.36657715,-0.6407471,-0.61712646,0.27246094,2719315.0,1010.84546,1011.2075,-6.8164062,3.421875,-5.6914062,0.2420044,0.85754395,0.09460449,0.44396973
2784155,1009.27075,1011.39575,-0.8046875,9.503906,-1.0429688,0.3670044,-0.6407471,-0.6168213,0.27252197,2719335.0,1010.8762,1011.20605,-6.890625,3.4609375,-5.65625,0.2423706,0.857605,0.093566895,0.44384766
2784175,1009.27686,1011.3926,-0.95703125,9.734375,-1.0820312,0.3678589,-0.6411133,-0.6159668,0.27252197,2719355.0,1010.8318,1011.18506,-6.8945312,3.421875,-5.65625,0.2423706,0.857666,0.09277344,0.4439087
2784195,1009.2632,1011.396,-0.99609375,9.855469,-1.0429688,0.36895752,-0.64123535,-0.61499023,0.27282715,2719375.0,1010.8423,1011.1731,-6.9335938,3.4609375,-5.8476562,0.24188232,0.85772705,0.09259033,0.44403076
2784215,1009.24927,1011.41943,-0.99609375,9.8515625,-0.92578125,0.36975098,-0.64086914,-0.61468506,0.2734375,2719395.0,1010.8635,1011.1643,-6.9335938,3.5,-5.921875,0.2411499,0.8578491,0.09301758,0.44421387
2784240,1009.25,1011.4158,-0.921875,9.46875,-0.8515625,0.36999512,-0.64019775,-0.6149292,0.2741089,2719415.0,1010.85645,1011.1758,-6.8554688,3.5742188,-5.921875,0.24029541,0.8579712,0.09375,0.44421387
2784255,1009.23413,1011.427,-0.8046875,9.355469,-0.890625,0.3701172,-0.63983154,-0.61505127,0.27441406,2719435.0,1010.86304,1011.18066,-6.8125,3.5742188,-5.8085938,0.23956299,0.85821533,0.09460449,0.44403076
2784275,1009.2612,1011.43066,-0.8046875,9.472656,-0.92578125,0.3704834,-0.63983154,-0.61486816,0.2744751,2719455.0,1010.84937,1011.19824,-6.9296875,3.5742188,-5.6914062,0.23901367,0.85839844,0.09515381,0.44378662
2784295,1009.2451,1011.38257,-0.84375,9.699219,-0.96484375,0.3708496,-0.6398926,-0.614563,0.2744751,2719475.0,1010.86475,1011.1931,-6.9296875,3.4609375,-5.578125,0.23864746,0.8584595,0.095214844,0.4439087
2784320,1009.2737,1011.4192,-0.8828125,9.738281,-0.890625,0.3711548,-0.63964844,-0.614563,0.27471924,2719495.0,1010.8462,1011.19507,-6.8554688,3.4609375,-5.6171875,0.23852539,0.85839844,0.09503174,0.44415283
2784335,1009.25977,1011.4055,-0.84375,9.6953125,-0.890625,0.37158203,-0.6394043,-0.6144409,0.27490234,2719515.0,1010.8484,1011.1985,-6.8554688,3.4609375,-5.65625,0.23834229,0.8583374,0.0949707,0.44433594
2784355,1009.23145,1011.38574,-0.84375,9.738281,-0.890625,0.37231445,-0.6390991,-0.61413574,0.27526855,2719535.0,1010.885,1011.1841,-6.8945312,3.4609375,-5.7304688,0.23809814,0.85827637,0.09503174,0.44458008
