timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1037150,993.062,992.8721,9.246094,0.24609375,3.1445312,-0.18225098,-0.56433105,-0.2592163,0.7623291,1077165.0,992.9873,993.97876,-7.8203125,-2.8398438,4.6054688,0.23468018,0.46313477,-0.6364746,0.57037354
1037160,993.072,992.896,6.6796875,5.671875,-4.6484375,0.39709473,-0.7579956,-0.11218262,0.50512695,1077180.0,992.9885,993.97485,-2.234375,2.2421875,9.199219,-0.05999756,0.15136719,0.8984375,0.4078369
1037180,993.08105,992.88306,6.71875,5.6328125,-4.609375,0.39709473,-0.75805664,-0.11224365,0.50512695,1077200.0,992.9629,993.96533,-2.1953125,2.203125,9.277344,-0.059570312,0.15148926,0.89837646,0.40789795
1037200,993.06274,992.86694,6.6796875,5.671875,-4.53125,0.39697266,-0.7579956,-0.11230469,0.505188,1077220.0,992.9917,993.97925,-2.1171875,2.2421875,9.2734375,-0.059509277,0.15148926,0.8983154,0.40802002
1037220,993.0657,992.87476,6.6796875,5.671875,-4.609375,0.39697266,-0.75787354,-0.11218262,0.5053711,1077240.0,992.99146,993.9912,-2.15625,2.2421875,9.1171875,-0.05987549,0.15124512,0.8983154,0.40808105
1037240,993.0874,992.8513,6.6835938,5.7109375,-4.609375,0.39691162,-0.7578125,-0.11218262,0.5055542,1077260.0,992.9885,993.9861,-2.2695312,2.1640625,9.199219,-0.060180664,0.15100098,0.89837646,0.40802002
1037260,993.07715,992.86255,6.6835938,5.671875,-4.5703125,0.39691162,-0.7576904,-0.11224365,0.50567627,1077280.0,992.9978,993.9595,-2.3085938,2.203125,9.15625,-0.060180664,0.15093994,0.8984375,0.40795898
1037280,993.05225,992.87964,6.7226562,5.6328125,-4.5703125,0.39697266,-0.75756836,-0.11224365,0.5058594,1077300.0,993.00757,993.9944,-2.2695312,2.203125,9.2734375,-0.060058594,0.15081787,0.8984375,0.40802002
1037300,993.0808,992.874,6.7226562,5.59375,-4.5703125,0.39691162,-0.7574463,-0.11218262,0.5061035,1077320.0,992.9697,994.00586,-2.15625,2.3203125,9.238281,-0.05999756,0.1508789,0.8984375,0.40802002
1037320,993.06006,992.8904,6.7226562,5.6328125,-4.5703125,0.39691162,-0.7573242,-0.11212158,0.5062866,1077340.0,992.9812,993.96606,-2.1171875,2.28125,9.355469,-0.0602417,0.15081787,0.89837646,0.4081421
1037340,993.0681,992.8672,6.6835938,5.6328125,-4.609375,0.39691162,-0.7572632,-0.11199951,0.5064087,1077360.0,992.98706,993.96436,-2.2695312,2.203125,9.1171875,-0.060302734,0.1506958,0.8982544,0.40844727
1037360,993.0867,992.88403,6.7226562,5.6328125,-4.5703125,0.39691162,-0.7573242,-0.11199951,0.5064087,1077380.0,993.01294,993.97974,-2.1953125,2.0898438,9.2734375,-0.06036377,0.15063477,0.89819336,0.4085083
1037380,993.0762,992.8904,6.71875,5.6328125,-4.53125,0.3968506,-0.7573242,-0.11199951,0.50634766,1077400.0,992.9807,993.9824,-2.15625,2.203125,9.2734375,-0.060791016,0.1506958,0.8982544,0.4083252
1037400,993.0676,992.89404,6.7226562,5.6328125,-4.5703125,0.3968506,-0.75738525,-0.11193848,0.50634766,1077420.0,992.9514,993.98,-2.234375,2.2421875,9.234375,-0.061462402,0.15057373,0.8983154,0.40820312
1037420,993.1001,992.87866,6.71875,5.671875,-4.5703125,0.39678955,-0.75738525,-0.11187744,0.5062866,1077440.0,992.97095,993.96606,-2.234375,2.1289062,9.160156,-0.061767578,0.15032959,0.8982544,0.4083252
1037440,993.07227,992.8804,6.6796875,5.6328125,-4.5703125,0.39678955,-0.7574463,-0.111816406,0.50634766,1077460.0,992.9678,993.9695,-2.2695312,2.0898438,9.238281,-0.061828613,0.15045166,0.8981323,0.4085083
1037455,993.10864,992.8877,6.6835938,5.6328125,-4.609375,0.39678955,-0.7574463,-0.111816406,0.5062866,1077480.0,992.95337,994.0051,-2.234375,2.1640625,9.2734375,-0.06201172,0.15081787,0.8980713,0.4085083
1037475,993.0762,992.8723,6.71875,5.6328125,-4.609375,0.39672852,-0.7575073,-0.111816406,0.5062256,1077500.0,992.9961,993.9951,-2.2695312,2.203125,9.199219,-0.0625,0.15063477,0.8981323,0.40838623
1037500,993.08496,992.89453,6.7226562,5.7109375,-4.5703125,0.39672852,-0.7575073,-0.111816406,0.5062256,1077520.0,992.97314,993.9834,-2.234375,2.0898438,9.160156,-0.06274414,0.15020752,0.89819336,0.4083252
1037515,993.0891,992.8943,6.7226562,5.5546875,-4.4921875,0.39678955,-0.7574463,-0.11175537,0.50634766,1077540.0,992.95703,993.97314,-2.234375,2.0898438,9.3125,-0.06262207,0.15020752,0.8980713,0.40863037
1037535,993.0491,992.9182,6.7226562,5.6328125,-4.5703125,0.39672852,-0.7572632,-0.111572266,0.50665283,1077560.0,992.9658,993.9729,-2.1953125,2.1640625,9.277344,-0.062561035,0.15045166,0.8979492,0.4088745
1037555,993.0713,992.85205,6.6796875,5.671875,-4.609375,0.39666748,-0.75720215,-0.111450195,0.50683594,1077580.0,992.97534,993.97046,-2.2695312,2.0898438,9.121094,-0.0625,0.15045166,0.8978882,0.40893555
1037580,993.074,992.89233,6.7226562,5.6328125,-4.5703125,0.39666748,-0.75720215,-0.111450195,0.506897,1077600.0,992.9949,993.99097,-2.2695312,2.0507812,9.316406,-0.062072754,0.15045166,0.8978882,0.40899658
1037595,993.0686,992.84326,6.7226562,5.671875,-4.609375,0.39666748,-0.75720215,-0.11138916,0.50683594,1077620.0,992.969,994.0078,-2.1953125,2.1289062,9.3828125,-0.061828613,0.15075684,0.8979492,0.4088745
1037615,993.0781,992.8745,6.7226562,5.6328125,-4.5703125,0.39666748,-0.7572632,-0.11138916,0.50671387,1077640.0,992.9834,993.98145,-2.3085938,2.3203125,9.082031,-0.062072754,0.15081787,0.89801025,0.40863037
1037635,993.0801,992.8855,6.71875,5.59375,-4.53125,0.39672852,-0.7573242,-0.111328125,0.50665283,1077660.0,993.00806,993.99097,-2.3085938,2.0507812,8.890625,-0.06213379,0.15045166,0.8979492,0.40881348
1037660,993.0857,992.89233,6.71875,5.6328125,-4.609375,0.39678955,-0.7573242,-0.11126709,0.5065918,1077680.0,992.97754,993.9846,-2.3085938,2.1289062,9.160156,-0.06188965,0.15014648,0.89801025,0.40893555
1037675,993.0669,992.9033,6.7226562,5.7109375,-4.5703125,0.39678955,-0.7573242,-0.11126709,0.50653076,1077700.0,992.95825,993.95654,-2.234375,2.1640625,9.355469,-0.061645508,0.15002441,0.8980713,0.40881348
1037695,993.0615,992.8955,6.7578125,5.6328125,-4.53125,0.3968506,-0.7573242,-0.111328125,0.5065918,1077720.0,992.948,993.97266,-2.234375,2.203125,9.2734375,-0.061706543,0.15002441,0.8981323,0.40875244
1037715,993.07153,992.88745,6.7226562,5.671875,-4.53125,0.39691162,-0.75720215,-0.111328125,0.50665283,1077735.0,992.9375,993.9597,-2.15625,2.2421875,9.15625,-0.061767578,0.14984131,0.89819336,0.4086914
1037735,993.08374,992.85425,6.7226562,5.6328125,-4.5703125,0.3970337,-0.7571411,-0.111328125,0.50671387,1077755.0,992.96533,994.02686,-2.234375,2.0507812,9.1171875,-0.061645508,0.14971924,0.8981323,0.40881348
1037755,993.0493,992.8374,6.6796875,5.6328125,-4.5703125,0.3970337,-0.7571411,-0.11138916,0.50671387,1077780.0,992.98706,993.99805,-2.234375,2.0898438,9.238281,-0.061401367,0.14953613,0.89819336,0.40875244
1037775,993.08594,992.8706,6.71875,5.671875,-4.5703125,0.39709473,-0.7570801,-0.111450195,0.50665283,1077795.0,992.9785,994.00415,-2.2695312,2.0117188,9.1953125,-0.061584473,0.14904785,0.8984375,0.40844727
1037800,993.0886,992.8838,6.71875,5.6328125,-4.609375,0.39715576,-0.75701904,-0.111450195,0.50665283,1077815.0,992.98584,994.0093,-2.1953125,2.0507812,9.421875,-0.061645508,0.14923096,0.89849854,0.4081421
1037815,993.06445,992.85034,6.6796875,5.671875,-4.609375,0.39727783,-0.75701904,-0.111450195,0.50665283,1077835.0,992.95605,993.9844,-2.15625,2.203125,9.425781,-0.061706543,0.1494751,0.89849854,0.40808105
1037835,993.0608,992.8574,6.71875,5.671875,-4.5703125,0.39733887,-0.756958,-0.11151123,0.5065918,1077860.0,992.9817,993.97485,-2.3476562,2.2421875,9.003906,-0.061767578,0.14959717,0.89849854,0.40802002
1037855,993.073,992.8828,6.6796875,5.671875,-4.53125,0.39746094,-0.756958,-0.111572266,0.5065918,1077875.0,993.0088,993.98047,-2.3867188,2.1640625,9.042969,-0.061340332,0.14941406,0.8986206,0.40789795
1037880,993.0493,992.87573,6.7226562,5.671875,-4.53125,0.397583,-0.756897,-0.111572266,0.5065918,1077895.0,993.0105,993.97144,-2.234375,2.1289062,9.1953125,-0.06060791,0.14935303,0.8988037,0.40759277
1037895,993.0608,992.87036,6.7226562,5.671875,-4.609375,0.39770508,-0.75683594,-0.1116333,0.50653076,1077915.0,992.9856,993.98926,-2.0429688,2.0898438,9.425781,-0.06048584,0.14959717,0.8989258,0.40722656
1037915,993.07227,992.8425,6.6835938,5.671875,-4.5703125,0.39782715,-0.7567749,-0.111694336,0.50653076,1077935.0,992.99097,993.9873,-2.234375,2.1640625,9.2734375,-0.06072998,0.14990234,0.8989258,0.40716553
1037935,993.06714,992.84717,6.6835938,5.671875,-4.5703125,0.39788818,-0.7567749,-0.11175537,0.5064087,1077955.0,992.99023,993.97974,-2.2695312,2.0898438,9.238281,-0.060791016,0.15020752,0.89886475,0.4071045
1037955,993.06177,992.8513,6.6835938,5.6328125,-4.53125,0.39801025,-0.7567749,-0.111816406,0.50634766,1077975.0,992.9802,993.9761,-2.2695312,2.1289062,9.238281,-0.060546875,0.15075684,0.8988037,0.40716553
1037975,993.0603,992.85913,6.6796875,5.671875,-4.609375,0.39813232,-0.75671387,-0.11187744,0.5062866,1078000.0,992.9907,993.9829,-2.3085938,2.203125,9.3828125,-0.059753418,0.15179443,0.8987427,0.40704346
1037995,993.0525,992.84814,6.7226562,5.671875,-4.609375,0.39819336,-0.75671387,-0.11193848,0.5062256,1078015.0,992.98486,993.938,-2.1953125,2.2421875,9.421875,-0.058654785,0.15325928,0.89849854,0.40716553
1038015,993.095,992.86816,6.7226562,5.671875,-4.53125,0.3982544,-0.75671387,-0.11199951,0.50616455,1078035.0,993.0127,993.9429,-2.2695312,2.4335938,9.5390625,-0.056152344,0.15631104,0.89782715,0.4078369
