timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
860265,1005.88525,1006.34375,7.7382812,-1.3789062,5.8046875,0.33538818,-0.3626709,0.64453125,0.58361816,854620.0,1008.3308,1007.72974,-1.890625,8.667969,3.8242188,0.35620117,0.3902588,0.46783447,0.7084961
860275,1005.8877,1006.34375,7.4882812,6.2617188,1.4335938,0.1932373,-0.62731934,-0.30169678,0.6914673,854625.0,1008.3108,1007.72974,7.0195312,-5.1992188,4.7109375,0.3581543,-0.3604126,0.84887695,0.14581299
860285,1005.8877,1006.32715,7.5976562,6.109375,1.5117188,0.19299316,-0.62750244,-0.30255127,0.690979,854645.0,1008.34717,1007.71826,7.125,-5.2734375,4.671875,0.35961914,-0.35888672,0.8491821,0.14422607
860305,1005.89844,1006.324,7.6367188,6.109375,1.3203125,0.19335938,-0.62768555,-0.30297852,0.69055176,854665.0,1008.37354,1007.7136,7.203125,-5.2734375,4.6367188,0.36053467,-0.3579712,0.8493042,0.14349365
860325,1005.8616,1006.31323,7.5664062,6.03125,1.3945312,0.19366455,-0.6277466,-0.30371094,0.6900635,854685.0,1008.38403,1007.6953,6.859375,-5.3515625,5.2851562,0.3614502,-0.35742188,0.8491821,0.14324951
860350,1005.8862,1006.32495,7.5664062,6.1484375,1.359375,0.19317627,-0.6278076,-0.3057251,0.68927,854705.0,1008.3596,1007.73755,6.9375,-5.1992188,5.0585938,0.36358643,-0.355896,0.8491211,0.14178467
860365,1005.8928,1006.3213,7.3710938,6.1875,1.703125,0.19317627,-0.6281128,-0.30664062,0.6885376,854725.0,1008.3887,1007.7627,7.1640625,-5.1992188,4.6367188,0.36590576,-0.35443115,0.848999,0.14025879
860385,1005.86597,1006.3103,7.3710938,6.0703125,1.703125,0.19415283,-0.62939453,-0.30645752,0.6871948,854750.0,1008.37085,1007.73,7.3984375,-4.9296875,4.5976562,0.36749268,-0.35339355,0.84887695,0.1394043
860405,1005.8933,1006.2886,7.4492188,6.109375,1.5507812,0.19604492,-0.6309204,-0.30548096,0.68566895,854765.0,1008.3772,1007.7283,7.28125,-5.1210938,4.8671875,0.36834717,-0.35198975,0.84924316,0.1385498
860425,1005.8821,1006.3025,7.3671875,6.1875,1.1289062,0.1975708,-0.6322632,-0.30474854,0.6843262,854785.0,1008.3655,1007.7705,7.125,-5.0078125,4.8671875,0.3694458,-0.3491211,0.8501587,0.137146
860445,1005.8762,1006.33887,7.3710938,6.2226562,1.203125,0.1984253,-0.633728,-0.3046875,0.6828003,854805.0,1008.3789,1007.75146,7.0546875,-4.96875,4.828125,0.37109375,-0.34661865,0.850708,0.13574219
860465,1005.8657,1006.312,7.2539062,6.4140625,1.1679688,0.19909668,-0.63531494,-0.30474854,0.6810913,854830.0,1008.3794,1007.7583,7.125,-5.0078125,4.9023438,0.3731079,-0.34570312,0.8503418,0.13476562
860485,1005.86646,1006.3081,7.2148438,6.4140625,1.0898438,0.19903564,-0.63671875,-0.30517578,0.6795654,854845.0,1008.39526,1007.7783,7.1289062,-5.1601562,4.9414062,0.37445068,-0.3458252,0.8498535,0.1340332
860505,1005.8816,1006.3186,6.984375,6.0703125,1.1679688,0.19866943,-0.63842773,-0.3059082,0.6777954,854865.0,1008.3589,1007.7781,7.1640625,-5.3125,4.828125,0.37646484,-0.34576416,0.84906006,0.13323975
860525,1005.8884,1006.353,7.0234375,6.0703125,1.0117188,0.1984253,-0.6407471,-0.3062744,0.6754761,854885.0,1008.39844,1007.7615,7.2460938,-5.0820312,4.671875,0.3781128,-0.3460083,0.8482666,0.13323975
860545,1005.8699,1006.35205,7.2148438,6.1484375,0.74609375,0.19812012,-0.64294434,-0.30688477,0.67315674,854905.0,1008.40015,1007.7781,7.1679688,-4.96875,4.671875,0.37902832,-0.3466797,0.8475342,0.13360596
860565,1005.8447,1006.32227,7.2929688,6.1484375,0.4765625,0.19769287,-0.6444092,-0.3078003,0.6715088,854925.0,1008.38257,1007.75635,7.2070312,-4.8164062,4.5585938,0.37976074,-0.34692383,0.8470459,0.1340332
860585,1005.88257,1006.3013,7.1445312,6.109375,0.4765625,0.19720459,-0.6456299,-0.30841064,0.670166,854945.0,1008.4104,1007.76904,7.2070312,-4.7773438,4.5976562,0.38024902,-0.34698486,0.8466797,0.13458252
860605,1005.90186,1006.30786,7.140625,6.1484375,0.515625,0.19696045,-0.64678955,-0.30889893,0.6689453,854970.0,1008.4136,1007.7549,7.203125,-4.6992188,4.4453125,0.38098145,-0.34680176,0.8463745,0.1348877
860625,1005.8828,1006.3225,7.0625,6.3789062,0.5546875,0.1963501,-0.6477051,-0.3093872,0.66796875,854985.0,1008.4155,1007.7571,7.1640625,-4.7382812,4.3671875,0.38146973,-0.34698486,0.84606934,0.13519287
860645,1005.9011,1006.35034,7.0234375,6.4140625,0.515625,0.19494629,-0.64837646,-0.31048584,0.6672363,855005.0,1008.4175,1007.76196,7.203125,-4.8164062,4.4453125,0.38183594,-0.34765625,0.84558105,0.13549805
860665,1005.84106,1006.34424,7.1796875,6.2226562,0.36328125,0.1932373,-0.6487427,-0.31201172,0.666687,855025.0,1008.40454,1007.74146,7.1679688,-4.96875,4.4453125,0.3821411,-0.34802246,0.84521484,0.13562012
860685,1005.8469,1006.29736,7.2148438,6.1875,0.3984375,0.19116211,-0.64868164,-0.3137207,0.6665039,855050.0,1008.4221,1007.76685,7.3242188,-4.6992188,4.2539062,0.38232422,-0.34851074,0.84490967,0.1359253
860705,1005.8601,1006.2927,7.1445312,6.1875,0.515625,0.18847656,-0.6482544,-0.31591797,0.666626,855065.0,1008.4104,1007.7451,7.2421875,-4.9296875,4.4453125,0.38232422,-0.34906006,0.8446045,0.1362915
860730,1005.8594,1006.3198,7.140625,5.9570312,0.66796875,0.18597412,-0.6477661,-0.31811523,0.6668091,855085.0,1008.4402,1007.7954,7.28125,-4.7382812,4.3671875,0.3821411,-0.34979248,0.84436035,0.13665771
