timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1866140,1002.52856,1001.08496,2.0351562,0.30078125,9.59375,-0.07098389,-0.06945801,-0.76464844,0.63671875,1580185.0,1001.7666,997.6572,-8.5234375,2.4609375,-3.8359375,0.82611084,-0.17907715,-0.532959,0.038269043
1866155,1002.5491,1001.041,4.3632812,7.1015625,4.9921875,0.0010986328,-0.49468994,-0.74212646,0.4522705,1580190.0,1001.7666,997.48096,-8.6796875,2.4960938,-4.0273438,0.82489014,-0.18310547,-0.5331421,0.04248047
1866175,1002.5132,1001.0796,4.4023438,7.0664062,4.9179688,0.0007324219,-0.49517822,-0.7421875,0.45159912,1580200.0,1001.78076,997.48096,-4.390625,2.890625,8.1484375,0.19372559,0.20672607,-0.16375732,0.9449463
1866195,1002.541,1001.0574,4.4023438,7.0234375,4.9179688,0.0007324219,-0.4958496,-0.7420654,0.45111084,1580220.0,1001.7844,997.63184,-4.4296875,2.9296875,8.4921875,0.19317627,0.2064209,-0.16430664,0.9450073
1866215,1002.55493,1001.0388,4.3632812,7.0664062,4.8789062,0.0010986328,-0.4967041,-0.7416382,0.45074463,1580240.0,1001.77124,997.63403,-4.3554688,2.890625,8.386719,0.19342041,0.20617676,-0.16497803,0.9449463
1866235,1002.55054,1001.05176,4.4023438,7.1796875,4.9179688,0.0015258789,-0.4975586,-0.741333,0.45037842,1580260.0,1001.78125,997.7456,-4.3164062,2.8515625,8.269531,0.19396973,0.20605469,-0.16571045,0.94470215
1866255,1002.5698,1001.0869,4.328125,7.2890625,4.9570312,0.0017089844,-0.49816895,-0.741272,0.4498291,1580280.0,1001.80615,997.6145,-4.2773438,2.890625,8.2265625,0.19451904,0.20599365,-0.16656494,0.944458
1866275,1002.5503,1001.0762,4.25,7.2890625,4.9570312,0.0015869141,-0.49853516,-0.74121094,0.4494629,1580300.0,1001.7825,997.37354,-4.46875,2.9648438,8.1484375,0.19464111,0.20581055,-0.1671753,0.94433594
1866295,1002.5388,1001.0659,4.25,7.3710938,5.03125,0.00091552734,-0.49890137,-0.74139404,0.4487915,1580320.0,1001.7854,997.2612,-4.390625,2.9648438,8.2265625,0.19458008,0.20532227,-0.1675415,0.944397
1866315,1002.5596,1001.103,4.328125,7.2890625,4.8789062,0.00012207031,-0.49975586,-0.74139404,0.44781494,1580340.0,1001.7981,997.09766,-4.3164062,2.890625,8.230469,0.19458008,0.20489502,-0.16784668,0.944458
1866335,1002.5571,1001.06177,4.328125,7.140625,4.7265625,-0.00012207031,-0.5013428,-0.7408447,0.44696045,1580360.0,1001.8064,996.75854,-4.2773438,2.9296875,8.308594,0.19458008,0.20458984,-0.16827393,0.944458
1866355,1002.54785,1001.05786,4.2890625,7.1796875,4.7265625,0.00018310547,-0.50305176,-0.73999023,0.44647217,1580380.0,1001.7976,996.8865,-4.2382812,2.8515625,8.386719,0.19464111,0.2043457,-0.16882324,0.944397
1866375,1002.54517,1001.08594,4.25,7.25,4.8789062,0.0010986328,-0.50512695,-0.7387085,0.44622803,1580400.0,1001.7969,997.15625,-4.2773438,2.8515625,8.3046875,0.1951294,0.2041626,-0.16955566,0.94421387
1866395,1002.55835,1001.0586,4.2109375,7.25,4.9570312,0.0025634766,-0.50805664,-0.73651123,0.4465332,1580420.0,1001.7805,997.1245,-4.3554688,2.8515625,8.1875,0.19573975,0.20397949,-0.17034912,0.9439697
1866415,1002.5398,1001.05615,4.0585938,7.2539062,5.109375,0.004638672,-0.5126953,-0.732605,0.44763184,1580440.0,1001.81616,997.37256,-4.390625,2.8125,8.2265625,0.19604492,0.20355225,-0.17102051,0.94384766
1866435,1002.551,1001.0901,4.1367188,7.3710938,5.0703125,0.0057373047,-0.51776123,-0.72875977,0.44812012,1580460.0,1001.8159,997.55005,-4.3164062,2.9648438,8.2265625,0.19616699,0.203125,-0.17144775,0.94384766
1866455,1002.5574,1001.05786,4.328125,7.3671875,4.8789062,0.005554199,-0.5235596,-0.7251587,0.44714355,1580480.0,1001.803,997.823,-4.390625,3.15625,8.230469,0.19616699,0.20281982,-0.17175293,0.94384766
1866475,1002.5552,1001.0737,4.4804688,7.3710938,4.5351562,0.0041503906,-0.52905273,-0.72265625,0.44488525,1580500.0,1001.772,997.5227,-4.390625,3.1953125,8.308594,0.19641113,0.20275879,-0.1720581,0.9437866
1866495,1002.56006,1001.0803,4.671875,7.3320312,4.1132812,0.002380371,-0.5345459,-0.72052,0.44171143,1580520.0,1001.7927,997.00586,-4.390625,3.0429688,8.2265625,0.19689941,0.20288086,-0.17248535,0.9436035
1866515,1002.5537,1001.0491,4.7851562,7.3671875,3.84375,0.0012817383,-0.5396118,-0.7183838,0.4390869,1580540.0,1001.8047,997.4021,-4.3554688,2.9648438,8.113281,0.19714355,0.20263672,-0.17279053,0.94348145
1866535,1002.531,1001.0332,4.8632812,7.5234375,3.578125,0.00079345703,-0.54504395,-0.7157593,0.43658447,1580560.0,1001.81494,997.7446,-4.3164062,3.0429688,8.152344,0.19689941,0.20220947,-0.17297363,0.9436035
1866555,1002.5244,1001.0696,4.8632812,7.671875,3.421875,0.0005493164,-0.5498657,-0.71343994,0.43426514,1580580.0,1001.7793,997.92285,-4.2773438,3.0820312,8.230469,0.19659424,0.20178223,-0.17315674,0.9437256
1866575,1002.52734,1001.0476,4.7851562,8.019531,3.1953125,6.1035156e-05,-0.55371094,-0.7119751,0.43182373,1580600.0,1001.79785,997.9177,-4.2773438,3.0429688,8.421875,0.19689941,0.20147705,-0.17352295,0.94366455
1866595,1002.5342,1001.0608,4.7851562,8.015625,3.0390625,-0.0005493164,-0.5559082,-0.71118164,0.43029785,1580620.0,1001.7761,997.88916,-4.390625,3.0429688,8.269531,0.19763184,0.20129395,-0.17382812,0.94348145
1866615,1002.5137,1001.115,4.8242188,7.9101562,3.078125,-0.0006713867,-0.5578613,-0.71014404,0.4295044,1580640.0,1001.7649,998.2136,-4.3554688,3.0039062,8.2265625,0.19836426,0.20111084,-0.17419434,0.94329834
1866635,1002.52563,1001.1079,4.8632812,7.828125,3.078125,6.1035156e-05,-0.55963135,-0.7088623,0.4293213,1580660.0,1001.7739,998.77026,-4.3164062,2.9648438,8.1875,0.1987915,0.20092773,-0.17474365,0.94317627
1866655,1002.5276,1001.0686,4.4804688,7.9453125,3.5,0.0012817383,-0.5609131,-0.70770264,0.42962646,1580680.0,1001.7959,998.75854,-4.3164062,2.890625,8.191406,0.19897461,0.20080566,-0.17541504,0.9430542
1866675,1002.5242,1001.0569,4.4804688,8.019531,3.6523438,0.0015869141,-0.5611572,-0.70758057,0.42944336,1580700.0,1001.77856,998.56665,-4.4296875,2.8125,8.3828125,0.19915771,0.2006836,-0.17602539,0.9429321
1866695,1002.531,1001.0759,4.4414062,8.058594,3.8828125,0.00061035156,-0.5611572,-0.708313,0.42816162,1580720.0,1001.7605,998.4612,-4.3554688,2.890625,8.265625,0.19958496,0.20062256,-0.17645264,0.942749
1866715,1002.53345,1001.07007,4.5195312,7.9101562,3.8046875,-0.00091552734,-0.5620117,-0.7086792,0.42645264,1580740.0,1001.77734,998.5884,-4.2773438,2.8125,8.230469,0.2000122,0.20056152,-0.17700195,0.9425659
1866735,1002.5117,1001.0923,4.75,7.5664062,3.578125,-0.0021972656,-0.5635376,-0.708374,0.4249878,1580760.0,1001.8015,998.6404,-4.3554688,2.9296875,8.191406,0.20019531,0.20031738,-0.1776123,0.94244385
