timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
593670,923.73267,924.50146,5.453125,7.8984375,-2.0,0.7692871,0.03253174,0.37475586,0.51641846,597400,926.083,924.3308,-1.0195312,1.1992188,9.503906,0.007446289,0.09283447,0.69177246,0.7161255
593685,923.7385,924.47144,5.3359375,7.8242188,-2.0390625,0.77056885,0.03314209,0.3741455,0.5149536,597410,926.0984,924.3528,-1.0195312,1.3125,9.425781,0.008239746,0.093322754,0.6920166,0.7157593
593695,923.7617,924.5029,5.3359375,7.8242188,-2.0390625,0.7713623,0.03363037,0.37371826,0.51397705,597435,926.0513,924.32983,-0.90625,1.4296875,9.542969,0.008850098,0.093688965,0.69226074,0.7154541
593715,923.71216,924.5039,5.3359375,7.8242188,-2.078125,0.7720337,0.034179688,0.37347412,0.5131836,597450,926.0713,924.3557,-0.9453125,1.3515625,9.503906,0.009094238,0.09387207,0.6925659,0.71520996
593735,923.7295,924.4949,5.3359375,7.78125,-2.078125,0.7722168,0.0345459,0.37353516,0.5128174,597470,926.07886,924.35425,-0.98046875,1.4296875,9.5,0.009033203,0.094177246,0.692688,0.7149658
593760,923.7466,924.4929,5.3007812,7.671875,-2.0,0.7720337,0.034606934,0.37371826,0.51293945,597490,926.10034,924.3623,-0.8671875,1.5820312,9.5,0.008544922,0.09448242,0.69281006,0.71484375
593780,923.71313,924.50586,5.3359375,7.6367188,-1.9609375,0.77197266,0.03466797,0.37384033,0.5130005,597510,926.0725,924.3279,-1.0195312,1.46875,9.3828125,0.0076904297,0.09448242,0.69299316,0.7147217
593795,923.688,924.51025,5.3007812,7.8242188,-2.2695312,0.7713623,0.0345459,0.37384033,0.51379395,597530,926.08105,924.35254,-1.1367188,1.3125,9.421875,0.0075683594,0.09515381,0.69311523,0.71447754
593820,923.74194,924.52344,5.2617188,7.7539062,-2.3046875,0.76971436,0.03387451,0.37371826,0.51641846,597550,926.0681,924.3457,-1.2109375,1.4296875,9.421875,0.008422852,0.09765625,0.69329834,0.7139282
593835,923.698,924.5283,5.1835938,7.515625,-2.1523438,0.7670288,0.032836914,0.3734131,0.5206909,597570,926.0825,924.3208,-1.3671875,1.5820312,9.3828125,0.010131836,0.10144043,0.69348145,0.71325684
