timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
549745,986.3054,989.22046,8.84375,0.71484375,-4.1171875,0.2849121,-0.79473877,0.12884521,0.52020264,550545.0,985.99316,985.2949,-5.8554688,2.609375,7.703125,-0.25030518,0.22607422,0.9053345,0.25811768
549750,986.3247,989.2102,9.53125,0.06640625,-4.1523438,0.25402832,-0.7942505,0.121154785,0.5385132,550555.0,986.0144,985.3103,4.671875,0.9375,8.90625,0.16894531,-0.16333008,0.5635376,0.79193115
549770,986.3242,989.2168,-3.9765625,0.22265625,9.082031,-0.15783691,0.13250732,0.814209,0.54278564,550575.0,985.9983,985.28394,4.59375,0.8984375,8.949219,0.16912842,-0.16308594,0.56396484,0.791687
549790,986.29517,989.2273,-4.0546875,0.26171875,9.078125,-0.15814209,0.13269043,0.814209,0.5426636,550595.0,985.9817,985.3047,4.59375,0.86328125,8.988281,0.16918945,-0.16314697,0.56451416,0.79125977
549810,986.3074,989.18555,-4.0546875,0.30078125,9.1953125,-0.15826416,0.13269043,0.81427,0.5425415,550615.0,985.9934,985.3113,4.6328125,0.78515625,9.027344,0.16937256,-0.16290283,0.5652466,0.79071045
549830,986.28613,989.16406,-3.9765625,0.30078125,9.1171875,-0.15826416,0.1326294,0.81433105,0.54248047,550635.0,985.99536,985.31104,4.59375,0.82421875,8.90625,0.17004395,-0.16229248,0.56591797,0.79022217
549850,986.2854,989.177,-4.0546875,0.41796875,9.1171875,-0.1583252,0.13238525,0.8143921,0.5423584,550655.0,986.0034,985.2837,4.6328125,0.9375,8.871094,0.17095947,-0.1616211,0.5664673,0.7897949
549870,986.2864,989.1929,-4.0546875,0.41796875,9.1171875,-0.15838623,0.13201904,0.81451416,0.5422363,550675.0,986.02075,985.33057,4.59375,1.0546875,8.90625,0.171875,-0.16088867,0.5670166,0.78930664
549890,986.2908,989.178,-3.9765625,0.37890625,9.042969,-0.15826416,0.13201904,0.8145752,0.5421753,550695.0,986.0071,985.30664,4.5546875,1.0898438,8.839844,0.17260742,-0.16027832,0.56762695,0.7888794
549910,986.31177,989.17993,-3.9765625,0.453125,9.078125,-0.15826416,0.13226318,0.81463623,0.54211426,550715.0,985.99927,985.27905,4.515625,1.0898438,8.839844,0.17364502,-0.159729,0.56799316,0.78845215
549930,986.313,989.1848,-3.9765625,0.4921875,9.078125,-0.1583252,0.13250732,0.81463623,0.5419922,550735.0,986.03735,985.2908,4.59375,1.0898438,8.871094,0.1743164,-0.1595459,0.56848145,0.7880249
549950,986.301,989.1721,-3.9414062,0.453125,9.082031,-0.15826416,0.13293457,0.8145752,0.54193115,550755.0,985.98584,985.28,4.6328125,1.0546875,8.90625,0.17504883,-0.15966797,0.5689087,0.7875366
549970,986.303,989.20337,-3.9023438,0.4921875,9.078125,-0.15820312,0.13354492,0.8145752,0.5418701,550775.0,986.01074,985.28296,4.7851562,1.1289062,8.9453125,0.17602539,-0.15960693,0.56933594,0.7869873
549990,986.2883,989.1748,-3.9023438,0.453125,9.15625,-0.15814209,0.13372803,0.8145752,0.5418701,550795.0,986.01245,985.3286,4.7460938,1.2460938,8.910156,0.17687988,-0.15893555,0.56970215,0.7866821
550010,986.2981,989.20264,-3.9023438,0.41796875,9.121094,-0.15789795,0.13397217,0.8145752,0.5418091,550815.0,986.0117,985.3113,4.7460938,1.359375,8.8671875,0.17773438,-0.15795898,0.5700073,0.786499
550030,986.2959,989.22095,-3.9765625,0.453125,9.1171875,-0.15759277,0.13415527,0.81463623,0.54174805,550840.0,986.0117,985.29395,4.53125,1.421875,8.859375,0.17840576,-0.15722656,0.5701904,0.7863159
550050,986.27856,989.21045,-3.9414062,0.30078125,9.082031,-0.15734863,0.13415527,0.8147583,0.541687,550855.0,985.99316,985.30884,4.609375,1.3867188,8.824219,0.17840576,-0.15710449,0.5704346,0.78619385
