timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
814770,1026.5867,1028.0728,-8.5625,4.4726562,0.86328125,0.6879883,-0.002319336,-0.6405029,0.34124756,814845.0,1024.7283,1028.2983,8.8671875,3.625,-0.7734375,0.65563965,-0.30621338,0.48236084,0.49365234
814775,1026.5308,1028.0588,-9.171875,4.5898438,-0.1328125,0.68914795,-0.0033569336,-0.635376,0.34838867,814865.0,1024.7478,1028.3,9.332031,1.25,1.984375,0.31573486,-0.54052734,0.29986572,0.71984863
814785,1026.5308,1028.0588,-8.214844,2.40625,5.15625,0.45825195,0.18121338,-0.67559814,0.54833984,814890.0,1024.7241,1028.2903,9.332031,1.4765625,1.90625,0.31420898,-0.5415039,0.29992676,0.7197876
814800,1026.5679,1028.0605,-8.105469,2.2148438,5.3085938,0.45587158,0.17919922,-0.67663574,0.54974365,814905.0,1024.7554,1028.2759,9.292969,1.4414062,1.5625,0.3123169,-0.5427246,0.2999878,0.7196655
814820,1026.595,1028.0835,-7.984375,2.0585938,5.4609375,0.45324707,0.17651367,-0.67767334,0.5515137,814925.0,1024.7598,1028.3037,9.25,1.25,1.6015625,0.30993652,-0.5441284,0.29992676,0.7196655
814840,1026.6401,1028.1694,-7.8671875,1.9453125,5.6914062,0.4512329,0.17297363,-0.6784668,0.5533447,814945.0,1024.7715,1028.3044,9.332031,1.171875,1.7929688,0.30688477,-0.5456543,0.2993164,0.72003174
814860,1026.5894,1028.1848,-7.640625,1.984375,5.84375,0.44989014,0.16815186,-0.6793213,0.5548096,814970.0,1024.7593,1028.2563,9.0625,0.90234375,2.2109375,0.30395508,-0.54711914,0.29840088,0.72058105
814880,1026.5962,1028.2686,-7.4101562,2.1367188,5.9609375,0.4492798,0.16253662,-0.6804199,0.5557251,814985.0,1024.7229,1028.2773,8.910156,1.0195312,2.1757812,0.30145264,-0.548584,0.29803467,0.7207031
814900,1026.5767,1028.2656,-7.1796875,2.328125,6.0351562,0.44940186,0.15625,-0.6813965,0.55615234,815005.0,1024.7202,1028.2834,8.9453125,1.0195312,1.984375,0.29968262,-0.54974365,0.2980957,0.72052
814920,1026.5923,1028.3557,-6.9570312,2.5195312,6.0351562,0.45043945,0.15020752,-0.6819458,0.55633545,815025.0,1024.7197,1028.2671,8.828125,1.0585938,1.7539062,0.2977295,-0.55096436,0.2980957,0.7203369
814940,1026.5752,1028.3667,-7.0273438,2.9414062,5.84375,0.4520874,0.14428711,-0.6820679,0.5564575,815045.0,1024.7407,1028.292,8.828125,0.90234375,1.9453125,0.29595947,-0.55236816,0.29797363,0.7200928
814960,1026.5354,1028.3711,-7.0273438,3.09375,5.7304688,0.4537964,0.13848877,-0.6821289,0.5564575,815065.0,1024.742,1028.252,8.90625,0.7109375,2.1367188,0.29516602,-0.5536499,0.2972412,0.71972656
814980,1026.5771,1028.3884,-6.953125,3.2460938,5.5742188,0.45544434,0.13287354,-0.68218994,0.5563965,815085.0,1024.7485,1028.2688,8.75,0.55859375,2.1367188,0.29534912,-0.55462646,0.29656982,0.71917725
815005,1026.5574,1028.3931,-6.9179688,3.4765625,5.5390625,0.45690918,0.12768555,-0.6819458,0.5566406,815105.0,1024.7471,1028.2627,8.714844,0.7109375,1.984375,0.29595947,-0.5548706,0.29675293,0.7186279
815020,1026.5222,1028.3796,-6.6015625,3.515625,5.5,0.45819092,0.12243652,-0.68170166,0.5571289,815125.0,1024.7583,1028.2876,8.871094,1.0585938,2.0585938,0.2960205,-0.5549927,0.29681396,0.71850586
815040,1026.5232,1028.417,-6.1132812,3.6328125,5.3828125,0.45880127,0.11871338,-0.6812134,0.55804443,815145.0,1024.7429,1028.2769,8.871094,0.7109375,2.0585938,0.29492188,-0.555603,0.29614258,0.71881104
815060,1026.5366,1028.481,-5.8398438,3.4375,5.3828125,0.45874023,0.1171875,-0.67962646,0.56030273,815165.0,1024.7329,1028.3203,9.027344,0.48046875,1.7539062,0.29412842,-0.5562744,0.29608154,0.7186279
815080,1026.4888,1028.3826,-6.4960938,3.4023438,5.3085938,0.4590454,0.11657715,-0.6774292,0.5628662,815185.0,1024.7417,1028.3372,9.2109375,0.55859375,1.6367188,0.2929077,-0.5564575,0.29638672,0.71881104
815100,1026.5063,1028.2346,-7.0234375,3.9375,5.1171875,0.46032715,0.11413574,-0.6760864,0.56396484,815205.0,1024.7588,1028.3381,9.828125,0.90234375,3.015625,0.28948975,-0.555542,0.29656982,0.7208252
815120,1026.4749,1028.217,-7.3359375,4.3984375,5.0,0.46099854,0.11077881,-0.67633057,0.56378174,815225.0,1024.7275,1028.2937,9.9765625,1.2109375,3.515625,0.284729,-0.5541382,0.2962036,0.723938
815140,1026.508,1028.1628,-6.9570312,4.5507812,4.9648438,0.46002197,0.10852051,-0.67700195,0.564209,815245.0,1024.7454,1028.2715,10.175781,1.4765625,3.3242188,0.27911377,-0.5526123,0.2954712,0.7276001
815160,1026.5559,1028.0745,-6.9570312,4.625,5.8046875,0.45812988,0.10760498,-0.6773071,0.56555176,815270.0,1024.7639,1028.2576,10.136719,1.0195312,2.6328125,0.27374268,-0.5513916,0.2947998,0.73083496
815180,1026.52,1027.8611,-6.9882812,4.78125,5.9609375,0.45684814,0.10638428,-0.67803955,0.56585693,815285.0,1024.7551,1028.3047,9.980469,0.40625,2.6328125,0.2692871,-0.55096436,0.2954712,0.73254395
815200,1026.5012,1027.7517,-7.0234375,4.9726562,5.9609375,0.45611572,0.10455322,-0.67993164,0.5645752,815305.0,1024.7378,1028.3037,9.902344,0.0625,2.7890625,0.26654053,-0.55041504,0.2975464,0.73309326
815220,1026.5178,1027.7644,-6.875,4.8203125,5.765625,0.45562744,0.10321045,-0.682251,0.56243896,815325.0,1024.7373,1028.2949,9.371094,0.21484375,2.671875,0.2642212,-0.5492554,0.3005371,0.73358154
815240,1026.5029,1027.8284,-7.0625,4.1679688,5.5742188,0.45507812,0.10192871,-0.68499756,0.5596924,815350.0,1024.7732,1028.283,8.988281,0.90234375,2.7890625,0.26263428,-0.5476074,0.30340576,0.7342529
815260,1026.5046,1027.8635,-7.1796875,4.0507812,5.421875,0.4545288,0.10058594,-0.6880493,0.55670166,815365.0,1024.7329,1028.2983,8.6015625,1.09375,2.7109375,0.26080322,-0.5458374,0.3046875,0.73565674
815280,1026.4785,1027.8508,-7.3398438,3.9375,5.2695312,0.45385742,0.09838867,-0.6920166,0.55267334,815385.0,1024.749,1028.2678,8.7890625,1.1328125,2.9414062,0.25811768,-0.5447998,0.30426025,0.7375488
815300,1026.4788,1027.8894,-7.1445312,3.8242188,5.0,0.45257568,0.0960083,-0.6967163,0.5482178,815405.0,1024.7617,1028.2803,9.175781,0.75,3.3242188,0.25463867,-0.5438843,0.3026123,0.7401123
815320,1026.4805,1027.904,-6.5351562,3.2851562,5.0390625,0.44952393,0.095458984,-0.7011719,0.545166,815425.0,1024.7427,1028.2834,9.214844,0.21484375,3.171875,0.2526245,-0.54278564,0.30151367,0.7420654
815340,1026.5105,1027.8884,-6.3007812,2.75,5.421875,0.4459839,0.09692383,-0.70391846,0.5442505,815445.0,1024.731,1028.3035,9.449219,0.328125,2.9804688,0.25238037,-0.5418701,0.30230713,0.7424927
815360,1026.5271,1027.8247,-6.4140625,2.6367188,5.5390625,0.44439697,0.0970459,-0.7067871,0.5418091,815465.0,1024.748,1028.2793,9.7109375,0.55859375,2.9414062,0.25073242,-0.5409546,0.30334473,0.74328613
815390,1026.4841,1027.8574,-6.796875,3.0195312,5.078125,0.446167,0.09240723,-0.71313477,0.5327759,815485.0,1024.771,1028.2876,9.7890625,0.59765625,3.2460938,0.24737549,-0.539917,0.30358887,0.74505615
815410,1026.471,1027.8894,-7.0273438,3.2460938,4.8476562,0.44696045,0.08972168,-0.7174072,0.52679443,815505.0,1024.7832,1028.3025,9.253906,0.7109375,3.3632812,0.24432373,-0.5393677,0.3032837,0.74658203
815430,1026.4971,1027.8735,-7.40625,2.8632812,5.078125,0.44677734,0.08886719,-0.72088623,0.52233887,815525.0,1024.741,1028.2815,9.171875,0.671875,3.015625,0.24310303,-0.5396118,0.30303955,0.7468872
815450,1026.4741,1027.8984,-7.6445312,2.6367188,5.3085938,0.4465332,0.08807373,-0.72369385,0.5187378,815545.0,1024.7351,1028.3081,9.214844,0.40625,2.7890625,0.24285889,-0.54003906,0.30322266,0.74658203
815470,1026.458,1027.8638,-7.984375,2.7109375,5.3085938,0.4465332,0.08618164,-0.7271118,0.5142822,815565.0,1024.7334,1028.3057,9.410156,0.0234375,2.9023438,0.24316406,-0.5401001,0.30371094,0.74627686
815490,1026.5039,1027.8457,-8.0234375,2.9804688,5.3085938,0.44573975,0.08477783,-0.73028564,0.51068115,815585.0,1024.7332,1028.3064,8.90625,0.13671875,3.2070312,0.24395752,-0.54016113,0.30413818,0.7457886
815510,1026.4905,1027.8674,-7.7617188,2.7890625,5.6132812,0.44439697,0.08459473,-0.7329712,0.50805664,815605.0,1024.7651,1028.3296,8.714844,0.2890625,2.7109375,0.24603271,-0.54071045,0.3046875,0.7444458
815530,1026.4597,1027.873,-7.7578125,2.5585938,5.8046875,0.44403076,0.083984375,-0.73498535,0.5055542,815625.0,1024.7449,1028.2979,8.6015625,0.2890625,2.25,0.24920654,-0.54193115,0.30566406,0.74212646
815550,1026.4543,1027.8958,-7.8320312,2.5585938,5.8046875,0.44470215,0.08148193,-0.73742676,0.50177,815650.0,1024.7625,1028.3184,8.566406,-0.32421875,2.7890625,0.25299072,-0.54296875,0.30749512,0.73931885
815575,1026.4666,1027.8591,-8.0234375,3.09375,5.6914062,0.4456787,0.077819824,-0.74017334,0.49749756,815665.0,1024.7625,1028.3044,8.871094,0.13671875,2.4414062,0.25805664,-0.543396,0.30969238,0.7363281
815590,1026.437,1027.8625,-7.984375,3.2851562,5.5,0.44647217,0.07373047,-0.74298096,0.4932251,815685.0,1024.7261,1028.2761,9.671875,0.0234375,0.796875,0.26062012,-0.54174805,0.3092041,0.73687744
815610,1026.4321,1027.8557,-7.9101562,3.515625,5.5,0.4465332,0.07080078,-0.7451172,0.4902954,815705.0,1024.7622,1028.2778,8.40625,0.671875,1.6757812,0.2619629,-0.54022217,0.3067627,0.7385254
815630,1026.4258,1027.8589,-7.7617188,3.7851562,5.6132812,0.4454956,0.06854248,-0.7474365,0.4880371,815725.0,1024.7957,1028.3201,9.25,-0.0546875,2.6328125,0.26153564,-0.53967285,0.29907227,0.74224854
815650,1026.4224,1027.8684,-7.140625,3.8242188,6.0742188,0.44335938,0.06695557,-0.7501221,0.48608398,815745.0,1024.7795,1028.3157,9.636719,-0.16796875,2.75,0.2614746,-0.53845215,0.29138184,0.7462158
815670,1026.4304,1027.8677,-6.796875,3.7460938,6.34375,0.44073486,0.06549072,-0.75341797,0.4835205,815765.0,1024.811,1028.3379,9.328125,0.21484375,2.7890625,0.26446533,-0.5358887,0.2886963,0.7480469
815690,1026.4778,1027.8245,-6.6054688,3.7851562,6.5703125,0.4383545,0.06427002,-0.7565918,0.48083496,815785.0,1024.8306,1028.3018,9.480469,0.86328125,2.7890625,0.26843262,-0.5338135,0.28729248,0.7486572
815710,1026.4866,1027.8176,-6.53125,3.59375,6.8359375,0.43621826,0.06323242,-0.7597656,0.4779663,815805.0,1024.7827,1028.28,9.753906,1.4414062,2.8242188,0.2711792,-0.5325928,0.28338623,0.75
815740,1026.4619,1027.8359,-6.53125,3.3632812,7.1484375,0.43463135,0.061767578,-0.7628784,0.4746704,815825.0,1024.8,1028.2766,9.597656,1.6328125,2.9023438,0.27288818,-0.5319214,0.27874756,0.7515869
815750,1026.4619,1027.8359,-6.4921875,3.4765625,7.1484375,0.4343872,0.058898926,-0.76623535,0.46984863,815845.0,1024.7908,1028.2598,9.332031,1.9765625,2.8632812,0.27557373,-0.5310669,0.27539062,0.7524414
815770,1026.4753,1027.8206,-6.453125,3.6679688,7.109375,0.43518066,0.05609131,-0.7685547,0.46557617,815865.0,1024.8015,1028.2644,9.09375,2.3984375,2.6328125,0.27850342,-0.5305176,0.27349854,0.7524414
815790,1026.4353,1027.8196,-6.453125,3.7851562,6.9140625,0.43670654,0.053100586,-0.770813,0.4607544,815885.0,1024.7917,1028.2605,9.136719,2.78125,2.4804688,0.28070068,-0.53027344,0.2715454,0.75250244
815810,1026.4348,1027.8701,-6.6796875,3.7070312,6.5351562,0.4389038,0.049926758,-0.77319336,0.4550171,815905.0,1024.8071,1028.2986,9.214844,2.6640625,2.4414062,0.2810669,-0.53045654,0.26934814,0.75305176
815830,1026.4238,1027.863,-6.8789062,3.59375,6.34375,0.44104004,0.047546387,-0.77508545,0.44989014,815925.0,1024.7883,1028.27,9.1328125,2.359375,2.328125,0.2803955,-0.5310669,0.2672119,0.7536011
815850,1026.408,1027.8411,-7.0273438,3.515625,6.1132812,0.4434204,0.04559326,-0.77679443,0.44482422,815945.0,1024.7974,1028.2937,9.214844,1.9375,2.2109375,0.27960205,-0.53125,0.26623535,0.7541504
815870,1026.3525,1027.8772,-7.1445312,3.171875,5.8828125,0.4454956,0.044677734,-0.7779541,0.4407959,815970.0,1024.824,1028.2734,9.09375,1.7851562,2.4804688,0.2781372,-0.53125,0.26531982,0.7550049
815890,1026.355,1027.9014,-7.296875,2.4414062,5.765625,0.44763184,0.0435791,-0.7791748,0.43658447,815985.0,1024.8242,1028.2305,8.988281,1.7460938,2.75,0.27508545,-0.53149414,0.2625122,0.756897
815910,1026.3599,1027.8962,-7.4492188,2.40625,5.6132812,0.44934082,0.041931152,-0.78027344,0.43304443,816005.0,1024.8145,1028.2822,8.910156,1.59375,2.7890625,0.27191162,-0.53186035,0.25976562,0.758728
815930,1026.3647,1027.8989,-7.5234375,2.4414062,5.5742188,0.4508667,0.039855957,-0.7813721,0.42962646,816030.0,1024.8542,1028.2964,8.984375,1.4765625,3.171875,0.26885986,-0.5321655,0.25787354,0.7602539
815950,1026.3174,1027.873,-7.5664062,2.4804688,5.5742188,0.45202637,0.038269043,-0.7819824,0.42749023,816045.0,1024.8455,1028.2832,9.09375,1.3242188,3.2851562,0.26568604,-0.53253174,0.25561523,0.76190186
815970,1026.3359,1027.8789,-7.640625,2.328125,5.6523438,0.45318604,0.036621094,-0.78234863,0.4257202,816065.0,1024.824,1028.2461,9.253906,1.1328125,3.4375,0.26281738,-0.5327759,0.25280762,0.76361084
815990,1026.3384,1027.8579,-7.6054688,2.40625,5.6523438,0.4543457,0.034179688,-0.7828369,0.42370605,816085.0,1024.8345,1028.2786,9.2109375,1.09375,3.5546875,0.25994873,-0.532959,0.24951172,0.765625
816005,1026.3074,1027.876,-7.3789062,2.5585938,5.6523438,0.45544434,0.03173828,-0.78326416,0.42193604,816105.0,1024.8501,1028.2781,9.136719,1.09375,3.6289062,0.25860596,-0.5328369,0.24761963,0.76678467
816030,1026.3181,1027.8823,-7.140625,2.6367188,5.765625,0.456604,0.029785156,-0.7833252,0.4206543,816125.0,1024.8054,1028.3003,9.097656,1.2109375,3.5898438,0.25860596,-0.53222656,0.24725342,0.76727295
816045,1026.3245,1027.8623,-7.0664062,2.6367188,5.7304688,0.4580078,0.027893066,-0.78326416,0.4194336,816145.0,1024.8525,1028.2449,9.171875,1.3632812,3.7070312,0.2590332,-0.53186035,0.2468872,0.7675171
816065,1026.344,1027.8748,-6.984375,2.75,5.6523438,0.45977783,0.025878906,-0.7831421,0.4179077,816165.0,1024.8506,1028.2622,9.171875,1.3632812,3.7460938,0.2593994,-0.5317993,0.2456665,0.76782227
816085,1026.3213,1027.8564,-6.953125,2.9804688,5.5390625,0.4616089,0.024353027,-0.78289795,0.41638184,816185.0,1024.8579,1028.2932,9.0234375,1.3632812,3.515625,0.26037598,-0.53186035,0.24456787,0.76776123
816110,1026.2891,1027.8762,-6.9140625,3.171875,5.3828125,0.46331787,0.024353027,-0.7822876,0.41558838,816205.0,1024.8662,1028.2903,8.9453125,1.515625,3.5546875,0.26141357,-0.5321655,0.24377441,0.7675171
816125,1026.3142,1027.8892,-6.953125,2.9804688,5.3828125,0.4644165,0.02532959,-0.7817993,0.41534424,816225.0,1024.8516,1028.2605,8.984375,1.515625,3.4765625,0.26263428,-0.53289795,0.24261475,0.76690674
816145,1026.2886,1027.865,-6.984375,2.7890625,5.3085938,0.46588135,0.026489258,-0.7810669,0.414917,816245.0,1024.8284,1028.2966,8.984375,1.4765625,3.3984375,0.2640381,-0.5341797,0.24133301,0.7659302
816165,1026.2856,1027.863,-7.140625,2.75,5.2695312,0.46759033,0.026794434,-0.7805176,0.4140625,816265.0,1024.8599,1028.2847,9.027344,1.4414062,3.0546875,0.26550293,-0.5360718,0.23962402,0.76464844
816190,1026.2969,1027.8337,-7.2578125,2.9804688,4.9257812,0.46936035,0.026489258,-0.78015137,0.41271973,816285.0,1024.8281,1028.29,8.988281,1.3632812,2.75,0.26696777,-0.53778076,0.23822021,0.76342773
816205,1026.261,1027.8577,-7.3007812,3.09375,4.8476562,0.47021484,0.026428223,-0.7800293,0.41204834,816305.0,1024.8518,1028.2666,9.0625,1.3242188,2.4804688,0.26879883,-0.53948975,0.23693848,0.76190186
816225,1026.2686,1027.832,-7.375,3.0546875,4.7734375,0.47058105,0.026855469,-0.7798462,0.41192627,816325.0,1024.8403,1028.2983,9.09375,1.4414062,2.25,0.2703247,-0.54119873,0.23535156,0.76068115
816245,1026.2915,1027.8433,-7.3789062,2.9414062,4.8867188,0.47052002,0.027160645,-0.7797241,0.41223145,816345.0,1024.8135,1028.3096,8.984375,1.515625,2.0195312,0.2713623,-0.5428467,0.23291016,0.7598877
816270,1026.2683,1027.8462,-7.3789062,3.1328125,5.1171875,0.4701538,0.026733398,-0.77978516,0.4124756,816365.0,1024.8374,1028.2979,8.910156,1.59375,1.90625,0.2723999,-0.5437622,0.23132324,0.7593994
816285,1026.2881,1027.8691,-7.296875,3.3242188,5.1914062,0.4697876,0.026062012,-0.77996826,0.41271973,816385.0,1024.846,1028.2878,8.9453125,1.8242188,1.7929688,0.2736206,-0.5442505,0.23034668,0.7588501
816305,1026.292,1027.8596,-7.296875,3.5546875,5.1914062,0.46905518,0.02545166,-0.78009033,0.41333008,816405.0,1024.8411,1028.2976,9.027344,1.7460938,1.90625,0.27471924,-0.54418945,0.2298584,0.758667
816325,1026.2988,1027.876,-7.3007812,3.59375,5.3476562,0.46783447,0.02508545,-0.7802124,0.41448975,816425.0,1024.8198,1028.271,9.0625,1.5546875,2.1367188,0.27563477,-0.54382324,0.22912598,0.7588501
816345,1026.2668,1027.865,-7.0625,3.6679688,5.5742188,0.4664917,0.024963379,-0.7802124,0.4159546,816445.0,1024.8594,1028.2751,8.9453125,1.59375,2.2109375,0.27618408,-0.5432739,0.22766113,0.75946045
816365,1026.301,1027.862,-7.0625,3.7460938,5.765625,0.46533203,0.024963379,-0.78009033,0.41748047,816465.0,1024.8748,1028.2905,8.910156,1.59375,2.25,0.27685547,-0.54241943,0.22644043,0.7601929
816385,1026.2812,1027.8804,-7.1054688,3.8242188,5.921875,0.46447754,0.024291992,-0.78015137,0.41833496,816485.0,1024.856,1028.2795,8.90625,1.5546875,2.4023438,0.27783203,-0.54119873,0.22613525,0.7607422
816410,1026.2942,1027.8306,-6.9179688,4.1289062,5.9609375,0.46417236,0.0234375,-0.78027344,0.41864014,816505.0,1024.863,1028.3098,8.988281,1.4765625,2.5195312,0.27905273,-0.539978,0.22589111,0.7612915
816425,1026.2976,1027.8362,-6.796875,4.1679688,5.9609375,0.4642334,0.023010254,-0.78009033,0.41882324,816525.0,1024.8552,1028.2864,8.984375,1.515625,2.7109375,0.27947998,-0.53881836,0.22454834,0.7623291
816445,1026.3079,1027.8367,-6.7226562,4.1679688,5.9609375,0.46447754,0.023010254,-0.7798462,0.41900635,816545.0,1024.8679,1028.2747,9.066406,1.4414062,2.8632812,0.27929688,-0.53778076,0.22259521,0.7637329
816465,1026.2764,1027.854,-6.7226562,4.1679688,5.9609375,0.4649048,0.02319336,-0.779541,0.41906738,816565.0,1024.8772,1028.3176,9.25,1.2851562,3.0546875,0.27954102,-0.536499,0.22106934,0.7649536
816490,1026.2866,1027.8306,-6.8398438,4.2070312,6.0351562,0.46539307,0.023498535,-0.7793579,0.41888428,816585.0,1024.8518,1028.301,9.253906,1.3632812,3.1328125,0.2803955,-0.5354004,0.22015381,0.76568604
816505,1026.3057,1027.8247,-6.7617188,4.1679688,6.0351562,0.4661255,0.023803711,-0.7792969,0.4182129,816605.0,1024.8708,1028.3245,9.214844,1.4023438,3.2070312,0.28125,-0.5343628,0.21844482,0.7665405
816525,1026.2925,1027.8318,-6.7226562,4.1289062,5.9609375,0.46740723,0.02355957,-0.7793579,0.416687,816625.0,1024.8794,1028.3142,9.292969,1.4414062,3.3242188,0.28186035,-0.53338623,0.21636963,0.76763916
816545,1026.3,1027.8159,-6.6796875,4.1289062,5.84375,0.46905518,0.023254395,-0.77948,0.41461182,816645.0,1024.8557,1028.3235,9.2109375,1.859375,3.4765625,0.28216553,-0.5327759,0.21362305,0.7687378
