timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
536555,991.9409,991.583,4.5234375,0.11328125,-8.7421875,-0.8920288,-0.38897705,-0.21350098,0.08605957,541070.0,994.2134,992.6492,-8.4765625,4.0273438,0.578125,0.30126953,0.6218262,0.010498047,0.7227783
536575,991.9468,991.5857,7.4726562,-2.1445312,-5.7539062,-0.23388672,-0.85827637,-0.012329102,0.456604,541075.0,994.2134,992.6492,-8.519531,2.9921875,2.4960938,-0.5548706,0.26391602,0.7866821,0.0602417
536595,991.9758,991.5735,7.4296875,-2.3007812,-5.5625,-0.23339844,-0.85827637,-0.013061523,0.45684814,541090.0,994.24854,992.67236,-8.480469,2.8789062,2.4960938,-0.5569458,0.26550293,0.784729,0.059020996
536615,991.9392,991.5952,7.1679688,-2.8359375,-5.4101562,-0.2319336,-0.8586426,-0.014160156,0.45690918,541110.0,994.21313,992.6863,-8.515625,3.03125,2.265625,-0.56030273,0.26733398,0.78186035,0.057373047
536635,991.92236,991.59424,7.2070312,-2.9101562,-5.3359375,-0.22930908,-0.859375,-0.015319824,0.45672607,541130.0,994.21606,992.6594,-9.246094,2.9921875,1.9570312,-0.56256104,0.26898193,0.7797241,0.05609131
536655,991.95435,991.6094,7.203125,-2.71875,-5.4492188,-0.22418213,-0.8612671,-0.0154418945,0.4557495,541150.0,994.19214,992.65625,-9.28125,2.953125,1.765625,-0.56152344,0.27056885,0.77996826,0.055847168
536675,991.9321,991.58545,7.3203125,-1.6484375,-6.4453125,-0.21673584,-0.86431885,-0.01184082,0.45373535,541170.0,994.1831,992.6399,-9.019531,3.1445312,1.9960938,-0.5585327,0.27215576,0.7816162,0.055358887
536695,991.8518,991.5869,7.5859375,-1.4960938,-7.171875,-0.20819092,-0.86743164,-0.0028076172,0.45184326,541190.0,994.22925,992.6741,-8.746094,3.3359375,2.3789062,-0.55578613,0.2732544,0.78326416,0.053588867
536715,991.8784,991.5825,7.78125,-1.4179688,-7.515625,-0.19995117,-0.869812,0.00970459,0.45092773,541210.0,994.2529,992.6758,-8.4765625,3.6054688,3.03125,-0.5540161,0.27496338,0.78411865,0.051330566
536735,991.8987,991.60425,7.9726562,-1.609375,-7.515625,-0.19311523,-0.87158203,0.02142334,0.45007324,541230.0,994.2783,992.646,-8.558594,3.9492188,3.1835938,-0.55267334,0.27734375,0.7843628,0.04937744
