timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
58400,1001.81836,1003.0813,4.765625,4.4804688,7.1679688,-0.16723633,-0.31420898,-0.8944092,0.27069092,58405.0,1001.38403,1002.25024,-1.2148438,-4.7304688,-8.503906,-0.24945068,-0.9338989,0.25616455,0.005554199
58410,1001.8081,1003.03394,4.765625,4.59375,7.203125,-0.16937256,-0.31402588,-0.8945923,0.26916504,58420.0,1001.3821,1002.2595,-1.1757812,-4.8085938,-8.542969,-0.24938965,-0.93414307,0.25524902,0.005859375
58420,1001.8037,1003.05005,4.7265625,4.6328125,7.2734375,-0.17022705,-0.31378174,-0.8946533,0.2685547,58430.0,1001.3821,1002.2595,-1.2148438,-4.8828125,-8.5390625,-0.24920654,-0.9345703,0.2538452,0.00579834
58440,1001.8135,1003.0708,4.6875,4.671875,7.2382812,-0.17138672,-0.31329346,-0.8948364,0.26782227,58450.0,1001.36597,1002.2092,-1.1757812,-4.9609375,-8.464844,-0.24914551,-0.9348755,0.25280762,0.0052490234
58455,1001.8352,1003.0808,4.6875,4.59375,7.2734375,-0.17242432,-0.3125,-0.8951416,0.2672119,58465.0,1001.35425,1002.2617,-1.0976562,-4.921875,-8.421875,-0.2489624,-0.9350586,0.2522583,0.004211426
58475,1001.833,1003.0403,4.6523438,4.515625,7.3125,-0.17333984,-0.31158447,-0.8955078,0.26641846,58480.0,1001.3313,1002.2361,-1.1367188,-4.9609375,-8.425781,-0.24884033,-0.9351196,0.25219727,0.0028076172
58495,1001.80566,1003.0598,4.7265625,4.4804688,7.2382812,-0.17437744,-0.3106079,-0.89593506,0.2654419,58500.0,1001.4109,1002.2151,-1.2148438,-4.921875,-8.347656,-0.2489624,-0.93499756,0.25268555,0.0012817383
58520,1001.8408,1003.06104,4.765625,4.4414062,7.046875,-0.17529297,-0.30993652,-0.89624023,0.2645874,58520.0,1001.3291,1002.219,-1.2890625,-4.8476562,-8.2265625,0.24890137,0.93444824,-0.2546997,0.0006713867
58535,1001.7864,1003.06616,4.8046875,4.4804688,7.046875,-0.1762085,-0.30963135,-0.8963623,0.26379395,58540.0,1001.4011,1002.22314,-1.4414062,-4.5,-8.152344,0.24841309,0.9336548,-0.25805664,0.0031738281
58555,1001.80396,1003.0696,4.8046875,4.515625,7.0898438,-0.17706299,-0.30969238,-0.8963623,0.2631836,58560.0,1001.3887,1002.2368,-1.4804688,-4.3867188,-8.191406,0.2479248,0.9328613,-0.26116943,0.0053100586
58575,1001.81885,1003.0486,4.765625,4.6328125,7.125,-0.17791748,-0.30969238,-0.89642334,0.26239014,58580.0,1001.3877,1002.2197,-1.40625,-4.2695312,-8.1484375,0.24804688,0.9324341,-0.2626953,0.0064697266
58600,1001.83105,1003.0845,4.84375,4.59375,7.0898438,-0.17901611,-0.30908203,-0.8967285,0.2612915,58605.0,1001.3728,1002.26245,-1.4414062,-4.2695312,-8.1171875,0.24847412,0.93237305,-0.26257324,0.0063476562
58615,1001.81006,1003.07227,4.9179688,4.4804688,7.0507812,-0.18005371,-0.30822754,-0.8972168,0.2600708,58620.0,1001.4248,1002.25415,-1.40625,-4.3476562,-8.152344,0.24890137,0.9324951,-0.2616577,0.0053710938
58635,1001.8213,1003.0654,4.84375,4.4414062,7.1640625,-0.18048096,-0.3076172,-0.897522,0.2592163,58640.0,1001.39136,1002.2632,-1.4414062,-4.4648438,-8.3046875,0.24914551,0.9326782,-0.26086426,0.0041503906
58655,1001.80786,1003.04297,4.8046875,4.4023438,7.203125,-0.18078613,-0.30706787,-0.89782715,0.25860596,58660.0,1001.3662,1002.24756,-1.4414062,-4.65625,-8.4609375,0.24932861,0.93273926,-0.26031494,0.0029296875
58680,1001.80225,1003.05225,4.6875,4.25,7.3164062,-0.18109131,-0.30664062,-0.8980713,0.25823975,58680.0,1001.37036,1002.2549,-1.4414062,-4.8828125,-8.613281,0.24969482,0.93273926,-0.2600708,0.0021362305
58695,1001.79395,1003.083,4.6875,4.2109375,7.3164062,-0.18164062,-0.30633545,-0.8980713,0.25805664,58700.0,1001.375,1002.2649,-1.328125,-4.8828125,-8.609375,0.24993896,0.9326172,-0.26019287,0.002380371
58715,1001.81104,1003.041,4.6875,4.171875,7.2773438,-0.18243408,-0.30651855,-0.8978882,0.25805664,58720.0,1001.3762,1002.2268,-1.25,-4.8828125,-8.609375,0.25012207,0.9324341,-0.26068115,0.003479004
58735,1001.813,1003.083,4.6875,4.25,7.234375,-0.18328857,-0.30664062,-0.897583,0.25830078,58745.0,1001.37305,1002.30176,-1.1757812,-4.6914062,-8.425781,0.25012207,0.932312,-0.26116943,0.0048828125
58760,1001.8152,1003.0427,4.765625,4.3632812,7.2773438,-0.18395996,-0.3065796,-0.8973999,0.25854492,58760.0,1001.3545,1002.2512,-1.1367188,-4.6914062,-8.386719,0.2501831,0.93218994,-0.2614746,0.0064086914
58775,1001.80396,1003.0718,4.7265625,4.4023438,7.2070312,-0.1843872,-0.30633545,-0.8973999,0.25860596,58780.0,1001.38745,1002.2571,-1.2148438,-4.6914062,-8.347656,0.25024414,0.9321289,-0.2616577,0.007446289
58795,1001.83105,1003.04565,4.6875,4.3242188,7.3515625,-0.18469238,-0.30596924,-0.89746094,0.25842285,58800.0,1001.34033,1002.2114,-1.328125,-4.65625,-8.265625,0.25042725,0.93200684,-0.26184082,0.008117676
