timestamp,fPressureFront,fPressureSide,acceleration.x,acceleration.y,acceleration.z,quaternion.i,quaternion.j,quaternion.k,quaternion.real,quaternion.accuracy
1078610,1023.5884,1020.82935,7.28125,4.1484375,5.8554688,0.45513916,0.036193848,0.81365967,0.35980225,0.0
1078620,1023.60864,1020.89526,-0.04296875,0.19921875,9.613281,0.014221191,-0.00036621094,0.016723633,0.99975586,0.0
1078630,1023.60864,1020.9485,-0.00390625,0.12109375,9.6484375,0.013977051,-0.0004272461,0.016601562,0.99975586,0.0
1078650,1023.56274,1020.93896,-0.00390625,0.19921875,9.652344,0.013977051,-0.0005493164,0.016601562,0.99975586,0.0
1078675,1023.6045,1021.021,0.03515625,0.23828125,9.5390625,0.013977051,-0.0004272461,0.016601562,0.99975586,0.0
1078690,1023.58105,1020.9978,-0.08203125,0.27734375,9.542969,0.01373291,0.0,0.016540527,0.99975586,0.0
1078710,1023.5962,1021.02,-0.08203125,0.19921875,9.7265625,0.0134887695,0.0005493164,0.016418457,0.99975586,0.0
1078730,1023.5989,1021.04346,-0.12109375,0.3515625,9.730469,0.013244629,0.0010986328,0.016357422,0.99975586,0.0
1078750,1023.58203,1021.02124,-0.08203125,0.16015625,9.8046875,0.013183594,0.0014038086,0.016418457,0.99975586,0.0
1078770,1023.58716,1021.0488,-0.12109375,0.19921875,9.6875,0.013000488,0.0015869141,0.016540527,0.99975586,0.0
1078790,1023.60864,1021.04346,0.03515625,0.046875,9.730469,0.013122559,0.0020141602,0.016540527,0.99975586,0.0
1078810,1023.60693,1021.10986,-0.00390625,0.046875,9.808594,0.01373291,0.0024414062,0.016479492,0.99975586,0.0
1078830,1023.58203,1021.12476,-0.00390625,0.23828125,9.847656,0.01373291,0.0028686523,0.016540527,0.99975586,0.0
1078850,1023.5979,1021.2129,-0.04296875,0.0859375,9.921875,0.013427734,0.003112793,0.016479492,0.99975586,0.0
1078870,1023.60596,1021.28906,-0.04296875,0.16015625,9.921875,0.012878418,0.003479004,0.016418457,0.99975586,0.0
1078895,1023.60547,1021.4065,-0.1953125,-0.03125,10.191406,0.012878418,0.00390625,0.016296387,0.99975586,0.0
1078910,1023.615,1021.4363,-0.1953125,0.12109375,10.109375,0.013122559,0.0037841797,0.016113281,0.99975586,0.0
1078930,1023.6155,1021.438,-0.00390625,0.0859375,9.964844,0.013549805,0.0032958984,0.01586914,0.99975586,0.0
1078950,1023.61865,1021.4158,-0.00390625,0.19921875,9.84375,0.014160156,0.0028076172,0.015563965,0.99975586,0.0
1078975,1023.603,1021.3313,0.1484375,0.27734375,9.765625,0.013793945,0.002319336,0.015319824,0.99975586,0.0
1078990,1023.6145,1021.2988,0.07421875,0.23828125,9.847656,0.013305664,0.002319336,0.015014648,0.9998169,0.0
1079010,1023.62354,1021.1843,-0.00390625,0.27734375,9.964844,0.013122559,0.0022583008,0.014770508,0.9998169,0.0
1079030,1023.626,1021.1914,-0.08203125,0.3515625,9.921875,0.012756348,0.001953125,0.0146484375,0.9998169,0.0
1079055,1023.5947,1021.1494,-0.04296875,0.19921875,9.808594,0.013061523,0.0015869141,0.014404297,0.9998169,0.0
1079070,1023.5569,1021.1775,-0.04296875,0.3125,9.765625,0.013671875,0.0014648438,0.014221191,0.9998169,0.0
1079090,1023.605,1021.17773,-0.08203125,0.5078125,9.691406,0.014099121,0.0012207031,0.013977051,0.9998169,0.0
1079110,1023.5647,1021.23755,-0.15625,0.66015625,9.652344,0.013366699,0.0008544922,0.014038086,0.9998169,0.0
1079130,1023.58276,1021.2671,-0.00390625,0.3515625,9.6484375,0.012634277,0.00061035156,0.014282227,0.9998169,0.0
1079150,1023.615,1021.2046,-0.08203125,0.3515625,9.6484375,0.012084961,0.0005493164,0.014526367,0.9998169,0.0
1079170,1023.5718,1021.1494,-0.12109375,0.19921875,9.7265625,0.0119018555,0.0005493164,0.014953613,0.9998169,0.0
1079190,1023.6221,1021.17847,-0.04296875,0.0859375,9.730469,0.012451172,0.00061035156,0.015319824,0.9998169,0.0
1079210,1023.6079,1021.14453,-0.08203125,0.12109375,9.6484375,0.0126953125,0.00048828125,0.015563965,0.9998169,0.0
1079230,1023.6033,1021.1089,-0.04296875,0.12109375,9.609375,0.012207031,0.00024414062,0.015625,0.9998169,0.0
1079250,1023.6494,1021.0935,-0.04296875,0.0859375,9.6484375,0.01171875,0.00036621094,0.015563965,0.9998169,0.0
1079270,1023.6028,1021.0608,-0.04296875,0.12109375,9.730469,0.01171875,0.00061035156,0.015625,0.9998169,0.0
1079290,1023.59204,1021.0183,0.07421875,0.0859375,9.691406,0.011657715,0.0006713867,0.015808105,0.9998169,0.0
1079310,1023.6006,1020.9602,0.109375,0.0859375,9.691406,0.01159668,0.0008544922,0.01586914,0.9998169,0.0
1079330,1023.6284,1020.9363,0.109375,0.046875,9.6875,0.011474609,0.0012207031,0.01586914,0.9998169,0.0
1079355,1023.6067,1020.8994,0.03515625,0.0859375,9.7265625,0.011352539,0.0016479492,0.01574707,0.9998169,0.0
1079370,1023.6128,1020.8989,-0.00390625,0.12109375,9.691406,0.011291504,0.0021972656,0.015563965,0.9998169,0.0
1079390,1023.5718,1020.9075,0.07421875,0.16015625,9.765625,0.011108398,0.002746582,0.015319824,0.9998169,0.0
1079410,1023.6201,1020.917,0.03515625,0.12109375,9.8828125,0.010925293,0.0032958984,0.015014648,0.9998169,0.0
1079435,1023.6062,1020.95825,0.03515625,0.23828125,9.8828125,0.011230469,0.0036621094,0.0146484375,0.9998169,0.0
1079450,1023.5991,1020.98267,-0.04296875,0.3515625,9.847656,0.011657715,0.003967285,0.014343262,0.9998169,0.0
1079470,1023.6006,1021.05396,-0.08203125,0.3125,9.886719,0.0119018555,0.0040893555,0.014221191,0.9998169,0.0
1079490,1023.5979,1021.1836,-0.04296875,0.3125,9.847656,0.011962891,0.0041503906,0.014160156,0.9998169,0.0
1079510,1023.57935,1021.2312,-0.08203125,0.3125,9.730469,0.0115356445,0.0040283203,0.013977051,0.9998169,0.0
1079530,1023.5952,1021.29663,-0.08203125,0.23828125,9.765625,0.011230469,0.0040893555,0.0138549805,0.9998169,0.0
1079550,1023.553,1021.4656,-0.08203125,0.19921875,9.8828125,0.011169434,0.0041503906,0.013793945,0.9998169,0.0
1079570,1023.5984,1021.5132,-0.08203125,0.19921875,9.84375,0.011291504,0.0040893555,0.013549805,0.9998169,0.0
1079590,1023.5747,1021.5901,-0.04296875,0.19921875,9.7265625,0.011352539,0.0041503906,0.01361084,0.9998169,0.0
1079610,1023.60425,1021.62695,-0.00390625,0.12109375,9.765625,0.011474609,0.0044555664,0.0138549805,0.9998169,0.0
1079630,1023.60254,1021.6355,-0.16015625,0.19921875,9.808594,0.011047363,0.004760742,0.013916016,0.9998169,0.0
