timestamp,fPressureFront,fPressureSide,acceleration.x,acceleration.y,acceleration.z,quaternion.i,quaternion.j,quaternion.k,quaternion.real,quaternion.accuracy
1078815,1021.54614,1021.301,-8.089844,5.8359375,-0.92578125,0.6522217,0.27960205,-0.2619629,0.65405273,0.0
1078820,1021.542,1021.301,-4.8359375,8.8203125,0.796875,0.6314087,0.2208252,-0.1743164,0.72265625,0.0
1078835,1021.5476,1021.36255,0.265625,-0.453125,9.753906,-0.020202637,-0.010131836,-0.77911377,0.62646484,0.0
1078850,1021.56616,1021.36523,0.609375,-0.2265625,10.058594,-0.018859863,-0.010925293,-0.77856445,0.62719727,0.0
1078870,1021.5376,1021.38086,0.57421875,-0.2265625,9.949219,-0.017822266,-0.009399414,-0.77789307,0.6281128,0.0
1078890,1021.52954,1021.3987,0.6484375,-0.1875,9.984375,-0.016479492,-0.0076904297,-0.77783203,0.62823486,0.0
1078910,1021.5747,1021.44556,0.19140625,-0.37890625,9.75,-0.014343262,-0.008056641,-0.7788696,0.6269531,0.0
1078930,1021.55396,1021.47095,0.11328125,-0.2265625,9.753906,-0.01184082,-0.010620117,-0.7796631,0.62597656,0.0
1078950,1021.5271,1021.5381,0.11328125,0.00390625,9.7109375,-0.010314941,-0.012207031,-0.77948,0.6262207,0.0
1078970,1021.5188,1021.47314,0.265625,0.00390625,9.832031,-0.010009766,-0.010375977,-0.7783203,0.62768555,0.0
1078990,1021.5327,1021.4658,0.2265625,0.12109375,9.7890625,-0.009887695,-0.007446289,-0.7774048,0.6288452,0.0
1079010,1021.49536,1021.46924,0.03515625,-0.26171875,9.4453125,-0.008911133,-0.007019043,-0.77752686,0.6287842,0.0
1079030,1021.47485,1021.4922,-0.0390625,-0.03515625,9.527344,-0.007507324,-0.009521484,-0.7783203,0.6277466,0.0
1079050,1021.511,1021.46436,0.19140625,0.3515625,9.371094,-0.0075683594,-0.010498047,-0.77905273,0.62683105,0.0
1079070,1021.553,1021.5029,0.19140625,-0.0703125,9.675781,-0.009033203,-0.008728027,-0.7793579,0.62646484,0.0
1079090,1021.5271,1021.56714,0.19140625,-0.453125,9.9453125,-0.010131836,-0.006958008,-0.77948,0.62628174,0.0
1079110,1021.5552,1021.63477,0.41796875,-0.30078125,10.058594,-0.009887695,-0.0060424805,-0.7797241,0.6260376,0.0
1079130,1021.53955,1021.6443,0.3046875,-0.1484375,10.136719,-0.009338379,-0.00579834,-0.78027344,0.6253662,0.0
1079150,1021.5586,1021.72217,0.3828125,-0.1875,10.136719,-0.009399414,-0.005859375,-0.7808838,0.62457275,0.0
1079170,1021.54297,1021.7312,0.3046875,-0.30078125,9.910156,-0.010070801,-0.005004883,-0.7810669,0.6243286,0.0
1079190,1021.52954,1021.71045,0.3828125,-0.4921875,10.058594,-0.010253906,-0.0038452148,-0.78100586,0.6244507,0.0
1079210,1021.54126,1021.7224,0.265625,-0.453125,9.871094,-0.0095825195,-0.0026245117,-0.78082275,0.6246338,0.0
1079230,1021.52856,1021.6072,0.3046875,-0.453125,9.9453125,-0.008300781,-0.001159668,-0.78082275,0.6246948,0.0
1079250,1021.4614,1021.5847,-0.0390625,-0.33984375,9.753906,-0.0068969727,-0.00030517578,-0.78100586,0.6245117,0.0
1079270,1021.5088,1021.4602,-0.1171875,-0.33984375,9.527344,-0.0060424805,0.00012207031,-0.7810669,0.6244507,0.0
1079290,1021.5044,1021.4419,-0.0390625,-0.41796875,9.527344,-0.006225586,0.0012207031,-0.78082275,0.62475586,0.0
1079310,1021.4617,1021.32666,0.03515625,-0.4921875,9.7109375,-0.0064086914,0.0021362305,-0.7803955,0.62524414,0.0
1079330,1021.479,1021.2202,0.03515625,-0.26171875,9.5625,-0.0060424805,0.0020751953,-0.7803345,0.6253662,0.0
1079350,1021.47485,1021.1946,0.07421875,-0.109375,9.5625,-0.006225586,0.0018310547,-0.7805786,0.625,0.0
1079370,1021.4595,1021.1748,0.03515625,-0.1875,9.292969,-0.0068969727,0.0017089844,-0.78100586,0.6244507,0.0
1079390,1021.48413,1021.1404,0.0,-0.453125,9.75,-0.008483887,0.0020141602,-0.78118896,0.62420654,0.0
1079410,1021.48584,1021.1221,0.2265625,-0.41796875,9.714844,-0.009521484,0.0014038086,-0.78125,0.6240845,0.0
1079430,1021.52026,1021.0984,0.3828125,-0.37890625,9.910156,-0.009338379,0.0013427734,-0.78125,0.62420654,0.0
1079450,1021.5083,1021.3367,0.3828125,-0.4921875,10.0234375,-0.0075683594,0.0016479492,-0.7811279,0.6243286,0.0
1079470,1021.5242,1021.32983,0.34375,-0.26171875,10.136719,-0.004760742,0.0021362305,-0.78100586,0.6244507,0.0
1079490,1021.5012,1021.23926,0.34375,0.08203125,10.058594,-0.0024414062,0.003112793,-0.78100586,0.6244507,0.0
